	SRR1795409_accepted_hits	SRR1795410_accepted_hits	SRR1795425_accepted_hits	SRR1795426_accepted_hits
ENSG00000004948	0	0	1	0
ENSG00000004961	307	345	142	100
ENSG00000004975	376	473	616	378
ENSG00000005001	0	0	0	0
ENSG00000005007	921	1001	1313	827
ENSG00000005020	192	245	693	375
ENSG00000005022	4239	4780	5855	3488
ENSG00000005059	248	290	337	202
ENSG00000005073	83	94	320	214
ENSG00000005075	37	47	33	15
ENSG00000005100	541	609	693	420
ENSG00000005102	1	1	4	0
ENSG00000005108	13	11	4	0
ENSG00000005156	606	647	699	418
ENSG00000005175	760	916	1276	783
ENSG00000005187	77	104	45	17
ENSG00000005189	135	175	187	114
ENSG00000005194	473	556	536	357
ENSG00000005206	101	128	60	39
ENSG00000005238	5	7	1	2
ENSG00000005243	0	4	0	0
ENSG00000005249	129	173	483	302
ENSG00000005302	213	256	135	90
ENSG00000005339	967	1068	720	443
ENSG00000005379	0	0	0	2
ENSG00000005381	0	0	0	0
ENSG00000005421	1	0	0	0
ENSG00000005436	655	811	426	242
ENSG00000005448	181	231	202	133
ENSG00000005469	106	164	161	112
ENSG00000005471	13	16	71	42
ENSG00000005483	561	659	151	102
ENSG00000005486	136	152	268	163
ENSG00000005513	3	11	15	11
ENSG00000005700	751	919	880	552
ENSG00000005801	449	494	207	114
ENSG00000005810	3348	4078	573	304
ENSG00000005812	560	695	280	164
ENSG00000005844	1	0	2	0
ENSG00000005882	96	90	379	209
ENSG00000005884	36	22	32	20
ENSG00000005889	1412	1661	261	145
ENSG00000005893	699	829	1744	1071
ENSG00000005961	14	17	19	12
ENSG00000005981	0	0	1	0
ENSG00000006007	409	469	163	106
ENSG00000006015	77	85	172	117
ENSG00000006016	4	3	19	15
ENSG00000006025	20	8	36	26
ENSG00000006042	108	128	115	84
ENSG00000006047	1	2	53	16
ENSG00000006059	0	0	0	0
ENSG00000006062	40	30	14	21
ENSG00000006071	25	26	8	3
ENSG00000006116	0	0	0	0
ENSG00000006118	203	210	96	82
ENSG00000006125	1091	1228	1715	1101
ENSG00000006128	3	2	60	28
ENSG00000006194	304	319	88	45
ENSG00000006210	0	0	13	13
ENSG00000006282	136	137	91	56
ENSG00000006283	4	5	2	3
ENSG00000006327	5	4	57	19
ENSG00000006377	7	11	81	52
ENSG00000006432	111	116	19	13
ENSG00000006451	175	167	264	182
ENSG00000006453	293	275	523	329
ENSG00000006459	119	154	180	125
ENSG00000006468	12	12	250	145
ENSG00000006530	535	649	577	344
ENSG00000006534	9	7	0	2
ENSG00000006555	0	0	0	0
ENSG00000006576	327	398	232	135
ENSG00000006606	0	1	0	0
ENSG00000006607	337	420	433	250
ENSG00000006611	13	19	0	0
ENSG00000006625	191	202	354	188
ENSG00000006634	701	849	123	89
ENSG00000006638	6	8	14	10
ENSG00000006652	571	693	334	180
ENSG00000006659	0	0	0	0
ENSG00000006695	148	159	100	56
ENSG00000006704	196	185	141	95
ENSG00000006712	622	718	2075	1222
ENSG00000006715	699	826	328	210
ENSG00000006740	85	91	70	22
ENSG00000006744	1497	1701	1106	622
ENSG00000006747	6	8	910	554
ENSG00000006756	0	0	0	0
ENSG00000006757	23	27	0	1
ENSG00000006788	0	0	0	0
ENSG00000006831	315	338	483	268
ENSG00000006837	14	31	27	30
ENSG00000007001	5	1	0	0
ENSG00000007038	0	0	0	0
ENSG00000007047	125	106	158	84
ENSG00000007062	0	0	52	38
ENSG00000007080	325	358	851	524
ENSG00000007129	0	0	0	0
ENSG00000007168	731	833	1107	731
ENSG00000007171	23	21	57	33
ENSG00000007174	3	3	0	0
ENSG00000007202	2699	3219	501	317
ENSG00000007216	0	0	0	0
ENSG00000007237	9	13	13	6
ENSG00000007255	24	43	42	21
ENSG00000007264	111	145	32	10
ENSG00000007306	0	0	0	0
ENSG00000007312	0	0	0	0
ENSG00000007314	6	7	0	0
ENSG00000007341	163	190	205	124
ENSG00000007350	1	1	2	0
ENSG00000007372	120	142	136	70
ENSG00000007376	224	234	180	108
ENSG00000007384	25	30	55	32
ENSG00000007392	594	655	676	414
ENSG00000007402	74	80	75	30
ENSG00000007516	16	21	8	3
ENSG00000007520	295	326	245	174
ENSG00000007541	225	219	228	145
ENSG00000007545	226	246	134	106
ENSG00000007866	20	19	97	47
ENSG00000007908	0	0	0	0
ENSG00000007923	891	969	754	469
ENSG00000007933	16	13	0	0
ENSG00000007944	125	146	106	71
ENSG00000007952	0	2	0	0
ENSG00000007968	113	139	304	177
ENSG00000008018	1861	2247	5035	3065
ENSG00000008056	6	5	10	2
ENSG00000008083	434	489	332	221
ENSG00000008086	58	64	33	23
ENSG00000008118	0	0	7	0
ENSG00000008128	93	89	49	24
ENSG00000008130	454	461	276	154
ENSG00000008196	0	0	0	0
ENSG00000008197	0	0	0	0
ENSG00000008226	18	15	0	0
ENSG00000008256	89	107	76	51
ENSG00000008277	172	200	57	43
ENSG00000008282	218	264	1268	798
ENSG00000008283	16	17	45	18
ENSG00000008294	1976	2221	1597	984
ENSG00000008300	446	451	24	10
ENSG00000008311	609	656	259	167
ENSG00000008323	2	3	0	0
ENSG00000008324	59	57	94	65
ENSG00000008382	69	77	51	30
ENSG00000008394	135	142	1106	657
ENSG00000008405	398	486	251	153
ENSG00000008438	8	3	0	0
ENSG00000008441	47	63	151	85
ENSG00000008513	29	21	11	11
ENSG00000008516	19	23	8	2
ENSG00000008517	1	0	9	7
ENSG00000008710	443	453	103	65
ENSG00000008735	109	157	314	216
ENSG00000008838	758	854	909	521
ENSG00000008853	43	52	35	26
ENSG00000008869	989	1146	525	352
ENSG00000008952	573	624	523	352
ENSG00000008988	2436	2879	1652	1089
ENSG00000009307	11539	13415	5405	3230
ENSG00000009335	1757	1944	931	583
ENSG00000009413	1870	2211	267	142
ENSG00000009694	138	161	2	0
ENSG00000009709	0	1	1	0
ENSG00000009724	37	39	1	0
ENSG00000009765	0	0	0	0
ENSG00000009780	172	204	106	53
ENSG00000009790	9	13	0	0
ENSG00000009830	285	304	63	43
ENSG00000009844	384	519	1011	585
ENSG00000009950	30	43	32	21
ENSG00000009954	2906	3371	1687	993
ENSG00000010017	570	687	1155	670
ENSG00000010030	0	0	0	0
ENSG00000010072	722	843	405	240
ENSG00000010165	637	737	542	313
ENSG00000010219	113	119	172	119
ENSG00000010244	1499	1765	2544	1475
ENSG00000010256	2063	2396	1994	1149
ENSG00000010270	288	301	128	77
ENSG00000010278	100	120	1218	719
ENSG00000010282	0	1	0	0
ENSG00000010292	2566	2933	3511	2055
ENSG00000010295	148	160	168	98
ENSG00000010310	3	3	0	3
ENSG00000010318	33	40	2	5
ENSG00000010319	34	32	14	5
ENSG00000010322	867	961	522	287
ENSG00000010327	10	7	0	1
ENSG00000010361	196	197	174	88
ENSG00000010379	1	1	0	0
ENSG00000010404	110	129	23	8
ENSG00000010438	0	1	0	0
ENSG00000010539	100	154	181	85
ENSG00000010610	4	0	0	0
ENSG00000010626	23	17	8	5
ENSG00000010671	6	2	14	3
ENSG00000010704	3	1	12	7
ENSG00000010803	246	273	67	52
ENSG00000010810	520	598	329	202
ENSG00000010818	220	246	157	102
ENSG00000010932	0	1	1	3
ENSG00000011007	1102	1304	916	577
ENSG00000011009	161	173	309	166
ENSG00000011021	142	160	53	30
ENSG00000011028	65	60	125	67
ENSG00000011052	128	127	1170	651
ENSG00000011083	0	0	0	0
ENSG00000011105	27	24	174	88
ENSG00000011114	452	524	156	83
ENSG00000011132	69	103	53	38
ENSG00000011143	202	245	323	162
ENSG00000011198	226	265	117	71
ENSG00000011201	0	0	3	4
ENSG00000011243	605	669	626	349
ENSG00000011258	343	369	185	126
ENSG00000011260	1265	1494	1436	825
ENSG00000011275	695	792	314	180
ENSG00000011295	371	398	254	130
ENSG00000011304	2144	2292	5184	3135
ENSG00000011332	61	55	139	95
ENSG00000011347	8	18	7	5
ENSG00000011376	1262	1391	306	211
ENSG00000011405	1750	2008	826	504
ENSG00000011422	28	26	87	29
ENSG00000011426	1762	2057	1590	929
ENSG00000011451	258	250	380	224
ENSG00000011454	723	826	568	317
ENSG00000011465	0	0	3	0
ENSG00000011478	85	105	105	80
ENSG00000011485	949	1047	1405	798
ENSG00000011523	211	234	148	84
ENSG00000011566	389	414	218	149
ENSG00000011590	5	5	0	0
ENSG00000011600	0	0	0	0
ENSG00000011638	10	21	29	9
ENSG00000011677	8	3	0	0
ENSG00000012048	1722	1959	729	452
ENSG00000012061	219	287	262	158
ENSG00000012124	1	0	0	0
ENSG00000012171	7	7	0	0
ENSG00000012174	177	210	594	371
ENSG00000012211	50	62	81	61
ENSG00000012223	0	0	0	0
ENSG00000012232	222	251	187	114
ENSG00000012504	0	0	1	0
ENSG00000012660	446	479	1565	839
ENSG00000012779	1	3	18	6
ENSG00000012817	3	3	2	1
ENSG00000012822	172	180	233	150
ENSG00000012963	381	454	807	465
ENSG00000012983	547	645	327	196
ENSG00000013016	74	80	59	24
ENSG00000013275	892	1016	3719	2261
ENSG00000013288	138	130	99	56
ENSG00000013293	0	0	0	0
ENSG00000013297	0	0	0	0
ENSG00000013306	799	823	488	274
ENSG00000013364	9	4	43	23
ENSG00000013374	584	640	1386	838
ENSG00000013375	557	715	1356	759
ENSG00000013392	51	70	130	74
ENSG00000013441	683	735	232	130
ENSG00000013503	692	811	607	349
ENSG00000013523	323	395	175	104
ENSG00000013561	442	567	350	221
ENSG00000013563	130	144	40	25
ENSG00000013573	515	604	149	92
ENSG00000013583	60	79	285	183
ENSG00000013588	7	6	321	180
ENSG00000013619	14	14	29	22
ENSG00000013725	1	0	0	0
ENSG00000013810	1178	1327	1744	1115
ENSG00000014123	489	545	446	291
ENSG00000014138	45	35	44	15
ENSG00000014164	129	153	206	128
ENSG00000014216	217	238	892	509
ENSG00000014257	1	1	24	21
ENSG00000014641	1872	2255	2607	1603
ENSG00000014824	1011	1282	439	246
ENSG00000014914	11	13	4	2
ENSG00000014919	308	349	586	355
ENSG00000015133	163	208	206	147
ENSG00000015153	83	98	226	160
ENSG00000015171	332	416	331	219
ENSG00000015285	2	6	2	2
ENSG00000015413	4	3	3	1
ENSG00000015475	173	189	551	302
ENSG00000015479	0	0	0	0
ENSG00000015520	3	10	5	3
ENSG00000015532	174	194	158	78
ENSG00000015568	3	5	0	0
ENSG00000015592	0	0	0	0
ENSG00000015676	271	311	438	291
ENSG00000016082	45	33	22	19
ENSG00000016391	141	151	112	63
ENSG00000016402	0	0	23	18
ENSG00000016490	0	0	0	0
ENSG00000016602	1	0	0	0
ENSG00000016864	367	482	137	108
ENSG00000017260	897	1080	693	402
ENSG00000017427	0	1	0	0
ENSG00000017483	1	4	0	1
ENSG00000017797	470	558	198	126
ENSG00000018189	290	307	196	121
ENSG00000018236	127	144	200	113
ENSG00000018280	0	0	1	1
ENSG00000018408	39	42	371	224
ENSG00000018510	996	1114	1281	759
ENSG00000018610	340	412	239	139
ENSG00000018625	0	0	1	0
ENSG00000018699	678	821	476	267
ENSG00000018869	30	30	26	21
ENSG00000019102	5	7	0	0
ENSG00000019144	98	102	164	100
ENSG00000019169	0	0	0	0
ENSG00000019186	0	1	22	7
ENSG00000019485	49	58	12	10
ENSG00000019505	0	2	1	0
ENSG00000019549	81	93	4	2
ENSG00000019582	4	7	2	0
ENSG00000019991	0	2	13	5
ENSG00000019995	638	681	258	174
ENSG00000020129	326	348	607	393
ENSG00000020181	40	51	12	10
ENSG00000020256	157	155	171	107
ENSG00000020426	525	624	525	313
ENSG00000020577	50	43	41	26
ENSG00000020633	13	17	67	27
ENSG00000020922	881	1059	760	506
ENSG00000021300	13	17	12	6
ENSG00000021355	104	149	374	277
ENSG00000021461	4	1	0	0
ENSG00000021488	1	2	0	0
ENSG00000021574	320	363	236	127
ENSG00000021645	78	102	59	31
ENSG00000021762	59	55	60	37
ENSG00000021776	957	1224	994	553
ENSG00000021826	698	798	89	48
ENSG00000021852	0	0	1	0
ENSG00000022267	379	451	1547	994
ENSG00000022277	632	731	1139	659
ENSG00000022355	0	0	0	0
ENSG00000022556	1	0	0	0
ENSG00000022567	56	64	22	25
ENSG00000022840	1007	1163	374	267
ENSG00000022976	209	300	101	62
ENSG00000023041	424	454	105	78
ENSG00000023171	37	37	49	32
ENSG00000023191	529	612	1100	691
ENSG00000023228	1711	2050	3270	1847
ENSG00000023287	1717	2187	436	271
ENSG00000023318	423	493	898	496
ENSG00000023330	531	603	496	278
ENSG00000023445	4	2	1	2
ENSG00000023516	1578	1776	872	534
ENSG00000023572	166	176	144	95
ENSG00000023608	144	157	268	145
ENSG00000023697	180	232	427	242
ENSG00000023734	1457	1718	2846	1854
ENSG00000023839	36	43	5	2
ENSG00000023892	24	17	4	4
ENSG00000023902	150	169	80	44
ENSG00000023909	310	360	561	350
ENSG00000024048	1063	1354	950	594
ENSG00000024422	12	7	6	2
ENSG00000024526	1198	1391	535	323
ENSG00000024862	143	151	240	132
ENSG00000025039	217	242	152	105
ENSG00000025156	587	750	694	418
ENSG00000025293	447	514	182	119
ENSG00000025423	33	34	34	13
ENSG00000025434	38	76	40	23
ENSG00000025708	32	43	14	13
ENSG00000025770	872	826	560	337
ENSG00000025772	466	527	882	535
ENSG00000025796	646	798	1441	889
ENSG00000025800	1094	1219	1561	938
ENSG00000026025	4681	5292	12205	7259
ENSG00000026036	1	1	0	0
ENSG00000026103	40	43	147	83
ENSG00000026297	121	139	109	71
ENSG00000026508	2	2	189	117
ENSG00000026559	62	76	46	39
ENSG00000026652	154	171	130	74
ENSG00000026751	0	0	0	0
ENSG00000026950	29	46	11	6
ENSG00000027001	322	386	346	229
ENSG00000027075	45	44	125	77
ENSG00000027644	5	9	1	0
ENSG00000027697	509	595	395	238
ENSG00000027847	105	114	77	46
ENSG00000027869	24	18	1	2
ENSG00000028116	517	558	222	137
ENSG00000028137	0	0	0	0
ENSG00000028203	683	782	499	297
ENSG00000028277	1	2	1	0
ENSG00000028310	457	516	252	131
ENSG00000028528	426	454	720	452
ENSG00000028839	138	162	185	110
ENSG00000029153	398	457	64	34
ENSG00000029363	2468	3000	1051	675
ENSG00000029364	231	226	194	95
ENSG00000029534	121	133	46	36
ENSG00000029559	0	0	0	0
ENSG00000029639	297	406	143	80
ENSG00000029725	1195	1431	709	380
ENSG00000029993	959	1095	407	182
ENSG00000030066	2465	2899	1638	1040
ENSG00000030110	106	142	149	83
ENSG00000030304	2	5	0	0
ENSG00000030419	17	17	14	11
ENSG00000030582	506	579	1235	716
ENSG00000031003	622	787	61	21
ENSG00000031081	58	71	47	20
ENSG00000031691	160	203	304	178
ENSG00000031698	1933	2176	1959	1148
ENSG00000031823	473	479	903	551
ENSG00000032219	272	305	149	77
ENSG00000032389	256	241	191	109
ENSG00000032444	202	210	172	87
ENSG00000032742	105	133	198	136
ENSG00000033011	191	253	157	110
ENSG00000033030	250	282	156	108
ENSG00000033050	6	11	14	9
ENSG00000033100	222	223	147	72
ENSG00000033122	1	2	3	0
ENSG00000033170	294	310	104	58
ENSG00000033178	1229	1528	1280	743
ENSG00000033327	32	23	57	25
ENSG00000033627	690	768	650	413
ENSG00000033800	305	364	449	259
ENSG00000033867	779	943	485	319
ENSG00000034053	253	259	173	81
ENSG00000034152	183	198	173	108
ENSG00000034239	0	0	3	1
ENSG00000034510	612	635	1208	652
ENSG00000034533	203	208	119	80
ENSG00000034677	309	313	114	96
ENSG00000034693	459	507	551	298
ENSG00000034713	302	321	738	457
ENSG00000034971	0	0	0	0
ENSG00000035115	22	27	14	8
ENSG00000035141	207	236	398	281
ENSG00000035403	1393	1526	2039	1224
ENSG00000035499	439	511	334	227
ENSG00000035664	4	4	18	2
ENSG00000035681	408	463	108	57
ENSG00000035687	1275	1588	824	517
ENSG00000035720	3	2	1	3
ENSG00000035862	35	33	160	94
ENSG00000035928	1349	1521	922	557
ENSG00000036054	526	594	473	312
ENSG00000036257	1414	1679	1914	1098
ENSG00000036448	44	73	77	38
ENSG00000036473	0	0	0	0
ENSG00000036530	2	1	7	1
ENSG00000036549	1815	2164	248	134
ENSG00000036565	0	0	0	0
ENSG00000036672	43	37	58	33
ENSG00000036828	0	0	0	0
ENSG00000037042	16	33	31	16
ENSG00000037241	273	313	442	254
ENSG00000037280	247	234	225	155
ENSG00000037474	1622	1850	2110	1332
ENSG00000037637	320	312	266	146
ENSG00000037749	281	264	291	187
ENSG00000037757	411	414	408	217
ENSG00000037897	95	122	168	99
ENSG00000037965	20	30	52	41
ENSG00000038002	120	149	192	113
ENSG00000038210	21	22	22	12
ENSG00000038219	1648	1898	779	477
ENSG00000038274	437	531	935	593
ENSG00000038295	34	31	2	1
ENSG00000038358	1039	1089	1201	739
ENSG00000038382	1465	1613	504	270
ENSG00000038427	1272	1469	1170	696
ENSG00000038532	260	275	87	39
ENSG00000038945	0	0	0	0
ENSG00000039068	13	16	65	31
ENSG00000039123	2204	2702	1938	1204
ENSG00000039139	5	8	2	1
ENSG00000039319	1058	1304	747	419
ENSG00000039523	134	121	349	212
ENSG00000039537	0	0	0	0
ENSG00000039560	612	673	1191	690
ENSG00000039600	2	1	0	1
ENSG00000039650	200	208	144	108
ENSG00000039987	0	0	0	1
ENSG00000040199	389	470	140	88
ENSG00000040275	1173	1336	1058	631
ENSG00000040341	286	384	329	179
ENSG00000040487	43	59	140	92
ENSG00000040531	99	128	106	63
ENSG00000040608	13	12	55	35
ENSG00000040633	299	341	348	190
ENSG00000040731	7	4	0	0
ENSG00000040933	412	484	177	130
ENSG00000041353	2	2	21	8
ENSG00000041357	2623	3044	3739	2218
ENSG00000041515	0	0	0	0
ENSG00000041802	563	605	512	335
ENSG00000041880	56	48	7	3
ENSG00000041982	6	9	154	72
ENSG00000041988	89	86	150	79
ENSG00000042062	6	8	0	0
ENSG00000042088	468	472	330	196
ENSG00000042286	38	49	360	205
ENSG00000042304	0	0	0	0
ENSG00000042317	107	104	61	22
ENSG00000042429	3	20	23	15
ENSG00000042445	216	220	218	118
ENSG00000042493	26	38	18	11
ENSG00000042753	635	595	1178	713
ENSG00000042781	1	8	0	0
ENSG00000042813	0	0	0	0
ENSG00000042832	0	0	1	0
ENSG00000042980	0	0	0	0
ENSG00000043039	7	6	122	94
ENSG00000043093	169	205	327	214
ENSG00000043143	53	36	84	45
ENSG00000043355	207	246	730	437
ENSG00000043462	0	0	0	0
ENSG00000043514	260	303	232	166
ENSG00000043591	0	1	2	1
ENSG00000044012	0	0	0	0
ENSG00000044090	339	345	401	222
ENSG00000044115	1581	1769	4152	2402
ENSG00000044446	440	490	354	203
ENSG00000044459	265	348	219	108
ENSG00000044524	185	208	154	94
ENSG00000044574	2542	3000	4202	2321
ENSG00000046604	888	1038	1325	825
ENSG00000046647	54	64	201	126
ENSG00000046651	480	614	137	118
ENSG00000046653	83	105	262	130
ENSG00000046774	0	1	0	0
ENSG00000046889	63	86	78	49
ENSG00000047056	146	174	157	96
ENSG00000047188	1449	1752	1485	885
ENSG00000047230	407	472	359	188
ENSG00000047249	528	626	788	500
ENSG00000047315	3565	4225	3086	1788
ENSG00000047346	138	144	138	85
ENSG00000047365	182	254	106	61
ENSG00000047410	9204	11037	3103	1859
ENSG00000047457	7	4	0	0
ENSG00000047578	226	244	245	107
ENSG00000047579	158	183	456	273
ENSG00000047597	22	33	52	22
ENSG00000047617	0	0	0	3
ENSG00000047621	341	393	546	331
ENSG00000047634	404	522	1170	663
ENSG00000047644	0	0	1	1
ENSG00000047648	0	3	1	0
ENSG00000047662	50	50	43	27
ENSG00000047849	1428	1693	2021	1185
ENSG00000047932	349	366	319	193
ENSG00000047936	1	1	0	0
ENSG00000048028	723	886	325	194
ENSG00000048052	10	11	13	10
ENSG00000048140	113	127	39	26
ENSG00000048162	601	666	581	361
ENSG00000048342	192	242	98	68
ENSG00000048392	173	207	295	182
ENSG00000048405	373	471	320	176
ENSG00000048462	1	1	0	0
ENSG00000048471	122	143	22	12
ENSG00000048540	0	1	1	0
ENSG00000048544	293	335	764	460
ENSG00000048545	1	0	0	0
ENSG00000048649	921	1027	579	371
ENSG00000048707	1790	2113	516	274
ENSG00000048740	60	69	451	283
ENSG00000048828	1387	1588	711	449
ENSG00000048991	458	516	150	90
ENSG00000049089	11	5	73	47
ENSG00000049130	68	67	92	58
ENSG00000049167	230	250	89	59
ENSG00000049192	35	33	4	4
ENSG00000049239	83	90	103	58
ENSG00000049245	126	160	395	219
ENSG00000049246	29	23	13	12
ENSG00000049247	1	0	0	0
ENSG00000049249	1	2	1	2
ENSG00000049283	6	2	2	0
ENSG00000049323	393	463	422	242
ENSG00000049449	45	50	54	27
ENSG00000049540	2	3	0	0
ENSG00000049541	694	806	993	586
ENSG00000049618	738	782	444	244
ENSG00000049656	1032	1138	734	411
ENSG00000049759	120	135	291	199
ENSG00000049768	3	8	0	0
ENSG00000049769	25	37	30	17
ENSG00000049860	643	797	627	388
ENSG00000049883	74	108	105	64
ENSG00000050030	18	22	0	0
ENSG00000050130	215	247	283	170
ENSG00000050165	5	3	12	11
ENSG00000050327	0	0	15	13
ENSG00000050344	264	319	143	99
ENSG00000050393	328	425	310	184
ENSG00000050405	311	334	974	619
ENSG00000050426	199	224	288	175
ENSG00000050438	27	27	17	11
ENSG00000050555	23	24	95	62
ENSG00000050628	0	0	0	0
ENSG00000050730	0	2	0	3
ENSG00000050748	411	506	423	278
ENSG00000050767	2	3	8	2
ENSG00000050820	196	239	259	141
ENSG00000051009	199	232	81	59
ENSG00000051108	218	246	272	162
ENSG00000051128	23	18	42	24
ENSG00000051180	142	154	267	177
ENSG00000051341	1964	2336	326	203
ENSG00000051382	371	438	176	89
ENSG00000051523	349	359	932	561
ENSG00000051596	120	134	122	99
ENSG00000051620	522	595	604	349
ENSG00000051825	1516	1813	316	180
ENSG00000052126	285	351	291	161
ENSG00000052344	4	5	4	1
ENSG00000052723	336	418	351	226
ENSG00000052749	868	1028	996	632
ENSG00000052795	398	423	155	81
ENSG00000052802	319	344	649	384
ENSG00000052841	639	763	246	165
ENSG00000052850	27	31	41	28
ENSG00000053108	8	8	66	31
ENSG00000053254	128	101	49	29
ENSG00000053328	5	3	17	10
ENSG00000053371	284	329	584	343
ENSG00000053372	648	676	883	539
ENSG00000053438	3	4	2	2
ENSG00000053501	70	90	132	79
ENSG00000053524	10	13	4	0
ENSG00000053702	20	26	0	3
ENSG00000053747	482	546	132	84
ENSG00000053770	317	395	170	101
ENSG00000053900	494	600	478	272
ENSG00000053918	12	21	8	6
ENSG00000054116	306	323	674	387
ENSG00000054118	2458	2885	1879	1143
ENSG00000054148	203	249	763	452
ENSG00000054179	1	0	3	2
ENSG00000054219	0	0	0	0
ENSG00000054267	1217	1432	499	294
ENSG00000054277	39	46	42	24
ENSG00000054282	323	394	114	81
ENSG00000054356	0	0	0	4
ENSG00000054392	27	34	32	13
ENSG00000054523	942	1009	906	506
ENSG00000054598	320	350	1040	638
ENSG00000054611	131	145	182	104
ENSG00000054654	2730	3147	574	392
ENSG00000054690	195	168	69	39
ENSG00000054793	308	324	330	161
ENSG00000054796	0	2	0	0
ENSG00000054803	0	0	0	0
ENSG00000054938	1	1	2	0
ENSG00000054965	37	47	254	148
ENSG00000054967	98	116	52	37
ENSG00000054983	29	38	50	28
ENSG00000055044	2756	3318	1555	937
ENSG00000055070	171	161	237	148
ENSG00000055118	4	5	42	32
ENSG00000055130	1336	1544	1302	739
ENSG00000055147	250	278	285	160
ENSG00000055163	678	849	1374	777
ENSG00000055208	258	329	392	259
ENSG00000055211	307	361	343	209
ENSG00000055332	543	615	977	585
ENSG00000055483	528	570	332	192
ENSG00000055609	1983	2334	525	307
ENSG00000055732	156	217	246	143
ENSG00000055813	1	3	2	2
ENSG00000055917	1070	1303	661	341
ENSG00000055950	117	141	863	496
ENSG00000055955	48	45	1	0
ENSG00000055957	1	1	0	0
ENSG00000056050	324	383	265	171
ENSG00000056097	1850	2223	2338	1315
ENSG00000056277	368	448	249	149
ENSG00000056291	5	1	1	1
ENSG00000056487	18	32	11	3
ENSG00000056558	7	11	3	0
ENSG00000056586	1114	1218	212	139
ENSG00000056736	177	188	59	37
ENSG00000056972	74	76	100	68
ENSG00000056998	74	93	0	1
ENSG00000057019	427	576	184	122
ENSG00000057149	0	0	0	0
ENSG00000057252	485	608	601	391
ENSG00000057294	158	186	482	310
ENSG00000057468	28	37	0	0
ENSG00000057593	0	0	0	0
ENSG00000057608	2017	2451	4110	2450
ENSG00000057657	1	0	6	0
ENSG00000057663	323	383	372	230
ENSG00000057704	23	22	74	41
ENSG00000057757	222	241	587	304
ENSG00000057935	247	305	643	349
ENSG00000058056	319	342	458	298
ENSG00000058063	506	619	382	220
ENSG00000058085	8	13	3	1
ENSG00000058091	140	143	99	69
ENSG00000058262	1038	1188	2269	1341
ENSG00000058272	955	1132	1320	805
ENSG00000058335	2	2	0	0
ENSG00000058404	17	18	54	39
ENSG00000058453	128	128	83	49
ENSG00000058600	820	939	290	178
ENSG00000058668	497	533	97	61
ENSG00000058673	1070	1299	229	130
ENSG00000058729	501	586	659	377
ENSG00000058799	123	136	207	137
ENSG00000058804	994	1156	1092	646
ENSG00000058866	0	1	5	1
ENSG00000059122	239	233	141	78
ENSG00000059145	17	10	22	8
ENSG00000059377	3	4	8	4
ENSG00000059378	0	1	170	110
ENSG00000059573	2416	2570	1278	749
ENSG00000059588	1957	2387	490	341
