	SRR1795409merged_dedupRemoved	SRR1795411merged_dedupRemoved	SRR1795413merged_dedupRemoved	SRR1795415merged_dedupRemoved	SRR1795417merged_dedupRemoved	SRR1795419merged_dedupRemoved	SRR1795421merged_dedupRemoved	SRR1795423merged_dedupRemoved	SRR1795425merged_dedupRemoved	SRR1795427merged_dedupRemoved	SRR1795429merged_dedupRemoved	SRR1795431merged_dedupRemoved	SRR1795433merged_dedupRemoved	SRR1795435merged_dedupRemoved	SRR1795437merged_dedupRemoved	SRR1795439merged_dedupRemoved
ENSG00000000003	452	379	434	355	428	464	592	673	13	16	11	10	8	6	26	15
ENSG00000000005	0	1	1	3	3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	253	239	284	189	213	246	343	355	45	65	38	31	31	26	60	52
ENSG00000000457	306	226	231	185	203	222	348	437	5	4	3	0	3	3	4	4
ENSG00000000460	239	210	265	195	237	265	343	430	29	20	6	10	10	9	20	19
ENSG00000000938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000971	1	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0
ENSG00000001036	343	306	332	256	289	314	434	495	27	30	14	7	12	8	25	13
ENSG00000001084	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0
ENSG00000001167	453	424	418	392	326	408	531	677	19	18	7	9	6	14	19	13
ENSG00000001460	77	77	78	68	59	76	124	157	6	3	5	2	2	5	6	3
ENSG00000001461	422	327	378	299	284	371	482	620	15	17	5	8	2	5	9	13
ENSG00000001497	456	427	474	394	397	462	603	687	73	61	29	26	33	27	65	67
ENSG00000001561	176	159	166	129	142	193	240	323	20	15	3	7	5	6	12	15
ENSG00000001617	32	25	30	25	18	35	45	72	0	2	0	1	1	0	2	2
ENSG00000001626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629	435	395	449	364	332	440	589	714	7	5	3	6	4	8	7	4
ENSG00000001630	34	29	28	15	12	20	29	24	3	3	2	2	3	2	3	5
ENSG00000001631	81	74	81	54	60	89	100	139	3	1	2	3	3	3	4	4
ENSG00000002016	125	91	117	89	75	102	106	180	0	1	2	1	3	1	3	1
ENSG00000002330	106	109	97	72	90	111	144	172	6	8	2	4	4	3	3	2
ENSG00000002549	115	109	120	96	108	123	135	174	13	9	2	2	3	4	10	11
ENSG00000002586	268	267	240	200	211	218	313	340	17	23	5	15	13	7	24	19
ENSG00000002587	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002745	0	1	0	6	4	1	2	0	0	0	0	2	0	0	2	0
ENSG00000002746	8	5	5	5	4	9	3	12	0	1	0	0	0	0	2	0
ENSG00000002822	222	195	188	174	143	175	235	291	12	8	2	6	6	5	8	10
ENSG00000002834	98	76	82	86	54	91	144	177	13	17	3	5	6	6	7	10
ENSG00000002919	51	48	47	45	38	51	66	87	5	4	3	4	3	1	5	3
ENSG00000002933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056	254	230	255	202	234	260	298	384	36	23	10	22	15	13	39	26
ENSG00000003096	276	246	256	190	231	293	389	478	11	17	2	1	5	1	10	5
ENSG00000003137	34	22	34	22	15	21	25	64	4	1	1	1	0	0	2	0
ENSG00000003147	67	41	57	54	45	54	74	90	1	0	0	2	0	0	3	0
ENSG00000003249	62	46	56	64	51	70	108	119	6	1	0	6	0	0	2	3
ENSG00000003393	479	447	452	362	348	414	602	731	13	6	8	8	8	4	9	11
ENSG00000003400	13	8	16	15	5	11	17	25	5	10	2	0	6	2	5	5
ENSG00000003402	147	109	115	89	72	126	169	179	6	5	1	4	3	3	7	11
ENSG00000003436	29	20	22	13	18	27	26	35	11	8	8	1	3	5	8	9
ENSG00000003509	193	200	199	146	157	162	237	314	12	11	3	5	6	0	13	10
ENSG00000003756	588	476	499	483	429	493	611	730	29	23	11	6	14	9	25	18
ENSG00000003987	77	81	67	46	58	66	91	131	3	2	1	2	1	0	3	2
ENSG00000003989	506	461	449	410	370	452	623	814	26	28	10	13	12	6	21	24
ENSG00000004059	219	212	222	159	204	211	252	290	65	60	26	28	37	28	56	52
ENSG00000004139	38	28	28	32	16	27	29	70	4	7	3	0	3	1	4	4
ENSG00000004142	336	302	365	303	273	332	462	510	28	43	18	28	23	16	33	24
ENSG00000004399	107	98	76	110	59	89	136	211	9	4	1	1	0	3	4	9
ENSG00000004455	13	10	14	9	7	11	12	14	1	0	0	0	0	0	0	0
ENSG00000004468	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
ENSG00000004478	769	685	761	640	692	738	920	1007	131	127	78	78	71	55	108	99
ENSG00000004487	892	827	858	747	793	841	1014	1145	112	91	55	66	53	40	94	104
ENSG00000004534	493	441	497	397	430	449	609	697	11	6	2	5	5	4	7	5
ENSG00000004660	197	175	191	151	158	134	238	315	10	9	4	4	5	1	14	15
ENSG00000004700	332	308	307	219	266	285	435	467	67	57	28	34	38	32	51	45
ENSG00000004766	291	286	285	212	235	306	416	531	35	22	15	12	14	10	32	24
ENSG00000004776	2	3	1	3	0	3	1	5	1	0	0	0	0	0	0	0
ENSG00000004777	20	17	14	16	8	17	17	37	2	5	2	3	2	0	1	1
ENSG00000004779	227	204	235	164	207	225	270	278	53	26	18	21	13	11	33	34
ENSG00000004799	17	16	15	5	10	9	26	29	5	7	0	1	3	1	4	2
ENSG00000004809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004838	16	12	21	10	6	14	23	29	0	0	0	0	1	0	0	0
ENSG00000004846	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000004848	1	0	1	4	1	0	2	1	1	0	0	0	0	0	0	0
ENSG00000004864	574	509	528	418	473	548	745	807	83	80	46	61	33	26	56	59
ENSG00000004866	114	93	123	90	95	114	154	200	6	7	3	2	4	2	4	5
ENSG00000004897	807	705	826	687	720	822	1055	1108	36	44	21	18	23	22	40	30
ENSG00000004939	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000004948	0	0	1	0	2	1	1	6	0	0	0	0	0	0	0	0
ENSG00000004961	212	194	207	176	184	198	290	338	16	7	9	7	7	5	14	6
ENSG00000004975	257	236	280	207	214	251	355	450	29	29	14	11	12	9	16	19
ENSG00000005001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005007	901	749	804	775	580	723	960	1312	77	68	35	38	42	30	58	62
ENSG00000005020	32	30	20	18	24	21	34	43	10	15	4	4	7	3	8	7
ENSG00000005022	613	583	629	551	609	651	709	754	116	92	60	58	43	39	97	93
ENSG00000005059	156	135	151	113	132	175	216	267	13	11	11	7	2	3	12	8
ENSG00000005073	122	125	142	112	115	145	201	242	6	5	1	5	1	4	2	1
ENSG00000005075	71	78	79	64	82	89	115	130	0	1	0	0	1	0	0	2
ENSG00000005100	737	602	575	612	417	525	639	930	31	40	19	16	24	14	32	28
ENSG00000005102	3	2	6	1	0	6	6	9	0	0	0	0	1	0	0	0
ENSG00000005108	13	8	7	6	4	10	14	19	0	0	0	0	0	0	0	1
ENSG00000005156	467	458	441	380	375	460	593	700	20	47	19	20	24	13	41	29
ENSG00000005175	409	391	453	355	334	381	504	602	51	40	11	26	17	10	32	40
ENSG00000005187	6	7	4	4	4	7	5	9	1	0	0	0	0	0	0	1
ENSG00000005189	125	107	98	88	86	113	151	197	6	15	1	1	5	4	10	10
ENSG00000005194	276	261	268	181	245	255	352	398	20	17	5	17	7	9	15	17
ENSG00000005206	60	59	58	55	51	60	84	107	0	0	1	0	1	0	2	0
ENSG00000005238	7	6	11	7	3	5	13	19	1	1	0	0	1	0	0	0
ENSG00000005243	1	3	1	1	1	0	1	1	0	0	0	0	0	0	0	0
ENSG00000005249	193	186	173	131	150	170	224	316	19	18	5	19	5	5	14	13
ENSG00000005302	192	178	185	139	137	192	253	305	11	17	2	1	3	3	10	8
ENSG00000005339	702	594	497	690	348	471	576	1014	37	40	16	23	18	9	27	32
ENSG00000005379	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
ENSG00000005381	0	0	0	0	0	0	0	0	0	0	4	2	2	5	6	1
ENSG00000005421	6	3	3	5	0	3	4	6	0	0	0	0	0	0	0	0
ENSG00000005436	359	372	390	327	306	370	485	600	14	13	9	7	3	6	17	11
ENSG00000005448	111	104	101	86	101	102	151	162	6	6	4	3	3	4	4	8
ENSG00000005469	116	108	113	96	82	119	148	237	17	11	3	2	5	5	12	10
ENSG00000005471	14	5	4	10	6	8	11	22	4	6	1	4	2	2	4	3
ENSG00000005483	402	361	328	339	240	310	390	594	18	14	7	6	7	9	9	6
ENSG00000005486	43	34	38	31	30	45	41	70	6	5	1	4	0	1	2	2
ENSG00000005513	28	11	12	9	18	14	26	40	0	2	0	0	1	0	0	0
ENSG00000005700	562	536	565	435	421	551	703	828	41	43	25	17	26	18	25	33
ENSG00000005801	20	12	12	9	8	14	15	26	1	3	1	0	1	1	0	1
ENSG00000005810	1835	1644	1743	1419	1393	1658	2199	2733	25	26	16	20	20	17	39	33
ENSG00000005812	76	60	67	42	59	63	74	93	0	1	0	0	4	0	1	0
ENSG00000005844	0	0	2	1	4	0	0	0	0	2	1	0	0	1	0	4
ENSG00000005882	66	61	59	64	46	70	89	131	12	14	5	8	6	3	9	8
ENSG00000005884	33	30	28	37	22	33	30	74	2	1	1	2	0	0	3	2
ENSG00000005889	824	707	837	690	686	776	1009	1189	13	10	3	9	11	12	11	11
ENSG00000005893	304	281	318	260	269	309	375	441	67	58	29	30	31	20	56	57
ENSG00000005961	13	9	13	13	11	12	31	40	2	2	0	1	2	0	2	0
ENSG00000005981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006007	359	300	330	282	302	345	454	515	8	11	3	2	1	2	7	10
ENSG00000006015	89	100	77	59	72	72	116	127	7	10	2	4	6	3	6	7
ENSG00000006016	38	29	20	24	16	31	38	44	1	0	0	1	1	1	0	1
ENSG00000006025	11	12	20	5	9	14	20	31	2	0	0	3	0	1	0	1
ENSG00000006042	39	48	42	38	45	37	53	74	7	4	1	2	2	4	1	1
ENSG00000006047	5	2	1	4	1	2	2	7	0	1	0	0	0	1	0	0
ENSG00000006059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	25	26	20	25	26	23	41	48	0	2	0	0	1	0	0	0
ENSG00000006071	27	22	16	17	17	25	24	35	2	1	1	0	0	0	3	1
ENSG00000006116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118	137	120	120	97	72	106	162	208	3	5	0	2	4	0	0	2
ENSG00000006125	879	792	874	826	675	813	1063	1308	77	71	38	38	32	31	69	60
ENSG00000006128	6	3	4	4	2	3	9	5	3	2	1	2	4	1	2	4
ENSG00000006194	168	137	135	120	109	135	211	249	1	1	1	1	2	1	3	1
ENSG00000006210	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	2
ENSG00000006282	89	82	98	74	97	100	145	193	5	6	0	3	2	1	4	2
ENSG00000006283	4	0	3	1	0	1	4	3	0	3	0	0	0	0	1	0
ENSG00000006327	14	12	15	14	4	9	18	32	4	4	0	1	1	0	0	3
ENSG00000006377	21	16	15	5	10	9	14	27	5	8	3	2	1	1	1	3
ENSG00000006432	261	232	203	199	139	201	272	399	3	2	0	0	0	0	2	0
ENSG00000006451	215	224	210	191	194	217	275	325	18	20	10	10	9	9	18	15
ENSG00000006453	273	269	250	227	197	255	376	470	32	27	10	12	11	11	30	25
ENSG00000006459	211	243	237	178	200	262	338	433	8	8	3	6	4	4	5	7
ENSG00000006468	20	20	26	18	20	20	37	39	23	10	2	3	4	3	8	10
ENSG00000006530	430	341	424	319	365	431	532	681	25	22	4	18	11	5	33	15
ENSG00000006534	7	4	6	2	4	2	6	8	0	0	0	0	0	0	0	0
ENSG00000006555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006576	360	330	330	274	260	349	437	501	21	26	15	19	14	6	20	21
ENSG00000006606	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000006607	238	181	226	165	161	212	293	320	27	19	13	8	11	3	19	17
ENSG00000006611	15	13	10	7	14	9	19	28	0	0	0	0	0	0	0	0
ENSG00000006625	137	146	123	93	112	132	180	199	20	24	9	13	8	11	12	19
ENSG00000006634	276	265	312	247	266	291	387	419	9	11	0	7	7	1	11	11
ENSG00000006638	1	1	0	1	1	3	2	7	1	2	0	0	1	2	2	0
ENSG00000006652	278	296	273	228	245	311	376	433	18	12	3	5	19	12	10	15
ENSG00000006659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	174	154	182	136	105	152	213	285	4	5	1	2	2	1	3	2
ENSG00000006704	155	146	176	147	130	164	204	290	8	11	2	11	1	6	9	9
ENSG00000006712	342	339	376	280	323	384	517	549	98	95	50	70	58	33	89	77
ENSG00000006715	522	501	532	382	423	513	669	784	22	17	7	10	4	2	17	14
ENSG00000006740	87	75	83	78	71	70	111	175	1	3	2	6	2	1	4	3
ENSG00000006744	730	704	759	621	651	735	894	1010	66	79	23	42	51	39	61	54
ENSG00000006747	11	8	2	5	3	5	9	9	41	45	22	25	14	16	46	43
ENSG00000006756	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000006757	18	17	21	15	20	27	34	43	0	0	0	0	0	0	0	0
ENSG00000006788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006831	668	556	667	566	555	610	850	973	23	23	13	12	10	5	22	12
ENSG00000006837	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
ENSG00000007001	1	2	0	0	2	0	1	1	0	0	0	0	0	0	0	0
ENSG00000007038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007047	30	34	28	21	16	13	17	46	4	6	0	2	3	0	3	4
ENSG00000007062	0	0	1	0	1	0	0	0	8	8	0	2	3	0	6	5
ENSG00000007080	190	191	189	164	169	188	255	285	45	43	22	20	26	16	41	38
ENSG00000007129	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSG00000007168	774	769	786	631	623	701	981	1068	51	42	19	22	24	15	48	42
ENSG00000007171	14	10	19	6	7	10	20	30	3	0	1	0	3	1	1	1
ENSG00000007174	0	0	1	3	1	2	0	4	0	0	0	0	0	0	0	0
ENSG00000007202	1125	1008	1089	977	981	1136	1363	1625	17	14	5	12	6	3	19	16
ENSG00000007216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000007237	18	15	16	21	21	12	20	40	1	0	0	0	0	0	0	0
ENSG00000007255	42	40	35	35	30	46	76	89	2	1	1	3	0	1	1	2
ENSG00000007264	107	97	119	96	92	119	147	214	3	2	0	0	0	1	2	1
ENSG00000007306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007314	12	8	8	4	4	6	15	19	0	0	0	0	0	0	0	0
ENSG00000007341	109	97	111	102	87	104	138	207	19	11	3	3	4	4	12	11
ENSG00000007350	3	2	5	2	2	5	6	10	1	0	0	0	0	1	0	0
ENSG00000007372	119	102	120	95	89	108	161	204	9	6	3	6	6	1	9	10
ENSG00000007376	205	195	238	153	190	215	331	395	10	15	4	6	3	3	6	4
ENSG00000007384	27	29	26	25	29	34	55	81	4	2	2	0	1	0	2	3
ENSG00000007392	350	355	325	304	292	325	446	497	32	41	21	19	26	16	28	25
ENSG00000007402	63	37	30	53	35	45	55	90	4	2	1	3	0	1	4	2
ENSG00000007516	18	26	10	16	11	15	28	38	1	1	0	0	0	0	1	0
ENSG00000007520	120	98	95	66	81	97	135	139	6	7	7	7	3	2	11	6
ENSG00000007541	57	36	50	39	46	45	57	97	3	3	3	0	1	0	1	2
ENSG00000007545	162	146	121	127	86	123	153	231	4	1	1	1	2	0	0	2
ENSG00000007866	29	27	26	35	18	34	35	62	6	5	2	3	1	2	4	1
ENSG00000007908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007923	459	419	436	361	346	391	480	608	24	58	13	26	20	19	37	42
ENSG00000007933	15	21	7	10	6	11	11	17	0	0	0	0	0	0	0	0
ENSG00000007944	154	128	144	118	119	130	210	286	3	5	2	1	3	1	2	2
ENSG00000007952	8	6	12	8	6	13	14	15	0	0	0	0	0	0	0	0
ENSG00000007968	260	212	185	179	127	179	291	359	24	20	10	11	25	3	15	20
ENSG00000008018	483	444	460	369	435	464	547	621	212	189	107	127	122	101	211	190
ENSG00000008056	3	3	2	4	3	5	0	4	1	0	0	0	1	0	0	0
ENSG00000008083	436	395	427	386	341	396	592	762	25	16	10	10	16	10	24	14
ENSG00000008086	55	62	44	49	35	70	82	130	1	4	1	2	3	0	5	2
ENSG00000008118	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000008128	9	16	9	6	4	7	16	20	1	0	0	0	1	0	0	1
ENSG00000008130	411	366	394	333	295	360	489	572	9	12	6	2	8	6	11	13
ENSG00000008196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	62	49	46	48	46	51	80	107	0	0	0	0	0	0	0	1
ENSG00000008256	185	193	223	160	159	203	296	363	4	4	3	5	3	0	1	2
ENSG00000008277	283	269	272	221	184	269	373	496	2	3	0	1	3	1	4	6
ENSG00000008282	223	185	205	167	181	200	272	298	82	71	30	36	35	37	64	66
ENSG00000008283	51	49	42	41	52	54	67	86	2	1	0	1	2	0	3	1
ENSG00000008294	1247	1053	1210	977	1021	1165	1538	1820	78	61	30	33	27	18	55	60
ENSG00000008300	433	335	353	338	238	299	438	687	2	1	1	0	0	0	0	0
ENSG00000008311	165	167	157	128	147	159	238	269	4	8	4	2	1	2	3	6
ENSG00000008323	2	2	2	2	0	2	3	1	0	0	0	0	0	0	0	1
ENSG00000008324	142	132	139	87	105	123	185	209	16	9	4	9	10	3	9	6
ENSG00000008382	67	55	51	43	38	67	91	100	2	1	1	3	2	0	3	1
ENSG00000008394	42	44	35	24	30	46	51	68	39	33	23	14	20	15	24	38
ENSG00000008405	327	338	352	290	290	360	482	543	13	17	7	6	4	10	12	11
ENSG00000008438	5	4	2	2	1	0	3	3	0	0	0	0	0	0	0	0
ENSG00000008441	61	47	33	45	16	31	31	92	11	9	1	7	1	1	7	8
ENSG00000008513	80	78	75	68	71	71	122	149	0	1	1	1	1	1	1	3
ENSG00000008516	1	2	6	1	3	2	3	9	0	0	0	0	0	0	0	0
ENSG00000008517	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
ENSG00000008710	244	220	191	190	131	153	238	371	5	5	3	0	4	1	5	1
ENSG00000008735	122	121	101	95	80	94	146	206	22	33	6	17	10	4	17	18
ENSG00000008838	501	445	514	438	375	481	629	777	46	44	17	18	25	21	30	32
ENSG00000008853	37	22	32	30	33	32	44	82	1	3	2	1	1	0	1	1
ENSG00000008869	744	715	764	580	653	758	1066	1214	46	38	16	20	13	10	29	38
ENSG00000008952	384	360	434	353	345	430	575	596	25	19	12	12	10	4	18	19
ENSG00000008988	201	181	200	144	173	198	235	268	24	21	9	16	10	5	25	24
ENSG00000009307	2003	1878	2042	1759	1877	1984	2359	2494	238	223	129	137	78	53	191	202
ENSG00000009335	945	844	956	809	842	932	1210	1438	48	63	33	22	25	14	46	42
ENSG00000009413	1156	997	1009	974	797	971	1230	1663	13	10	13	11	8	6	12	13
ENSG00000009694	142	105	131	121	95	115	172	282	0	1	0	0	0	0	0	0
ENSG00000009709	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1
ENSG00000009724	37	41	61	51	35	58	88	118	0	0	0	0	0	0	0	0
ENSG00000009765	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009780	188	164	184	141	144	185	227	308	6	7	2	0	7	1	0	1
ENSG00000009790	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSG00000009830	293	208	229	232	196	238	326	439	4	9	3	2	3	2	4	5
ENSG00000009844	471	439	563	413	466	534	673	762	40	34	29	23	21	10	32	28
ENSG00000009950	37	23	20	26	13	17	31	48	3	1	0	0	0	1	1	1
ENSG00000009954	1232	1159	1171	948	957	1094	1384	1589	74	84	31	51	45	24	92	77
ENSG00000010017	410	375	398	333	317	371	519	611	47	45	20	18	12	11	33	36
ENSG00000010030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010072	506	444	458	384	432	468	597	716	14	16	10	15	10	2	13	16
ENSG00000010165	49	33	37	32	40	41	51	56	4	3	1	0	1	1	3	3
ENSG00000010219	99	87	95	69	95	96	141	156	4	8	2	5	2	3	8	6
ENSG00000010244	1198	1090	1190	997	1006	1167	1542	1763	47	40	25	25	24	27	40	37
ENSG00000010256	772	734	774	644	714	787	936	1004	115	108	55	63	56	41	112	93
ENSG00000010270	134	143	171	125	133	173	225	240	10	8	5	5	3	0	5	6
ENSG00000010278	102	93	119	87	113	130	159	196	61	64	29	41	35	24	48	42
ENSG00000010282	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000010292	1275	1129	1147	1057	996	1155	1424	1704	251	254	113	132	141	101	220	179
ENSG00000010295	155	141	155	136	120	131	198	259	8	12	5	8	7	2	10	7
ENSG00000010310	8	1	2	3	5	3	5	10	0	0	0	0	0	0	0	1
ENSG00000010318	70	47	54	48	30	48	73	89	2	1	0	2	5	0	1	1
ENSG00000010319	48	50	57	25	28	46	61	93	1	0	0	0	0	0	0	0
ENSG00000010322	604	517	546	500	428	552	695	892	32	32	17	14	13	6	26	29
ENSG00000010327	8	6	2	2	5	4	6	14	0	0	0	0	0	0	1	0
ENSG00000010361	90	97	87	54	77	104	141	164	8	10	1	4	4	4	5	8
ENSG00000010379	1	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0
ENSG00000010404	147	135	140	136	94	109	173	263	0	0	1	0	1	1	0	0
ENSG00000010438	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010539	163	153	125	111	110	127	168	224	8	9	5	3	7	4	9	5
ENSG00000010610	4	4	1	2	4	0	4	4	0	0	0	0	0	0	0	0
ENSG00000010626	20	18	22	14	12	17	34	39	3	1	0	1	1	0	0	1
ENSG00000010671	3	4	5	1	1	1	3	2	1	0	0	0	0	0	1	0
ENSG00000010704	1	4	1	3	0	0	2	8	1	1	1	0	0	1	0	2
ENSG00000010803	233	184	226	201	151	233	298	379	5	3	1	1	1	0	7	2
ENSG00000010810	441	437	449	368	397	449	566	670	18	22	10	6	14	12	19	21
ENSG00000010818	207	173	176	170	148	177	254	379	6	13	3	3	3	3	3	7
ENSG00000010932	2	0	0	1	0	2	3	1	0	0	0	0	0	0	0	0
ENSG00000011007	616	541	611	502	503	564	740	858	55	31	16	31	29	17	45	32
ENSG00000011009	91	84	84	76	84	86	135	151	6	6	3	4	3	1	6	2
ENSG00000011021	134	110	112	110	66	95	126	194	2	3	1	1	1	1	3	1
ENSG00000011028	55	49	55	52	33	47	59	105	11	8	2	6	5	2	6	3
ENSG00000011052	3	0	5	4	3	1	6	5	1	1	0	0	0	0	0	0
ENSG00000011083	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000011105	68	59	69	64	62	76	116	142	11	13	2	11	11	8	7	17
ENSG00000011114	537	491	528	451	399	476	679	814	9	13	5	7	2	1	7	7
ENSG00000011132	60	48	49	50	42	44	63	101	2	3	4	2	2	1	1	3
ENSG00000011143	209	184	187	154	167	186	270	338	9	9	4	6	1	5	14	8
ENSG00000011198	134	104	148	93	109	146	187	219	7	4	1	3	2	2	6	5
ENSG00000011201	0	0	3	0	0	0	1	1	0	1	0	1	1	1	2	1
ENSG00000011243	311	298	308	257	272	303	391	486	26	31	21	26	16	18	25	18
ENSG00000011258	467	398	387	343	315	350	470	634	17	12	8	10	2	4	6	11
ENSG00000011260	535	492	485	386	435	460	597	679	86	84	34	43	45	25	61	62
ENSG00000011275	522	473	486	413	430	474	638	824	20	22	11	10	2	8	11	14
ENSG00000011295	468	468	446	367	391	458	610	675	23	18	10	10	19	6	18	12
ENSG00000011304	1108	1010	1143	1053	1008	1167	1345	1517	185	176	100	108	105	68	161	138
ENSG00000011332	66	60	52	58	32	56	87	124	16	11	5	5	6	2	7	6
ENSG00000011347	24	25	12	22	14	28	25	41	2	1	0	0	1	0	0	0
ENSG00000011376	806	726	764	613	654	804	968	1147	9	19	6	7	9	2	21	12
ENSG00000011405	295	272	277	257	241	287	353	424	11	9	4	5	3	2	4	9
ENSG00000011422	17	20	12	12	8	16	25	23	8	11	4	5	5	0	7	5
ENSG00000011426	1007	893	1072	885	949	1062	1291	1409	72	55	22	43	32	28	40	41
ENSG00000011451	210	148	158	171	117	153	182	329	12	12	5	9	9	2	13	14
ENSG00000011454	556	480	519	417	377	438	643	761	32	33	16	10	11	9	22	30
ENSG00000011465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011478	107	104	116	89	90	105	144	204	8	9	1	1	3	0	4	2
ENSG00000011485	431	412	460	357	371	436	545	626	51	43	22	24	22	13	36	32
ENSG00000011523	292	246	250	229	215	261	355	494	2	8	1	4	4	4	5	1
ENSG00000011566	293	301	289	219	235	294	394	496	12	8	3	7	2	3	16	10
ENSG00000011590	5	8	3	3	5	2	5	10	0	0	0	0	0	0	0	0
ENSG00000011600	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011638	33	25	25	22	32	31	44	54	1	2	2	1	0	0	0	1
ENSG00000011677	8	2	5	4	5	8	8	14	0	0	0	0	0	0	0	0
ENSG00000012048	1032	921	891	776	771	889	1196	1438	34	37	15	19	26	14	22	27
ENSG00000012061	108	99	97	84	90	98	141	165	16	13	5	10	7	7	17	11
ENSG00000012124	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012171	10	9	7	6	9	13	12	27	0	0	0	0	0	0	0	0
ENSG00000012174	301	318	276	275	203	271	370	442	25	34	16	12	13	8	24	25
ENSG00000012211	42	33	46	33	26	25	39	66	4	6	1	4	2	2	1	2
ENSG00000012223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012232	102	102	118	88	87	110	165	191	8	2	6	5	0	1	3	8
ENSG00000012504	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012660	591	535	587	484	559	631	790	878	102	88	49	47	46	31	89	82
ENSG00000012779	3	6	5	5	2	3	1	9	0	2	0	0	0	2	0	0
ENSG00000012817	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000012822	100	95	101	91	85	82	136	176	10	11	5	4	5	4	7	11
ENSG00000012963	488	447	441	372	396	457	593	753	37	40	22	22	15	11	36	39
ENSG00000012983	405	405	375	332	309	386	489	581	27	23	9	13	5	6	21	11
ENSG00000013016	121	100	105	100	86	110	160	228	5	3	1	5	6	3	3	2
ENSG00000013275	420	408	432	367	377	417	531	605	137	134	75	84	72	58	133	125
ENSG00000013288	153	120	136	135	82	135	183	268	1	3	1	2	5	2	4	5
ENSG00000013293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013306	431	332	436	342	395	398	565	600	30	28	12	21	17	11	25	35
ENSG00000013364	12	10	17	16	12	9	16	26	3	3	2	3	2	2	1	3
ENSG00000013374	367	330	364	291	295	345	476	541	66	57	27	17	24	22	44	48
ENSG00000013375	512	425	547	384	432	523	673	821	48	54	27	31	25	17	68	45
