	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
A1BG	64	73	57	87
A2M	74	59	32	36
AAAS	1173	1090	1020	1137
AACS	348	331	219	288
AADAT	328	325	194	296
AAGAB	1518	1420	1063	1254
AAK1	207	185	66	100
AAMDC	153	139	107	125
AAMP	3486	3334	2521	3040
AAR2	549	469	474	546
AARS	4051	3786	2889	3835
AARS2	1275	1114	788	1076
AASDH	893	778	648	816
AASDHPPT	1510	1391	1131	1344
AASS	1241	1176	894	1088
AATF	1560	1569	1128	1449
AATK	43	38	21	32
ABAT	37	24	17	51
ABCA1	72	86	46	45
ABCA10	25	22	14	19
ABCA12	49	32	13	27
ABCA2	388	313	210	302
ABCA3	707	555	413	584
ABCA5	565	483	368	474
ABCA7	299	247	152	230
ABCB1	153	159	133	166
ABCB10	1414	1305	1093	1287
ABCB4	28	17	13	19
ABCB6	338	249	231	284
ABCB7	1568	1401	1148	1462
ABCB8	345	270	237	291
ABCB9	153	136	115	164
ABCC1	1109	823	514	715
ABCC10	565	421	360	398
ABCC2	59	63	35	52
ABCC4	1658	1520	1045	1323
ABCC5	970	895	577	734
ABCC6	19	37	15	20
ABCC8	47	43	32	48
ABCD1	46	37	31	26
ABCD2	21	19	12	29
ABCD3	2747	2536	1938	2415
ABCD4	543	497	322	482
ABCE1	3873	3640	3107	3832
ABCF1	2623	2595	1877	2457
ABCF2	97	93	79	104
ABCF3	619	593	417	514
ABCG1	25	18	11	21
ABCG2	65	45	67	67
ABHD1	44	46	36	45
ABHD10	875	826	728	823
ABHD11	196	136	118	135
ABHD12	321	295	269	316
ABHD12B	51	35	29	28
ABHD13	96	101	110	128
ABHD14A	51	29	35	31
ABHD14B	156	114	125	138
ABHD15	54	51	45	48
ABHD16A	331	248	263	314
ABHD16B	47	44	28	19
ABHD17A	34	32	15	30
ABHD17B	405	339	297	356
ABHD17C	86	81	51	70
ABHD18	368	310	249	304
ABHD2	423	433	314	367
ABHD3	281	230	214	307
ABHD4	56	57	28	35
ABHD5	488	403	342	452
ABHD6	155	115	98	111
ABHD8	145	118	64	73
ABI1	551	485	443	565
ABI2	612	538	418	580
ABI3BP	32	38	24	29
ABL1	1010	943	599	763
ABL2	1151	996	644	873
ABLIM1	518	504	444	542
ABLIM2	19	16	15	13
ABR	431	393	273	376
ABRACL	405	407	272	375
ABRAXAS1	207	192	133	181
ABRAXAS2	527	454	385	540
ABT1	1036	989	806	985
ABTB1	15	22	12	15
ABTB2	123	102	60	103
AC003665.1	28	21	14	25
AC004080.3	55	52	32	45
AC004475.1	531	472	373	506
AC005324.3	18	20	11	13
AC005520.1	28	35	20	18
AC006213.1	105	80	59	53
AC007950.1	478	393	330	385
AC008403.1	36	46	12	24
AC008581.2	11	19	13	10
AC008755.1	982	939	479	644
AC008878.3	13	18	18	20
AC009133.6	28	30	22	21
AC010618.1	416	347	255	284
AC010761.1	65	51	44	51
AC011455.2	42	45	23	34
AC011462.1	70	52	29	41
AC011481.1	1385	1319	1073	1352
AC011529.1	71	61	38	46
AC012184.2	25	20	13	13
AC015813.2	237	209	121	181
AC017083.3	44	44	17	27
AC018523.2	35	33	18	29
AC018630.2	35	27	13	23
AC022826.2	42	39	32	37
AC023055.1	26	23	13	19
AC025287.4	35	20	15	11
AC026464.4	51	46	43	49
AC026470.1	707	687	528	628
AC026786.1	48	36	27	35
AC026954.2	21	17	16	25
AC048338.1	33	34	18	17
AC068533.4	26	30	14	31
AC068790.8	146	121	98	142
AC068896.1	50	67	33	58
AC073610.2	55	55	35	46
AC073896.1	210	170	172	191
AC074143.1	17	14	10	10
AC079447.1	84	66	36	45
AC079594.2	47	41	23	33
AC080038.1	125	107	67	97
AC087289.1	42	42	25	36
AC090004.1	120	79	96	105
AC091551.1	18	11	12	16
AC092338.1	501	445	306	385
AC092647.5	37	40	13	24
AC092835.1	80	72	49	55
AC093323.1	40	55	25	28
AC093668.1	15	18	20	34
AC097634.4	63	63	31	49
AC099489.1	129	104	64	81
AC104109.3	81	50	43	70
AC108488.2	22	13	25	16
AC117378.1	339	359	226	282
AC118549.1	3960	3622	2855	3574
AC118754.1	22	23	15	17
AC124319.1	2283	1873	1140	1600
AC129492.1	317	218	154	213
AC138811.2	106	76	59	76
AC139530.3	92	67	84	76
AC139768.1	45	37	15	26
AC245033.1	3943	2641	4827	6770
ACAA1	527	466	320	433
ACAA2	567	556	426	494
ACACA	4289	3844	2524	3260
ACACB	480	413	254	380
ACAD10	339	299	194	279
ACAD11	1516	1299	901	1230
ACAD8	424	415	292	379
ACAD9	1062	950	730	939
ACADL	84	74	60	52
ACADM	1952	1985	1507	1894
ACADS	161	143	129	152
ACADSB	400	375	287	348
ACADVL	1184	1019	909	1097
ACAP2	876	808	586	704
ACAP3	416	364	253	327
ACAT1	2462	2293	1719	2139
ACAT2	2710	2475	2055	2463
ACBD3	1510	1482	1167	1475
ACBD4	43	40	15	32
ACBD5	345	326	234	305
ACBD6	1164	1080	865	1143
ACBD7	30	34	24	18
ACCS	65	62	28	57
ACD	230	223	208	267
ACER2	30	19	11	20
ACER3	138	124	119	149
ACIN1	4546	4323	3038	4092
ACLY	9217	8141	7372	9019
ACMSD	25	15	12	14
ACO1	1151	1093	854	1037
ACO2	1654	1438	1185	1549
ACOT1	26	18	11	13
ACOT13	384	350	271	346
ACOT2	140	128	88	114
ACOT7	545	532	323	456
ACOT8	232	178	171	208
ACOT9	582	517	422	534
ACOX1	933	906	716	865
ACOX3	285	260	197	233
ACP1	902	773	583	751
ACP2	249	235	194	236
ACP4	27	25	35	32
ACP6	471	409	323	384
ACRV1	37	31	21	30
ACSBG2	12	15	16	16
ACSF2	147	121	136	151
ACSF3	419	384	310	393
ACSL1	483	470	370	451
ACSL3	2675	2485	1940	2420
ACSL4	1299	1240	906	1168
ACSM3	176	151	110	144
ACSS1	223	228	132	191
ACSS2	284	244	224	246
ACSS3	59	62	39	51
ACTA2	77	63	49	78
ACTB	17010	15507	13117	16690
ACTG1	18956	16596	17680	23533
ACTL6A	1069	1031	936	1222
ACTN1	1426	1215	882	1211
ACTN2	185	173	81	113
ACTN4	2358	2062	1502	2038
ACTR10	801	786	659	840
ACTR1A	1795	1597	1345	1710
ACTR1B	523	460	333	469
ACTR2	2391	2283	1353	1981
ACTR3	2590	2446	2036	2611
ACTR3B	247	178	126	136
ACTR5	413	354	265	351
ACTR6	1024	1074	794	957
ACTR8	1758	1621	1248	1474
ACTRT3	59	75	45	53
ACVR1	130	75	61	79
ACVR1B	308	323	219	247
ACVR1C	32	36	32	31
ACVR2A	304	285	220	287
ACVR2B	496	437	301	412
ACY1	19	15	20	12
ACYP1	137	138	87	162
ACYP2	30	28	20	32
AD000864.1	43	28	20	18
ADA	200	179	125	166
ADAL	184	168	159	166
ADAM10	915	852	586	806
ADAM11	131	121	95	122
ADAM15	1002	826	813	950
ADAM17	896	861	604	765
ADAM19	50	67	44	51
ADAM22	384	334	249	351
ADAM23	286	270	182	278
ADAM32	21	31	13	20
ADAM8	35	31	21	28
ADAM9	1986	1936	1493	1941
ADAMTS1	840	753	640	839
ADAMTS10	11	12	11	16
ADAMTS13	161	110	80	71
ADAMTS15	47	22	17	22
ADAMTS17	253	233	125	188
ADAMTS19	210	196	116	159
ADAMTS2	46	27	27	35
ADAMTS20	303	247	177	247
ADAMTS3	259	275	216	253
ADAMTS6	68	68	60	48
ADAMTS7	50	43	23	45
ADAMTS9	298	280	145	235
ADAMTSL3	42	37	29	26
ADAMTSL4	40	40	28	25
ADAP1	61	61	46	62
ADAP2	83	77	59	64
ADAR	5990	5224	4035	5357
ADARB1	322	254	213	283
ADAT1	540	444	344	386
ADAT2	340	331	193	216
ADAT3	58	59	26	31
ADCK1	179	182	139	155
ADCK2	588	550	425	572
ADCK5	65	61	41	52
ADCY1	387	337	235	319
ADCY3	1172	1018	827	1075
ADCY6	385	323	226	262
ADCY7	102	82	67	69
ADCY9	613	558	316	442
ADCYAP1R1	25	25	33	27
ADD1	1359	1388	989	1280
ADD2	466	445	273	373
ADD3	1347	1188	1166	1478
ADGRA2	92	65	60	70
ADGRA3	1071	942	689	998
ADGRB2	278	238	170	223
ADGRB3	363	327	206	299
ADGRE5	92	57	34	49
ADGRG2	53	34	19	35
ADGRG6	103	107	87	99
ADGRL1	831	640	401	535
ADGRL2	2634	2274	1945	2562
ADGRL3	514	430	316	440
ADGRV1	3350	3094	2057	2834
ADH5	1513	1451	1352	1555
ADI1	1232	1224	787	1108
ADIPOR1	1565	1435	1198	1561
ADIPOR2	643	627	578	641
ADK	862	838	601	792
ADM	38	42	47	55
ADNP	3213	2716	1574	2059
ADNP2	1418	1239	917	1150
ADO	161	182	164	183
ADORA2A	39	25	27	43
ADORA2B	157	127	143	157
ADPGK	964	814	701	805
ADPRHL1	51	45	35	35
ADPRHL2	524	496	389	467
ADPRM	102	88	97	108
ADRA2C	37	48	36	56
ADRM1	1490	1396	1232	1332
ADSL	4044	3727	3416	4026
ADSS	2699	2808	1832	2513
ADSSL1	13	10	15	10
AEBP2	525	423	277	370
AEN	655	598	546	643
AES	221	190	190	247
AFAP1	258	281	141	208
AFAP1L1	100	87	86	104
AFDN	4779	4358	2811	3638
AFF1	533	433	309	393
AFF3	139	112	80	106
AFF4	2175	1790	1309	1714
AFG1L	183	184	138	198
AFG3L2	2560	2396	1788	2111
AFMID	190	175	107	147
AFTPH	783	653	529	680
AGA	261	246	179	243
AGAP1	548	540	353	464
AGAP2	83	84	64	95
AGAP3	1002	795	715	826
AGAP5	35	24	17	19
AGAP6	121	84	89	107
AGAP9	152	140	71	107
AGBL3	72	77	51	56
AGBL5	1352	1067	1068	1309
AGER	62	55	35	39
AGFG1	1233	971	936	1231
AGFG2	99	74	62	86
AGGF1	181	175	141	163
AGK	1124	965	774	979
AGL	2876	2459	1937	2505
AGMAT	58	47	33	46
AGO1	1137	982	641	851
AGO2	1084	864	647	857
AGO3	802	726	474	652
AGO4	306	272	216	246
AGPAT1	280	251	192	252
AGPAT2	141	128	116	150
AGPAT3	502	432	325	360
AGPAT4	322	304	210	290
AGPAT5	519	568	389	441
AGPS	2016	2149	1524	1866
AGRN	701	570	320	409
AGTPBP1	2798	2691	2024	2554
AGTRAP	125	109	139	145
AHCTF1	1773	1627	1234	1545
AHCY	3649	3158	3399	4086
AHCYL1	1341	1192	960	1184
AHCYL2	287	286	192	224
AHDC1	107	55	29	42
AHI1	1206	1101	836	1048
AHNAK	1967	2065	1030	1436
AHNAK2	282	223	152	209
AHR	28	13	33	41
AHRR	24	19	16	13
AHSA1	3617	3397	2873	3650
AIF1L	147	129	80	111
AIFM1	2402	2322	1833	2289
AIFM2	84	95	52	65
AIG1	498	413	340	404
AIMP1	1217	1202	887	1138
AIMP2	1482	1373	1196	1343
AIP	589	560	508	631
AJUBA	137	137	73	83
AK1	375	358	266	314
AK2	1868	1957	1455	1702
AK3	293	266	209	255
AK4	73	87	35	52
AK5	21	22	14	21
AK6	767	718	534	698
AK7	38	37	26	35
AK8	26	29	15	37
AK9	88	96	63	64
AKAP1	2145	1964	1535	1894
AKAP10	961	796	576	833
AKAP11	3358	3155	1999	2490
AKAP12	3951	3786	2691	3418
AKAP13	2868	2485	1694	2113
AKAP17A	464	446	298	405
AKAP5	133	119	83	113
AKAP6	165	134	84	132
AKAP7	131	152	77	95
AKAP8	941	920	614	810
AKAP8L	1240	1159	958	1236
AKAP9	5027	4864	2611	4699
AKIP1	238	163	167	153
AKIRIN1	400	348	277	333
AKIRIN2	196	166	100	144
AKNA	46	43	25	39
AKR1A1	776	648	610	654
AKR1B1	1302	1194	1171	1319
AKR7A2	603	545	513	525
AKR7A3	36	21	15	12
AKT1	1290	1120	974	1235
AKT1S1	153	140	102	152
AKT2	951	846	786	944
AKT3	1203	1065	785	1013
AKTIP	141	153	101	123
AL022238.4	17	24	14	12
AL022312.1	178	161	106	120
AL031777.3	50	69	53	74
AL034430.1	136	135	108	136
AL034430.2	213	196	118	213
AL035461.3	88	111	55	56
AL109811.3	65	58	53	82
AL109827.1	149	118	106	137
AL121753.1	111	104	121	107
AL121768.1	1124	1106	720	909
AL121900.2	120	117	95	139
AL133500.1	45	47	39	57
AL135905.2	30	38	29	46
AL136295.1	31	37	19	26
AL139011.2	75	65	56	89
AL139300.1	58	50	41	41
AL157935.2	11	11	16	14
AL162171.1	200	175	102	142
AL162231.1	28	23	20	17
AL358472.7	156	147	126	128
AL603832.3	34	28	15	29
ALAD	164	132	85	108
ALAS1	1120	1061	942	1176
ALCAM	1183	1035	925	1113
ALDH16A1	633	576	438	498
ALDH18A1	4826	4327	3611	4339
ALDH1A2	1111	1072	843	1040
ALDH1A3	30	37	23	28
ALDH1B1	1148	1080	829	1023
ALDH1L2	680	645	395	535
ALDH2	227	226	215	263
ALDH3A1	21	14	19	23
ALDH3A2	1828	1636	1231	1541
ALDH4A1	150	119	110	142
ALDH5A1	399	469	243	382
ALDH6A1	456	395	321	425
ALDH7A1	965	848	524	718
ALDH8A1	32	27	16	33
ALDH9A1	1886	1736	1441	1872
ALDOA	838	724	685	999
ALDOC	53	43	58	57
ALG1	412	313	316	398
ALG10	205	163	180	231
ALG10B	99	73	90	132
ALG11	437	422	312	454
ALG12	372	302	232	307
ALG13	1787	1574	909	1224
ALG14	300	296	213	246
ALG1L	49	40	35	35
ALG2	365	356	277	393
ALG3	269	225	180	269
ALG5	802	747	635	797
ALG6	1249	1223	1105	1326
ALG8	1457	1258	1210	1570
ALKAL1	26	15	21	18
ALKBH1	302	219	244	299
ALKBH2	460	447	375	505
ALKBH3	457	385	368	414
ALKBH4	215	221	111	170
ALKBH5	2628	2428	1986	2546
ALKBH6	115	103	89	128
ALKBH7	167	145	118	137
ALKBH8	812	722	548	662
ALMS1	5479	4522	3418	4471
ALOX12	85	48	29	45
ALPK1	173	133	124	139
ALPL	21	19	17	38
ALS2	1127	930	757	975
ALX1	158	136	125	153
ALX3	74	62	47	50
ALX4	57	58	34	47
ALYREF	3068	3053	2045	2635
AMACR	150	145	133	142
AMBRA1	1024	889	685	895
AMD1	3164	2935	2353	2802
AMDHD2	113	103	95	131
AMER1	513	446	334	378
AMFR	1502	1293	1006	1331
AMH	163	156	80	80
AMIGO1	57	44	58	43
AMIGO3	133	108	90	131
AMMECR1	318	279	223	328
AMMECR1L	249	225	199	213
AMN1	102	86	77	102
AMOT	6733	5395	4381	6152
AMOTL1	855	828	625	837
AMOTL2	124	109	90	115
AMPD2	729	641	514	675
AMPH	94	85	69	89
AMT	34	35	31	30
AMZ2	1060	927	827	1022
ANAPC1	1836	1638	1506	1768
ANAPC10	153	133	121	178
ANAPC11	490	483	335	433
ANAPC13	303	301	197	231
ANAPC15	260	272	235	309
ANAPC16	448	420	305	355
ANAPC2	595	555	397	477
ANAPC4	1075	994	773	970
ANAPC5	5384	4796	4295	5318
ANAPC7	2171	1867	1600	1944
ANGEL1	713	573	449	505
ANGEL2	988	930	784	999
ANGPT2	50	42	24	36
ANGPTL1	38	18	12	32
ANGPTL3	75	62	23	36
ANGPTL4	26	21	20	10
ANGPTL7	61	38	21	25
ANK1	251	219	138	223
ANK2	794	704	571	694
ANK3	678	649	428	495
ANKAR	233	244	135	225
ANKEF1	270	241	170	216
ANKFY1	1650	1418	852	1064
ANKH	284	224	173	225
ANKHD1	41	38	19	30
ANKIB1	986	925	689	873
ANKLE1	37	18	12	19
ANKLE2	2472	2260	1651	2070
ANKMY1	199	157	138	146
ANKMY2	343	359	265	318
ANKRA2	134	118	105	147
ANKRD10	593	542	445	563
ANKRD11	2808	2417	1269	1707
ANKRD12	759	771	456	660
ANKRD13A	710	669	532	667
ANKRD13B	155	124	82	96
ANKRD13C	1426	1307	1019	1281
ANKRD13D	217	184	128	176
ANKRD16	123	122	107	113
ANKRD17	6696	5795	4141	5201
ANKRD18A	642	555	202	274
ANKRD18B	829	778	318	433
ANKRD20A4	18	17	19	11
ANKRD23	68	60	32	42
ANKRD24	24	21	10	13
ANKRD26	1573	1416	906	1316
ANKRD27	987	992	719	910
ANKRD28	1687	1447	1038	1395
ANKRD31	63	57	31	61
ANKRD34B	20	18	11	20
ANKRD36	1646	1584	838	1209
ANKRD36B	511	531	290	415
ANKRD36C	1342	1271	731	937
ANKRD37	30	16	18	16
ANKRD39	110	112	92	109
ANKRD40	815	742	580	714
ANKRD42	71	68	57	77
ANKRD44	126	115	105	126
ANKRD46	352	310	301	361
ANKRD49	215	201	169	190
ANKRD50	1255	1118	706	1012
ANKRD52	1871	1478	702	858
ANKRD54	216	199	149	167
ANKRD6	208	167	144	206
ANKRD61	167	133	66	74
ANKRD7	29	31	26	35
ANKRD9	45	49	19	17
ANKS1A	609	473	329	456
ANKS1B	44	33	24	30
ANKS3	278	270	186	206
ANKS6	623	560	387	475
ANKZF1	534	451	327	425
ANLN	3838	3389	3054	3803
ANO10	733	652	440	605
ANO4	30	29	19	31
ANO5	599	559	474	554
ANO6	709	637	515	716
ANO8	118	109	72	107
ANP32A	2616	2661	2035	2721
ANP32B	1659	1675	750	857
ANP32E	1741	2022	1328	1691
ANTXR1	435	362	237	307
ANTXR2	103	105	72	78
ANXA1	63	68	66	84
ANXA11	866	768	654	824
ANXA2	554	542	468	581
ANXA3	19	17	15	17
ANXA4	171	147	116	161
ANXA5	3223	3094	2648	3142
ANXA6	2091	1828	1693	1967
ANXA7	1787	1467	1408	1659
ANXA9	26	29	11	19
AOC2	120	90	69	89
AP000812.5	54	41	40	57
AP001781.2	26	27	18	15
AP002495.2	50	58	50	53
AP002748.4	58	48	44	56
AP002956.1	174	142	128	138
AP1AR	584	603	467	530
AP1B1	2371	2103	1574	2118
AP1G1	2310	2009	1317	1667
AP1G2	608	537	432	493
AP1M1	718	562	578	754
AP1S1	360	356	233	298
AP1S2	94	86	62	79
AP1S3	104	89	69	77
AP2A1	1135	888	634	935
AP2A2	988	808	658	835
AP2B1	2157	1833	1187	1447
AP2M1	3310	3163	2731	3500
AP2S1	1215	1174	936	1206
AP3B1	2176	2160	1493	1914
AP3B2	54	52	34	26
AP3D1	2696	2360	1647	2324
AP3M1	1016	901	708	964
AP3M2	575	537	392	489
AP3S1	614	579	459	551
AP3S2	43	39	19	26
AP4B1	662	620	462	526
AP4E1	690	620	462	588
AP4M1	126	121	103	125
AP4S1	48	58	44	58
AP5B1	354	315	232	268
AP5M1	709	633	591	725
AP5S1	145	97	82	116
AP5Z1	306	252	207	279
APAF1	837	818	515	699
APBA2	503	434	349	429
APBA3	169	163	135	123
APBB1	796	700	575	730
APBB2	190	170	117	158
APBB3	118	99	75	90
APC	3016	2547	1900	2550
APC2	88	76	61	62
APCDD1	20	15	14	13
APEH	2131	1886	1721	1961
APEX1	1995	2048	1410	2346
APEX2	571	502	453	538
APH1A	1092	893	1064	1218
APH1B	30	28	31	37
API5	2446	2426	1771	2175
APIP	589	578	408	509
APLF	92	83	66	92
APLP1	68	60	39	55
APLP2	5739	5524	4143	5519
APMAP	1147	991	866	1098
APOBEC3C	45	37	31	56
APOC1	68	80	56	72
APOL2	185	140	103	126
APOLD1	17	28	12	20
APOM	28	30	25	33
APOO	259	188	172	232
APOOL	295	272	162	232
APOPT1	63	46	57	70
APP	4637	4848	3003	3942
APPBP2	967	857	694	846
APPL1	2012	1709	1539	1937
APPL2	559	484	345	436
APRT	1743	1473	1276	1585
APTX	775	788	539	718
AQP11	42	38	27	24
AQR	2117	1875	1675	2065
ARAF	598	521	434	598
ARAP1	839	741	456	560
ARAP2	423	420	261	365
ARAP3	47	41	18	34
ARCN1	2798	2718	1847	2374
AREL1	719	650	598	754
ARF1	2885	2627	2535	3832
ARF3	37	40	19	38
ARF4	1223	1062	1074	1260
ARF5	916	877	658	846
ARF6	423	379	299	441
ARFGAP1	686	573	467	617
ARFGAP2	1014	939	717	906
ARFGAP3	469	423	372	491
ARFGEF1	1973	1751	1392	1697
ARFGEF2	2474	1995	1653	2068
ARFGEF3	460	400	263	345
ARFIP1	480	440	390	442
ARFIP2	1192	1082	904	1155
ARFRP1	214	217	132	173
ARG1	36	31	10	22
ARG2	461	407	392	484
ARGLU1	885	1007	724	892
ARHGAP1	291	219	145	207
ARHGAP10	578	534	392	489
ARHGAP11A	2070	1874	1304	1668
ARHGAP12	615	522	424	539
ARHGAP17	799	604	300	419
ARHGAP18	312	291	204	253
ARHGAP19-SLIT1	61	56	22	47
ARHGAP20	78	73	61	64
ARHGAP21	1493	1273	1139	1434
ARHGAP22	233	216	137	190
ARHGAP24	55	59	45	43
ARHGAP26	236	199	115	136
ARHGAP27	47	55	27	58
ARHGAP28	49	40	33	42
ARHGAP29	496	395	334	464
ARHGAP30	18	18	10	11
ARHGAP31	128	110	74	98
ARHGAP32	500	390	279	376
ARHGAP33	48	43	20	30
ARHGAP35	2174	1868	1186	1622
ARHGAP39	198	167	121	124
ARHGAP4	20	17	16	19
ARHGAP42	141	103	81	121
ARHGAP44	169	155	115	147
ARHGAP45	73	50	51	63
ARHGAP5	4089	3644	2724	3462
ARHGDIA	947	899	378	552
ARHGDIG	86	92	55	64
ARHGEF1	403	334	291	368
ARHGEF10	539	483	306	416
ARHGEF10L	90	63	66	62
ARHGEF11	1167	975	701	895
ARHGEF12	4432	3725	3071	3870
ARHGEF16	61	41	43	56
ARHGEF17	115	102	61	79
ARHGEF18	16	18	11	16
ARHGEF19	22	29	15	24
ARHGEF2	499	471	294	416
ARHGEF25	338	309	238	312
ARHGEF26	683	626	385	611
ARHGEF28	60	40	62	70
ARHGEF3	199	151	113	174
ARHGEF39	251	218	150	194
ARHGEF4	118	97	106	120
ARHGEF40	132	137	95	107
ARHGEF6	206	199	165	213
ARHGEF7	571	536	337	437
ARHGEF9	270	226	183	234
ARID1A	1412	1088	471	659
ARID1B	1513	1271	760	1126
ARID2	1828	1581	1192	1602
ARID3A	93	80	52	63
ARID3B	136	97	66	101
ARID4A	577	551	340	449
ARID4B	2634	2453	1840	2327
ARID5A	72	85	59	78
ARID5B	347	257	209	279
ARIH1	1552	1472	831	1138
ARIH2	2416	2216	1885	2287
ARIH2OS	29	33	32	59
ARL1	615	574	507	718
ARL10	151	149	51	76
ARL13B	532	482	347	491
ARL14EP	458	407	343	411
ARL15	193	161	114	146
ARL16	307	246	223	335
ARL2	163	146	174	220
ARL2BP	367	311	335	402
ARL3	211	183	154	222
ARL4A	109	80	81	78
ARL4C	71	70	41	72
ARL4D	67	50	26	39
ARL5A	515	462	341	415
ARL5B	405	361	254	346
ARL6	234	236	195	244
ARL6IP1	266	268	268	346
ARL6IP4	1808	1758	1242	1483
ARL6IP5	841	831	556	772
ARL6IP6	353	249	238	319
ARL8A	205	211	127	204
ARL8B	436	351	321	361
ARMC1	666	649	543	677
ARMC10	293	248	186	218
ARMC2	63	57	46	69
ARMC4	236	223	146	180
ARMC5	219	243	167	182
ARMC6	1168	966	919	981
ARMC7	44	32	32	36
ARMC8	950	917	729	985
ARMC9	542	506	349	423
ARMCX2	37	24	23	46
ARMCX3	370	381	244	366
ARMCX4	133	97	30	51
ARMCX5	645	570	496	588
ARMCX6	61	75	43	40
ARMH3	567	509	333	473
ARMH4	131	92	104	94
ARMT1	1310	1149	886	1248
ARNT	711	665	569	636
ARNT2	319	276	180	246
ARNTL	115	104	81	95
ARNTL2	845	717	620	723
ARPC1A	188	164	169	238
ARPC1B	61	54	43	67
ARPC2	1984	1690	1631	1971
ARPC3	1467	1472	993	1335
ARPC4	329	322	269	367
ARPC5	790	869	549	800
ARPC5L	233	254	137	192
ARPIN-AP3S2	30	41	23	32
ARPP19	582	554	406	480
ARRB1	137	118	95	110
ARRB2	427	364	299	440
ARRDC1	264	200	262	253
ARRDC2	41	34	50	25
ARRDC3	145	127	105	130
ARRDC4	215	214	141	176
ARSA	104	83	77	87
ARSB	246	218	175	236
ARSG	91	51	53	60
ARSK	204	165	125	166
ART5	37	35	21	42
ARV1	679	606	489	594
ARVCF	186	157	110	141
AS3MT	259	272	179	239
ASAH1	438	450	285	428
ASAP1	746	632	363	433
ASAP2	392	333	216	294
ASAP3	206	187	143	160
ASB1	192	222	145	159
ASB13	247	221	158	206
ASB14	77	69	37	41
ASB16	36	30	28	45
ASB6	519	438	400	487
ASB7	267	250	197	247
ASB8	293	275	177	231
ASCC1	469	420	302	381
ASCC2	1009	907	767	891
ASCC3	5954	5388	4400	5314
ASDURF	237	221	128	171
ASF1A	639	618	485	678
ASF1B	677	577	536	678
ASH1L	5174	4573	2709	3608
ASH2L	520	491	370	400
ASIC1	148	129	59	84
ASIC3	21	26	17	18
ASL	181	132	119	153
ASMTL	257	241	168	222
ASNA1	870	786	791	956
ASNS	2779	2579	2287	2693
ASNSD1	2237	2137	1783	2009
ASPH	1697	1566	1158	1464
ASPHD2	72	51	44	55
ASPM	13313	12225	8701	12703
ASPN	114	88	27	66
ASPRV1	21	24	12	18
ASPSCR1	358	319	262	316
ASRGL1	372	343	258	308
ASS1	397	358	330	396
ASTE1	409	305	285	351
ASTN2	54	54	39	40
ASXL1	2627	2220	1471	1973
ASXL2	735	578	363	475
ASXL3	82	81	45	60
ATAD1	991	909	671	852
ATAD2	3575	3486	2627	3272
ATAD2B	1280	1084	859	1059
ATAD3A	871	780	647	814
ATAD3B	885	885	643	794
ATAD5	2481	2358	1309	1823
ATAT1	94	81	68	72
ATE1	792	726	478	641
ATF1	379	378	356	409
ATF2	841	777	627	777
ATF3	55	60	68	79
ATF4	7363	7197	6527	7640
ATF5	48	37	29	41
ATF6	1247	1144	1015	1240
ATF6B	426	348	335	400
ATF7IP	1357	1268	708	948
ATF7IP2	121	104	81	90
ATG10	76	57	40	71
ATG101	303	337	225	272
ATG12	135	106	113	135
ATG13	587	497	427	540
ATG14	303	325	240	305
ATG16L1	945	819	653	844
ATG16L2	109	91	80	89
ATG2A	762	701	401	572
ATG2B	1942	1699	1226	1627
ATG3	1435	1370	1212	1478
ATG4A	356	294	232	388
ATG4B	685	628	515	682
ATG4C	761	780	593	828
ATG4D	353	304	299	305
ATG5	685	626	491	616
ATG7	1001	922	700	842
ATG9A	570	463	448	563
ATIC	2186	2044	909	1413
ATL1	102	94	54	94
ATL2	1778	1771	1177	1579
ATL3	540	458	388	462
ATM	4687	4275	2982	3798
ATMIN	1114	955	867	1048
ATN1	406	315	120	121
ATOX1	183	202	184	229
ATP10D	254	247	212	257
ATP11A	464	418	210	281
ATP11B	1107	1069	829	1067
ATP11C	2232	2030	1623	2053
ATP13A1	1044	889	602	830
ATP13A2	812	699	500	672
ATP13A3	2521	2371	1795	2346
ATP1A1	11330	10489	7363	11117
ATP1B1	360	354	216	335
ATP1B3	1389	1285	1042	1320
ATP23	106	92	93	98
ATP2A1	91	59	40	57
ATP2A2	5656	5176	2616	3383
ATP2A3	18	33	11	15
ATP2B1	2550	2475	1877	2356
ATP2B4	1017	915	486	655
ATP2C1	1934	1895	1212	1539
ATP5F1A	11544	10623	9427	11341
ATP5F1B	16570	14734	14162	16977
ATP5F1C	3057	2790	2523	3131
ATP5F1D	237	191	149	198
ATP5F1E	930	735	716	1039
ATP5IF1	1497	1531	1012	1312
ATP5MC1	995	780	831	1050
ATP5MC2	1606	1265	1321	1577
ATP5MC3	4384	3927	3655	4583
ATP5MD	646	722	557	718
ATP5ME	1827	1973	1196	1534
ATP5MF	738	492	854	1127
ATP5MF-PTCD1	35	24	20	27
ATP5MG	1711	1731	1229	1554
ATP5MPL	680	699	407	653
ATP5PB	3597	3212	2750	3495
ATP5PD	1947	1884	1457	1842
ATP5PF	867	679	742	1021
ATP5PO	1996	1794	1876	2496
ATP6AP1	1130	1028	949	1218
ATP6AP2	962	778	914	1152
ATP6V0A1	1432	1225	779	1021
ATP6V0A2	1136	1012	874	988
ATP6V0B	1079	771	1023	1210
ATP6V0C	163	137	85	103
