	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
A1BG	36	45	23	19
A2M	3	5	2	2
AAAS	1517	2100	1043	650
AACS	573	725	309	192
AADAT	106	132	58	32
AAGAB	1091	1320	630	347
AAK1	308	374	152	94
AAMDC	75	123	56	50
AAMP	3753	5017	2202	1284
AAR2	485	680	365	238
AARS	3769	4462	1947	1233
AARS2	423	613	321	171
AASDH	228	225	117	75
AASDHPPT	1747	1961	933	604
AASS	423	606	387	202
AATF	1252	1561	682	542
AATK	36	37	22	8
ABAT	82	88	33	18
ABCA1	6	4	5	2
ABCA10	1	1	2	0
ABCA12	1	0	1	0
ABCA2	333	349	179	110
ABCA3	444	539	208	97
ABCA5	246	271	127	78
ABCA7	115	128	53	39
ABCB1	951	1047	484	286
ABCB10	275	407	186	114
ABCB4	114	105	61	43
ABCB6	267	324	132	78
ABCB7	1256	1330	588	367
ABCB8	331	464	210	125
ABCB9	97	132	66	39
ABCC1	818	1064	449	244
ABCC10	276	341	155	105
ABCC2	7	4	4	5
ABCC4	829	954	426	292
ABCC5	388	532	264	159
ABCC6	11	3	5	0
ABCC8	10	14	8	2
ABCD1	59	61	23	12
ABCD2	47	32	25	16
ABCD3	2414	2732	1271	829
ABCD4	172	206	99	65
ABCE1	2149	2364	1091	788
ABCF1	2543	3108	1375	898
ABCF2	48	54	23	15
ABCF3	468	589	254	173
ABCG1	52	63	28	15
ABCG2	138	121	37	31
ABHD1	3	1	2	1
ABHD10	841	918	433	279
ABHD11	217	291	150	106
ABHD12	298	341	152	89
ABHD12B	0	0	0	0
ABHD13	131	144	64	52
ABHD14A	13	25	4	8
ABHD14B	130	148	65	47
ABHD15	29	37	22	10
ABHD16A	223	258	129	83
ABHD16B	5	4	3	0
ABHD17A	3	6	1	1
ABHD17B	333	428	211	150
ABHD17C	164	210	74	61
ABHD18	224	265	116	77
ABHD2	485	648	264	155
ABHD3	390	502	225	135
ABHD4	105	137	54	42
ABHD5	186	201	89	55
ABHD6	92	132	32	27
ABHD8	277	393	125	91
ABI1	776	873	400	274
ABI2	457	463	184	137
ABI3BP	1	3	3	2
ABL1	475	660	228	117
ABL2	286	274	153	101
ABLIM1	556	582	269	179
ABLIM2	10	16	7	3
ABR	875	1046	475	285
ABRACL	671	762	327	182
ABRAXAS1	93	107	33	19
ABRAXAS2	560	576	304	206
ABT1	601	845	445	261
ABTB1	32	50	30	20
ABTB2	188	203	115	53
AC003665.1	67	88	43	28
AC004080.3	15	30	10	5
AC004475.1	344	529	275	174
AC005324.3	2	1	0	0
AC005520.1	65	57	51	44
AC006213.1	226	305	151	105
AC007950.1	559	637	293	189
AC008403.1	24	18	16	10
AC008581.2	3	2	2	1
AC008755.1	778	972	465	323
AC008878.3	0	0	1	0
AC009133.6	150	200	125	77
AC010618.1	673	999	302	192
AC010761.1	22	29	21	17
AC011455.2	62	102	49	32
AC011462.1	387	431	187	104
AC011481.1	838	1137	397	246
AC011529.1	46	56	29	12
AC012184.2	6	14	13	7
AC015813.2	7	4	0	3
AC017083.3	128	179	120	73
AC018523.2	0	2	2	2
AC018630.2	1	3	0	2
AC022826.2	18	30	11	9
AC023055.1	8	11	1	3
AC025287.4	0	0	0	0
AC026464.4	55	98	92	26
AC026470.1	374	413	159	102
AC026786.1	27	32	37	30
AC026954.2	14	8	2	0
AC048338.1	18	25	5	3
AC068533.4	122	121	104	70
AC068790.8	65	132	72	33
AC068896.1	13	23	1	2
AC073610.2	177	216	82	47
AC073896.1	89	99	54	39
AC074143.1	48	47	28	17
AC079447.1	234	257	240	135
AC079594.2	19	19	11	13
AC080038.1	198	205	74	50
AC087289.1	48	46	33	15
AC090004.1	0	0	0	0
AC091551.1	73	90	87	46
AC092338.1	361	443	166	139
AC092647.5	169	165	138	70
AC092835.1	54	70	21	12
AC093323.1	62	84	35	17
AC093668.1	12	23	11	7
AC097634.4	35	40	16	2
AC099489.1	2	5	2	3
AC104109.3	386	343	246	186
AC108488.2	12	9	4	2
AC117378.1	1603	1808	1333	717
AC118549.1	389	429	143	96
AC118754.1	2	4	0	0
AC124319.1	777	880	506	270
AC129492.1	148	158	97	53
AC138811.2	261	282	188	75
AC139530.3	89	81	36	31
AC139768.1	28	32	10	19
AC245033.1	1183	1348	335	254
ACAA1	505	616	308	163
ACAA2	1453	1543	732	488
ACACA	1735	2165	956	573
ACACB	71	72	55	28
ACAD10	174	212	123	96
ACAD11	1139	1122	607	384
ACAD8	142	191	109	60
ACAD9	962	1063	496	341
ACADL	236	263	97	82
ACADM	2046	2054	938	616
ACADS	307	296	131	77
ACADSB	1275	1230	574	417
ACADVL	776	838	399	245
ACAP2	748	752	337	248
ACAP3	162	241	84	49
ACAT1	3167	3323	1451	902
ACAT2	2775	3242	1447	891
ACBD3	1243	1414	681	485
ACBD4	58	65	22	17
ACBD5	627	787	304	208
ACBD6	492	561	230	184
ACBD7	251	408	184	104
ACCS	17	15	4	1
ACD	370	532	226	116
ACER2	11	11	3	5
ACER3	152	164	74	48
ACIN1	2666	3277	1644	1170
ACLY	8104	9216	4259	2665
ACMSD	0	1	3	0
ACO1	1082	1290	577	331
ACO2	770	1065	593	354
ACOT1	19	27	21	11
ACOT13	631	557	218	196
ACOT2	128	186	136	66
ACOT7	1883	2597	954	554
ACOT8	327	396	183	100
ACOT9	851	940	400	312
ACOX1	1246	1450	632	427
ACOX3	114	168	81	48
ACP1	1114	1270	524	421
ACP2	312	413	173	115
ACP4	1	1	0	1
ACP6	201	227	128	107
ACRV1	0	0	0	0
ACSBG2	1	2	0	0
ACSF2	191	187	88	46
ACSF3	325	406	174	100
ACSL1	963	1002	485	314
ACSL3	3216	3675	1678	1066
ACSL4	1993	2172	918	597
ACSM3	62	51	25	23
ACSS1	316	404	185	112
ACSS2	159	223	80	47
ACSS3	189	211	80	72
ACTA2	452	774	287	150
ACTB	30143	37370	19553	10313
ACTG1	21942	28818	12386	7413
ACTL6A	2020	2416	1074	709
ACTN1	2048	2771	1194	706
ACTN2	7	22	8	2
ACTN4	8942	11983	5169	3257
ACTR10	1331	1446	633	400
ACTR1A	2668	3481	1599	931
ACTR1B	230	304	111	69
ACTR2	1820	2290	1007	681
ACTR3	2662	3031	1486	980
ACTR3B	59	80	45	20
ACTR5	196	266	111	65
ACTR6	1402	1422	619	476
ACTR8	729	813	418	296
ACTRT3	44	32	37	19
ACVR1	162	165	84	50
ACVR1B	346	519	219	103
ACVR1C	23	29	14	14
ACVR2A	224	291	137	85
ACVR2B	93	129	62	20
ACY1	5	12	6	1
ACYP1	199	192	76	57
ACYP2	49	60	18	14
AD000864.1	31	26	13	4
ADA	296	294	112	64
ADAL	123	108	43	27
ADAM10	845	915	434	241
ADAM11	102	130	38	34
ADAM15	521	675	264	135
ADAM17	263	363	146	91
ADAM19	42	50	10	5
ADAM22	103	101	41	19
ADAM23	177	218	81	32
ADAM32	0	0	0	1
ADAM8	3	2	1	1
ADAM9	804	884	406	186
ADAMTS1	4873	6376	2589	1451
ADAMTS10	15	10	6	2
ADAMTS13	21	8	4	8
ADAMTS15	61	76	27	17
ADAMTS17	33	59	29	11
ADAMTS19	138	183	66	44
ADAMTS2	75	86	44	18
ADAMTS20	52	49	32	21
ADAMTS3	135	164	73	36
ADAMTS6	9	5	7	4
ADAMTS7	12	19	7	5
ADAMTS9	32	35	12	9
ADAMTSL3	13	11	1	8
ADAMTSL4	9	6	5	1
ADAP1	14	24	3	2
ADAP2	49	48	17	20
ADAR	4166	4835	2453	1511
ADARB1	97	171	40	23
ADAT1	140	128	74	40
ADAT2	113	110	50	30
ADAT3	53	100	47	17
ADCK1	114	150	69	35
ADCK2	524	626	244	134
ADCK5	17	28	12	5
ADCY1	37	22	19	6
ADCY3	517	629	224	134
ADCY6	419	573	219	112
ADCY7	73	63	32	18
ADCY9	298	364	136	70
ADCYAP1R1	12	20	4	3
ADD1	1650	2055	872	530
ADD2	335	443	142	93
ADD3	1747	1975	771	559
ADGRA2	28	38	18	4
ADGRA3	172	199	122	47
ADGRB2	54	48	29	13
ADGRB3	14	11	9	7
ADGRE5	1085	1296	567	263
ADGRG2	48	47	22	16
ADGRG6	392	394	191	137
ADGRL1	275	286	106	52
ADGRL2	852	978	446	275
ADGRL3	78	97	48	26
ADGRV1	546	607	397	216
ADH5	777	1104	520	267
ADI1	781	1157	534	326
ADIPOR1	539	711	306	175
ADIPOR2	760	973	426	261
ADK	1289	1354	591	406
ADM	89	154	82	47
ADNP	2244	2565	1207	774
ADNP2	674	760	414	259
ADO	228	323	126	75
ADORA2A	19	7	4	4
ADORA2B	101	91	53	26
ADPGK	548	699	336	219
ADPRHL1	23	24	19	10
ADPRHL2	524	671	279	174
ADPRM	50	62	32	27
ADRA2C	9	9	7	0
ADRM1	2823	4391	1645	1002
ADSL	2911	3178	1155	711
ADSS	1179	1589	624	374
ADSSL1	12	9	7	2
AEBP2	617	799	376	213
AEN	653	1044	474	294
AES	1235	1552	599	366
AFAP1	146	193	89	59
AFAP1L1	114	105	46	27
AFDN	1734	2128	953	599
AFF1	629	692	308	240
AFF3	204	236	100	78
AFF4	2218	2324	984	663
AFG1L	165	204	98	62
AFG3L2	1204	1445	614	400
AFMID	200	289	149	76
AFTPH	320	405	122	84
AGA	306	361	149	73
AGAP1	177	255	73	55
AGAP2	54	58	35	24
AGAP3	541	727	202	155
AGAP5	1	1	1	0
AGAP6	1	3	2	1
AGAP9	2	3	3	0
AGBL3	21	20	18	4
AGBL5	268	317	97	72
AGER	5	3	3	0
AGFG1	1637	1837	889	570
AGFG2	121	172	85	48
AGGF1	59	71	27	25
AGK	799	1128	489	328
AGL	1825	1892	909	570
AGMAT	2	2	2	1
AGO1	592	736	274	166
AGO2	752	904	285	223
AGO3	298	298	141	77
AGO4	116	113	50	40
AGPAT1	611	760	238	122
AGPAT2	536	694	356	181
AGPAT3	423	537	174	109
AGPAT4	210	256	126	74
AGPAT5	437	508	194	115
AGPS	1989	2308	1011	717
AGRN	1040	1668	571	280
AGTPBP1	882	1014	399	260
AGTRAP	356	534	198	134
AHCTF1	251	333	112	94
AHCY	3334	4735	1648	964
AHCYL1	1690	1831	796	523
AHCYL2	304	383	190	101
AHDC1	179	241	85	67
AHI1	327	343	147	102
AHNAK	832	903	509	354
AHNAK2	69	108	62	36
AHR	84	69	49	21
AHRR	5	8	2	0
AHSA1	2560	3163	1250	830
AIF1L	611	684	270	216
AIFM1	2245	2685	1288	729
AIFM2	558	730	338	212
AIG1	586	738	312	178
AIMP1	1055	1301	490	421
AIMP2	1571	2052	783	520
AIP	887	1151	470	301
AJUBA	62	96	39	19
AK1	447	686	254	180
AK2	928	1049	482	304
AK3	478	461	193	144
AK4	117	146	52	23
AK5	38	34	11	9
AK6	519	571	293	205
AK7	20	16	9	8
AK8	29	37	17	12
AK9	80	87	41	26
AKAP1	556	768	380	217
AKAP10	264	262	116	78
AKAP11	1432	1811	741	525
AKAP12	2308	2397	1099	723
AKAP13	695	868	436	277
AKAP17A	246	374	162	112
AKAP5	58	67	21	13
AKAP6	24	38	16	16
AKAP7	80	86	30	32
AKAP8	613	803	417	264
AKAP8L	972	1311	672	454
AKAP9	1294	1402	620	487
AKIP1	233	252	134	96
AKIRIN1	942	1154	522	310
AKIRIN2	886	1120	578	410
AKNA	52	43	28	14
AKR1A1	740	1199	443	265
AKR1B1	2544	2933	1518	886
AKR7A2	870	1218	475	301
AKR7A3	0	0	1	0
AKT1	604	822	269	137
AKT1S1	268	391	160	89
AKT2	1110	1466	501	258
AKT3	238	258	103	69
AKTIP	64	68	31	23
AL022238.4	0	0	0	0
AL022312.1	191	213	88	72
AL031777.3	3833	3568	3485	1587
AL034430.1	75	64	51	45
AL034430.2	260	323	179	128
AL035461.3	8	7	7	4
AL109811.3	2	2	0	1
AL109827.1	126	174	181	84
AL121753.1	31	103	12	8
AL121768.1	131	123	57	38
AL121900.2	180	238	103	78
AL133500.1	14	17	14	5
AL135905.2	576	794	593	416
AL136295.1	30	32	30	15
AL139011.2	74	87	70	30
AL139300.1	75	113	68	35
AL157935.2	0	0	0	1
AL162171.1	44	56	18	9
AL162231.1	5	10	1	0
AL358472.7	42	74	13	6
AL603832.3	140	158	99	50
ALAD	123	147	76	44
ALAS1	773	886	442	250
ALCAM	724	818	379	180
ALDH16A1	339	538	209	111
ALDH18A1	1995	2713	1495	975
ALDH1A2	1896	2392	934	583
ALDH1A3	9	10	2	1
ALDH1B1	926	1103	471	285
ALDH1L2	371	343	174	107
ALDH2	913	994	359	262
ALDH3A1	11	12	10	4
ALDH3A2	1084	1292	574	328
ALDH4A1	327	421	155	91
ALDH5A1	686	874	386	225
ALDH6A1	556	641	271	174
ALDH7A1	1179	1457	687	422
ALDH8A1	1	1	1	0
ALDH9A1	2496	2914	1365	852
ALDOA	2008	2341	1991	1043
ALDOC	52	66	29	25
ALG1	259	368	149	91
ALG10	217	264	124	49
ALG10B	111	166	70	51
ALG11	445	477	246	154
ALG12	283	415	189	116
ALG13	906	966	522	365
ALG14	156	192	120	73
ALG1L	17	22	14	12
ALG2	280	372	181	110
ALG3	814	1031	449	236
ALG5	817	1074	523	305
ALG6	623	736	238	149
ALG8	1445	1706	834	425
ALKAL1	7	7	5	1
ALKBH1	310	330	164	133
ALKBH2	246	266	120	91
ALKBH3	247	229	110	50
ALKBH4	208	382	163	95
ALKBH5	510	735	283	160
ALKBH6	492	569	369	203
ALKBH7	247	323	100	71
ALKBH8	161	174	90	57
ALMS1	862	848	471	320
ALOX12	6	10	11	4
ALPK1	70	72	38	31
ALPL	16	13	7	7
ALS2	374	407	239	124
ALX1	216	220	162	93
ALX3	2	0	0	0
ALX4	68	80	44	23
ALYREF	4989	5975	2564	1580
AMACR	218	239	117	83
AMBRA1	539	701	331	210
AMD1	600	703	358	246
AMDHD2	122	143	72	42
AMER1	90	151	56	30
AMFR	1049	1201	476	273
AMH	39	58	25	10
AMIGO1	27	26	13	11
AMIGO3	2	1	2	0
AMMECR1	200	321	123	93
AMMECR1L	158	198	82	56
AMN1	153	112	64	46
AMOT	183	173	101	77
AMOTL1	884	1164	466	296
AMOTL2	212	369	140	95
AMPD2	561	676	298	192
AMPH	128	172	72	35
AMT	3	2	0	1
AMZ2	403	393	137	91
ANAPC1	343	345	188	140
ANAPC10	136	115	61	40
ANAPC11	727	926	366	231
ANAPC13	263	366	165	118
ANAPC15	140	190	91	42
ANAPC16	461	637	318	195
ANAPC2	525	839	374	210
ANAPC4	746	779	302	238
ANAPC5	3174	3216	1695	1048
ANAPC7	2398	3195	1453	972
ANGEL1	286	379	201	124
ANGEL2	361	431	256	158
ANGPT2	3	2	1	3
ANGPTL1	4	0	2	0
ANGPTL3	0	0	0	0
ANGPTL4	0	0	0	0
ANGPTL7	0	1	0	0
ANK1	84	139	37	34
ANK2	552	557	243	179
ANK3	355	353	255	139
ANKAR	6	0	1	0
ANKEF1	128	117	67	42
ANKFY1	1483	1715	794	550
ANKH	206	237	100	62
ANKHD1	16	24	16	5
ANKIB1	243	243	91	88
ANKLE1	4	0	1	2
ANKLE2	1316	1529	611	355
ANKMY1	22	21	18	9
ANKMY2	439	402	209	145
ANKRA2	88	87	48	34
ANKRD10	192	214	86	61
ANKRD11	576	714	309	210
ANKRD12	184	199	106	68
ANKRD13A	503	550	213	139
ANKRD13B	236	285	90	54
ANKRD13C	291	344	178	132
ANKRD13D	52	58	22	10
ANKRD16	85	125	52	33
ANKRD17	2889	3323	1877	1213
ANKRD18A	38	47	26	28
ANKRD18B	22	28	17	17
ANKRD20A4	0	1	0	1
ANKRD23	2	7	9	2
ANKRD24	4	2	4	5
ANKRD26	606	646	275	191
ANKRD27	671	750	294	166
ANKRD28	961	1034	483	322
ANKRD31	24	19	16	11
ANKRD34B	22	18	8	12
ANKRD36	16	9	12	12
ANKRD36B	16	14	8	3
ANKRD36C	15	20	16	12
ANKRD37	10	14	9	9
ANKRD39	152	217	106	42
ANKRD40	347	446	185	123
ANKRD42	86	99	43	17
ANKRD44	88	95	38	25
ANKRD46	394	492	192	159
ANKRD49	44	73	38	24
ANKRD50	421	483	242	158
ANKRD52	1594	1998	896	523
ANKRD54	256	355	180	86
ANKRD6	88	71	50	30
ANKRD61	1	0	0	0
ANKRD7	13	13	13	5
ANKRD9	22	29	13	6
ANKS1A	551	720	350	233
ANKS1B	45	32	13	6
ANKS3	102	156	63	36
ANKS6	165	222	102	55
ANKZF1	322	401	187	148
ANLN	2526	2953	1573	1087
ANO10	327	379	151	92
ANO4	22	17	3	1
ANO5	429	464	248	168
ANO6	659	719	287	210
ANO8	79	89	39	30
ANP32A	1522	1942	729	473
ANP32B	1471	1985	729	485
ANP32E	2665	3374	1425	1048
ANTXR1	349	469	180	104
ANTXR2	199	231	79	60
ANXA1	861	1138	514	385
ANXA11	2121	2397	938	595
ANXA2	1309	1658	647	417
ANXA3	277	275	98	60
ANXA4	310	397	162	84
ANXA5	3669	4474	2013	1244
ANXA6	2985	3232	1389	836
ANXA7	2764	3073	1550	1011
ANXA9	17	12	7	5
AOC2	3	4	2	1
AP000812.5	1	8	5	0
AP001781.2	6	8	10	3
AP002495.2	29	39	21	12
AP002748.4	10	15	8	5
AP002956.1	152	216	87	47
AP1AR	158	149	94	50
AP1B1	3646	4300	1682	1126
AP1G1	1780	2097	1111	734
AP1G2	204	187	118	70
AP1M1	1691	2111	851	552
AP1S1	855	1002	427	238
AP1S2	174	190	91	74
AP1S3	228	257	105	74
AP2A1	980	1264	463	250
AP2A2	1256	1444	504	330
AP2B1	2491	2841	1213	804
AP2M1	3305	3828	1501	906
AP2S1	1741	2137	921	593
AP3B1	1762	2030	821	514
AP3B2	33	49	38	12
AP3D1	2657	3396	1292	825
AP3M1	2035	2270	994	721
AP3M2	381	451	213	137
AP3S1	646	663	275	176
AP3S2	99	113	106	59
AP4B1	379	455	223	137
AP4E1	317	392	188	145
AP4M1	148	229	95	70
AP4S1	35	38	10	10
AP5B1	217	291	113	86
AP5M1	271	281	159	114
AP5S1	168	237	112	67
AP5Z1	119	202	87	59
APAF1	808	860	455	288
APBA2	254	351	124	81
APBA3	91	117	52	29
APBB1	634	754	350	176
APBB2	207	222	98	49
APBB3	51	61	33	12
APC	831	961	515	353
APC2	11	12	9	8
APCDD1	11	18	3	2
APEH	1339	1454	609	359
APEX1	2389	3349	1285	853
APEX2	355	465	197	107
APH1A	888	1095	432	263
APH1B	171	172	74	37
API5	1278	1473	709	506
APIP	330	377	185	108
APLF	21	23	8	7
APLP1	488	616	277	133
APLP2	6129	7016	3097	1810
APMAP	725	1130	489	253
APOBEC3C	475	548	238	192
APOC1	114	122	48	45
APOL2	364	489	246	147
APOLD1	54	89	39	24
APOM	25	30	18	11
APOO	400	458	226	154
APOOL	332	323	171	120
APOPT1	59	74	14	9
APP	7580	9148	3739	2103
APPBP2	935	1092	562	345
APPL1	1332	1396	523	370
APPL2	468	550	202	131
APRT	2733	3475	1615	916
APTX	462	579	299	185
AQP11	13	16	7	0
AQR	1537	1745	872	589
ARAF	455	568	232	130
ARAP1	521	568	277	152
ARAP2	167	194	86	60
ARAP3	135	179	87	46
ARCN1	3579	4024	1879	1184
AREL1	185	213	77	47
ARF1	5200	6491	2904	1817
ARF3	43	63	28	23
ARF4	1202	1528	748	502
ARF5	2442	2638	1081	745
ARF6	643	878	364	247
ARFGAP1	666	971	393	238
ARFGAP2	648	916	487	315
ARFGAP3	826	971	362	260
ARFGEF1	840	860	372	234
ARFGEF2	799	947	366	230
ARFGEF3	556	625	235	158
ARFIP1	614	591	287	198
ARFIP2	675	811	420	232
ARFRP1	274	343	177	81
ARG1	0	0	0	0
ARG2	730	721	335	184
ARGLU1	587	694	383	215
ARHGAP1	557	729	328	196
ARHGAP10	285	332	124	93
ARHGAP11A	890	914	460	298
ARHGAP12	429	413	154	101
ARHGAP17	1072	1471	690	428
ARHGAP18	257	259	114	63
ARHGAP19-SLIT1	16	30	14	7
ARHGAP20	94	114	47	40
ARHGAP21	276	245	142	87
ARHGAP22	108	144	52	33
ARHGAP24	32	39	17	17
ARHGAP26	208	214	119	65
ARHGAP27	75	117	68	31
ARHGAP28	93	128	54	35
ARHGAP29	332	315	98	105
ARHGAP30	2	2	2	2
ARHGAP31	67	65	28	33
ARHGAP32	162	158	87	63
ARHGAP33	44	100	33	19
ARHGAP35	614	653	284	211
ARHGAP39	178	207	92	50
ARHGAP4	3	4	4	1
ARHGAP42	77	76	27	24
ARHGAP44	92	80	40	20
ARHGAP45	40	43	20	13
ARHGAP5	514	554	254	168
ARHGDIA	2734	3488	1849	1019
ARHGDIG	51	65	30	22
ARHGEF1	653	797	391	270
ARHGEF10	251	326	133	93
ARHGEF10L	55	82	26	17
ARHGEF11	329	380	135	97
ARHGEF12	831	911	354	229
ARHGEF16	118	162	81	38
ARHGEF17	152	147	99	44
ARHGEF18	27	34	16	13
ARHGEF19	13	11	11	7
ARHGEF2	958	1210	547	366
ARHGEF25	32	55	20	26
ARHGEF26	369	478	230	153
ARHGEF28	137	124	72	42
ARHGEF3	196	214	112	75
ARHGEF39	271	372	179	92
ARHGEF4	21	18	15	7
ARHGEF40	146	175	74	39
ARHGEF6	256	251	62	46
ARHGEF7	573	703	345	215
ARHGEF9	31	24	18	12
ARID1A	1816	2526	1126	700
ARID1B	685	775	356	232
ARID2	1251	1487	680	417
ARID3A	150	194	51	51
ARID3B	103	120	58	20
ARID4A	229	261	143	96
ARID4B	798	959	462	334
ARID5A	87	105	50	19
ARID5B	645	793	414	255
ARIH1	914	1190	513	307
ARIH2	642	643	299	194
ARIH2OS	118	149	129	55
ARL1	1276	1342	679	440
ARL10	35	46	20	12
ARL13B	266	280	138	79
ARL14EP	336	376	228	139
ARL15	232	197	119	76
ARL16	268	397	217	144
ARL2	391	419	139	58
ARL2BP	484	545	249	168
ARL3	904	1049	438	336
ARL4A	32	28	18	17
ARL4C	118	153	55	38
ARL4D	102	110	46	34
ARL5A	23	41	20	11
ARL5B	571	691	304	222
ARL6	158	208	72	63
ARL6IP1	298	428	164	125
ARL6IP4	1027	1442	563	463
ARL6IP5	845	785	406	237
ARL6IP6	283	298	128	75
ARL8A	394	476	225	121
ARL8B	420	587	216	150
ARMC1	585	630	333	186
ARMC10	79	102	44	33
ARMC2	60	65	30	19
ARMC4	245	240	117	69
ARMC5	160	254	165	88
ARMC6	953	1233	664	324
ARMC7	181	251	117	82
ARMC8	416	452	248	175
ARMC9	480	592	249	150
ARMCX2	507	512	258	183
ARMCX3	313	397	205	125
ARMCX4	21	40	37	19
ARMCX5	212	196	112	73
ARMCX6	17	44	20	10
ARMH3	733	774	378	267
ARMH4	148	151	78	35
ARMT1	1770	1879	886	583
ARNT	596	737	314	222
ARNT2	82	117	33	26
ARNTL	65	70	33	26
ARNTL2	97	104	27	17
ARPC1A	173	209	75	41
ARPC1B	104	125	38	31
ARPC2	4333	4968	1855	1309
ARPC3	2575	2901	1572	1012
ARPC4	600	810	413	233
ARPC5	856	1187	507	377
ARPC5L	536	676	280	154
ARPIN-AP3S2	14	11	9	3
ARPP19	883	1021	488	369
ARRB1	145	142	55	50
ARRB2	827	988	435	243
ARRDC1	380	451	204	97
ARRDC2	72	66	31	13
ARRDC3	78	87	41	28
ARRDC4	308	330	150	80
ARSA	171	200	96	45
ARSB	127	182	79	33
ARSG	43	39	18	14
ARSK	223	236	130	65
ART5	27	34	8	9
ARV1	624	737	350	206
ARVCF	79	110	45	24
AS3MT	234	240	83	76
ASAH1	835	917	367	239
ASAP1	516	585	241	146
ASAP2	310	402	141	90
ASAP3	144	157	67	33
ASB1	151	210	80	37
ASB13	145	194	77	40
ASB14	0	0	0	0
ASB16	23	19	9	13
ASB6	939	1141	598	333
ASB7	93	127	50	26
ASB8	443	522	279	204
ASCC1	866	1023	490	283
ASCC2	964	1224	425	260
ASCC3	2430	2822	1397	876
ASDURF	98	69	48	27
ASF1A	802	1003	429	285
ASF1B	1084	1522	610	418
ASH1L	1065	1256	660	454
ASH2L	859	983	478	315
ASIC1	176	179	66	47
ASIC3	10	0	2	2
ASL	104	123	52	33
ASMTL	251	251	112	70
ASNA1	1305	1539	694	436
ASNS	2755	2606	1257	840
ASNSD1	374	410	172	125
ASPH	1102	1229	585	309
ASPHD2	52	59	11	11
ASPM	2598	2722	1625	1161
ASPN	1	0	0	0
ASPRV1	0	0	0	0
ASPSCR1	229	344	158	84
ASRGL1	360	482	191	126
ASS1	467	482	237	127
ASTE1	203	267	110	70
ASTN2	22	22	6	4
ASXL1	672	891	477	262
ASXL2	206	243	154	88
ASXL3	79	64	48	32
ATAD1	1122	1459	790	363
ATAD2	2841	2962	1659	1080
ATAD2B	281	327	123	94
ATAD3A	794	1069	353	234
ATAD3B	526	707	273	143
ATAD5	721	701	393	277
ATAT1	189	232	107	72
ATE1	493	568	261	190
ATF1	422	578	242	151
ATF2	296	321	105	88
ATF3	146	174	96	58
ATF4	314	318	1056	662
ATF5	24	33	90	45
ATF6	1370	1499	704	464
ATF6B	973	1241	515	307
ATF7IP	2450	2879	1629	1007
ATF7IP2	24	26	12	9
ATG10	42	49	26	15
ATG101	306	374	148	94
ATG12	246	372	193	130
ATG13	402	460	235	155
ATG14	87	110	51	46
ATG16L1	474	587	240	171
ATG16L2	21	17	14	13
ATG2A	386	554	282	172
ATG2B	1152	1219	583	418
ATG3	737	785	372	239
ATG4A	188	201	141	90
ATG4B	1000	1293	705	470
ATG4C	373	358	172	92
ATG4D	204	262	95	45
ATG5	601	621	308	192
ATG7	597	641	324	177
ATG9A	1133	1225	567	318
ATIC	6821	7870	3313	2148
ATL1	160	180	89	61
ATL2	1073	1294	595	443
ATL3	112	130	71	35
ATM	1030	1005	553	350
ATMIN	81	87	33	31
ATN1	831	1041	345	213
ATOX1	1163	1253	742	434
ATP10D	80	87	60	24
ATP11A	262	313	131	83
ATP11B	587	636	237	151
ATP11C	1159	1271	577	337
ATP13A1	809	1365	537	272
ATP13A2	659	746	331	205
ATP13A3	1199	1400	444	274
ATP1A1	13356	17136	5593	3291
ATP1B1	912	965	446	271
ATP1B3	1846	2164	824	541
ATP23	169	155	89	48
ATP2A1	27	30	9	4
ATP2A2	7611	9718	3732	2162
ATP2A3	138	125	55	43
ATP2B1	1806	2326	954	548
ATP2B4	155	198	81	50
ATP2C1	1074	1355	447	261
ATP5F1A	9790	12538	5124	3164
ATP5F1B	24599	30098	13313	7976
ATP5F1C	5808	6445	2823	1879
ATP5F1D	916	1338	483	286
ATP5F1E	1514	1620	580	512
ATP5IF1	2164	2753	1207	779
ATP5MC1	1364	1665	913	567
ATP5MC2	3833	5194	1970	1302
ATP5MC3	5489	6555	3044	1823
ATP5MD	928	1206	573	398
ATP5ME	2091	2378	1049	646
ATP5MF	2120	2397	1635	713
ATP5MF-PTCD1	34	38	31	22
ATP5MG	1002	1296	646	344
ATP5MPL	2094	2610	1490	1083
ATP5PB	2983	3320	1292	963
ATP5PD	1218	1695	688	460
ATP5PF	2489	2719	1560	1020
ATP5PO	1755	1965	670	443
ATP6AP1	2905	3452	1390	752
ATP6AP2	2303	2452	1017	642
ATP6V0A1	1062	1342	560	370
ATP6V0A2	812	935	428	257
ATP6V0B	1949	2718	1101	664
ATP6V0C	1346	1820	667	364
ATP6V0D1	1472	1919	758	502
ATP6V0E1	371	521	267	160
ATP6V0E2	336	433	279	140
ATP6V1A	2485	3254	1441	943
ATP6V1B1	59	55	29	14
ATP6V1B2	1592	1897	770	528
ATP6V1C1	901	1007	386	270
ATP6V1C2	33	32	5	6
ATP6V1D	1079	1220	566	309
ATP6V1E1	1967	2258	1139	611
ATP6V1E2	14	5	1	2
ATP6V1F	1555	1737	736	437
ATP6V1G1	1379	1541	655	424
ATP6V1H	1282	1439	660	435
ATP7A	482	490	526	239
ATP7B	438	641	264	181
