	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
DCUN1D2	213	226	155	154
DCUN1D3	75	86	88	75
DCUN1D4	549	509	443	361
DCUN1D5	1626	1662	1391	860
DCXR	1016	905	901	656
DDA1	111	141	157	108
DDAH1	209	212	184	133
DDAH2	79	65	83	61
DDB1	10718	9568	11396	7776
DDB2	242	201	273	195
DDHD1	772	715	738	584
DDHD2	1054	977	1019	800
DDI2	700	646	560	494
DDIAS	694	619	760	590
DDIT3	89	87	83	83
DDIT4	211	187	133	119
DDIT4L	17	22	20	18
DDN	22	26	26	16
DDOST	3551	3373	3977	2685
DDR1	106	71	117	91
DDR2	464	440	428	323
DDRGK1	1062	1278	991	760
DDTL	69	55	145	54
DDX1	5929	5728	5331	4315
DDX10	2132	2217	2094	1527
DDX11	779	747	733	598
DDX17	13016	12633	11558	9601
DDX18	3960	3872	3788	2850
DDX19A	102	110	125	79
DDX19B	268	245	274	203
DDX20	2091	1908	2221	1566
DDX21	10821	10466	10919	8026
DDX23	3155	3123	3038	2193
DDX24	4263	3913	3753	3154
DDX27	2162	2174	2075	1610
DDX28	472	415	428	315
DDX31	776	725	743	648
DDX39A	2319	2124	2242	1712
DDX39B	7611	6694	7319	5696
DDX3X	10013	9577	10527	7805
DDX41	1316	1282	1415	1016
DDX42	3246	2955	3034	2547
DDX46	4383	4457	4158	3228
DDX47	2012	1929	1884	1342
DDX49	1221	1173	1275	940
DDX5	17551	17539	16199	12295
DDX50	1617	1529	1424	1065
DDX51	510	459	431	388
DDX52	1589	1417	1489	1135
DDX54	2052	2165	2184	1667
DDX55	1384	1276	1163	986
DDX56	2632	2209	2555	1959
DDX58	157	133	163	101
DDX59	542	447	582	445
DDX6	3514	2983	3239	2644
DDX60	87	62	74	39
DEAF1	1257	1206	1277	992
DECR1	365	359	318	230
DECR2	70	61	59	67
DEDD	354	268	322	251
DEDD2	107	101	95	72
DEF6	41	33	31	22
DEF8	525	503	481	389
DEGS1	2209	1976	2411	1736
DEK	6705	6793	6137	4237
DELE1	419	323	412	317
DENND1A	412	348	297	327
DENND1B	426	405	391	304
DENND2A	28	28	33	30
DENND2C	423	359	371	307
DENND3	190	146	163	138
DENND4A	1499	1317	1351	1112
DENND4B	658	489	513	524
DENND4C	2109	1886	1896	1446
DENND5A	2528	2296	2509	1958
DENND5B	625	565	508	463
DENND6A	1249	1145	1083	912
DENR	1349	1377	1307	953
DEPDC1	2314	2177	2310	1606
DEPDC1B	943	1005	935	659
DEPDC4	40	35	40	24
DEPDC5	230	232	224	226
DEPDC7	368	316	273	209
DEPP1	25	15	37	12
DEPTOR	61	52	49	41
DERA	404	374	390	246
DERL1	464	327	449	299
DERL2	346	264	351	210
DERL3	49	33	66	46
DERPC	917	670	828	772
DESI1	442	421	402	348
DESI2	550	549	579	367
DEXI	25	30	18	17
DFFA	1825	1611	1651	1170
DFFB	219	181	202	148
DGAT1	216	168	256	161
DGAT2	31	21	21	15
DGCR2	843	708	835	681
DGCR6	24	21	21	14
DGCR6L	408	416	385	281
DGCR8	1697	1731	1568	1372
DGKA	79	73	85	50
DGKD	835	715	690	683
DGKE	455	437	385	328
DGKH	844	657	599	612
DGKQ	277	208	208	169
DGKZ	348	322	329	282
DGLUCY	118	130	148	125
DGUOK	491	413	475	342
DHCR24	1950	1663	1960	1539
DHCR7	890	711	1072	792
DHDDS	273	288	274	211
DHFR	78	66	43	32
DHFR2	68	57	50	43
DHODH	246	220	191	169
DHPS	457	401	412	405
DHRS1	123	107	111	109
DHRS11	129	109	85	92
DHRS12	41	42	38	28
DHRS13	72	71	79	52
DHRS3	240	190	186	120
DHRS4	140	131	123	79
DHRS7	729	644	714	441
DHRS7B	503	425	463	310
DHRSX	134	121	104	97
DHTKD1	1307	1060	1170	989
DHX15	7116	6767	7323	5094
DHX16	1886	1721	1872	1296
DHX29	2383	2293	2331	1688
DHX30	5951	5105	5849	4584
DHX32	1040	950	1033	725
DHX33	1136	930	785	939
DHX34	806	711	811	682
DHX35	527	497	487	357
DHX36	3056	2866	2264	2180
DHX37	1806	1644	1792	1417
DHX38	2327	2137	2270	1701
DHX40	1497	1321	1379	1031
DHX57	2097	1890	1756	1559
DHX8	2668	2454	2372	1964
DHX9	19456	17633	19569	14646
DIAPH1	2768	2480	1666	2284
DIAPH2	1308	1204	1132	894
DIAPH3	1910	1888	1556	1402
DICER1	5094	4777	4569	3746
DIDO1	3021	2642	2541	2362
DIMT1	785	611	795	513
DIP2A	909	785	716	698
DIP2B	1776	1576	1591	1294
DIP2C	349	304	334	340
DIPK1A	214	194	173	139
DIPK1B	747	634	621	487
DIPK2A	387	349	307	232
DIRAS1	36	43	55	29
DIS3	3773	3655	3673	2463
DIS3L	1935	1707	1742	1329
DIS3L2	532	492	419	406
