	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek
1-Mar	820	1201	586	526
10-Sep	866	1236	663	636
11-Sep	2038	2808	1468	1430
14-Sep	42	72	35	38
15-Sep	763	1001	494	467
2-Mar	268	344	240	212
2-Sep	4398	5929	3018	2952
3-Mar	67	97	40	38
3-Sep	106	193	133	104
5-Mar	631	901	428	430
6-Mar	2567	4132	2314	2009
6-Sep	490	779	350	294
7-Mar	2650	3991	1802	1519
7-Sep	2833	3864	1872	1907
8-Mar	226	367	190	168
8-Sep	1212	1738	853	798
9-Mar	83	124	66	48
9-Sep	829	1140	562	422
AAAS	1553	2201	904	834
AACS	344	604	288	286
AADAT	365	536	279	267
AAED1	159	269	139	120
AAGAB	1873	2562	1360	1300
AAK1	128	244	142	151
AAMDC	261	411	174	170
AAMP	4293	5702	3031	2949
AAR2	750	1114	455	395
AARS	4380	6406	3244	3011
AARS2	1313	1956	1014	880
AASDH	1013	1483	710	642
AASDHPPT	2005	2732	1325	1182
AASS	1612	2230	1051	1016
AATF	1800	2354	1263	1286
ABCA1	66	95	54	72
ABCA10	75	114	68	52
ABCA2	356	615	336	272
ABCA3	644	1153	622	492
ABCA5	633	979	483	435
ABCA7	216	374	223	190
ABCB1	229	344	140	156
ABCB10	2169	3152	1544	1488
ABCB6	342	501	239	178
ABCB7	2054	2990	1406	1226
ABCB8	338	534	260	195
ABCB9	206	258	116	106
ABCC1	798	1446	948	681
ABCC10	498	812	463	382
ABCC2	80	92	43	50
ABCC4	1945	2703	1391	1304
ABCC5	872	1293	697	652
ABCC8	44	72	40	30
ABCD1	56	84	41	34
ABCD3	3356	4896	2335	2154
ABCD4	497	729	354	339
ABCE1	7071	10075	4377	4140
ABCF1	3280	4344	2263	2260
ABCF2	3935	5492	2664	2435
ABCF3	771	971	548	526
ABCG2	85	125	55	37
ABHD10	1091	1513	724	701
ABHD12	450	622	255	232
ABHD13	166	221	79	76
ABHD14A	111	117	63	40
ABHD14B	204	229	117	91
ABHD15	43	74	36	34
ABHD16A	535	705	308	231
ABHD17A	523	788	337	284
ABHD17B	581	815	368	321
ABHD17C	93	138	74	61
ABHD2	553	857	370	379
ABHD3	408	550	217	190
ABHD4	30	68	42	42
ABHD5	572	825	376	311
ABHD6	143	216	112	88
ABI1	713	951	379	330
ABI2	720	1099	501	446
ABL1	896	1475	843	801
ABL2	1057	1652	971	841
ABLIM1	525	760	314	319
ABR	410	699	392	347
ABRACL	531	749	357	343
ABT1	1327	1811	818	743
ABTB2	95	161	79	74
ACAA1	530	746	350	319
ACAA2	897	1363	693	705
ACACA	4229	6454	3683	3250
ACACB	417	668	384	325
ACAD10	354	541	272	241
ACAD8	401	596	298	293
ACAD9	1252	1837	874	828
ACADL	78	106	68	67
ACADM	2409	3141	1559	1560
ACADS	220	291	133	122
ACADSB	521	799	382	330
ACADVL	1069	1598	753	640
ACAP2	1063	1492	766	692
ACAP3	441	621	318	305
ACAT1	3213	4526	2297	2135
ACAT2	3706	4942	2425	2237
ACBD3	1877	2529	1248	1249
ACBD5	431	557	301	275
ACBD6	1670	2334	1036	948
ACCS	43	87	44	40
ACD	265	377	172	157
ACER3	180	254	95	101
ACIN1	4912	6817	3570	3311
ACLY	12052	17209	7973	7024
ACN9	405	534	245	264
ACO1	1555	2109	1001	939
ACO2	1717	2561	1221	1109
ACOT13	486	637	319	295
ACOT2	488	748	353	314
ACOT7	628	929	515	514
ACOT8	203	324	168	121
ACOT9	712	966	479	429
ACOX1	1180	1753	843	822
ACOX3	213	379	204	178
ACP1	1161	1724	803	713
ACP2	286	460	197	187
ACP6	458	634	335	297
ACPL2	241	373	147	134
ACRC	104	143	87	42
ACSF2	169	256	107	91
ACSF3	483	678	358	322
ACSL1	667	945	400	425
ACSL3	3382	4800	2245	2153
ACSL4	1498	1982	1028	975
ACSL6	76	118	63	55
ACSM3	65	64	38	26
ACSS1	258	394	187	202
ACSS2	326	379	221	194
ACSS3	59	102	48	46
ACTA1	229	315	131	86
ACTA2	54	94	49	41
ACTB	23936	35980	17954	16671
ACTG1	31378	43408	17047	14857
ACTL6A	1601	2282	949	941
ACTN1	1565	2477	1252	1031
ACTN2	123	202	130	117
ACTN4	2982	4655	2309	1968
ACTR10	1089	1541	664	633
ACTR1A	1591	2233	896	810
ACTR1B	659	890	436	377
ACTR2	3472	4841	2892	2713
ACTR3	3620	5171	2337	2194
ACTR3B	350	633	367	274
ACTR3C	106	164	90	67
ACTR5	449	696	341	295
ACTR6	1317	1735	835	894
ACTR8	2043	2967	1415	1325
ACTRT3	73	104	54	65
ACVR1	124	170	105	59
ACVR1B	325	486	262	270
ACVR2A	375	508	253	219
ACVR2B	548	820	465	417
ACY1	324	530	247	221
ACYP1	119	192	66	74
ADA	196	271	120	124
ADAL	195	294	142	117
ADAM10	1007	1480	742	707
ADAM11	224	290	147	128
ADAM15	1225	1780	851	730
ADAM17	1025	1447	732	739
ADAM19	69	98	43	62
ADAM22	417	658	295	278
ADAM23	290	470	245	220
ADAM9	2670	3619	1823	1744
ADAMTS1	998	1324	668	597
ADAMTS13	106	196	147	97
ADAMTS17	170	344	183	167
ADAMTS19	126	183	137	114
ADAMTS20	260	423	234	177
ADAMTS3	314	462	205	191
ADAMTS6	64	110	60	50
ADAMTS7	51	105	55	41
ADAMTS9	268	447	255	238
ADAP1	104	142	59	54
ADAP2	107	137	73	71
ADAR	7064	10396	5119	4424
ADARB1	356	514	269	206
ADAT1	516	857	468	388
ADAT2	258	435	290	289
ADAT3	44	85	43	47
ADC	59	83	45	46
ADCK1	231	306	153	146
ADCK2	724	1015	502	493
ADCK3	2339	3342	1467	1404
ADCK4	271	432	186	176
ADCK5	80	91	49	42
ADCY1	426	624	325	296
ADCY3	1058	1689	823	703
ADCY6	340	545	302	243
ADCY9	484	855	523	454
ADD1	1565	2372	1170	1151
ADD2	444	671	347	348
ADD3	1751	2530	1020	950
ADH5	4019	5261	2291	2248
ADI1	1433	2124	1079	1043
ADIPOR1	1910	2795	1255	1186
ADIPOR2	806	1101	462	441
ADK	1143	1623	841	802
ADM	77	82	30	38
ADNP	2359	4260	2558	2149
ADNP2	1577	2258	1259	1096
ADO	182	276	102	129
ADORA2A	44	60	33	22
ADORA2B	184	251	127	110
ADPGK	1124	1744	828	707
ADPRHL1	47	66	41	32
ADPRHL2	746	1084	501	469
ADPRM	144	203	85	61
ADRA2C	78	100	35	42
ADRBK1	1077	1580	705	674
ADRBK2	713	1066	524	479
ADRM1	1518	2250	1001	921
ADSL	6204	9083	3822	3582
ADSS	3575	4862	2581	2727
AEBP2	472	678	445	356
AEN	935	1167	536	503
AES	378	471	202	163
AFAP1	228	406	225	246
AFAP1L1	143	205	92	76
AFF1	471	777	453	379
AFF3	131	249	120	92
AFF4	2193	3546	1810	1437
AFG3L2	3465	4981	2506	2405
AFMID	149	171	106	102
AFTPH	946	1344	673	570
AGA	325	552	209	211
AGAP1	497	767	393	384
AGAP11	304	510	303	275
AGAP3	1066	1458	870	676
AGAP4	974	1542	800	709
AGAP5	768	1246	642	581
AGAP6	903	1444	778	660
AGAP7	860	1349	718	664
AGAP8	1612	2574	1362	1193
AGAP9	1743	2899	1560	1495
AGBL3	38	65	26	39
AGBL5	1537	2234	968	799
AGFG1	1508	2215	1005	799
AGFG2	93	146	71	61
AGGF1	1615	2345	1149	1026
AGK	1438	2248	1018	916
AGL	3130	4788	2464	2058
AGMAT	60	78	43	35
AGO1	1036	1604	848	762
AGO2	1002	1646	928	738
AGO3	830	1111	588	526
AGO4	302	477	234	215
AGPAT1	278	513	222	208
AGPAT2	240	321	121	120
AGPAT3	556	814	426	365
AGPAT4	305	471	227	203
AGPAT5	647	898	421	473
AGPAT6	1257	1883	939	885
AGPAT9	164	220	106	74
AGPHD1	276	461	221	187
AGPS	2973	4098	1955	2079
AGRN	530	935	622	516
AGTPBP1	3471	5050	2352	2315
AGTRAP	226	342	108	84
AGXT2L2	306	500	224	221
AHCTF1	5384	8063	4067	3588
AHCY	5535	7313	3021	2591
AHCYL1	1647	2363	1240	1070
AHCYL2	263	472	270	258
AHDC1	45	99	87	46
AHI1	1260	1856	997	904
AHNAK	2384	3882	2409	2460
AHNAK2	425	677	371	358
AHR	599	942	342	293
AHRR	159	213	137	140
AHSA1	5128	7240	3408	3172
AHSA2	137	167	90	106
AIDA	499	752	381	357
AIF1L	137	202	117	101
AIFM1	3081	4193	2028	1962
AIFM2	86	116	71	75
AIG1	541	758	435	357
AIMP1	1591	2225	1107	1108
AIMP2	1653	2346	1048	1009
AIP	841	1060	511	500
AJUBA	89	146	102	86
AK000470	304	508	260	240
AK055601	105	128	49	35
AK097143	4462	8164	6464	5846
AK1	445	617	330	326
AK2	4425	6365	3029	3137
AK293147	108	198	140	127
AK296947	76	153	81	92
AK3	333	505	231	217
AK302092	194	304	202	188
AK302511	137	290	127	73
AK304826	1023	1628	902	720
AK308309	254	379	216	217
AK310228	1247	1860	860	652
AK310526	56	103	45	55
AK4	635	853	431	403
AK9	78	156	73	82
AKAP1	2627	3757	1928	1753
AKAP10	1034	1601	814	689
AKAP11	3186	5053	2940	2776
AKAP12	4335	6083	3384	3218
AKAP13	2674	4295	2344	2023
AKAP17A	954	1306	730	692
AKAP5	136	173	99	91
AKAP6	131	245	148	118
AKAP7	123	186	94	110
AKAP8	1117	1512	784	755
AKAP8L	1668	2415	1059	968
AKAP9	6432	7299	4446	4417
AKIP1	270	379	191	132
AKIRIN1	539	801	353	274
AKIRIN2	171	319	172	135
AKNA	32	79	37	35
AKR1A1	910	1273	642	555
AKR1B1	2382	3286	1374	1260
AKR7A2	1009	1505	561	508
AKR7A3	76	149	77	63
AKT1	1714	2395	1110	970
AKT1S1	159	249	113	105
AKT2	1387	1980	870	770
AKT3	1210	1847	997	892
AKTIP	307	447	190	188
ALAD	147	179	127	98
ALAS1	1535	2166	1010	980
ALCAM	1546	2151	1011	867
ALDH16A1	697	986	540	524
ALDH18A1	5486	7428	3843	3401
ALDH1A2	1525	2129	967	904
ALDH1B1	1311	1852	970	915
ALDH1L2	588	934	579	555
ALDH2	698	894	412	371
ALDH3A2	1982	2871	1462	1354
ALDH4A1	213	258	125	91
ALDH5A1	501	846	395	457
ALDH6A1	515	748	357	316
ALDH7A1	1374	2003	1220	1054
ALDH9A1	2485	3381	1627	1490
ALDOA	19258	26886	12014	11227
ALDOC	71	116	42	40
ALG1	811	1127	525	435
ALG10	835	1108	481	391
ALG10B	736	989	398	323
ALG12	422	608	342	276
ALG13	1323	2310	1293	1158
ALG14	352	505	250	257
ALG1L	68	110	49	50
ALG2	492	693	302	266
ALG3	387	534	248	225
ALG5	1058	1586	667	659
ALG6	1735	2576	1077	1031
ALG8	1945	2862	1146	1002
ALG9	514	712	282	282
ALKBH1	376	549	238	178
ALKBH2	615	762	350	358
ALKBH3	548	866	379	324
ALKBH4	187	278	141	134
ALKBH5	2992	4180	1864	1670
ALKBH6	143	217	98	80
ALKBH7	177	256	131	105
ALKBH8	855	1251	710	627
ALMS1	5801	8937	4617	3768
ALPK1	176	272	144	111
ALS2	1178	1675	870	730
ALS2CR8	73	101	72	44
ALX1	170	273	113	100
ALX4	47	58	48	42
ALYREF	3820	5646	2730	2691
AMACR	209	293	122	134
AMBRA1	1198	1837	877	783
AMD1	4972	6972	3338	3070
AMDHD2	241	339	177	154
AMER1	525	744	446	398
AMFR	1800	2524	1263	1116
AMH	89	178	124	116
AMIGO1	62	88	52	37
AMIGO3	140	193	80	77
AMMECR1	357	429	236	201
AMMECR1L	258	361	184	181
AMN1	123	230	87	79
AMOT	6490	10737	5288	4273
AMOTL1	962	1402	705	669
AMOTL2	200	259	113	92
AMPD2	784	1195	598	527
AMPH	100	198	76	67
AMY2B	65	70	36	27
AMZ2	1789	2554	1059	920
ANAPC1	9634	13536	6132	5290
ANAPC10	451	671	247	207
ANAPC11	294	354	179	164
ANAPC13	309	428	232	256
ANAPC15	382	490	233	216
ANAPC16	546	721	344	308
ANAPC2	643	843	462	439
ANAPC4	1245	1866	829	770
ANAPC5	6960	10367	4398	3998
ANAPC7	2653	3815	1740	1477
ANGEL1	631	998	546	467
ANGEL2	1196	1818	740	724
ANK1	255	443	213	188
ANK2	887	1281	657	568
ANK3	633	967	524	495
ANKAR	172	316	168	166
ANKEF1	276	392	212	188
ANKFY1	1492	2500	1450	1247
ANKH	325	440	210	175
ANKHD1-EIF4EBP3	4442	7058	4324	3624
ANKIB1	1217	1716	852	817
ANKLE2	2875	4124	2170	2013
ANKMY1	169	259	121	101
ANKMY2	398	608	284	292
ANKRA2	153	221	92	78
ANKRD10	644	967	449	414
ANKRD11	2172	3763	2536	2236
ANKRD12	865	1057	601	625
ANKRD13A	858	1315	540	499
ANKRD13B	115	198	133	99
ANKRD13C	1662	2364	1106	1007
ANKRD13D	178	227	135	136
ANKRD16	145	198	82	71
ANKRD17	6694	10522	5841	5061
ANKRD18A	1013	2023	1413	1276
ANKRD18B	309	659	464	468
ANKRD20A3	601	1183	776	777
ANKRD20A4	198	426	272	269
ANKRD23	47	71	50	43
ANKRD26	1684	2289	1333	1178
ANKRD27	1203	1632	793	784
ANKRD28	1878	2668	1411	1224
ANKRD31	52	83	48	42
ANKRD32	1367	1967	993	824
ANKRD36	5387	8113	4886	4703
ANKRD36B	3630	5575	3208	3076
ANKRD36C	1254	2092	1139	1102
ANKRD39	105	144	76	78
ANKRD40	977	1340	632	568
ANKRD42	87	123	47	39
ANKRD44	153	244	97	100
ANKRD46	193	267	132	113
ANKRD49	247	406	168	156
ANKRD50	1315	2045	1098	976
ANKRD52	1196	2395	1655	1324
ANKRD54	220	270	142	123
ANKRD6	177	280	150	129
ANKS1A	594	932	484	384
ANKS1B	47	77	38	32
ANKS3	287	376	193	204
ANKS6	557	790	437	400
ANKZF1	504	710	393	352
ANLN	5434	7404	3295	2868
ANO10	871	1313	687	613
ANO5	657	990	486	475
ANO6	888	1378	585	532
ANO8	75	129	73	61
ANP32A	4115	4820	2543	2613
ANP32B	1117	1974	1525	1437
ANP32C	140	174	62	58
ANP32E	1999	2055	1304	1564
ANTXR1	368	691	375	333
ANTXR2	118	130	90	79
ANXA1	95	137	47	63
ANXA11	1166	1611	799	715
ANXA2	1937	2832	1188	1179
ANXA4	201	308	141	122
ANXA5	4709	6614	2983	2859
ANXA6	2823	4138	1872	1652
ANXA7	2389	3315	1509	1265
AOC2	91	183	87	67
AP1AR	692	1000	471	472
AP1B1	2766	4305	2085	1875
AP1G1	2172	3413	1854	1527
AP1G2	487	692	387	332
AP1M1	829	1246	484	393
AP1S1	448	588	327	327
AP1S2	512	811	425	398
AP1S3	131	181	78	65
AP2A1	1110	1775	983	770
AP2A2	994	1557	770	658
AP2B1	2179	3468	2084	1763
AP2M1	4908	6718	2880	2753
AP2S1	1878	2672	1100	1046
AP3B1	2464	3649	1831	1798
AP3B2	45	60	41	45
AP3D1	2463	4044	2135	1873
AP3M1	1319	1898	891	776
AP3M2	579	859	446	407
AP3S1	1167	1494	733	657
AP4B1	673	1034	522	512
AP4E1	755	1060	596	532
AP4M1	135	181	77	76
AP4S1	60	77	33	33
AP5B1	352	473	287	250
AP5M1	974	1378	584	530
AP5S1	161	211	117	88
AP5Z1	302	478	234	204
APAF1	920	1340	746	708
APBA2	582	815	443	365
APBA3	163	290	138	134
APBB1	1099	1510	722	621
APBB2	191	340	142	135
APBB3	130	170	70	68
APC	3458	5203	2653	2267
APEH	2656	3797	1754	1539
APEX1	2317	3247	1648	1653
APEX2	738	1121	488	465
APH1A	1332	1835	668	525
API5	4173	5700	2693	2688
APIP	1132	1583	802	786
APLF	105	143	66	64
APLP1	56	92	56	50
APLP2	7235	10063	5054	4838
APMAP	1371	1828	853	728
APOA1BP	2135	2936	1309	1112
APOBEC3C	66	77	24	20
APOC1	137	173	59	68
APOL2	180	291	161	118
APOO	368	482	253	190
APOOL	301	504	267	223
APP	4375	6174	3399	3528
APPBP2	1174	1619	814	706
APPL1	2837	3946	1862	1565
APPL2	545	759	424	384
APRT	1919	2775	1282	1087
APTX	860	1158	570	596
AQR	2740	4144	1706	1513
ARAF	584	840	412	365
ARAP1	741	1133	727	635
ARAP2	469	662	356	358
ARCN1	2863	4395	2242	2207
AREL1	894	1324	530	489
ARF1	4168	6006	2183	1904
ARF3	734	1069	521	436
ARF4	1607	2385	1031	975
ARF5	1323	1835	872	847
ARF6	536	678	284	255
ARFGAP1	624	978	438	372
ARFGAP2	1080	1593	763	711
ARFGAP3	604	900	382	354
ARFGEF1	2307	3586	1761	1575
ARFGEF2	2736	4009	2030	1693
ARFIP1	438	576	296	263
ARFIP2	1391	1939	858	784
ARFRP1	202	285	156	154
ARG2	458	649	262	242
ARGLU1	1024	1290	669	788
ARHGAP1	210	382	246	196
ARHGAP10	641	1045	476	427
ARHGAP11A	2851	4019	2394	2230
ARHGAP11B	516	761	533	528
ARHGAP12	666	993	473	407
ARHGAP17	429	796	591	422
ARHGAP18	337	534	286	263
ARHGAP19	963	1294	676	596
ARHGAP20	74	113	60	59
ARHGAP21	3137	4564	2211	1923
ARHGAP22	219	312	171	140
ARHGAP24	60	98	50	51
ARHGAP26	213	314	191	172
ARHGAP27	54	88	29	33
ARHGAP28	67	94	44	35
ARHGAP29	622	969	453	360
ARHGAP31	102	176	88	69
ARHGAP32	502	759	396	329
ARHGAP33	35	79	36	38
ARHGAP35	2108	3504	1990	1680
ARHGAP39	176	319	168	129
ARHGAP42	184	270	133	91
ARHGAP44	162	228	136	120
ARHGAP5	5649	8359	4130	3658
ARHGDIA	653	1296	768	744
ARHGDIG	75	108	65	65
ARHGEF1	433	698	335	284
ARHGEF10	461	640	376	368
ARHGEF10L	99	170	76	56
ARHGEF11	1101	1814	886	781
ARHGEF12	5201	7735	3924	3264
ARHGEF16	77	137	46	35
ARHGEF17	74	166	95	82
ARHGEF18	638	1004	475	485
ARHGEF2	439	633	391	379
ARHGEF25	350	588	275	251
ARHGEF26	504	856	505	462
ARHGEF28	86	128	49	40
ARHGEF3	160	300	120	103
ARHGEF39	234	365	181	158
ARHGEF4	152	248	84	79
ARHGEF40	145	222	118	112
ARHGEF6	322	411	178	180
ARHGEF7	496	726	394	392
ARHGEF9	285	401	222	193
ARID1A	947	1796	1259	966
ARID1B	1338	2177	1255	1044
ARID2	2013	3159	1511	1320
ARID3A	69	132	81	62
ARID3B	347	524	306	251
ARID4A	526	768	492	470
ARID4B	3051	4130	2279	2140
ARID5A	82	116	51	61
ARID5B	272	405	238	176
ARIH1	1713	2444	1394	1325
ARIH2	3329	4665	2197	2044
ARL1	1077	1439	585	558
ARL10	78	186	131	135
ARL13B	647	865	464	414
ARL14EP	561	766	419	381
ARL15	141	219	116	91
ARL16	409	497	233	196
ARL17A	1039	1546	991	910
ARL2	811	1056	421	406
ARL2BP	570	819	311	266
ARL3	359	450	204	184
ARL4A	323	473	264	206
ARL4C	73	138	63	66
ARL4D	60	94	56	45
ARL5A	803	1181	607	532
ARL5B	533	756	365	332
ARL6	223	372	147	161
ARL6IP1	2231	3124	1377	1311
ARL6IP4	1620	2283	1218	1244
ARL6IP5	923	1243	623	622
ARL6IP6	356	522	244	183
ARL8A	221	351	170	181
ARL8B	497	753	342	289
ARMC1	953	1271	572	579
ARMC10	697	1054	530	434
ARMC2	50	108	39	39
ARMC4	278	433	254	219
ARMC5	225	319	138	146
ARMC6	1320	1936	906	714
ARMC8	1151	1669	709	693
ARMC9	440	664	357	326
ARMCX2	51	87	36	24
ARMCX3	435	605	325	318
ARMCX4	60	125	116	82
ARMCX5	876	1139	532	480
ARMCX5-GPRASP2	1745	2507	1320	1182
ARMCX6	141	183	104	124
ARNT	868	1386	666	620
ARNT2	292	486	288	258
ARNTL	162	186	91	74
ARNTL2	967	1388	709	603
ARPC1A	2595	3644	1581	1377
ARPC1B	545	770	336	289
ARPC2	2775	3958	1669	1420
ARPC3	2607	3663	1537	1455
ARPC5	753	1018	448	494
ARPC5L	331	429	189	229
ARPP19	526	770	396	379
ARRB1	134	208	105	87
ARRB2	575	714	344	276
ARRDC1	299	367	155	122
ARRDC3	184	266	105	85
ARRDC4	211	292	171	170
ARSA	91	138	77	60
ARSB	291	397	202	161
ARSG	68	112	74	47
ARSK	200	319	143	132
ARV1	900	1165	528	513
ARVCF	187	259	139	130
AS3MT	346	505	203	228
ASAH1	647	934	420	426
ASAH2	137	186	54	57
ASAH2B	122	163	48	54
ASAP1	555	997	617	500
ASAP2	370	591	329	282
ASAP3	213	302	177	155
ASB1	253	333	174	195
ASB13	235	329	174	157
ASB3	1010	1460	761	680
ASB6	591	827	373	324
ASB7	341	485	215	206
ASB8	196	288	182	175
ASCC1	416	564	335	310
ASCC2	1052	1593	795	691
ASCC3	7527	10873	5192	4699
ASF1A	856	1176	469	483
ASF1B	709	966	401	336
ASH1L	4508	7386	4324	3852
ASH2L	623	803	456	437
ASIC1	99	213	126	103
ASL	356	506	229	175
ASMT	94	144	132	134
ASMTL	562	762	400	400
ASNA1	1224	1640	688	653
ASNS	4050	5723	2594	2358
ASNSD1	3506	5188	2378	2255
ASPH	1914	2736	1374	1251
ASPHD2	71	89	45	45
ASPM	17072	23526	11761	10685
ASPSCR1	372	485	244	223
ASRGL1	429	560	300	289
ASS1	740	1008	493	416
ASTE1	367	620	260	183
ASTN2	52	90	40	41
ASUN	2801	3859	1786	1836
ASXL1	2259	3636	2053	1756
ASXL2	869	1587	938	783
ASXL3	85	139	66	65
ATAD1	1010	1445	751	689
ATAD2	4607	6412	3138	3088
ATAD2B	1436	2128	1126	935
ATAD3A	2681	3722	1831	1722
ATAD3B	2605	3725	1756	1706
ATAD3C	686	998	545	540
ATAD5	2375	3685	2136	2077
ATAT1	66	103	53	51
ATE1	753	1196	631	613
ATF1	568	782	296	288
ATF2	1114	1523	687	656
ATF3	84	129	36	46
ATF4	14224	19876	8940	8940
ATF5	51	104	44	32
ATF6	1972	2806	1157	1065
ATF6B	462	642	300	251
ATF7	72	139	96	68
ATF7IP	1223	1935	1137	1063
ATF7IP2	120	197	90	79
ATG10	80	143	60	45
ATG12	261	361	141	103
ATG13	699	1010	461	415
ATG14	343	552	236	259
ATG16L1	837	1345	696	591
ATG16L2	104	156	66	65
ATG2A	659	1122	637	588
ATG2B	1962	3055	1539	1335
ATG3	2057	2831	1179	1101
ATG4A	512	750	328	261
ATG4B	851	1263	577	522
ATG4C	1111	1606	665	681
ATG4D	449	669	291	251
ATG5	891	1307	600	544
ATG7	1257	1763	895	810
ATG9A	899	1367	654	534
ATHL1	173	219	128	99
ATIC	1348	2654	1679	1515
ATL1	97	116	62	55
ATL2	2040	2939	1563	1600
ATL3	506	717	376	300
ATM	5160	7593	4094	3748
ATMIN	1807	2637	1163	978
ATN1	137	420	288	221
ATOX1	206	292	76	86
ATP10D	307	466	198	188
ATP11A	319	578	372	345
ATP11B	1373	2037	924	915
ATP11C	2779	4024	1881	1775
ATP13A1	906	1546	817	723
ATP13A2	800	1260	675	580
ATP13A3	3116	4669	2199	2085
ATP1A1	12229	18779	9572	9000
ATP1A3	86	169	114	73
ATP1B1	443	643	342	344
ATP1B3	1578	2219	1001	951
ATP2A2	4481	8339	5163	4724
ATP2B1	2851	4097	2038	2004
ATP2B4	807	1449	813	745
ATP2C1	2083	3095	1604	1576
ATP5A1	17211	24716	11041	10064
ATP5B	23234	32167	13859	12413
ATP5C1	4474	6404	2630	2348
ATP5D	274	396	218	162
ATP5E	1416	2022	735	562
ATP5F1	7759	11053	4725	4209
ATP5G1	1697	2438	1056	817
ATP5G2	1932	2463	1158	911
ATP5G3	4484	6095	2631	2270
ATP5H	2888	4014	1781	1728
ATP5I	2365	3324	1584	1694
ATP5J	1512	2244	796	614
ATP5J2-PTCD1	875	1291	656	634
ATP5L	2450	3279	1563	1615
ATP5L2	96	116	47	29
ATP5S	202	308	158	133
ATP5SL	377	502	239	223
ATP6AP1	1796	2379	1065	948
ATP6AP2	1647	2374	910	742
ATP6V0A1	1147	1923	1169	1020
ATP6V0A2	1312	1976	927	845
ATP6V0B	1353	1879	619	405
ATP6V0C	218	329	171	152
ATP6V0D1	1143	1702	688	591
ATP6V0E1	347	493	180	132
ATP6V0E2	280	394	217	198
ATP6V1A	5142	7361	3299	3059
ATP6V1B2	1095	1601	773	757
ATP6V1C1	1439	2156	1054	926
ATP6V1D	1166	1715	803	791
ATP6V1E1	2030	2845	1198	1117
ATP6V1F	810	1133	495	435
ATP6V1G1	1263	1798	879	854
ATP6V1H	1364	1993	975	908
ATP7A	627	930	497	485
ATP7B	844	1319	670	578
ATP8A1	584	964	457	385
ATP8B2	2632	3748	1713	1515
ATP9A	666	1103	520	478
ATP9B	391	564	292	297
ATPAF1	1204	1754	881	906
ATPAF2	506	698	336	257
ATPIF1	1503	2035	1081	1097
ATR	4929	6697	3198	2887
ATRAID	1299	1865	714	620
ATRIP	979	1532	662	588
ATRN	1093	1733	999	855
ATRNL1	501	769	393	380
ATRX	5094	6668	4286	4096
ATXN1	170	268	127	107
ATXN10	2937	4894	2692	2286
ATXN1L	340	595	219	223
ATXN2	671	1278	771	575
ATXN2L	723	1631	1190	842
ATXN3	419	515	270	257
ATXN7	539	752	381	366
ATXN7L1	143	195	95	78
ATXN7L2	251	346	156	137
ATXN7L3	491	657	374	326
ATXN7L3B	329	475	262	195
AUH	288	433	234	225
AUNIP	804	1237	467	379
AUP1	2430	3446	1381	1107
AURKA	2501	3569	1498	1305
AURKAIP1	1419	2018	1017	1086
AURKB	1797	2631	1148	1170
AUTS2	185	435	236	221
AVEN	273	415	223	225
AVL9	839	1194	556	524
AX746670	44	62	36	41
AX746699	75	124	76	45
AX746750	72	87	58	66
AX747493	89	159	70	42
AX747756	37	70	39	39
AX748249	239	444	366	286
AXIN1	857	1123	630	637
AXIN2	115	177	106	106
AZI1	482	739	430	392
AZI2	1086	1608	745	690
AZIN1	2630	3812	1754	1611
B2M	1496	2077	932	950
B3GALNT2	1293	1852	892	860
B3GALT1	50	94	27	21
B3GALT6	114	167	90	87
B3GALTL	493	774	354	277
B3GAT3	493	674	352	313
B3GNT1	829	1237	611	561
B3GNT2	327	496	182	145
B3GNT5	156	194	96	101
B4GALNT1	55	96	39	40
B4GALNT3	494	688	317	238
B4GALNT4	205	293	153	151
B4GALT1	98	145	99	96
B4GALT2	834	1039	452	384
B4GALT3	926	1358	582	513
B4GALT4	341	506	233	211
B4GALT5	458	566	361	300
B4GALT6	122	156	92	79
B4GALT7	340	529	197	153
B9D1	859	1318	590	538
BABAM1	1376	1997	978	861
BACE1	203	298	150	132
BACE2	267	382	183	192
BACH1	1873	2649	1327	1207
BACH2	55	96	62	42
BAD	215	348	140	120
BAG1	967	1349	704	759
BAG2	441	664	357	401
BAG3	220	378	207	171
BAG4	870	1210	518	459
BAG5	950	1354	704	748
BAG6	2259	4492	2421	1956
BAHCC1	204	523	418	271
BAHD1	229	332	200	185
BAI2	286	378	211	183
BAI3	364	567	284	278
BAIAP2	243	393	189	138
BAIAP2L1	677	973	474	445
BAK1	319	443	208	193
BAMBI	234	361	111	93
BANF1	475	545	260	321
BANP	320	518	222	233
BAP1	2348	3212	1678	1569
BARD1	1326	2052	907	852
BATF3	54	78	33	34
BAX	498	662	278	303
BAZ1A	6283	8513	4615	4328
BAZ1B	6692	9635	5731	5409
BAZ2A	1247	2306	1670	1238
BAZ2B	988	1427	755	650
BBIP1	139	266	69	93
BBS1	267	397	234	186
BBS10	530	793	334	263
BBS12	166	258	136	100
BBS2	857	1231	619	583
BBS4	713	986	409	330
BBS7	1359	1831	854	819
BBS9	480	709	368	340
BBX	2492	3552	1700	1543
BC017347	50	86	57	67
BC024682	140	250	137	130
BC032716	107	172	118	92
BC041025	76	186	140	80
BC043620	71	75	47	42
BC071797	55	108	55	56
