	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek
1-Mar	404	501	586	526
10-Sep	473	587	663	636
11-Sep	1032	1239	1468	1430
14-Sep	16	32	35	38
15-Sep	362	460	494	467
2-Mar	167	174	240	212
2-Sep	2206	2844	3018	2952
3-Mar	40	51	40	38
3-Sep	49	67	133	104
5-Mar	314	449	428	430
6-Mar	1266	1556	2314	2009
6-Sep	229	319	350	294
7-Mar	1314	1633	1802	1519
7-Sep	1429	1763	1872	1907
8-Mar	124	156	190	168
8-Sep	623	815	853	798
9-Mar	35	29	66	48
9-Sep	404	534	562	422
AAAS	831	897	904	834
AACS	197	247	288	286
AADAT	176	266	279	267
AAED1	99	142	139	120
AAGAB	933	1090	1360	1300
AAK1	52	77	142	151
AAMDC	113	162	174	170
AAMP	2185	2612	3031	2949
AAR2	399	465	455	395
AARS	2327	3088	3244	3011
AARS2	650	884	1014	880
AASDH	529	647	710	642
AASDHPPT	967	1105	1325	1182
AASS	780	954	1051	1016
AATF	953	1206	1263	1286
ABCA1	35	37	54	72
ABCA10	33	43	68	52
ABCA2	195	261	336	272
ABCA3	365	529	622	492
ABCA5	310	404	483	435
ABCA7	100	170	223	190
ABCB1	120	144	140	156
ABCB10	1130	1419	1544	1488
ABCB6	192	227	239	178
ABCB7	1025	1301	1406	1226
ABCB8	178	219	260	195
ABCB9	95	132	116	106
ABCC1	425	635	948	681
ABCC10	303	343	463	382
ABCC2	30	39	43	50
ABCC4	915	1152	1391	1304
ABCC5	423	567	697	652
ABCC8	26	37	40	30
ABCD1	27	29	41	34
ABCD3	1710	2133	2335	2154
ABCD4	245	379	354	339
ABCE1	3553	4340	4377	4140
ABCF1	1646	2138	2263	2260
ABCF2	2094	2521	2664	2435
ABCF3	367	452	548	526
ABCG2	50	59	55	37
ABHD10	577	659	724	701
ABHD12	194	250	255	232
ABHD13	82	100	79	76
ABHD14A	46	53	63	40
ABHD14B	91	108	117	91
ABHD15	28	32	36	34
ABHD16A	243	319	308	231
ABHD17A	272	316	337	284
ABHD17B	283	333	368	321
ABHD17C	37	58	74	61
ABHD2	275	321	370	379
ABHD3	177	253	217	190
ABHD4	24	24	42	42
ABHD5	289	365	376	311
ABHD6	79	85	112	88
ABI1	316	428	379	330
ABI2	338	486	501	446
ABL1	483	623	843	801
ABL2	540	733	971	841
ABLIM1	261	323	314	319
ABR	250	316	392	347
ABRACL	235	310	357	343
ABT1	675	809	818	743
ABTB2	44	63	79	74
ACAA1	233	330	350	319
ACAA2	499	610	693	705
ACACA	2128	2789	3683	3250
ACACB	209	309	384	325
ACAD10	161	243	272	241
ACAD8	211	276	298	293
ACAD9	627	798	874	828
ACADL	43	43	68	67
ACADM	1158	1477	1559	1560
ACADS	121	139	133	122
ACADSB	272	308	382	330
ACADVL	578	704	753	640
ACAP2	485	639	766	692
ACAP3	201	265	318	305
ACAT1	1625	2017	2297	2135
ACAT2	1849	2159	2425	2237
ACBD3	980	1232	1248	1249
ACBD5	213	274	301	275
ACBD6	752	1004	1036	948
ACCS	22	37	44	40
ACD	150	190	172	157
ACER3	98	118	95	101
ACIN1	2477	3260	3570	3311
ACLY	6384	7871	7973	7024
ACN9	179	244	245	264
ACO1	762	932	1001	939
ACO2	883	1197	1221	1109
ACOT13	219	266	319	295
ACOT2	261	356	353	314
ACOT7	306	449	515	514
ACOT8	110	150	168	121
ACOT9	355	436	479	429
ACOX1	643	780	843	822
ACOX3	152	171	204	178
ACP1	550	688	803	713
ACP2	163	194	197	187
ACP6	227	279	335	297
ACPL2	123	162	147	134
ACRC	43	69	87	42
ACSF2	105	126	107	91
ACSF3	249	323	358	322
ACSL1	329	386	400	425
ACSL3	1712	2115	2245	2153
ACSL4	708	918	1028	975
ACSL6	40	58	63	55
ACSM3	13	26	38	26
ACSS1	122	175	187	202
ACSS2	167	173	221	194
ACSS3	37	42	48	46
ACTA1	132	136	131	86
ACTA2	39	53	49	41
ACTB	12190	15746	17954	16671
ACTG1	15980	21233	17047	14857
ACTL6A	828	1053	949	941
ACTN1	778	1053	1252	1031
ACTN2	55	81	130	117
ACTN4	1439	2019	2309	1968
ACTR10	490	671	664	633
ACTR1A	757	962	896	810
ACTR1B	266	384	436	377
ACTR2	1612	2258	2892	2713
ACTR3	1835	2330	2337	2194
ACTR3B	208	222	367	274
ACTR3C	63	65	90	67
ACTR5	221	301	341	295
ACTR6	648	798	835	894
ACTR8	1053	1244	1415	1325
ACTRT3	40	45	54	65
ACVR1	49	64	105	59
ACVR1B	186	218	262	270
ACVR2A	174	231	253	219
ACVR2B	295	394	465	417
ACY1	186	205	247	221
ACYP1	56	88	66	74
ADA	88	116	120	124
ADAL	117	123	142	117
ADAM10	475	665	742	707
ADAM11	107	127	147	128
ADAM15	670	796	851	730
ADAM17	522	648	732	739
ADAM19	39	54	43	62
ADAM22	191	302	295	278
ADAM23	153	240	245	220
ADAM9	1338	1747	1823	1744
ADAMTS1	527	650	668	597
ADAMTS13	65	66	147	97
ADAMTS17	95	135	183	167
ADAMTS19	71	89	137	114
ADAMTS20	135	180	234	177
ADAMTS3	169	198	205	191
ADAMTS6	45	32	60	50
ADAMTS7	27	53	55	41
ADAMTS9	121	188	255	238
ADAP1	37	57	59	54
ADAP2	50	53	73	71
ADAR	3483	4580	5119	4424
ADARB1	169	241	269	206
ADAT1	305	344	468	388
ADAT2	165	181	290	289
ADAT3	23	25	43	47
ADC	37	34	45	46
ADCK1	127	137	153	146
ADCK2	378	488	502	493
ADCK3	1220	1496	1467	1404
ADCK4	155	177	186	176
ADCK5	25	38	49	42
ADCY1	213	282	325	296
ADCY3	566	752	823	703
ADCY6	181	208	302	243
ADCY9	269	349	523	454
ADD1	838	1086	1170	1151
ADD2	224	297	347	348
ADD3	938	1145	1020	950
ADH5	2028	2418	2291	2248
ADI1	668	937	1079	1043
ADIPOR1	943	1211	1255	1186
ADIPOR2	405	460	462	441
ADK	593	767	841	802
ADM	40	51	30	38
ADNP	1210	1593	2558	2149
ADNP2	824	1007	1259	1096
ADO	115	133	102	129
ADORA2A	24	40	33	22
ADORA2B	111	127	127	110
ADPGK	593	687	828	707
ADPRHL1	25	29	41	32
ADPRHL2	374	444	501	469
ADPRM	78	86	85	61
ADRA2C	30	46	35	42
ADRBK1	538	707	705	674
ADRBK2	378	491	524	479
ADRM1	845	895	1001	921
ADSL	3216	3842	3822	3582
ADSS	1833	2446	2581	2727
AEBP2	240	319	445	356
AEN	447	519	536	503
AES	175	226	202	163
AFAP1	120	187	225	246
AFAP1L1	74	83	92	76
AFF1	260	338	453	379
AFF3	64	85	120	92
AFF4	1060	1424	1810	1437
AFG3L2	1757	2127	2506	2405
AFMID	73	93	106	102
AFTPH	454	608	673	570
AGA	154	205	209	211
AGAP1	265	347	393	384
AGAP11	163	209	303	275
AGAP3	601	646	870	676
AGAP4	464	619	800	709
AGAP5	370	508	642	581
AGAP6	480	615	778	660
AGAP7	412	552	718	664
AGAP8	801	1052	1362	1193
AGAP9	851	1164	1560	1495
AGBL3	24	30	26	39
AGBL5	812	958	968	799
AGFG1	761	1012	1005	799
AGFG2	50	71	71	61
AGGF1	829	1011	1149	1026
AGK	733	952	1018	916
AGL	1606	2113	2464	2058
AGMAT	25	38	43	35
AGO1	511	667	848	762
AGO2	556	746	928	738
AGO3	374	510	588	526
AGO4	180	204	234	215
AGPAT1	143	206	222	208
AGPAT2	87	119	121	120
AGPAT3	289	327	426	365
AGPAT4	142	207	227	203
AGPAT5	334	368	421	473
AGPAT6	683	855	939	885
AGPAT9	89	95	106	74
AGPHD1	151	161	221	187
AGPS	1473	1843	1955	2079
AGRN	285	350	622	516
AGTPBP1	1738	2169	2352	2315
AGTRAP	134	125	108	84
AGXT2L2	166	183	224	221
AHCTF1	2759	3482	4067	3588
AHCY	2792	3366	3021	2591
AHCYL1	894	1081	1240	1070
AHCYL2	173	210	270	258
AHDC1	19	36	87	46
AHI1	692	855	997	904
AHNAK	1308	1723	2409	2460
AHNAK2	234	279	371	358
AHR	316	363	342	293
AHRR	80	128	137	140
AHSA1	2725	3465	3408	3172
AHSA2	53	80	90	106
AIDA	230	334	381	357
AIF1L	69	98	117	101
AIFM1	1561	1962	2028	1962
AIFM2	42	51	71	75
AIG1	278	334	435	357
AIMP1	820	1036	1107	1108
AIMP2	878	985	1048	1009
AIP	461	526	511	500
AJUBA	61	57	102	86
AK000470	166	232	260	240
AK055601	43	66	49	35
AK097143	2114	3089	6464	5846
AK1	232	285	330	326
AK2	2168	2665	3029	3137
AK293147	60	78	140	127
AK296947	38	54	81	92
AK3	167	209	231	217
AK302092	92	145	202	188
AK302511	85	126	127	73
AK304826	581	692	902	720
AK308309	128	159	216	217
AK310228	629	789	860	652
AK310526	35	41	45	55
AK4	311	395	431	403
AK9	52	53	73	82
AKAP1	1381	1679	1928	1753
AKAP10	516	726	814	689
AKAP11	1727	2192	2940	2776
AKAP12	2265	2906	3384	3218
AKAP13	1392	1727	2344	2023
AKAP17A	494	682	730	692
AKAP5	69	88	99	91
AKAP6	76	120	148	118
AKAP7	55	72	94	110
AKAP8	517	664	784	755
AKAP8L	858	1084	1059	968
AKAP9	2329	4215	4446	4417
AKIP1	129	132	191	132
AKIRIN1	244	293	353	274
AKIRIN2	73	99	172	135
AKNA	24	34	37	35
AKR1A1	506	569	642	555
AKR1B1	1269	1442	1374	1260
AKR7A2	514	517	561	508
AKR7A3	44	49	77	63
AKT1	866	1100	1110	970
AKT1S1	80	123	113	105
AKT2	725	869	870	770
AKT3	628	827	997	892
AKTIP	161	186	190	188
ALAD	69	82	127	98
ALAS1	853	1082	1010	980
ALCAM	789	954	1011	867
ALDH16A1	388	432	540	524
ALDH18A1	2790	3432	3843	3401
ALDH1A2	732	925	967	904
ALDH1B1	702	870	970	915
ALDH1L2	348	452	579	555
ALDH2	326	417	412	371
ALDH3A2	1007	1219	1462	1354
ALDH4A1	96	111	125	91
ALDH5A1	230	378	395	457
ALDH6A1	263	351	357	316
ALDH7A1	705	892	1220	1054
ALDH9A1	1238	1608	1627	1490
ALDOA	10087	12257	12014	11227
ALDOC	40	48	42	40
ALG1	391	510	525	435
ALG10	407	513	481	391
ALG10B	352	450	398	323
ALG12	219	278	342	276
ALG13	677	898	1293	1158
ALG14	185	206	250	257
ALG1L	20	52	49	50
ALG2	232	317	302	266
ALG3	172	250	248	225
ALG5	510	680	667	659
ALG6	925	1162	1077	1031
ALG8	975	1283	1146	1002
ALG9	245	301	282	282
ALKBH1	192	234	238	178
ALKBH2	314	406	350	358
ALKBH3	322	360	379	324
ALKBH4	80	121	141	134
ALKBH5	1437	1776	1864	1670
ALKBH6	79	98	98	80
ALKBH7	95	117	131	105
ALKBH8	473	563	710	627
ALMS1	2846	3805	4617	3768
ALPK1	112	127	144	111
ALS2	595	774	870	730
ALS2CR8	41	49	72	44
ALX1	96	123	113	100
ALX4	28	37	48	42
ALYREF	1870	2395	2730	2691
AMACR	112	127	122	134
AMBRA1	619	813	877	783
AMD1	2605	3052	3338	3070
AMDHD2	112	172	177	154
AMER1	292	345	446	398
AMFR	849	1131	1263	1116
AMH	57	54	124	116
AMIGO1	52	37	52	37
AMIGO3	65	90	80	77
AMMECR1	147	233	236	201
AMMECR1L	149	154	184	181
AMN1	71	92	87	79
AMOT	3386	4707	5288	4273
AMOTL1	520	687	705	669
AMOTL2	82	103	113	92
AMPD2	430	573	598	527
AMPH	58	70	76	67
AMY2B	27	17	36	27
AMZ2	867	1042	1059	920
ANAPC1	4885	5895	6132	5290
ANAPC10	182	299	247	207
ANAPC11	150	193	179	164
ANAPC13	156	181	232	256
ANAPC15	175	262	233	216
ANAPC16	247	278	344	308
ANAPC2	313	355	462	439
ANAPC4	624	783	829	770
ANAPC5	3619	4516	4398	3998
ANAPC7	1353	1653	1740	1477
ANGEL1	332	374	546	467
ANGEL2	628	790	740	724
ANK1	121	197	213	188
ANK2	472	580	657	568
ANK3	319	389	524	495
ANKAR	100	160	168	166
ANKEF1	143	178	212	188
ANKFY1	746	936	1450	1247
ANKH	145	188	210	175
ANKHD1-EIF4EBP3	2266	3050	4324	3624
ANKIB1	601	761	852	817
ANKLE2	1461	1856	2170	2013
ANKMY1	88	95	121	101
ANKMY2	217	252	284	292
ANKRA2	63	104	92	78
ANKRD10	322	422	449	414
ANKRD11	1180	1603	2536	2236
ANKRD12	381	549	601	625
ANKRD13A	418	518	540	499
ANKRD13B	63	74	133	99
ANKRD13C	800	1050	1106	1007
ANKRD13D	98	121	135	136
ANKRD16	83	75	82	71
ANKRD17	3538	4499	5841	5061
ANKRD18A	547	736	1413	1276
ANKRD18B	185	241	464	468
ANKRD20A3	308	461	776	777
ANKRD20A4	119	167	272	269
ANKRD23	25	28	50	43
ANKRD26	787	1136	1333	1178
ANKRD27	576	729	793	784
ANKRD28	889	1188	1411	1224
ANKRD31	22	42	48	42
ANKRD32	672	866	993	824
ANKRD36	2801	3594	4886	4703
ANKRD36B	1930	2371	3208	3076
ANKRD36C	695	814	1139	1102
ANKRD39	69	72	76	78
ANKRD40	461	571	632	568
ANKRD42	43	48	47	39
ANKRD44	97	113	97	100
ANKRD46	121	131	132	113
ANKRD49	126	135	168	156
ANKRD50	631	895	1098	976
ANKRD52	642	764	1655	1324
ANKRD54	100	120	142	123
ANKRD6	106	152	150	129
ANKS1A	269	395	484	384
ANKS1B	21	24	38	32
ANKS3	140	151	193	204
ANKS6	282	338	437	400
ANKZF1	252	325	393	352
ANLN	2633	3291	3295	2868
ANO10	424	570	687	613
ANO5	382	443	486	475
ANO6	442	598	585	532
ANO8	39	56	73	61
ANP32A	2016	2745	2543	2613
ANP32B	679	809	1525	1437
ANP32C	61	92	62	58
ANP32E	1050	1336	1304	1564
ANTXR1	205	268	375	333
ANTXR2	62	67	90	79
ANXA1	56	69	47	63
ANXA11	600	744	799	715
ANXA2	968	1189	1188	1179
ANXA4	105	152	141	122
ANXA5	2440	2914	2983	2859
ANXA6	1518	1775	1872	1652
ANXA7	1183	1389	1509	1265
AOC2	46	58	87	67
AP1AR	351	417	471	472
AP1B1	1387	1857	2085	1875
AP1G1	1097	1374	1854	1527
AP1G2	241	290	387	332
AP1M1	418	567	484	393
AP1S1	209	284	327	327
AP1S2	255	326	425	398
AP1S3	59	61	78	65
AP2A1	540	818	983	770
AP2A2	540	662	770	658
AP2B1	1140	1420	2084	1763
AP2M1	2403	3050	2880	2753
AP2S1	914	1121	1100	1046
AP3B1	1250	1604	1831	1798
AP3B2	30	20	41	45
AP3D1	1295	1861	2135	1873
AP3M1	629	843	891	776
AP3M2	299	385	446	407
AP3S1	540	655	733	657
AP4B1	363	416	522	512
AP4E1	386	492	596	532
AP4M1	67	85	77	76
AP4S1	27	40	33	33
AP5B1	183	229	287	250
AP5M1	493	606	584	530
AP5S1	65	95	117	88
AP5Z1	147	199	234	204
APAF1	421	613	746	708
APBA2	304	364	443	365
APBA3	105	96	138	134
APBB1	540	719	722	621
APBB2	91	133	142	135
APBB3	55	57	70	68
APC	1642	2231	2653	2267
APEH	1380	1619	1754	1539
APEX1	1173	1973	1648	1653
APEX2	408	492	488	465
APH1A	698	811	668	525
API5	2005	2444	2693	2688
APIP	542	692	802	786
APLF	58	77	66	64
APLP1	31	46	56	50
APLP2	3722	4917	5054	4838
APMAP	660	819	853	728
APOA1BP	1043	1335	1309	1112
APOBEC3C	19	43	24	20
APOC1	46	64	59	68
APOL2	84	114	161	118
APOO	169	239	253	190
APOOL	158	202	267	223
APP	2230	2950	3399	3528
APPBP2	585	684	814	706
APPL1	1422	1789	1862	1565
APPL2	264	335	424	384
APRT	919	1118	1282	1087
APTX	430	535	570	596
AQR	1385	1682	1706	1513
ARAF	295	416	412	365
ARAP1	396	492	727	635
ARAP2	217	309	356	358
ARCN1	1424	1912	2242	2207
AREL1	457	587	530	489
ARF1	2060	3096	2183	1904
ARF3	350	514	521	436
ARF4	872	1065	1031	975
ARF5	631	813	872	847
ARF6	233	339	284	255
ARFGAP1	329	404	438	372
ARFGAP2	568	727	763	711
ARFGAP3	306	392	382	354
ARFGEF1	1261	1540	1761	1575
ARFGEF2	1350	1750	2030	1693
ARFIP1	242	280	296	263
ARFIP2	690	817	858	784
ARFRP1	107	131	156	154
ARG2	237	304	262	242
ARGLU1	563	691	669	788
ARHGAP1	125	181	246	196
ARHGAP10	333	431	476	427
ARHGAP11A	1457	1821	2394	2230
ARHGAP11B	281	358	533	528
ARHGAP12	315	432	473	407
ARHGAP17	217	307	591	422
ARHGAP18	185	226	286	263
ARHGAP19	450	642	676	596
ARHGAP20	49	44	60	59
ARHGAP21	1655	2071	2211	1923
ARHGAP22	108	146	171	140
ARHGAP24	42	37	50	51
ARHGAP26	99	117	191	172
ARHGAP27	22	43	29	33
ARHGAP28	32	39	44	35
ARHGAP29	303	422	453	360
ARHGAP31	57	81	88	69
ARHGAP32	218	314	396	329
ARHGAP33	12	27	36	38
ARHGAP35	1048	1462	1990	1680
ARHGAP39	91	113	168	129
ARHGAP42	80	114	133	91
ARHGAP44	85	110	136	120
ARHGAP5	2743	3536	4130	3658
ARHGDIA	307	496	768	744
ARHGDIG	41	54	65	65
ARHGEF1	238	301	335	284
ARHGEF10	227	294	376	368
ARHGEF10L	58	58	76	56
ARHGEF11	561	736	886	781
ARHGEF12	2698	3396	3924	3264
ARHGEF16	37	41	46	35
ARHGEF17	51	60	95	82
ARHGEF18	352	416	475	485
ARHGEF2	248	322	391	379
ARHGEF25	189	268	275	251
ARHGEF26	296	456	505	462
ARHGEF28	48	62	49	40
ARHGEF3	86	123	120	103
ARHGEF39	124	149	181	158
ARHGEF4	77	92	84	79
ARHGEF40	80	103	118	112
ARHGEF6	156	189	178	180
ARHGEF7	251	308	394	392
ARHGEF9	140	189	222	193
ARID1A	433	595	1259	966
ARID1B	626	926	1255	1044
ARID2	1010	1390	1511	1320
ARID3A	43	53	81	62
ARID3B	161	225	306	251
ARID4A	291	387	492	470
ARID4B	1609	2062	2279	2140
ARID5A	44	53	51	61
ARID5B	149	191	238	176
ARIH1	767	1014	1394	1325
ARIH2	1757	2080	2197	2044
ARL1	505	708	585	558
ARL10	41	62	131	135
ARL13B	302	442	464	414
ARL14EP	311	377	419	381
ARL15	71	94	116	91
ARL16	169	237	233	196
ARL17A	530	737	991	910
ARL2	373	521	421	406
ARL2BP	302	368	311	266
ARL3	152	224	204	184
ARL4A	165	179	264	206
ARL4C	35	56	63	66
ARL4D	21	32	56	45
ARL5A	407	506	607	532
ARL5B	238	337	365	332
ARL6	124	160	147	161
ARL6IP1	1195	1349	1377	1311
ARL6IP4	893	1034	1218	1244
ARL6IP5	446	618	623	622
ARL6IP6	181	258	244	183
ARL8A	104	154	170	181
ARL8B	272	288	342	289
ARMC1	475	578	572	579
ARMC10	349	426	530	434
ARMC2	37	45	39	39
ARMC4	158	188	254	219
ARMC5	109	126	138	146
ARMC6	708	754	906	714
ARMC8	567	780	709	693
ARMC9	243	291	357	326
ARMCX2	19	42	36	24
ARMCX3	219	307	325	318
ARMCX4	28	44	116	82
ARMCX5	428	485	532	480
ARMCX5-GPRASP2	861	1101	1320	1182
ARMCX6	80	90	104	124
ARNT	514	578	666	620
ARNT2	161	217	288	258
ARNTL	61	69	91	74
ARNTL2	520	587	709	603
ARPC1A	1235	1610	1581	1377
ARPC1B	278	409	336	289
ARPC2	1400	1718	1669	1420
ARPC3	1240	1669	1537	1455
ARPC5	361	508	448	494
ARPC5L	126	177	189	229
ARPP19	294	336	396	379
ARRB1	69	86	105	87
ARRB2	246	376	344	276
ARRDC1	184	181	155	122
ARRDC3	80	89	105	85
ARRDC4	108	146	171	170
ARSA	60	59	77	60
ARSB	148	195	202	161
ARSG	47	51	74	47
ARSK	96	135	143	132
ARV1	434	508	528	513
ARVCF	94	114	139	130
AS3MT	150	194	203	228
ASAH1	272	404	420	426
ASAH2	72	78	54	57
ASAH2B	66	71	48	54
ASAP1	293	376	617	500
ASAP2	191	240	329	282
ASAP3	125	139	177	155
ASB1	132	133	174	195
ASB13	125	157	174	157
ASB3	536	686	761	680
ASB6	306	374	373	324
ASB7	165	205	215	206
ASB8	104	142	182	175
ASCC1	209	260	335	310
ASCC2	578	721	795	691
ASCC3	3906	4734	5192	4699
ASF1A	397	528	469	483
ASF1B	338	437	401	336
ASH1L	2227	3008	4324	3852
ASH2L	328	347	456	437
ASIC1	40	61	126	103
ASL	164	195	229	175
ASMT	50	56	132	134
ASMTL	262	348	400	400
ASNA1	609	756	688	653
ASNS	2067	2441	2594	2358
ASNSD1	1793	2129	2378	2255
ASPH	996	1233	1374	1251
ASPHD2	29	37	45	45
ASPM	7603	11171	11761	10685
ASPSCR1	176	204	244	223
ASRGL1	217	246	300	289
ASS1	376	483	493	416
ASTE1	213	248	260	183
ASTN2	34	34	40	41
ASUN	1515	1791	1786	1836
ASXL1	1193	1582	2053	1756
ASXL2	492	634	938	783
ASXL3	40	50	66	65
ATAD1	534	662	751	689
ATAD2	2331	2908	3138	3088
ATAD2B	748	945	1126	935
ATAD3A	1333	1734	1831	1722
ATAD3B	1309	1653	1756	1706
ATAD3C	398	457	545	540
ATAD5	1146	1640	2136	2077
ATAT1	50	47	53	51
ATE1	407	571	631	613
ATF1	299	329	296	288
ATF2	553	669	687	656
ATF3	46	48	36	46
ATF4	7501	8915	8940	8940
ATF5	22	36	44	32
ATF6	954	1147	1157	1065
ATF6B	253	291	300	251
ATF7	54	43	96	68
ATF7IP	611	802	1137	1063
ATF7IP2	67	68	90	79
ATG10	28	59	60	45
ATG12	135	156	141	103
ATG13	356	454	461	415
ATG14	199	248	236	259
ATG16L1	489	651	696	591
ATG16L2	51	66	66	65
ATG2A	328	466	637	588
ATG2B	963	1327	1539	1335
ATG3	999	1262	1179	1101
ATG4A	220	365	328	261
ATG4B	444	583	577	522
ATG4C	526	734	665	681
ATG4D	270	266	291	251
ATG5	434	566	600	544
ATG7	642	764	895	810
ATG9A	486	572	654	534
ATHL1	70	95	128	99
ATIC	675	1030	1679	1515
ATL1	37	63	62	55
ATL2	1034	1384	1563	1600
ATL3	287	349	376	300
ATM	2615	3345	4094	3748
ATMIN	907	1127	1163	978
ATN1	80	80	288	221
ATOX1	96	127	76	86
ATP10D	162	193	198	188
ATP11A	176	225	372	345
ATP11B	709	910	924	915
ATP11C	1372	1720	1881	1775
ATP13A1	460	649	817	723
ATP13A2	411	575	675	580
ATP13A3	1562	2042	2199	2085
ATP1A1	6272	9457	9572	9000
ATP1A3	49	67	114	73
ATP1B1	207	311	342	344
ATP1B3	750	938	1001	951
ATP2A2	2373	3048	5163	4724
ATP2B1	1529	1895	2038	2004
ATP2B4	410	575	813	745
ATP2C1	1039	1288	1604	1576
ATP5A1	8951	10737	11041	10064
ATP5B	11996	14312	13859	12413
ATP5C1	2073	2685	2630	2348
ATP5D	138	193	218	162
ATP5E	584	831	735	562
ATP5F1	3730	4598	4725	4209
ATP5G1	882	1115	1056	817
ATP5G2	898	1118	1158	911
ATP5G3	2324	2734	2631	2270
ATP5H	1338	1675	1781	1728
ATP5I	1099	1393	1584	1694
ATP5J	686	961	796	614
ATP5J2-PTCD1	383	550	656	634
ATP5L	1118	1483	1563	1615
ATP5L2	33	47	47	29
ATP5S	91	108	158	133
ATP5SL	166	237	239	223
ATP6AP1	888	1154	1065	948
ATP6AP2	869	1084	910	742
ATP6V0A1	626	859	1169	1020
ATP6V0A2	673	784	927	845
ATP6V0B	675	783	619	405
ATP6V0C	96	118	171	152
ATP6V0D1	630	750	688	591
ATP6V0E1	169	197	180	132
ATP6V0E2	152	182	217	198
ATP6V1A	2677	3321	3299	3059
ATP6V1B2	552	691	773	757
ATP6V1C1	760	944	1054	926
ATP6V1D	594	702	803	791
ATP6V1E1	998	1156	1198	1117
ATP6V1F	383	544	495	435
ATP6V1G1	606	747	879	854
ATP6V1H	712	944	975	908
ATP7A	334	406	497	485
ATP7B	394	540	670	578
ATP8A1	318	421	457	385
ATP8B2	1270	1708	1713	1515
ATP9A	375	464	520	478
ATP9B	212	244	292	297
ATPAF1	578	764	881	906
ATPAF2	252	302	336	257
ATPIF1	727	965	1081	1097
ATR	2398	3147	3198	2887
ATRAID	686	742	714	620
ATRIP	501	611	662	588
ATRN	549	702	999	855
ATRNL1	300	373	393	380
ATRX	2413	3343	4286	4096
ATXN1	92	133	127	107
ATXN10	1509	1988	2692	2286
ATXN1L	182	228	219	223
ATXN2	356	461	771	575
ATXN2L	400	525	1190	842
ATXN3	206	226	270	257
ATXN7	256	303	381	366
ATXN7L1	57	77	95	78
ATXN7L2	143	149	156	137
ATXN7L3	237	328	374	326
ATXN7L3B	166	253	262	195
AUH	147	207	234	225
AUNIP	418	518	467	379
AUP1	1260	1485	1381	1107
AURKA	1277	1632	1498	1305
AURKAIP1	679	876	1017	1086
AURKB	939	1193	1148	1170
AUTS2	101	123	236	221
AVEN	141	188	223	225
AVL9	377	488	556	524
AX746670	19	34	36	41
AX746699	37	49	76	45
AX746750	28	38	58	66
AX747493	54	67	70	42
AX747756	18	16	39	39
AX748249	89	154	366	286
AXIN1	430	475	630	637
AXIN2	72	79	106	106
AZI1	250	312	430	392
AZI2	558	700	745	690
AZIN1	1422	1756	1754	1611
B2M	716	899	932	950
B3GALNT2	637	865	892	860
B3GALT1	28	35	27	21
B3GALT6	44	73	90	87
B3GALTL	239	310	354	277
B3GAT3	246	320	352	313
B3GNT1	520	508	611	561
B3GNT2	158	208	182	145
B3GNT5	95	119	96	101
B4GALNT1	24	27	39	40
B4GALNT3	253	282	317	238
B4GALNT4	100	116	153	151
B4GALT1	59	62	99	96
B4GALT2	405	466	452	384
B4GALT3	497	652	582	513
B4GALT4	177	198	233	211
B4GALT5	230	325	361	300
B4GALT6	53	78	92	79
B4GALT7	158	195	197	153
B9D1	479	591	590	538
BABAM1	708	896	978	861
BACE1	103	131	150	132
BACE2	135	191	183	192
BACH1	928	1090	1327	1207
BACH2	30	51	62	42
BAD	117	127	140	120
BAG1	485	604	704	759
BAG2	262	265	357	401
BAG3	122	157	207	171
BAG4	416	575	518	459
BAG5	466	639	704	748
BAG6	1244	1708	2421	1956
BAHCC1	144	178	418	271
BAHD1	116	143	200	185
BAI2	138	164	211	183
BAI3	182	252	284	278
BAIAP2	130	182	189	138
BAIAP2L1	339	464	474	445
BAK1	140	204	208	193
BAMBI	104	141	111	93
BANF1	276	352	260	321
BANP	191	215	222	233
BAP1	1193	1499	1678	1569
BARD1	737	935	907	852
BATF3	17	20	33	34
BAX	238	304	278	303
BAZ1A	3260	4191	4615	4328
BAZ1B	3533	4468	5731	5409
BAZ2A	687	924	1670	1238
BAZ2B	523	631	755	650
BBIP1	77	88	69	93
BBS1	141	159	234	186
BBS10	289	328	334	263
BBS12	82	107	136	100
BBS2	422	483	619	583
BBS4	335	429	409	330
BBS7	665	911	854	819
BBS9	247	311	368	340
BBX	1279	1557	1700	1543
BC017347	18	33	57	67
BC024682	90	96	137	130
BC032716	59	83	118	92
BC041025	38	56	140	80
BC043620	33	27	47	42
BC071797	28	34	55	56
BC107108	111	162	176	192
BCAM	20	20	48	33
BCAP29	412	482	497	521
BCAP31	1961	2391	2539	2582
BCAR1	257	299	389	306
BCAR3	53	77	95	67
BCAS2	938	1342	1319	1321
BCAS3	472	543	614	513
BCAS4	26	34	29	28
BCAT1	531	727	768	724
BCAT2	304	384	449	408
BCCIP	1249	1565	1714	1729
BCDIN3D	67	80	72	58
BCHE	66	77	70	77
BCKDHA	244	325	292	293
BCKDHB	242	328	381	299
BCKDK	297	383	402	312
BCL10	153	159	173	188
BCL11A	65	87	124	118
BCL2L1	67	65	108	105
BCL2L11	38	59	64	55
BCL2L12	244	286	282	292
BCL2L13	552	784	864	752
BCL2L2-PABPN1	1102	1469	1527	1314
BCL6	23	25	33	27
