	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
1-Mar	174	220	254	337
10-Sep	318	355	478	598
11-Sep	1049	1267	1539	2071
14-Sep	4	5	6	5
15-Sep	524	574	681	1055
2-Mar	95	88	120	144
2-Sep	3051	3178	3823	5661
3-Mar	39	30	37	48
3-Sep	88	53	90	112
5-Mar	411	477	608	753
6-Mar	1216	1383	1577	2398
6-Sep	398	416	580	707
7-Mar	718	953	1069	1179
7-Sep	979	1239	1535	2052
8-Mar	24	23	27	58
8-Sep	486	437	552	839
9-Mar	33	35	52	86
9-Sep	406	468	612	713
AAAS	686	702	939	1456
AACS	288	298	396	575
AADAT	47	36	71	92
AAED1	76	88	129	133
AAGAB	529	572	633	954
AAK1	151	153	191	287
AAMDC	54	56	60	133
AAMP	1642	1684	2238	3437
AAR2	231	257	303	510
AARS	1663	1708	2370	3314
AARS2	231	166	266	461
AASDH	95	99	144	163
AASDHPPT	780	847	1088	1485
AASS	296	313	261	449
AATF	626	741	839	1200
ABCA1	3	0	2	2
ABCA10	1	5	5	5
ABCA2	166	148	176	222
ABCA3	252	230	295	411
ABCA5	128	119	147	205
ABCA7	57	51	72	86
ABCB1	459	464	663	823
ABCB10	188	222	239	391
ABCB6	159	158	174	240
ABCB7	537	664	816	1005
ABCB8	164	185	204	345
ABCB9	47	52	53	104
ABCC1	477	492	542	817
ABCC10	147	153	181	263
ABCC2	3	1	2	3
ABCC4	408	462	500	684
ABCC5	200	249	215	388
ABCC8	2	4	7	10
ABCD1	32	27	42	48
ABCD3	1142	1299	1486	2097
ABCD4	70	77	97	143
ABCE1	2216	2590	3076	3950
ABCF1	1217	1270	1645	2317
ABCF2	992	1020	1278	2007
ABCF3	221	225	310	437
ABCG2	46	54	92	92
ABHD10	381	413	527	676
ABHD12	124	124	187	228
ABHD13	64	89	88	109
ABHD14A	16	23	23	43
ABHD14B	48	69	63	106
ABHD15	8	11	24	26
ABHD16A	127	158	166	235
ABHD17A	30	50	58	81
ABHD17B	166	198	196	287
ABHD17C	74	67	95	166
ABHD2	260	280	333	494
ABHD3	209	197	244	340
ABHD4	38	54	65	111
ABHD5	76	88	124	143
ABHD6	49	46	60	110
ABI1	310	347	522	653
ABI2	208	199	299	374
ABL1	222	230	322	496
ABL2	106	117	188	209
ABLIM1	202	181	306	385
ABR	437	444	594	790
ABRACL	319	374	390	541
ABT1	294	290	389	606
ABTB2	77	75	139	144
ACAA1	262	246	311	452
ACAA2	1195	1250	1655	2070
ACACA	911	973	1118	1662
ACACB	40	50	44	55
ACAD10	101	78	97	165
ACAD8	55	85	89	136
ACAD9	454	499	644	811
ACADL	110	137	138	201
ACADM	969	984	1298	1530
ACADS	103	110	192	217
ACADSB	581	601	738	915
ACADVL	399	389	507	633
ACAP2	352	402	508	549
ACAP3	110	93	88	164
ACAT1	1508	1714	2087	2589
ACAT2	1254	1295	1712	2279
ACBD3	533	600	781	1071
ACBD5	252	300	382	580
ACBD6	223	229	303	386
ACCS	3	2	11	11
ACD	180	206	241	418
ACER3	77	87	90	109
ACIN1	1180	1440	1722	2433
ACLY	3538	4036	5074	6869
ACN9	200	264	385	423
ACO1	531	579	677	989
ACO2	571	600	647	1098
ACOT13	244	296	362	339
ACOT2	288	307	369	527
ACOT7	1259	1378	1813	2698
ACOT8	122	160	193	258
ACOT9	343	385	492	652
ACOX1	509	653	751	1073
ACOX3	67	74	65	124
ACP1	700	801	984	1274
ACP2	171	169	186	294
ACP6	96	95	116	154
ACPL2	28	50	47	70
ACRC	2	9	2	2
ACSF2	69	62	127	142
ACSF3	130	124	182	292
ACSL1	416	467	555	709
ACSL3	1590	1706	2024	2800
ACSL4	868	1013	1312	1646
ACSL6	10	13	10	20
ACSM3	20	17	46	43
ACSS1	153	174	203	300
ACSS2	64	70	102	161
ACSS3	100	90	126	164
ACTA1	1178	1239	1581	2347
ACTA2	348	363	400	677
ACTB	27437	31271	42689	60640
ACTG1	18199	20638	26490	40920
ACTL6A	926	1006	1245	1765
ACTN1	1098	1263	1703	2432
ACTN2	25	19	48	57
ACTN4	4932	5163	7178	10630
ACTR10	648	707	872	1126
ACTR1A	1385	1388	1836	2629
ACTR1B	98	115	135	202
ACTR2	2198	2333	2898	3915
ACTR3	1437	1742	2106	2804
ACTR3B	82	104	113	161
ACTR3C	25	38	33	62
ACTR5	87	103	131	208
ACTR6	580	731	929	1080
ACTR8	305	343	475	619
ACTRT3	19	22	24	14
ACVR1	86	88	109	128
ACVR1B	210	205	210	400
ACVR2A	119	125	151	233
ACVR2B	51	41	67	96
ACY1	104	128	151	252
ACYP1	52	61	92	108
ADA	101	101	183	208
ADAL	53	37	69	58
ADAM10	541	566	569	693
ADAM11	58	73	67	100
ADAM15	295	293	351	508
ADAM17	166	180	168	277
ADAM19	24	28	22	40
ADAM22	56	65	71	78
ADAM23	109	107	118	169
ADAM9	491	472	516	690
ADAMTS1	2399	2608	3128	4677
ADAMTS13	16	1	5	2
ADAMTS17	25	17	19	45
ADAMTS19	87	78	83	125
ADAMTS20	31	35	24	39
ADAMTS3	81	94	86	115
ADAMTS6	5	5	5	5
ADAMTS7	21	16	12	21
ADAMTS9	14	18	24	24
ADAP1	9	10	6	18
ADAP2	23	15	22	35
ADAR	1734	2094	2685	3585
ADARB1	52	53	69	131
ADAT1	57	61	83	102
ADAT2	45	35	74	84
ADAT3	23	33	34	68
ADC	7	12	8	9
ADCK1	49	56	73	113
ADCK2	277	242	340	492
ADCK3	474	479	606	873
ADCK4	139	133	188	258
ADCK5	15	8	12	19
ADCY1	18	12	25	16
ADCY3	273	252	317	453
ADCY6	229	182	270	407
ADCY9	172	144	200	252
ADD1	881	908	1116	1600
ADD2	129	144	213	320
ADD3	824	950	1110	1477
ADH5	1159	1125	1328	2152
ADI1	271	293	397	631
ADIPOR1	221	260	308	466
ADIPOR2	360	393	476	713
ADK	578	632	802	998
ADM	57	62	62	114
ADNP	1068	1174	1392	1910
ADNP2	290	363	416	554
ADO	71	88	133	206
ADORA2A	7	3	14	5
ADORA2B	45	44	67	71
ADPGK	278	304	361	527
ADPRHL1	10	16	11	18
ADPRHL2	278	281	313	498
ADPRM	17	29	25	50
ADRA2C	7	10	4	7
ADRBK1	167	189	247	319
ADRBK2	39	28	70	78
ADRM1	1249	1351	1791	3178
ADSL	1586	1553	2139	2700
ADSS	730	812	935	1405
AEBP2	272	301	363	562
AEN	272	346	376	667
AES	495	515	674	965
AFAP1	78	86	102	137
AFAP1L1	50	50	74	83
AFF1	282	334	419	530
AFF3	111	122	136	180
AFF4	957	1233	1470	1778
AFG3L2	724	742	897	1259
AFMID	84	108	122	167
AFTPH	163	155	209	309
AGA	124	163	196	254
AGAP1	132	150	153	248
AGAP11	40	16	15	17
AGAP3	239	254	337	552
AGAP4	72	39	38	31
AGAP5	72	60	48	50
AGAP6	74	38	38	37
AGAP7	65	36	37	32
AGAP8	127	72	67	63
AGAP9	144	106	96	82
AGBL3	10	3	11	16
AGBL5	121	131	167	223
AGFG1	700	797	1006	1394
AGFG2	50	63	76	130
AGGF1	201	218	256	345
AGK	561	616	705	1133
AGL	838	963	1157	1508
AGMAT	0	1	1	1
AGO1	288	298	400	561
AGO2	356	398	504	679
AGO3	120	140	193	237
AGO4	69	67	67	92
AGPAT1	267	277	367	531
AGPAT2	230	260	329	475
AGPAT3	186	182	260	396
AGPAT4	88	94	133	181
AGPAT5	192	204	265	387
AGPAT6	249	252	265	472
AGPAT9	132	161	228	362
AGPHD1	50	52	73	88
AGPS	984	1051	1354	1800
AGRN	648	626	654	1262
AGTPBP1	456	462	547	730
AGTRAP	174	170	236	382
AGXT2L2	28	29	57	54
AHCTF1	570	664	759	1003
AHCY	1870	1946	2235	3680
AHCYL1	826	876	1147	1427
AHCYL2	154	161	220	297
AHDC1	64	75	115	190
AHI1	166	172	226	262
AHNAK	1009	989	1133	1375
AHNAK2	148	84	141	102
AHR	255	357	470	590
AHRR	9	10	7	17
AHSA1	1132	1161	1518	2170
AHSA2	4	3	0	2
AIDA	138	142	182	240
AIF1L	278	283	361	457
AIFM1	1169	1209	1479	2068
AIFM2	214	282	373	515
AIG1	246	308	357	554
AIMP1	476	503	609	916
AIMP2	717	763	968	1503
AIP	391	470	561	818
AJUBA	26	33	31	71
AK000470	0	0	0	0
AK055601	66	56	67	67
AK097143	43	32	28	17
AK1	201	192	240	460
AK2	1569	1626	2077	3191
AK293147	15	2	2	8
AK296947	29	33	42	66
AK3	240	277	402	428
AK302092	9	10	2	8
AK302511	46	24	20	12
AK304826	104	55	62	33
AK308309	34	49	75	80
AK310228	140	30	40	16
AK310526	4	2	4	6
AK4	362	391	517	683
AK9	39	31	41	58
AKAP1	312	327	363	615
AKAP10	105	124	180	213
AKAP11	728	905	954	1404
AKAP12	1019	988	1464	1721
AKAP13	374	404	453	613
AKAP17A	206	238	290	522
AKAP5	17	27	39	52
AKAP6	15	16	20	26
AKAP7	45	36	54	56
AKAP8	323	348	375	614
AKAP8L	362	469	606	921
AKAP9	614	747	842	1068
AKIP1	96	104	158	199
AKIRIN1	499	593	740	991
AKIRIN2	360	462	507	769
AKNA	19	16	37	33
AKR1A1	400	435	498	896
AKR1B1	1833	1908	2418	3415
AKR7A2	453	548	739	1168
AKR7A3	62	67	85	132
AKT1	290	288	358	584
AKT1S1	128	107	172	248
AKT2	544	580	704	1106
AKT3	119	103	148	190
AKTIP	66	101	133	170
ALAD	84	60	77	116
ALAS1	279	331	505	677
ALCAM	390	452	455	603
ALDH16A1	185	191	220	420
ALDH18A1	1213	1326	1255	2012
ALDH1A2	999	1037	1237	1751
ALDH1B1	384	405	534	742
ALDH1L2	150	188	229	271
ALDH2	813	830	1112	1439
ALDH3A2	572	572	706	995
ALDH4A1	156	152	226	315
ALDH5A1	318	379	444	654
ALDH6A1	251	321	358	461
ALDH7A1	1222	1300	1536	2008
ALDH9A1	1176	1265	1599	2228
ALDOA	9370	10119	13731	20825
ALDOC	98	183	259	280
ALG1	261	292	285	480
ALG10	461	507	630	905
ALG10B	419	476	575	824
ALG12	151	170	158	279
ALG13	384	464	533	687
ALG14	74	83	110	119
ALG1L	47	49	37	73
ALG2	123	146	174	259
ALG3	361	368	529	836
ALG5	472	522	498	762
ALG6	263	367	357	554
ALG8	702	733	876	1286
ALG9	180	179	155	298
ALKBH1	110	134	188	257
ALKBH2	100	100	151	224
ALKBH3	91	108	149	169
ALKBH4	86	128	141	263
ALKBH5	252	253	321	550
ALKBH6	218	254	325	419
ALKBH7	109	98	163	239
ALKBH8	66	95	107	135
ALMS1	486	499	574	680
ALPK1	48	41	42	49
ALS2	181	186	234	300
ALS2CR8	4	2	5	2
ALX1	96	111	139	162
ALX4	30	24	34	51
ALYREF	2130	2382	3267	4511
AMACR	91	107	135	172
AMBRA1	266	300	377	501
AMD1	478	462	647	829
AMDHD2	63	65	95	140
AMER1	42	38	56	110
AMFR	517	534	680	900
AMH	27	23	22	39
AMIGO1	17	8	18	17
AMIGO3	6	2	2	0
AMMECR1	88	89	125	226
AMMECR1L	74	71	94	140
AMN1	54	53	91	75
AMOT	68	73	112	129
AMOTL1	385	429	604	875
AMOTL2	107	135	134	249
AMPD2	247	277	376	507
AMPH	66	54	80	119
AMY2B	0	0	1	0
AMZ2	211	226	315	390
ANAPC1	1112	1204	1534	1837
ANAPC10	134	166	226	288
ANAPC11	246	317	443	635
ANAPC13	131	116	133	192
ANAPC15	67	72	104	142
ANAPC16	215	242	274	442
ANAPC2	228	281	341	607
ANAPC4	351	405	478	579
ANAPC5	1561	1566	2049	2428
ANAPC7	1224	1380	1550	2434
ANGEL1	164	180	194	278
ANGEL2	169	208	222	321
ANK1	30	53	53	92
ANK2	316	311	351	438
ANK3	185	202	226	284
ANKAR	0	1	1	0
ANKEF1	52	41	76	85
ANKFY1	726	775	973	1339
ANKH	106	111	129	164
ANKHD1-EIF4EBP3	1844	1973	2391	3135
ANKIB1	110	119	151	173
ANKLE2	539	620	829	1134
ANKMY1	10	12	10	6
ANKMY2	220	223	276	314
ANKRA2	35	47	63	67
ANKRD10	66	71	114	146
ANKRD11	368	340	404	606
ANKRD12	83	121	121	160
ANKRD13A	234	277	316	425
ANKRD13B	102	101	148	212
ANKRD13C	108	133	179	256
ANKRD13D	23	23	30	41
ANKRD16	39	57	46	84
ANKRD17	1383	1716	1854	2460
ANKRD18A	64	79	71	77
ANKRD18B	14	16	16	16
ANKRD20A3	102	137	147	168
ANKRD20A4	35	50	49	56
ANKRD23	1	3	0	3
ANKRD26	311	333	406	475
ANKRD27	250	234	421	554
ANKRD28	453	502	588	751
ANKRD31	10	8	18	16
ANKRD32	218	232	364	485
ANKRD36	109	80	70	77
ANKRD36B	83	46	40	65
ANKRD36C	6	11	4	4
ANKRD39	80	84	96	155
ANKRD40	181	184	213	319
ANKRD42	22	42	48	48
ANKRD44	49	43	66	71
ANKRD46	135	161	213	331
ANKRD49	31	27	28	52
ANKRD50	200	230	284	361
ANKRD52	741	773	1027	1493
ANKRD54	110	124	162	251
ANKRD6	48	28	56	58
ANKS1A	294	297	356	536
ANKS1B	17	15	25	24
ANKS3	45	47	59	120
ANKS6	92	81	106	146
ANKZF1	147	147	209	330
ANLN	1141	1454	1654	2221
ANO10	146	173	221	278
ANO5	219	227	255	350
ANO6	298	360	425	542
ANO8	33	45	47	57
ANP32A	1693	1864	2586	3279
ANP32B	1305	1407	1590	2483
ANP32C	404	493	639	704
ANP32E	1166	1296	1495	2295
ANTXR1	189	200	238	362
ANTXR2	82	89	132	194
ANXA1	391	428	532	877
ANXA11	962	999	1353	1767
ANXA2	2536	3083	3955	5052
ANXA4	136	150	207	302
ANXA5	1777	1774	2306	3244
ANXA6	1311	1462	1900	2408
ANXA7	1189	1358	1693	2229
AOC2	2	4	2	3
AP1AR	52	60	94	98
AP1B1	1843	1908	2480	3412
AP1G1	869	1007	1169	1599
AP1G2	92	98	127	143
AP1M1	799	825	1108	1612
AP1S1	416	412	583	781
AP1S2	359	365	520	597
AP1S3	77	84	134	173
AP2A1	518	535	690	1014
AP2A2	561	692	828	1132
AP2B1	1760	1967	2227	3068
AP2M1	1473	1512	2054	2827
AP2S1	755	746	1157	1531
AP3B1	877	978	1154	1533
AP3B2	11	17	19	38
AP3D1	1250	1299	1760	2549
AP3M1	910	1050	1298	1684
AP3M2	185	228	254	354
AP3S1	590	714	789	994
AP4B1	170	157	237	336
AP4E1	171	182	215	297
AP4M1	84	91	87	171
AP4S1	18	12	31	33
AP5B1	103	131	126	197
AP5M1	115	119	158	218
AP5S1	95	93	110	164
AP5Z1	73	71	74	158
APAF1	417	420	541	669
APBA2	129	132	175	285
APBA3	29	54	69	74
APBB1	304	330	423	599
APBB2	84	109	127	154
APBB3	27	16	33	52
APC	456	495	532	718
APEH	617	609	883	1116
APEX1	1190	1296	1557	2596
APEX2	159	172	238	334
APH1A	432	405	490	736
API5	1433	1555	1868	2519
APIP	273	318	403	495
APLF	8	13	9	20
APLP1	252	277	344	454
APLP2	3257	3141	4012	5241
APMAP	483	487	438	845
APOA1BP	894	940	1224	1667
APOBEC3C	255	341	391	516
APOC1	54	58	80	95
APOL2	158	155	236	334
APOO	290	308	449	514
APOOL	169	199	259	289
APP	4045	4187	5042	6988
APPBP2	428	439	594	829
APPL1	665	755	871	1042
APPL2	244	222	273	347
APRT	1016	982	1297	2069
APTX	189	240	272	428
AQR	732	813	964	1308
ARAF	172	195	276	370
ARAP1	262	239	338	408
ARAP2	65	73	106	147
ARCN1	1683	1839	2273	3015
AREL1	83	86	104	154
ARF1	2273	2609	3341	4774
ARF3	589	654	844	1313
ARF4	725	880	1095	1513
ARF5	1006	1133	1540	1939
ARF6	266	317	427	661
ARFGAP1	320	320	409	743
ARFGAP2	337	338	379	656
ARFGAP3	327	394	498	673
ARFGEF1	380	444	528	646
ARFGEF2	393	437	511	711
ARFIP1	240	232	381	427
ARFIP2	295	322	400	548
ARFRP1	92	94	135	216
ARG2	280	336	478	579
ARGLU1	258	272	358	481
ARHGAP1	245	252	327	492
ARHGAP10	152	138	186	256
ARHGAP11A	541	639	798	928
ARHGAP11B	147	139	169	199
ARHGAP12	161	185	291	314
ARHGAP17	438	488	669	1054
ARHGAP18	98	117	159	183
ARHGAP19	241	305	360	476
ARHGAP20	23	51	57	90
ARHGAP21	354	416	445	481
ARHGAP22	34	51	61	106
ARHGAP24	21	20	15	34
ARHGAP26	93	85	143	167
ARHGAP27	33	35	28	57
ARHGAP28	53	50	63	100
ARHGAP29	109	141	215	242
ARHGAP31	40	43	38	49
ARHGAP32	100	91	102	130
ARHGAP33	26	41	26	74
ARHGAP35	274	332	386	501
ARHGAP39	75	82	101	149
ARHGAP42	42	63	63	81
ARHGAP44	29	38	61	55
ARHGAP5	343	397	503	661
ARHGDIA	1235	1385	1807	2620
ARHGDIG	23	37	32	45
ARHGEF1	304	363	431	625
ARHGEF10	135	156	157	226
ARHGEF10L	34	19	34	62
ARHGEF11	200	201	206	278
ARHGEF12	414	418	529	704
ARHGEF16	60	54	78	107
ARHGEF17	83	59	86	89
ARHGEF18	255	289	407	579
ARHGEF2	404	426	599	921
ARHGEF25	20	15	26	39
ARHGEF26	158	187	218	353
ARHGEF28	68	68	98	92
ARHGEF3	94	116	122	144
ARHGEF39	115	136	164	258
ARHGEF4	17	18	12	14
ARHGEF40	63	67	87	126
ARHGEF6	96	126	173	185
ARHGEF7	201	264	314	448
ARHGEF9	15	9	12	15
ARID1A	892	989	1155	1911
ARID1B	341	336	423	556
ARID2	596	687	766	1135
ARID3A	71	60	84	141
ARID3B	106	140	185	292
ARID4A	106	119	155	193
ARID4B	351	364	487	694
ARID5A	20	33	53	74
ARID5B	273	325	405	565
ARIH1	434	495	634	915
ARIH2	352	375	483	585
ARL1	535	631	848	1032
ARL10	16	12	26	37
ARL13B	105	114	173	205
ARL14EP	197	236	257	355
ARL15	81	101	139	139
ARL16	97	152	164	297
ARL17A	635	660	851	1309
ARL2	519	522	816	1016
ARL2BP	277	343	399	530
ARL3	422	494	570	772
ARL4A	47	48	71	97
ARL4C	53	58	65	103
ARL4D	35	35	58	70
ARL5A	46	53	56	83
ARL5B	265	301	363	481
ARL6	70	92	99	148
ARL6IP1	1059	1061	1266	1953
ARL6IP4	428	433	609	1040
ARL6IP5	330	342	480	560
ARL6IP6	146	154	188	239
ARL8A	174	207	246	349
ARL8B	367	392	478	685
ARMC1	278	343	402	497
ARMC10	123	138	186	271
ARMC2	15	26	40	45
ARMC4	153	141	173	216
ARMC5	78	93	87	178
ARMC6	376	402	543	815
ARMC8	179	229	280	342
ARMC9	219	217	314	453
ARMCX2	209	254	336	383
ARMCX3	142	177	188	298
ARMCX4	16	18	12	33
ARMCX5	97	117	135	139
ARMCX5-GPRASP2	160	178	193	292
ARMCX6	27	28	38	78
ARNT	285	313	388	542
ARNT2	39	37	60	92
ARNTL	27	21	43	58
ARNTL2	46	48	60	79
ARPC1A	997	1126	1297	1999
ARPC1B	393	433	547	842
ARPC2	1836	2179	2773	3738
ARPC3	2552	3023	3840	4770
ARPC5	361	353	462	731
ARPC5L	238	281	350	505
ARPP19	346	396	549	644
ARRB1	52	69	97	88
ARRB2	340	366	489	707
ARRDC1	158	161	242	335
ARRDC3	45	54	56	69
ARRDC4	175	169	181	251
ARSA	97	91	110	141
ARSB	63	79	82	121
ARSG	26	28	29	30
ARSK	105	129	140	174
ARV1	284	327	391	572
ARVCF	35	36	51	74
AS3MT	100	132	149	168
ASAH1	403	429	521	683
ASAH2	38	49	51	90
ASAH2B	30	43	35	68
ASAP1	242	271	348	445
ASAP2	147	155	194	290
ASAP3	57	61	85	122
ASB1	57	61	81	145
ASB13	86	66	81	147
ASB3	313	330	400	551
ASB6	354	416	540	821
ASB7	46	43	58	95
ASB8	185	209	286	377
ASCC1	345	424	550	695
ASCC2	449	486	595	905
ASCC3	1343	1592	1592	2181
ASF1A	366	428	548	761
ASF1B	519	537	648	1069
ASH1L	581	638	701	958
ASH2L	510	542	563	736
ASIC1	96	98	113	137
ASL	87	93	118	155
ASMT	0	0	0	0
ASMTL	210	198	302	358
ASNA1	550	587	878	1186
ASNS	1547	1644	2153	2409
ASNSD1	241	233	326	408
ASPH	456	454	542	725
ASPHD2	24	18	36	46
ASPM	1308	1405	1624	1983
ASPSCR1	96	93	142	282
ASRGL1	158	163	238	363
ASS1	600	634	782	868
ASTE1	104	114	133	196
ASTN2	13	11	14	15
ASUN	501	618	784	890
ASXL1	345	401	413	656
ASXL2	116	159	197	282
ASXL3	39	40	56	45
ATAD1	759	863	897	1296
ATAD2	1171	1495	1846	2264
ATAD2B	141	148	196	252
ATAD3A	1197	1312	1715	2610
ATAD3B	959	1087	1488	2316
ATAD3C	416	452	582	879
ATAD5	318	348	477	511
ATAT1	84	85	116	159
ATE1	257	275	329	434
ATF1	197	228	258	425
ATF2	106	137	190	241
ATF3	34	41	47	76
ATF4	313	426	653	689
ATF5	12	16	12	15
ATF6	655	724	910	1133
ATF6B	420	453	604	891
ATF7	128	164	217	311
ATF7IP	1112	1287	1514	2028
ATF7IP2	9	9	16	30
ATG10	24	24	29	41
ATG12	135	178	204	289
ATG13	199	189	254	365
ATG14	32	57	54	73
ATG16L1	232	244	310	443
ATG16L2	7	8	9	15
ATG2A	201	224	252	412
ATG2B	507	575	756	951
ATG3	317	366	493	591
ATG4A	72	106	115	165
ATG4B	532	550	649	981
ATG4C	136	206	240	272
ATG4D	107	67	115	192
ATG5	211	238	350	384
ATG7	276	297	386	500
ATG9A	654	667	887	1189
ATHL1	9	13	18	18
ATIC	3333	3477	4449	6155
ATL1	60	64	109	125
ATL2	532	595	657	955
ATL3	59	46	73	101
ATM	537	560	668	764
ATMIN	50	52	80	84
ATN1	352	431	542	780
ATOX1	322	365	470	559
ATP10D	37	29	51	66
ATP11A	140	152	150	246
ATP11B	283	321	382	485
ATP11C	605	685	749	991
ATP13A1	489	543	532	1061
ATP13A2	272	290	376	510
ATP13A3	720	744	766	1082
ATP1A1	8150	7948	9068	13482
ATP1A3	315	287	354	549
ATP1B1	507	597	641	796
ATP1B3	1191	1344	1540	2176
ATP2A2	4322	4301	5060	7541
ATP2B1	1042	1091	1157	1774
ATP2B4	101	81	83	150
ATP2C1	621	648	703	1021
ATP5A1	6988	6962	8418	12428
ATP5B	13002	13706	16803	23474
ATP5C1	3528	4054	4921	6511
ATP5D	420	494	612	1025
ATP5E	1079	1197	1756	2279
ATP5F1	2767	3008	3837	5441
ATP5G1	826	913	1196	1733
ATP5G2	2429	2764	3589	5737
ATP5G3	2219	2492	3267	4374
ATP5H	933	982	1165	1888
ATP5I	643	651	1040	1370
ATP5J	1361	1617	1936	2700
ATP5J2-PTCD1	508	566	701	1107
ATP5L	1480	1475	1854	2950
ATP5L2	368	434	595	784
ATP5S	140	159	185	254
ATP5SL	214	204	262	447
ATP6AP1	1516	1582	1913	2674
ATP6AP2	1334	1439	1704	2251
ATP6V0A1	570	581	657	1022
ATP6V0A2	385	409	492	690
ATP6V0B	1045	1087	1341	2125
ATP6V0C	961	1075	1577	2162
ATP6V0D1	612	707	961	1398
ATP6V0E1	224	206	240	400
ATP6V0E2	104	97	186	294
ATP6V1A	1250	1426	1590	2506
ATP6V1B2	730	784	1061	1464
ATP6V1C1	426	458	603	806
ATP6V1D	394	490	642	913
ATP6V1E1	1169	1441	1671	2228
ATP6V1F	591	647	969	1201
ATP6V1G1	560	668	879	1197
ATP6V1H	584	632	818	1061
ATP7A	241	275	312	369
ATP7B	239	259	268	502
ATP8A1	162	146	153	186
ATP8B2	71	70	94	132
ATP9A	233	266	312	423
ATP9B	99	125	141	172
ATPAF1	687	768	1057	1388
ATPAF2	46	59	97	124
ATPIF1	887	1033	1431	2090
ATR	506	650	754	910
ATRAID	277	336	306	451
ATRIP	119	116	168	277
ATRN	492	449	491	710
ATRNL1	50	74	58	85
ATRX	649	769	748	1053
ATXN1	65	64	56	85
ATXN10	2077	2187	2469	3473
ATXN1L	42	36	43	80
ATXN2	873	1146	1453	1943
ATXN2L	1311	1490	1658	2701
ATXN3	203	249	303	386
ATXN7	49	68	77	118
ATXN7L1	55	63	58	77
ATXN7L2	35	55	40	75
ATXN7L3	57	54	61	82
ATXN7L3B	167	209	247	402
AUH	94	86	125	175
AUNIP	163	203	333	363
AUP1	341	367	429	582
AURKA	1064	1273	1630	2163
AURKAIP1	993	1116	1524	2536
AURKB	709	749	955	1435
AUTS2	139	154	224	295
AVEN	48	63	84	124
AVL9	128	136	167	255
AX746670	0	0	0	0
AX746699	0	0	0	0
AX746750	0	0	0	0
AX747493	11	14	19	19
AX747756	4	5	0	1
AX748249	9	7	3	9
AXIN1	135	136	191	321
AXIN2	47	56	62	101
AZI1	131	120	151	200
AZI2	56	37	86	91
AZIN1	347	353	496	586
B2M	1902	2271	2807	3768
B3GALNT2	86	89	116	160
B3GALT1	9	4	6	8
B3GALT6	117	114	171	285
B3GALTL	181	189	195	188
B3GAT3	186	190	186	325
B3GNT1	557	557	660	1102
B3GNT2	49	74	79	92
B3GNT5	71	87	102	120
B4GALNT1	11	7	13	20
B4GALNT3	102	113	139	205
B4GALNT4	29	19	14	30
B4GALT1	211	216	210	306
B4GALT2	54	29	74	94
B4GALT3	109	95	107	160
B4GALT4	70	98	123	137
B4GALT5	266	235	277	466
B4GALT6	20	37	49	77
B4GALT7	55	72	77	129
B9D1	178	251	321	391
BABAM1	296	335	434	626
BACE1	54	60	70	108
BACE2	193	169	210	262
BACH1	259	259	298	397
BACH2	48	38	74	79
BAD	109	107	167	249
BAG1	91	106	127	215
BAG2	449	540	599	1061
BAG3	423	538	749	1129
BAG4	253	327	412	571
BAG5	302	345	409	597
BAG6	2688	2953	3681	5859
BAHCC1	107	94	109	133
BAHD1	264	318	449	691
BAI2	40	23	39	34
BAI3	8	9	9	11
BAIAP2	105	126	150	253
BAIAP2L1	434	441	526	691
BAK1	154	187	271	408
BAMBI	210	230	226	274
BANF1	475	447	675	1231
BANP	80	114	170	243
BAP1	186	176	254	370
BARD1	280	313	378	576
BATF3	29	18	19	41
BAX	314	314	345	584
BAZ1A	1114	1181	1490	1875
BAZ1B	1302	1533	1785	2636
BAZ2A	919	996	1248	1674
BAZ2B	146	135	155	180
BBIP1	43	65	69	96
BBS1	74	96	106	156
BBS10	193	218	337	413
BBS12	17	33	47	58
BBS2	304	322	370	544
BBS4	172	205	220	296
BBS7	402	417	475	629
BBS9	66	62	84	91
BBX	396	514	574	837
BC017347	8	11	19	36
BC024682	0	1	0	1
BC032716	55	83	83	99
BC041025	0	0	0	0
BC043620	13	26	28	43
BC071797	2	1	2	1
BC107108	59	75	109	131
BCAM	68	83	95	152
BCAP29	330	342	384	580
BCAP31	1862	1964	2307	3814
BCAR1	226	210	270	446
BCAR3	54	30	43	60
BCAS2	910	1022	1267	1635
BCAS3	261	280	333	468
BCAS4	60	74	94	117
BCAT1	740	791	1123	1317
BCAT2	350	369	479	693
BCCIP	1267	1412	1705	2393
BCDIN3D	67	70	108	146
BCHE	142	141	155	170
BCKDHA	270	297	391	575
BCKDHB	197	233	321	429
BCKDK	335	399	582	732
BCL10	163	236	258	398
BCL11A	90	110	170	269
BCL2L1	30	37	44	71
BCL2L11	36	43	34	54
BCL2L12	177	203	287	466
BCL2L13	152	201	263	362
BCL2L2-PABPN1	672	742	879	1411
BCL6	35	50	46	88
BCL6B	0	0	2	1
BCL7A	166	164	222	382
BCL7B	85	85	134	155
BCL7C	118	118	153	225
BCL9	132	126	151	177
BCLAF1	2691	3521	3602	5139
BCOR	1749	2008	2208	2994
BCORL1	271	338	405	665
BCR	286	293	374	517
BCS1L	357	386	536	759
BDH1	0	0	0	0
BDH2	200	226	325	366
BDP1	308	311	398	544
BECN1	160	175	252	329
