	isrib_a_hek	isrib_b_hek	untr_a_hek	untr_b_hek	ribo_isrib_a	ribo_isrib_b	ribo_untr_a	ribo_untr_b
SLC16A10	338	291	447	351	205	247	304	518
SLC16A14	86	54	94	82	90	110	169	233
SLC16A7	68	45	70	42	77	87	125	184
SLC16A9	176	115	182	112	69	109	133	198
SLC17A5	213	138	214	178	111	133	211	251
SLC18B1	577	421	705	667	116	178	217	346
SLC19A1	345	302	387	314	415	614	671	1219
SLC19A2	238	175	269	237	89	91	147	236
SLC1A1	71	54	64	69	59	91	124	153
SLC1A3	365	330	451	430	141	150	208	300
SLC1A4	70	65	67	51	96	115	176	241
SLC1A5	1897	1566	1839	1556	1538	2303	2772	4515
SLC20A1	1903	1561	2162	1899	215	305	366	541
SLC20A2	244	178	234	203	56	68	113	126
SLC22A15	49	46	59	53	3	4	11	24
SLC22A17	36	28	30	19	15	19	34	43
SLC22A23	102	107	126	89	44	66	78	134
SLC22A5	202	144	201	164	97	113	167	251
SLC23A2	340	332	325	290	293	406	559	804
SLC24A1	157	152	194	164	10	18	21	21
SLC24A6	63	70	63	56	27	23	50	76
SLC25A1	1161	905	1187	1179	680	910	1291	1878
SLC25A10	630	419	536	464	190	228	385	521
SLC25A11	935	657	824	788	692	917	1384	1780
SLC25A12	416	297	449	386	126	139	250	307
SLC25A13	1515	1190	1756	1564	734	939	1223	1668
SLC25A14	349	249	397	292	211	225	307	432
SLC25A15	375	273	392	376	107	120	193	276
SLC25A16	232	162	285	204	55	96	125	163
SLC25A17	673	525	681	617	260	358	505	720
SLC25A19	358	271	326	264	72	123	210	227
SLC25A20	194	137	219	185	66	102	115	158
SLC25A21	54	34	65	73	73	80	120	135
SLC25A22	133	116	142	144	70	86	156	202
SLC25A23	325	327	391	363	16	35	36	65
SLC25A24	751	494	837	796	284	342	499	705
SLC25A25	253	192	209	213	60	97	92	166
SLC25A26	299	238	320	302	49	40	58	88
SLC25A27	75	63	80	85	3	10	12	15
SLC25A28	264	178	242	193	53	83	123	153
SLC25A29	66	40	84	52	79	139	154	272
SLC25A3	6882	4877	7323	6822	2925	3878	4688	7920
SLC25A30	110	153	119	145	57	73	126	164
SLC25A32	578	376	618	500	185	203	294	397
SLC25A33	525	360	603	558	194	212	337	424
SLC25A36	476	343	611	520	60	88	125	193
SLC25A37	124	82	104	113	23	24	46	70
SLC25A38	552	432	662	569	92	134	146	246
SLC25A39	1349	1010	1322	1100	230	305	474	709
SLC25A4	490	313	490	422	334	435	566	888
SLC25A40	169	123	167	182	29	29	69	81
SLC25A43	42	38	59	45	0	0	1	0
SLC25A44	193	190	201	157	69	104	136	156
SLC25A46	767	556	813	747	407	541	796	986
SLC25A5	8417	5922	7740	7151	4640	6239	8579	12293
SLC25A51	249	199	251	223	34	34	46	78
SLC25A52	78	73	122	115	22	18	31	37
SLC25A6	5168	3912	5114	4660	2408	3484	3626	6040
SLC26A11	75	74	91	61	32	65	82	131
SLC26A2	487	328	464	356	223	294	386	520
SLC27A2	188	126	225	213	243	273	410	590
SLC27A3	61	56	67	83	49	71	71	123
SLC27A4	745	683	759	677	132	161	245	352
SLC27A5	33	23	47	57	3	6	9	23
SLC27A6	47	27	45	36	15	22	38	33
SLC29A1	576	426	418	346	507	665	827	1335
SLC29A2	137	102	131	104	70	90	164	181
SLC2A1	386	295	385	278	602	818	961	1678
SLC2A11	59	34	51	37	9	12	13	18
SLC2A12	49	44	67	38	34	36	83	62
SLC2A13	242	164	198	176	76	137	170	193
SLC2A4RG	146	103	150	140	89	128	180	284
SLC2A6	52	38	60	43	50	86	106	154
SLC2A8	145	98	156	107	44	55	64	98
SLC30A1	348	313	306	243	105	172	134	241
SLC30A4	56	24	70	67	25	37	46	71
SLC30A5	1335	913	1289	1163	125	155	219	341
SLC30A6	471	351	477	411	188	219	315	412
SLC30A7	560	365	539	441	337	415	538	796
SLC30A9	2067	1390	1994	1776	235	271	446	558
SLC31A1	281	250	284	254	172	184	207	380
SLC33A1	614	447	644	570	148	187	262	358
SLC35A1	161	88	176	126	103	128	212	280
SLC35A2	149	127	138	122	131	204	226	412
SLC35A3	362	296	460	405	147	160	230	297
SLC35A4	200	157	205	180	4	9	14	26
SLC35A5	433	295	417	389	43	68	98	103
SLC35B1	697	536	730	698	294	352	374	704
SLC35B2	362	213	347	276	131	206	231	437
SLC35B3	263	207	287	272	60	74	97	151
SLC35B4	309	234	316	249	129	156	226	322
SLC35C1	32	28	45	30	24	27	40	62
SLC35C2	314	240	279	219	73	105	146	221
SLC35D1	263	175	253	241	45	51	60	100
SLC35E1	233	165	189	152	98	128	154	246
SLC35E2	193	180	258	222	16	21	38	71
SLC35E2B	308	273	348	306	31	59	67	113
SLC35E3	146	116	157	116	96	110	172	229
SLC35F1	181	160	208	171	99	149	171	256
SLC35F2	498	356	541	462	176	238	316	477
SLC35F5	763	581	860	800	190	209	329	466
SLC35F6	203	174	188	138	171	216	277	424
SLC35G1	168	108	138	130	66	110	161	180
SLC35G2	129	78	150	132	133	148	243	340
SLC36A1	132	124	123	117	44	57	90	131
SLC36A4	396	330	453	461	38	53	83	130
SLC37A1	31	32	47	33	22	29	38	73
SLC37A3	504	375	503	459	174	227	291	410
SLC37A4	390	298	400	304	83	133	184	250
SLC38A1	1550	1112	1521	1306	683	882	1213	1653
SLC38A10	545	537	682	661	101	147	157	334
SLC38A2	1954	1270	1851	1614	1160	1297	1885	2790
SLC38A6	183	118	145	131	20	32	38	62
SLC38A7	96	99	119	83	25	49	49	62
SLC38A9	423	266	377	348	108	165	214	298
SLC39A1	637	470	728	629	335	438	668	1015
SLC39A10	1111	761	1109	978	376	444	981	818
SLC39A11	68	66	86	80	21	36	61	88
SLC39A13	56	46	58	55	25	49	63	94
SLC39A14	528	415	576	522	430	583	773	1139
SLC39A3	280	195	283	289	89	119	147	232
SLC39A4	42	61	82	66	27	35	77	87
SLC39A6	770	496	749	582	253	412	572	708
SLC39A7	962	727	920	904	470	675	903	1230
SLC39A8	456	321	507	471	167	184	310	424
SLC39A9	377	290	367	299	94	172	198	268
SLC3A2	2475	1776	2245	2014	699	905	1140	1899
SLC41A1	239	239	259	216	47	54	70	134
SLC41A2	198	140	208	190	131	187	218	336
SLC41A3	289	213	266	264	98	152	174	275
SLC43A1	96	102	112	76	55	62	101	114
SLC43A2	82	61	65	69	88	104	164	215
SLC44A1	697	450	616	504	175	226	345	393
SLC44A2	204	174	216	173	183	252	374	458
SLC44A5	496	352	545	457	38	42	85	96
SLC45A3	42	44	54	32	15	36	25	45
SLC45A4	70	46	79	61	10	19	22	48
SLC46A1	101	75	96	70	63	98	135	203
SLC46A3	53	42	57	51	66	69	124	162
SLC47A1	220	146	250	200	47	73	82	125
SLC4A11	90	83	100	65	25	44	59	81
SLC4A1AP	1206	879	1260	1264	318	415	530	787
SLC4A2	906	745	940	874	302	455	557	888
SLC4A4	95	110	119	94	37	32	55	85
SLC4A7	1112	880	1281	1223	253	315	461	591
SLC4A8	22	27	40	47	12	11	15	37
SLC50A1	236	177	173	138	98	117	187	244
SLC52A2	250	203	247	208	170	226	247	418
SLC5A3	797	619	813	684	239	277	377	617
SLC5A6	942	681	817	677	201	259	318	609
SLC6A11	65	80	102	88	6	1	6	11
SLC6A15	1719	1165	1646	1405	500	611	890	1185
SLC6A6	218	193	280	214	121	174	231	303
SLC6A8	1034	889	1133	943	146	225	279	442
SLC6A9	66	61	55	48	19	25	65	63
SLC7A1	779	911	1078	877	672	941	1084	1771
SLC7A11	492	319	500	416	139	166	261	338
SLC7A2	409	337	481	421	262	324	447	721
SLC7A3	53	38	59	50	0	0	1	0
SLC7A5	565	513	580	469	150	217	281	396
SLC7A6	492	359	450	373	119	183	220	315
SLC7A6OS	185	134	206	205	26	65	47	92
SLC8A1	130	118	153	159	0	1	2	0
SLC9A1	86	114	127	86	151	182	217	413
SLC9A2	33	25	41	35	16	12	20	23
SLC9A3R1	140	171	171	157	206	300	343	582
SLC9A3R2	92	65	91	88	67	95	123	185
SLC9A5	64	33	57	45	4	9	10	22
SLC9A6	410	321	408	333	89	118	150	243
SLC9A7	271	164	252	207	116	153	222	286
SLC9A8	107	83	127	94	39	65	94	134
SLC9A9	38	27	42	29	5	7	6	15
SLC9B2	216	187	222	213	62	74	89	150
SLCO4A1	120	100	136	147	147	186	244	361
SLCO5A1	77	61	84	86	4	10	32	21
SLCO6A1	60	44	65	58	0	0	0	0
SLIRP	1703	965	1817	1743	960	1303	1793	2504
SLIT1	35	33	38	33	20	17	46	46
SLIT2	3602	3940	4502	3930	736	1016	1379	1964
SLITRK3	54	51	66	66	12	30	22	31
SLITRK5	233	208	328	293	49	58	88	115
SLK	3254	2480	3519	3370	1099	1282	1772	2393
SLMAP	1136	976	1367	1197	130	148	202	255
SLMO1	28	32	32	45	4	10	16	19
SLMO2	1350	742	1340	1292	825	1099	1462	1896
SLTM	2113	1475	1976	1918	495	593	835	1149
SLU7	1021	775	1059	1128	443	613	746	1086
SLX1A	400	380	604	612	128	178	218	408
SLX4	253	337	356	347	38	61	89	104
SLX4IP	97	75	93	91	26	47	67	73
SMAD1	172	128	180	164	87	154	193	269
SMAD2	736	572	745	677	284	353	508	630
SMAD3	72	76	83	69	114	158	222	305
SMAD4	481	432	544	468	249	370	483	671
SMAD5	1017	691	976	833	458	605	899	1201
SMAD6	78	94	86	97	10	20	36	44
SMAD7	160	116	111	108	26	39	62	74
SMAD9	139	121	114	115	168	212	373	423
SMAP1	411	324	432	353	337	464	555	846
SMAP2	370	319	407	397	312	384	549	799
SMARCA1	1390	1046	1576	1725	940	1076	1663	2195
SMARCA2	603	492	645	666	308	432	572	780
SMARCA4	2309	2908	3403	2894	1532	2092	2865	4123
SMARCA5	5849	4852	6910	6430	1834	2291	3115	4096
SMARCAD1	1619	1156	1695	1645	518	572	800	1080
SMARCAL1	575	482	569	541	158	222	301	400
SMARCB1	1684	1409	1819	1838	789	1185	1371	2200
SMARCC1	5529	4829	6416	5753	1211	1581	2352	3062
SMARCC2	832	922	1104	1008	624	860	1187	1582
SMARCD1	856	890	1083	987	569	747	921	1250
SMARCD2	979	780	1042	891	543	728	1141	1480
SMARCD3	178	112	148	140	35	44	56	75
SMARCE1	1465	972	1249	1370	422	648	810	1202
SMC1A	6387	5795	6976	6683	3096	4051	5122	7873
SMC2	3772	2825	4147	4106	1104	1370	1970	2588
SMC3	5468	3963	5963	5760	2047	2363	3526	4631
SMC4	8839	7091	9447	9064	2499	2994	4192	5588
SMC5	2029	1686	2052	1959	263	368	484	615
SMC6	2105	1520	2086	2020	267	346	489	672
SMCHD1	3029	2167	3114	2954	967	1179	1642	2160
SMCR7	119	117	133	120	19	37	51	76
SMCR7L	764	646	846	696	127	169	261	345
SMCR8	1241	1103	1396	1167	112	135	155	267
SMDT1	74	61	100	97	115	195	267	405
SMEK1	2105	1801	2229	2148	531	662	965	1355
SMEK2	1414	1136	1437	1475	177	185	309	393
SMG1	9352	9554	12878	11390	568	721	1066	1286
SMG5	3114	2369	2985	2415	310	469	602	868
SMG6	585	685	873	741	239	326	409	655
SMG7	824	1141	1125	835	191	268	428	515
SMG8	1193	805	1145	986	426	589	659	1073
SMG9	265	271	271	260	347	514	648	1177
SMIM11	110	84	104	73	43	54	72	76
SMIM12	140	113	176	157	80	121	134	237
SMIM13	48	33	37	43	41	41	96	111
SMIM15	186	130	196	180	32	64	87	152
SMIM19	122	80	121	97	28	48	58	72
SMIM4	189	119	198	171	79	106	146	217
SMIM7	64	40	94	94	76	115	120	208
SMIM8	60	36	53	49	67	79	153	135
SMN2	2696	1830	3061	2864	1519	1731	2473	3482
SMNDC1	351	380	542	527	362	485	707	876
SMO	462	415	544	463	58	85	96	180
SMOC1	261	282	327	327	173	231	318	488
SMOX	104	54	82	66	32	45	43	60
SMPD1	77	62	66	52	63	69	108	160
SMPD2	140	99	114	109	66	81	126	173
SMPDL3A	75	46	71	62	85	94	138	177
SMPDL3B	97	87	130	129	52	68	100	155
SMS	1972	1350	1978	2074	834	1060	1599	2079
SMTN	177	169	213	163	58	80	108	186
SMU1	2613	1991	2616	2376	1196	1554	2279	2932
SMUG1	122	80	129	131	30	63	88	108
SMURF1	340	306	440	393	96	98	145	174
SMURF2	847	685	920	797	69	90	139	184
SMYD2	654	506	731	682	115	148	239	280
SMYD3	222	204	260	245	78	70	118	141
SMYD4	388	345	467	385	114	123	174	232
SMYD5	421	308	438	396	148	214	275	392
SNAI2	192	140	130	116	7	5	6	7
SNAP23	369	305	325	287	326	399	559	743
SNAP29	301	210	273	234	175	248	331	436
SNAP47	1224	915	1259	1097	185	285	359	500
SNAPC1	303	190	268	260	119	154	274	320
SNAPC2	58	38	33	44	41	55	78	142
SNAPC3	286	249	343	314	217	278	370	542
SNAPC4	519	536	691	518	216	247	331	452
SNAPC5	93	46	68	71	46	51	105	98
SNAPIN	306	195	323	297	163	174	264	337
SNCA	166	87	131	118	103	131	187	278
SND1	3861	3133	4018	3716	2011	2590	3395	5009
SNF8	1017	742	1175	1117	487	655	822	1204
SNIP1	279	196	251	199	149	184	215	311
SNORA33	157	112	139	134	0	0	1	0
SNRK	547	425	551	571	79	99	131	160
SNRNP200	7331	7382	8846	7795	3190	4261	5735	8424
SNRNP25	422	278	441	419	71	111	125	213
SNRNP27	348	348	444	447	137	241	271	458
SNRNP35	176	116	156	160	53	62	63	160
SNRNP40	3179	2106	3197	3006	924	1205	1731	2416
SNRNP48	647	554	729	679	91	114	199	224
SNRNP70	3618	2745	3474	3328	1657	2102	2635	4868
SNRPA	1026	748	864	766	737	992	1295	1900
SNRPA1	928	802	922	988	1024	1330	1849	2555
SNRPB	5092	3521	5206	4678	3533	4497	5987	9038
SNRPB2	1357	936	1346	1319	556	715	996	1346
SNRPC	1407	872	1188	1017	1031	1454	1795	2606
SNRPD1	1849	1204	1910	2042	1042	1391	2027	2086
SNRPD2	2590	1613	2621	2186	1129	1586	2133	2913
SNRPD3	2095	1402	2014	1962	1344	1976	2511	3561
SNRPE	1312	756	1506	1430	815	985	1154	1968
SNRPF	1640	907	1495	1562	1240	1655	2160	3005
SNRPG	1500	962	1423	1361	583	707	825	1511
SNTA1	185	131	148	138	16	20	38	47
SNTB1	52	54	56	54	32	48	52	94
SNTB2	255	202	274	260	148	180	293	345
SNUPN	366	305	420	382	152	270	337	518
SNW1	1635	1094	1715	1629	584	796	1084	1493
SNX1	694	671	789	759	387	508	740	1030
SNX10	71	50	70	78	86	130	200	222
SNX11	168	130	195	154	63	80	101	155
SNX12	204	141	241	252	203	287	343	499
SNX13	1074	767	1165	1012	64	91	154	150
SNX14	966	690	1087	1039	410	542	821	949
SNX16	63	53	78	73	17	16	21	29
SNX17	1484	1192	1811	1599	484	606	872	1381
SNX18	203	131	204	182	103	102	155	240
SNX2	1763	1209	1769	1560	1064	1346	2073	2511
SNX21	55	48	59	73	29	31	38	64
SNX24	42	53	74	63	40	44	74	84
SNX25	794	674	890	841	55	62	104	108
SNX27	522	551	632	541	380	453	680	887
SNX29	222	225	253	212	14	29	29	38
SNX3	528	359	537	547	661	860	1181	1642
SNX30	150	139	179	185	49	87	117	159
SNX33	48	36	46	33	18	37	49	57
SNX4	671	491	730	679	258	335	477	661
SNX5	3391	2750	3667	3622	284	339	564	673
SNX6	1256	861	1393	1314	536	616	964	1244
SNX7	444	321	534	486	111	124	192	250
SNX8	190	128	181	158	64	85	117	141
SNX9	898	712	991	934	269	411	576	724
SOAT1	1077	751	916	829	351	477	624	891
SOBP	105	127	142	122	28	35	51	81
SOCS2	32	33	53	40	4	8	19	11
SOCS4	395	295	381	336	54	73	118	146
SOCS5	212	174	250	244	43	67	84	83
SOCS6	190	139	197	179	53	63	69	121
SOCS7	95	79	119	107	26	33	36	71
SOD1	4302	2848	4622	4419	2594	3481	4472	7168
SOD2	1087	722	1091	932	536	709	983	1322
SOGA1	168	217	303	235	83	86	116	198
SOGA2	299	312	359	343	24	47	55	79
SOGA3	163	148	189	160	25	24	40	44
SOLH	602	538	786	645	109	128	149	223
SON	11759	12989	16246	13246	3636	4592	6193	8759
SORBS1	41	48	44	56	35	31	57	92
SORBS3	35	61	72	47	172	192	262	360
SORCS1	30	35	44	40	0	0	0	0
SORD	438	384	509	496	379	632	745	1092
SORL1	258	260	304	256	80	106	136	170
SORT1	903	760	967	881	409	658	760	1038
SOS1	701	777	998	882	150	183	299	369
SOS2	557	474	647	607	62	74	114	140
SOWAHC	35	18	24	29	28	50	73	102
SOX12	67	57	116	117	55	129	175	243
SOX13	43	63	55	46	41	60	82	109
SOX4	246	168	220	183	395	507	774	1228
SOX5	41	38	38	32	42	48	79	102
SOX6	37	44	37	42	16	13	22	36
SP1	1257	955	1168	932	647	936	1249	1602
SP2	41	96	62	47	127	190	199	303
SP3	1883	1314	1741	1482	402	511	719	885
SP4	316	236	262	231	100	102	191	230
SP9	31	41	58	37	58	107	100	169
SPA17	176	120	141	150	53	78	121	133
SPAG1	181	154	226	234	84	160	198	270
SPAG16	188	170	278	261	151	214	281	400
SPAG5	2494	1881	2675	2371	592	862	1074	1493
SPAG7	433	294	420	459	176	280	304	477
SPAG9	3612	2620	3748	3395	909	1174	1705	2251
SPAST	533	377	609	569	123	143	230	281
SPATA13	145	105	177	145	73	116	105	181
SPATA17	36	34	51	38	7	6	5	27
SPATA18	39	30	45	48	20	28	30	49
SPATA2	55	54	50	48	43	50	75	112
SPATA20	218	168	208	186	38	62	90	115
SPATA24	40	41	49	53	21	30	45	88
SPATA2L	53	50	62	60	51	77	72	140
SPATA5	1020	846	1166	1230	189	219	285	489
SPATA5L1	285	228	345	281	168	240	344	481
SPATA6	66	65	75	72	36	52	65	97
SPATA7	145	112	169	109	30	40	52	51
SPATC1L	148	119	158	144	2	0	1	2
SPATS2	308	315	384	371	145	172	299	354
SPATS2L	372	274	383	351	209	236	340	455
SPC24	258	184	274	281	233	329	483	635
SPC25	430	343	539	551	342	391	619	872
SPCS1	749	406	686	586	338	441	561	778
SPCS2	683	475	604	631	453	631	729	1214
SPCS3	670	458	766	783	393	558	726	985
SPDL1	1941	1538	2232	2259	559	680	1015	1337
SPECC1	1091	998	1195	1120	141	137	215	264
SPECC1L	2372	1983	2673	2551	378	467	545	818
SPEF2	80	74	86	67	27	19	34	56
SPEG	44	40	76	48	20	20	48	43
SPEN	11577	16158	19396	16650	1294	1639	2109	2891
SPG11	1237	1015	1405	1193	340	378	565	696
SPG20	1935	1405	2071	1875	1166	1607	1940	2776
SPG21	531	447	668	584	179	251	370	452
SPG7	838	793	1026	949	83	144	198	267
SPHK1	57	34	69	63	12	19	30	33
SPHK2	92	63	103	108	37	51	66	104
SPICE1	898	750	1017	929	101	137	187	210
SPIN1	367	282	432	458	138	161	221	314
SPIN2A	75	46	77	70	30	40	62	69
SPIN2B	89	59	94	82	32	42	65	77
SPIN3	48	38	51	63	6	9	13	27
SPIN4	140	172	184	172	88	130	177	281
SPINT2	240	175	258	251	626	851	1214	1772
SPIRE1	374	267	435	383	105	100	167	248
SPIRE2	79	60	84	81	15	23	44	50
SPNS1	418	338	344	286	158	172	254	366
SPON1	118	106	155	132	142	216	267	418
SPOP	799	591	783	822	169	194	351	514
SPOPL	206	162	240	187	64	66	106	119
SPPL2A	423	379	533	495	283	338	462	685
SPPL2B	169	168	197	159	48	72	79	134
SPPL3	208	180	193	156	157	251	267	434
SPR	135	108	218	177	72	133	153	269
SPRED1	133	106	131	116	25	53	72	95
SPRED2	42	62	59	50	42	66	59	88
SPRTN	1226	955	1390	1257	255	303	405	628
SPRY1	96	110	147	111	28	58	66	82
SPRY2	43	47	52	54	88	145	150	236
SPRYD3	81	59	106	94	87	110	137	250
SPRYD4	141	125	145	129	134	165	196	323
SPRYD7	186	112	180	183	209	254	372	477
SPSB1	58	42	43	33	26	28	42	72
SPSB3	124	91	102	109	48	73	75	157
SPTAN1	5502	5443	6865	6446	1261	1739	2127	3354
SPTB	152	196	216	220	41	57	74	108
SPTBN1	6037	5040	6412	5845	628	876	836	1521
SPTBN2	1247	1195	1640	1472	228	280	345	587
SPTLC1	919	728	986	870	413	522	667	966
SPTLC2	625	510	785	743	259	354	449	666
SPTSSA	48	24	39	41	88	113	150	229
SPTY2D1	526	551	624	502	174	208	244	350
SQLE	1658	1251	1723	1512	771	913	1432	1933
SQSTM1	1403	1096	1595	1464	861	1170	1180	2414
SRA1	169	118	180	194	141	176	239	300
SRBD1	1317	945	1393	1298	216	283	392	521
SRC	108	113	151	109	152	205	285	406
SRCAP	2863	5094	5253	4230	407	594	829	1181
SRD5A1	64	59	72	81	20	40	37	59
SRD5A3	294	219	332	265	96	138	165	264
SREBF1	557	585	799	599	155	234	330	459
SREBF2	798	816	1051	814	414	562	713	1067
SREK1	1872	1131	1577	1631	235	309	463	663
SREK1IP1	412	356	464	348	62	96	121	157
SRF	346	257	247	220	139	196	234	357
SRFBP1	694	505	745	742	261	366	450	647
SRGAP1	90	108	103	113	51	94	119	172
SRGAP2	903	871	984	922	269	381	521	754
SRGAP2B	246	207	240	200	81	106	133	229
SRGAP2D	524	480	577	517	174	259	340	485
SRGAP3	43	57	40	53	14	19	24	32
SRI	1248	917	1303	1086	573	810	1137	1222
SRM	962	1058	1225	1035	821	1060	1516	2292
SRP14	632	501	681	706	1008	1310	1891	2386
SRP19	189	118	231	185	321	399	546	732
SRP54	1330	921	1254	1251	755	975	1368	1744
SRP68	1271	1363	1478	1476	632	810	1130	1571
SRP72	2566	2197	2614	2417	806	1003	1322	1820
SRP9	2028	1260	1993	1998	1124	1326	1904	2790
SRPK1	3553	2563	3639	3267	1248	1545	2288	2793
SRPK2	704	626	773	752	477	647	812	1188
SRPR	1057	1104	1406	1163	618	799	1073	1566
SRPRB	1156	837	1171	1059	559	737	991	1419
SRR	129	112	120	108	62	96	120	169
SRRD	585	421	602	529	91	110	207	232
SRRM1	1411	1755	1871	1693	1557	1985	2770	3602
SRRM2	6616	13127	12614	9317	4692	6122	7715	11090
SRRT	2440	2015	2442	2375	937	1286	1414	2502
SRSF1	4389	3051	4788	4946	1615	2024	2855	4290
SRSF10	1613	1167	1574	1495	695	825	1190	1760
SRSF11	4285	3124	4043	3672	774	933	1311	1918
SRSF12	114	71	117	82	57	66	134	127
SRSF2	2166	1538	2000	1814	1519	2175	2379	4367
SRSF3	4971	3549	5758	6057	2103	2745	3464	5610
SRSF4	1924	1245	1687	1781	643	867	1072	1728
SRSF5	2903	2066	3277	3463	1103	1369	1645	2204
SRSF6	2654	2038	2413	2253	1494	1977	2071	3362
SRSF7	3689	2681	4079	4161	1830	2262	3040	4498
SRSF8	174	127	151	123	174	229	259	458
SRSF9	2872	2189	3216	3285	1373	1878	2550	3854
SRXN1	40	36	43	64	93	103	119	199
SS18	581	376	435	341	343	424	518	697
SS18L1	64	61	74	67	22	37	43	80
SS18L2	139	54	104	118	54	71	98	101
SSB	5874	3972	5492	5501	2392	2926	4345	6018
SSBP1	2206	1545	2321	2294	1776	2258	3350	4096
SSBP2	81	57	72	65	73	96	119	158
SSBP3	128	127	147	114	243	291	362	510
SSBP4	202	119	157	148	64	100	147	215
SSFA2	1389	1006	1530	1419	126	193	253	305
SSH1	194	182	218	183	21	34	44	66
SSH2	276	298	351	296	62	77	141	186
SSH3	47	39	71	53	25	21	32	46
SSNA1	314	237	414	328	78	120	180	236
SSR1	1166	1001	1256	1169	846	1000	1420	1985
SSR2	1347	893	1188	1052	662	890	1016	1604
SSR3	1404	915	1419	1184	528	673	850	1207
SSR4	1697	1090	1528	1512	1293	1835	2421	3437
SSRP1	9002	7437	9713	9162	2335	3158	4101	6222
SSSCA1	386	281	362	354	228	302	395	540
SSU72	758	649	869	937	408	570	853	1064
SSX2IP	935	726	1000	988	409	516	788	920
ST13	5743	4112	6086	6189	2295	2954	3957	5726
ST3GAL1	21	24	44	34	8	11	19	29
ST3GAL2	115	92	113	121	6	27	24	27
ST3GAL3	84	78	107	79	4	4	10	8
ST3GAL4	142	101	141	132	22	37	53	65
ST3GAL5	48	36	70	69	20	29	39	47
ST3GAL6	102	61	106	103	25	23	32	49
ST5	73	75	96	62	19	34	46	50
ST6GAL1	48	29	47	41	20	15	31	44
ST6GALNAC3	69	49	61	67	17	31	35	47
ST6GALNAC4	92	63	96	87	32	30	43	61
ST6GALNAC6	325	201	305	248	3	14	13	25
ST7	342	276	358	313	128	173	253	299
ST7L	292	239	271	254	144	143	202	294
STAG1	2192	1873	2458	2372	171	218	275	347
STAG2	7914	5612	8666	8460	2213	2598	3783	4745
STAG3	70	75	94	72	25	18	33	67
STAM	386	323	388	389	317	381	516	741
STAM2	363	238	339	312	167	177	282	395
STAMBP	621	496	668	602	174	244	363	420
STAMBPL1	121	81	130	132	50	71	114	146
STARD10	117	85	96	78	12	13	19	26
STARD13	117	97	130	102	39	81	93	106
STARD3	186	140	177	170	65	85	123	196
STARD3NL	480	341	426	340	81	81	128	193
STARD4	122	86	158	151	111	138	221	269
STARD5	38	32	27	29	5	7	6	10
STARD7	2807	2046	2956	2657	370	475	626	970
STARD9	689	696	926	801	8	15	55	22
STAT1	743	608	829	867	510	645	924	1221
STAT2	278	275	380	319	128	169	235	275
STAT3	590	473	603	559	521	642	854	1227
STAT5A	93	86	111	82	51	63	82	111
STAT5B	482	459	530	467	187	239	368	434
STAT6	114	96	111	79	7	3	13	24
STAU1	1045	1115	1347	1231	1296	1771	2429	3152
STAU2	581	430	651	604	159	251	346	450
STBD1	63	32	60	45	26	27	42	71
STC2	254	209	328	282	152	239	367	508
STEAP1	83	66	98	86	77	88	110	168
STEAP1B	39	36	48	51	33	44	50	78
STEAP2	68	41	83	75	107	116	194	247
STEAP3	234	183	234	182	173	224	331	465
STIL	1286	1164	1386	1144	307	393	589	771
STIM1	343	311	394	345	170	218	264	395
STIM2	266	217	275	246	116	139	209	262
STIP1	6816	4929	6337	5811	2315	3139	3983	6084
STK10	397	339	451	364	74	111	164	240
STK11	865	661	892	918	23	46	71	109
STK11IP	190	178	205	170	190	245	282	468
STK16	194	125	198	190	34	52	56	75
STK17A	315	229	350	349	195	245	364	506
STK17B	372	264	317	316	145	195	274	300
STK19	85	51	86	80	78	125	140	215
STK24	690	585	932	789	319	441	635	849
STK25	1680	1208	1471	1201	238	326	531	638
STK3	388	332	467	400	137	195	286	351
STK32C	109	68	128	110	16	22	26	45
STK33	280	237	335	289	86	96	111	140
STK35	283	281	381	373	130	176	223	312
STK36	485	419	521	417	92	122	155	242
STK38	358	310	394	392	171	219	316	413
STK38L	445	329	511	476	187	233	380	489
STK39	497	405	567	578	220	247	344	521
STK4	639	559	712	617	313	432	647	853
STK40	305	285	345	321	46	59	94	152
STMN1	1825	1308	1870	1839	1740	2215	3272	4512
STMN3	81	40	67	62	156	221	270	472
STOM	185	119	181	174	174	230	315	437
STOML1	66	31	73	59	26	40	58	102
STOML2	2999	1990	2592	2275	1002	1397	1765	2703
STON1-GTF2A1L	32	34	39	32	45	48	97	81
STON2	234	232	258	202	46	75	107	162
STOX1	203	172	220	158	37	55	82	93
STOX2	181	147	204	167	49	65	89	109
STPG1	89	71	72	65	50	81	93	116
STRA13	72	78	87	79	54	75	125	180
STRADA	150	134	169	143	113	148	217	305
STRADB	708	514	787	626	79	107	149	186
STRAP	2421	1860	2916	2675	2130	2605	3665	5429
STRBP	1263	950	1285	1253	282	338	490	654
STRIP1	888	780	964	856	272	364	532	712
STRIP2	251	198	284	238	52	85	102	168
STRN	644	540	770	694	230	251	412	571
STRN3	894	612	988	889	296	369	526	730
STRN4	934	848	1154	1084	262	355	523	737
STT3A	3498	2218	2784	2296	1117	1523	1960	3006
STT3B	3579	2566	3788	3549	695	927	1225	1705
STUB1	1418	1038	1359	1363	625	926	1187	1781
STX10	353	261	394	358	74	105	145	225
STX12	471	350	510	476	285	362	465	693
