	ribo_tm_a	ribo_tm_b	ribo_untr_a	ribo_untr_b
EIF2B1	518	313	883	1320
EIF2B2	267	180	476	652
EIF2B3	534	374	938	1280
EIF2B4	265	167	411	619
EIF2B5	331	210	441	718
EIF2D	143	129	289	394
EIF2S1	1010	797	1895	2654
EIF2S2	1465	1158	2845	3479
EIF2S3	2912	2164	8227	10274
EIF3A	3201	2370	5626	9105
EIF3B	2338	1591	4433	6276
EIF3C	9815	6909	19821	26935
EIF3D	2734	1995	5250	7157
EIF3E	2472	1738	5164	6812
EIF3F	551	409	1403	2208
EIF3G	1196	933	2800	3998
EIF3H	809	653	1938	2788
EIF3I	2780	2149	6011	7957
EIF3J	428	289	875	1308
EIF3K	2488	1768	5809	7540
EIF3L	1220	904	3016	4622
EIF3M	1616	1185	3482	4822
EIF4A2	501	355	1274	1747
EIF4A3	1154	896	1890	2746
EIF4B	1493	990	3097	4691
EIF4E	553	366	1037	1511
EIF4E2	346	260	514	787
EIF4E3	27	20	54	78
EIF4EBP1	263	203	468	665
EIF4EBP2	44	47	153	262
EIF4ENIF1	207	128	343	507
EIF4G1	5843	4160	8759	12745
EIF4G2	1550	1063	2092	2674
EIF4G3	1104	838	2083	3041
EIF4H	1070	754	2284	3023
EIF5	1054	728	1558	1867
EIF5A	9626	6968	17503	25362
EIF5A2	32	16	67	97
EIF5AL1	3969	2819	8296	11269
EIF5B	1356	991	2123	2964
EIF6	542	319	914	1388
ELAC1	30	29	39	79
ELAC2	691	464	1055	1390
ELAVL1	982	737	2195	3078
ELAVL2	77	58	157	211
ELF1	318	257	471	605
ELF2	198	123	323	460
ELF4	110	77	273	325
ELK1	55	44	106	192
ELK3	18	21	75	68
ELL	87	71	165	241
ELL2	76	75	211	235
ELL3	62	42	175	168
ELMO2	204	120	289	452
ELMO3	1	1	3	1
ELMOD1	5	5	11	12
ELMOD2	198	145	366	514
ELMOD3	7	5	7	16
ELMSAN1	88	57	160	214
ELOF1	147	111	254	491
ELOVL1	318	189	562	867
ELOVL2	70	53	160	257
ELOVL4	288	222	502	713
ELOVL5	633	487	1365	2057
ELOVL6	128	83	253	436
ELOVL7	60	47	132	194
ELP2	451	345	937	1262
ELP3	503	391	820	1150
ELP4	160	111	269	307
ELP5	283	205	502	694
ELP6	184	144	261	423
EMB	146	88	308	364
EMC1	822	498	1448	2201
EMC10	281	153	381	773
EMC2	222	162	471	519
EMC3	430	325	780	1062
EMC4	445	295	640	972
EMC6	75	46	115	227
EMC7	286	159	513	753
EMC8	185	114	321	469
EMC9	50	29	69	97
EMD	438	323	856	1299
EME1	98	49	145	224
EME2	10	10	13	17
EMG1	328	201	546	879
EMILIN2	51	28	106	107
EMILIN3	105	71	223	329
EML1	215	144	380	517
EML2	69	47	138	202
EML3	31	25	89	104
EML4	451	320	824	1223
EML5	37	26	76	109
EML6	11	3	11	11
EMP2	48	38	113	170
EMP3	96	57	164	211
EN2	39	29	109	169
ENAH	618	423	1345	1738
ENC1	169	103	248	388
ENDOD1	65	46	120	179
ENDOG	188	110	297	511
ENDOV	23	13	33	52
ENGASE	48	32	67	115
ENKD1	17	9	36	56
ENO1	20447	14334	38739	57987
ENO2	697	408	1308	1798
ENOPH1	216	151	424	641
ENOSF1	75	51	174	223
ENOX1	19	8	49	58
ENOX2	59	44	97	108
ENPEP	135	74	236	276
ENPP1	146	90	294	396
ENPP4	143	119	320	379
ENSA	664	473	1095	1667
ENTHD2	49	33	75	107
ENTPD4	32	21	82	155
ENTPD5	10	2	22	22
ENTPD6	107	69	152	261
ENTPD7	93	50	206	252
ENY2	318	240	532	867
EOGT	50	25	97	125
EP300	880	599	1341	1905
EP400	605	400	847	1344
EPAS1	22	22	77	84
EPB41	534	388	1131	1466
EPB41L1	27	29	73	107
EPB41L2	917	633	1618	2141
EPB41L3	495	350	913	1395
EPB41L4A	14	8	38	40
EPB41L4B	12	14	66	70
EPB41L5	157	108	328	415
EPC1	118	100	125	182
EPC2	73	61	160	195
EPDR1	96	68	187	273
EPG5	194	105	274	367
EPHA2	217	149	520	739
EPHA3	121	67	156	199
EPHA4	173	108	301	475
EPHA5	88	44	107	180
EPHA6	56	39	89	135
EPHA7	541	375	937	1464
EPHA8	20	7	28	38
EPHB1	25	12	27	46
EPHB2	85	42	184	242
EPHB4	114	72	234	415
EPHX1	215	127	428	566
EPHX2	71	47	134	173
EPHX4	49	19	76	105
EPM2A	19	14	26	35
EPN1	203	137	499	731
EPN2	61	48	121	194
EPPK1	368	291	736	1106
EPRS	1922	1387	3551	4546
EPS15	322	242	664	902
EPS15L1	337	286	692	986
EPS8	320	209	572	776
EPT1	318	226	547	841
ERAL1	349	270	634	1037
ERAP1	80	52	169	203
ERBB2	77	57	175	168
ERBB2IP	289	263	683	850
ERBB4	122	65	238	246
ERC1	344	206	556	718
ERC2	5	8	17	25
ERCC1	116	103	214	397
ERCC2	251	159	486	639
ERCC3	313	214	607	838
ERCC4	179	92	271	388
ERCC6	160	163	293	424
ERCC6L	278	238	391	580
ERCC6L2	72	47	80	98
ERCC8	45	32	80	81
ERF	108	81	214	341
ERGIC1	185	101	358	525
ERGIC2	228	164	393	482
ERGIC3	517	325	1180	1710
ERH	1080	847	1953	2637
ERI1	149	120	344	385
ERI2	81	76	165	174
ERI3	609	454	976	1313
ERICH1	80	70	210	228
ERLEC1	119	76	258	298
ERLIN1	120	53	269	353
ERLIN2	337	191	614	841
ERMAP	5	5	16	15
ERMP1	213	149	474	593
ERN1	28	13	33	58
ERO1L	295	201	731	826
ERO1LB	67	44	106	156
ERP29	398	237	845	1298
ERP44	402	299	895	1290
ERRFI1	97	51	171	238
ERV3-1	0	1	1	8
ESCO1	43	31	88	111
ESCO2	407	306	747	1011
ESD	1224	1027	2482	3356
ESF1	378	315	561	766
ESPL1	821	529	1106	1773
ESPNL	0	0	0	0
ESRP2	159	91	264	346
ESRRA	61	38	115	172
ESYT1	881	582	1620	2218
ESYT2	252	178	540	808
ETAA1	57	45	120	125
ETF1	1368	1080	2990	3774
ETFA	1113	849	2426	3025
ETFB	277	173	682	930
ETFDH	138	96	268	438
ETHE1	35	29	103	133
ETNK1	420	307	651	1060
ETNK2	18	15	50	62
ETS2	221	128	307	470
ETV3	177	123	258	410
ETV3L	24	17	25	45
EVC	25	10	35	47
EVI5	131	103	236	332
EVI5L	32	34	81	105
EVL	50	46	72	128
EWSR1	3215	2289	4628	6669
EXD2	116	75	175	248
EXO1	283	212	543	625
EXO5	77	49	80	127
EXOC1	196	153	449	570
EXOC2	447	365	833	1114
EXOC3	199	148	429	592
EXOC4	471	341	979	1271
EXOC5	218	176	562	650
EXOC6	429	343	808	956
EXOC6B	224	149	359	439
EXOC7	396	295	708	1053
EXOC8	295	246	468	711
EXOG	77	51	118	186
EXOSC1	231	171	445	707
EXOSC10	1079	748	1758	2692
EXOSC2	433	335	877	1312
EXOSC3	246	199	511	754
EXOSC4	212	137	396	660
EXOSC5	291	197	555	887
EXOSC6	165	132	265	435
EXOSC7	177	115	354	510
EXOSC8	573	447	1162	1479
EXOSC9	418	291	665	1008
EXPH5	89	48	124	159
EXT1	112	61	153	223
EXT2	339	227	631	848
EXTL2	102	70	182	179
EXTL3	100	58	190	271
EYA1	21	28	42	50
EYA2	78	48	132	204
EYA3	227	138	396	538
EYA4	214	134	299	448
EZH1	40	25	106	99
EZH2	437	307	705	1099
EZR	1394	956	2161	3529
F11R	127	99	268	425
F2R	130	79	248	319
F2RL1	130	78	247	342
F8	18	18	37	41
FABP5	508	376	1007	1485
FADD	128	75	239	344
FADS1	117	82	231	301
FADS2	463	280	1025	1422
FADS3	33	30	74	103
FAF1	423	304	983	1280
FAF2	521	349	823	1191
FAH	97	81	220	311
FAHD1	132	90	235	340
FAHD2A	155	108	317	377
FAHD2B	132	100	299	343
FAIM	231	153	399	664
FAM101B	51	40	129	175
FAM102A	4	7	11	16
FAM102B	50	44	133	148
FAM103A1	175	108	263	337
FAM104A	88	66	118	219
FAM104B	48	44	67	97
FAM105A	172	138	365	497
FAM105B	131	106	278	302
FAM107B	112	91	195	208
FAM110B	23	14	39	42
FAM114A1	19	11	49	68
FAM114A2	160	123	278	397
FAM115A	627	426	961	1529
FAM117A	43	39	100	148
FAM117B	150	118	248	318
FAM118A	73	62	114	170
FAM118B	71	51	155	211
FAM120A	405	297	874	1407
FAM120AOS	26	8	35	34
FAM120B	440	370	648	895
FAM120C	117	77	175	287
FAM122A	39	35	93	126
FAM122B	105	61	183	232
FAM126A	114	96	267	339
FAM126B	53	39	86	136
FAM127A	301	221	625	915
FAM127B	176	142	372	593
FAM127C	142	112	286	517
FAM129A	97	65	201	230
FAM129B	231	137	548	759
FAM133B	153	146	247	383
FAM134A	69	47	140	242
FAM134B	51	37	103	126
FAM134C	167	101	253	353
FAM135A	94	71	228	250
FAM136A	275	220	586	872
FAM13A	118	96	164	215
FAM13B	58	49	49	65
FAM13C	18	15	28	58
FAM149A	9	5	18	29
FAM149B1	16	11	58	68
FAM151B	12	11	17	34
FAM155B	5	8	21	22
FAM156A	48	32	84	104
FAM160A1	34	25	44	64
FAM160A2	59	46	79	136
FAM160B1	136	113	220	340
FAM160B2	72	44	135	191
FAM161A	63	54	129	166
FAM161B	18	13	42	56
FAM162A	279	189	552	742
FAM168A	131	84	225	301
FAM168B	277	203	485	602
FAM169A	150	88	240	410
FAM171A1	89	58	215	308
FAM171A2	49	25	92	152
FAM171B	38	41	85	81
FAM172A	65	51	140	192
FAM173A	27	26	56	97
FAM173B	82	55	127	206
FAM174A	27	19	55	72
FAM175A	39	25	90	114
FAM175B	184	126	341	412
FAM177A1	97	65	152	240
FAM178A	297	222	411	515
FAM179B	49	41	98	125
FAM184A	88	76	186	210
FAM185A	62	51	89	156
FAM188A	462	299	719	913
FAM188B	50	34	66	111
FAM189B	79	53	189	286
FAM192A	177	148	385	529
FAM193A	136	85	227	317
FAM193B	61	44	94	124
FAM195A	46	40	105	158
FAM195B	50	49	79	175
FAM198A	17	13	11	28
FAM199X	282	221	637	793
FAM200A	83	52	111	135
FAM200B	13	12	36	35
FAM203A	168	92	267	543
FAM204A	117	79	252	387
FAM206A	52	33	105	179
FAM207A	215	149	395	539
FAM208A	297	236	578	709
FAM208B	765	625	1412	1914
FAM20B	76	41	103	183
FAM20C	25	18	61	79
FAM210A	69	74	170	261
FAM210B	83	49	213	253
FAM213A	104	61	192	253
FAM214A	70	60	146	150
FAM216A	387	292	830	949
FAM217B	20	20	37	56
FAM219A	58	51	112	185
FAM219B	26	19	62	99
FAM21A	683	478	1184	1886
FAM21B	604	421	1058	1616
FAM21C	645	462	1174	1818
FAM220A	35	13	42	48
FAM221A	56	38	142	196
FAM222A	7	8	19	31
FAM222B	60	44	102	151
FAM227A	5	0	3	1
FAM229B	15	27	43	88
FAM32A	123	117	215	346
FAM35A	127	103	287	354
FAM3A	41	30	93	126
FAM3C	409	252	676	1028
FAM46A	54	40	96	179
FAM46C	92	73	154	238
FAM49B	341	277	707	961
FAM50A	558	400	1206	1682
FAM50B	3	0	0	0
FAM53B	41	33	76	110
FAM53C	199	132	309	471
FAM57A	85	40	109	206
FAM58A	79	63	197	231
FAM5C	0	0	0	0
FAM60A	578	429	1005	1518
FAM63A	63	51	126	158
FAM63B	35	29	101	130
FAM64A	211	158	350	683
FAM65A	148	97	350	430
FAM69A	96	67	161	192
FAM69B	58	41	157	291
FAM72A	150	111	249	327
FAM72B	145	109	231	300
FAM72D	156	122	265	329
FAM73A	197	128	405	468
FAM73B	48	24	68	109
FAM76A	76	28	104	151
FAM76B	41	23	64	103
FAM81A	0	2	8	18
FAM83B	103	67	150	220
FAM83D	529	411	903	1347
FAM83G	84	59	138	203
FAM83H	121	99	163	283
FAM84B	4	4	13	13
FAM86A	43	35	101	150
FAM86B1	20	18	45	56
FAM86B2	18	16	45	51
FAM89A	66	54	108	172
FAM89B	21	12	39	71
FAM8A1	216	124	345	475
FAM91A1	196	146	548	697
FAM92A1	146	103	365	464
FAM96A	88	62	122	121
FAM98A	396	352	683	1066
FAM98B	549	457	985	1214
FAM98C	45	28	70	146
FAN1	138	99	180	281
FANCA	387	276	636	909
FANCB	129	109	180	276
FANCC	99	54	163	213
FANCD2	580	377	1030	1357
FANCE	69	44	183	241
FANCG	90	72	182	292
FANCI	1026	758	1555	2074
FANCL	334	224	585	766
FANCM	165	97	232	369
FAR1	756	552	1219	1748
FAR2	241	165	395	509
FARP1	123	93	321	423
FARP2	304	214	419	584
FARS2	66	46	142	151
FARSA	1383	927	2417	3611
FARSB	1344	1093	2941	3667
FAS	86	61	168	223
FASN	5385	3779	10401	17780
FASTK	42	34	105	200
FASTKD1	160	122	302	329
FASTKD2	544	422	792	1066
FASTKD3	103	75	216	283
FASTKD5	477	336	708	995
FAT1	1035	585	1379	2085
FAT3	114	64	152	248
FAT4	174	120	249	353
FAU	2017	1355	3724	6065
FAXC	25	20	42	52
FBF1	20	5	23	28
FBL	2808	1962	5114	8703
FBLIM1	54	40	147	196
FBLN1	175	96	383	602
FBN1	192	97	191	426
FBN2	1745	996	2333	3839
FBRS	103	74	172	250
FBRSL1	113	63	250	415
FBXL12	58	37	76	154
FBXL14	76	52	166	231
FBXL15	57	21	85	126
FBXL17	83	77	147	249
FBXL18	93	58	147	242
FBXL19	48	26	91	123
FBXL2	15	16	36	49
FBXL20	64	41	117	150
FBXL3	211	148	280	441
FBXL4	106	73	170	198
FBXL5	144	98	255	309
FBXL6	38	22	54	75
FBXO10	44	37	82	120
FBXO11	306	229	555	759
FBXO16	32	28	62	77
FBXO18	320	211	650	858
FBXO21	450	276	747	1057
FBXO22	167	135	315	436
FBXO25	63	76	196	259
FBXO28	246	172	373	518
FBXO3	264	217	534	645
FBXO30	227	153	353	444
FBXO31	58	32	125	166
FBXO32	71	55	166	188
FBXO33	138	88	195	284
FBXO34	83	64	144	212
FBXO38	268	158	475	612
FBXO4	57	36	83	124
FBXO42	139	75	240	397
FBXO44	51	24	84	173
FBXO45	67	34	97	121
FBXO46	76	27	85	123
FBXO5	465	318	604	803
FBXO7	475	328	985	1276
FBXO8	65	42	88	140
FBXO9	74	55	188	251
FBXW11	246	174	529	737
FBXW2	87	36	138	160
FBXW4	48	25	104	115
FBXW5	97	75	153	226
FBXW7	58	31	80	102
FBXW8	85	44	95	206
FBXW9	90	64	182	274
FCF1	230	156	366	529
FCGBP	18	7	18	8
FCGRT	102	64	216	249
FCHO2	170	144	292	391
FCHSD1	23	7	28	38
FCHSD2	71	41	132	183
FDFT1	1071	714	2022	2773
FDPS	1308	1012	2304	3094
FDX1	229	163	446	694
FDX1L	123	73	104	193
FDXACB1	19	20	32	53
FDXR	133	109	214	350
FECH	232	169	481	605
FEM1A	207	117	417	560
FEM1B	299	196	593	789
FEM1C	188	117	317	366
FEN1	898	641	1463	2356
FER	96	85	191	249
FERMT1	85	61	125	197
FERMT2	454	317	913	1188
FEZ1	18	10	45	53
FEZ2	122	83	248	353
FGD1	64	43	142	193
FGD4	32	20	71	95
FGD6	34	12	76	120
FGF2	22	18	63	72
FGFR1	105	58	234	321
FGFR1OP	174	134	334	512
FGFR1OP2	89	81	221	317
FGFR2	49	22	119	181
FGFR3	37	21	102	126
FGFR4	18	16	47	63
FGFRL1	51	38	158	207
FGGY	7	5	12	18
FH	693	452	1412	1833
FHAD1	9	12	14	16
FHL1	826	559	1819	2655
FHL2	131	101	285	427
FHOD1	194	155	329	486
FHOD3	39	30	73	107
FIBP	119	91	311	423
FICD	16	14	44	45
FIG4	228	159	526	642
FIGN	34	17	55	80
FIGNL1	278	185	387	600
FIP1L1	104	90	267	320
FIS1	178	168	354	497
FITM2	62	42	119	201
FJX1	31	24	78	95
FKBP10	227	121	484	715
FKBP11	96	68	200	293
FKBP14	72	38	98	150
FKBP15	165	104	264	398
FKBP1A	1054	743	1935	2857
FKBP2	94	70	147	240
FKBP3	866	796	2092	2606
FKBP4	2928	1993	5846	8373
FKBP5	305	217	648	853
FKBP7	20	27	67	75
FKBP8	548	375	1300	1760
FKBP9	119	65	265	322
FKBPL	61	33	73	117
FKRP	31	15	33	90
FKTN	33	23	45	74
FLAD1	222	132	455	563
FLCN	60	40	104	165
FLII	625	393	1230	1734
FLJ00285	29	8	30	13
FLJ00322	27	5	26	12
FLJ14346	0	0	0	1
FLJ44955	0	0	0	1
FLNA	5458	3754	8329	13554
FLNB	619	419	700	1448
FLNC	55	37	63	113
FLOT1	220	166	555	633
FLOT2	321	215	605	887
FLRT3	21	20	30	35
FLT1	209	123	411	555
FLT4	133	85	224	340
FLVCR1	104	57	188	278
FLYWCH1	61	45	151	237
FLYWCH2	39	37	59	114
FMN2	61	46	119	188
FMNL2	183	122	288	381
FMNL3	52	27	96	147
FMO4	28	14	16	28
FMR1	447	394	910	1264
FN1	758	408	1451	2237
FN3KRP	126	97	217	324
FNBP1	240	186	503	611
FNBP1L	151	106	294	418
FNBP4	209	159	315	522
FNDC3A	505	382	781	1129
FNDC3B	258	189	404	560
FNDC4	2	1	3	1
FNIP2	69	43	157	217
FNTA	327	247	709	929
FOCAD	298	235	622	757
FOPNL	113	93	255	326
FOXA1	111	78	201	279
FOXC1	622	466	1173	2067
FOXD1	51	32	62	130
FOXF2	77	46	149	270
FOXG1	50	48	84	156
FOXJ2	35	18	59	112
FOXJ3	328	226	583	755
FOXK1	190	147	344	527
FOXK2	141	95	334	504
FOXM1	193	161	385	522
FOXN2	64	49	139	178
FOXN3	32	15	44	75
FOXO1	180	148	350	504
FOXO3	309	201	478	766
FOXO4	29	17	44	59
FOXP1	138	80	319	379
FOXP2	59	65	142	149
FOXP4	98	75	229	376
FOXRED1	180	124	301	499
FOXRED2	372	263	589	853
FPGS	202	104	297	487
FPGT-TNNI3K	28	23	47	62
FRA10AC1	137	118	305	412
FRAS1	313	158	376	678
FRAT2	38	26	62	107
FREM2	346	203	547	828
FRG1	232	208	474	628
FRMD4A	55	38	145	146
FRMD4B	45	28	81	107
FRMD5	28	13	55	82
FRMD6	96	66	207	237
FRMD8	55	43	107	167
FRRS1	69	27	146	134
FRS2	65	36	126	186
FRY	19	14	38	44
FRYL	241	177	378	592
FSBP	28	13	23	28
FSCN1	549	332	1153	1483
FSD1	94	60	178	285
FSD1L	11	7	24	24
FSIP2	0	0	0	0
FSTL1	788	458	1487	2501
FTH1	457	280	905	1399
FTL	208	154	459	706
FTO	256	190	525	661
FTSJ1	111	88	232	397
FTSJ2	175	125	247	425
FTSJ3	883	651	1498	2247
FTSJD1	77	60	170	219
FTSJD2	580	436	975	1381
FUBP1	1416	1092	2272	3592
FUBP3	712	460	1183	1864
FUCA1	100	62	206	304
FUCA2	516	317	967	1287
FUK	47	20	56	99
FUNDC1	165	117	276	393
FUNDC2	191	139	423	629
FUOM	12	11	21	40
FURIN	84	39	172	242
FUS	5057	3800	7677	11842
FUT10	53	35	55	84
FUT11	80	55	110	196
FUT4	11	5	17	27
FUT8	46	23	105	122
FUZ	88	70	158	234
FXN	97	78	220	336
FXR1	724	550	1621	2105
FXR2	380	288	713	1128
FXYD5	727	541	1560	2139
FYCO1	119	93	247	296
FYN	149	122	323	478
FYTTD1	220	161	499	596
FZD1	82	40	129	162
FZD2	73	48	160	215
FZD3	148	88	230	328
FZD4	19	17	39	63
FZD5	66	37	140	223
FZD6	131	88	237	331
FZD7	105	68	210	261
FZD8	122	69	299	503
FZD9	10	9	22	50
FZR1	155	126	341	494
G2E3	245	169	482	602
G3BP1	3073	2282	4249	7545
G3BP2	501	360	947	1344
G6PC3	435	275	682	1177
G6PD	746	494	1294	1777
GAA	86	61	194	297
GAB1	84	71	149	215
GABARAP	581	399	1218	1534
GABARAPL1	125	88	179	305
GABARAPL2	390	284	743	1047
GABBR1	5	4	27	16
GABBR2	2	2	3	13
GABPA	429	303	852	1085
GABPB1	104	73	245	334
GABPB2	41	31	96	109
GABRB3	93	62	141	244
GAD1	27	21	64	69
GADD45A	100	99	149	219
GADD45B	36	27	26	63
GADD45GIP1	751	496	1316	2182
GAK	240	170	514	729
GAL	1	0	7	2
GALC	37	26	47	93
GALE	184	135	362	482
GALK1	164	95	368	500
GALK2	106	85	196	273
GALM	118	105	216	343
GALNS	26	22	91	123
GALNT1	111	91	287	375
GALNT10	25	23	73	94
GALNT11	40	30	110	131
GALNT12	16	9	33	56
GALNT13	29	15	71	98
GALNT16	22	15	58	74
GALNT18	43	22	87	103
GALNT2	241	131	417	688
GALNT3	91	64	210	205
GALNT4	69	53	108	159
GALNT6	36	18	91	121
GALNT7	283	177	502	731
GALT	45	25	97	113
GAMT	87	52	177	286
GAN	92	45	144	196
GANAB	2510	1522	4954	7439
GANC	30	28	71	94
GAPDH	18917	14160	41922	62612
GAPVD1	872	614	1490	1908
GAR1	348	268	533	735
GAREM	12	9	26	29
GAREML	18	18	46	39
GARNL3	6	2	8	6
GARS	1027	839	2195	2791
GART	2222	1610	4332	6036
GAS1	72	36	112	193
GAS2L3	118	98	231	261
GAS6	21	13	40	56
GAS8	28	18	62	90
GATA2	146	109	260	358
GATA4	90	57	187	264
GATA6	297	238	431	745
GATAD1	72	61	138	163
GATAD2A	226	162	519	791
GATAD2B	533	362	1016	1388
GATC	188	128	372	491
GATS	78	78	156	228
GATSL1	79	50	149	234
GATSL2	103	75	190	302
GBA	292	178	522	784
GBA2	55	42	121	186
GBAS	322	207	730	845
GBE1	140	88	234	413
GBF1	1019	710	1626	2429
GCA	117	71	236	357
GCAT	87	67	177	281
GCC1	69	44	196	296
GCC2	381	292	867	892
GCDH	226	155	418	623
GCFC2	174	150	381	539
GCH1	81	48	172	268
GCHFR	53	41	106	160
GCLC	344	239	548	791
GCLM	345	270	533	803
GCN1L1	2182	1442	3745	5748
GCNT1	27	18	39	46
GCOM1	82	50	115	158
GCSH	195	165	513	719
GDAP1	97	73	238	284
GDAP2	130	100	324	425
GDE1	86	59	164	255
GDF11	43	23	105	135
GDI1	706	470	1367	2040
GDI2	2676	2007	5204	7555
GDPD1	59	43	121	164
GDPD5	8	4	5	15
GDPGP1	18	18	32	58
GEMIN2	176	103	329	452
GEMIN4	916	642	1470	2078
GEMIN5	884	623	1742	2361
GEMIN6	162	95	251	374
GEMIN7	64	51	151	212
GEMIN8	83	73	226	255
GEN1	126	71	153	232
GET4	226	172	443	681
GFER	62	48	97	210
GFI1	52	31	98	134
GFM1	429	352	624	895
GFM2	249	166	391	499
GFOD1	11	9	32	53
GFOD2	21	18	46	66
GFPT1	577	430	1192	1562
GFPT2	57	38	141	165
GGA1	179	121	357	502
GGA2	442	329	701	1087
GGA3	133	80	241	343
GGCT	235	170	579	768
GGCX	235	152	433	703
GGH	511	294	981	1170
GGNBP2	392	298	580	867
GGPS1	79	90	157	210
GGT7	62	31	87	154
GHDC	26	20	54	73
GHITM	2203	1654	4537	6093
GID4	34	22	67	122
GID8	182	163	423	632
GIGYF1	105	45	153	211
GIGYF2	741	612	1167	1906
GIN1	81	66	190	213
GINM1	161	117	380	433
GINS1	289	210	420	583
GINS2	267	175	547	821
GINS3	137	106	199	289
GINS4	242	183	342	507
GIPC1	315	244	740	1013
GIT1	93	96	281	425
GIT2	216	167	482	599
GJA1	497	341	925	1219
GJC1	128	73	221	313
GK	119	112	242	312
GK5	61	52	133	166
GKAP1	43	26	124	137
GLA	1003	649	1798	2574
GLB1	232	159	365	600
GLB1L	14	9	28	49
GLB1L2	181	122	301	425
GLB1L3	29	24	41	88
GLCCI1	50	38	80	137
GLCE	78	47	140	167
GLDC	178	125	249	362
GLE1	305	219	539	733
GLG1	696	398	1140	1742
GLI2	37	22	50	76
GLI3	87	55	138	217
GLI4	17	11	40	49
GLIPR2	14	11	41	44
GLMN	330	247	598	776
GLO1	2607	1751	5678	7248
GLOD4	510	392	829	1355
GLRB	39	17	138	156
GLRX	99	71	227	249
GLRX2	92	68	153	225
GLRX3	1265	955	2615	3426
GLRX5	193	148	374	662
GLS	334	263	470	842
GLS2	22	23	49	73
GLT8D1	72	53	163	187
GLT8D2	28	18	61	74
GLTP	60	44	144	219
GLTSCR1	41	35	55	124
GLTSCR1L	19	11	51	47
GLTSCR2	204	139	444	732
GLUD1	998	730	2253	3063
GLUD2	429	341	1035	1416
GLUL	1814	1293	2950	4602
GLYCTK	17	13	51	58
GLYR1	495	364	903	1313
GM2A	132	64	253	399
GMCL1	58	31	103	141
GMDS	162	117	338	500
GMEB1	113	83	177	228
GMEB2	85	62	186	243
GMFB	234	175	435	566
GMIP	31	12	57	73
GMNN	748	653	1514	2070
GMPPA	206	155	354	560
GMPPB	125	95	210	347
GMPR2	170	117	328	442
GMPS	1259	864	2607	3396
GNA11	178	147	394	616
GNA12	33	28	85	134
GNA13	136	95	267	398
GNAI1	281	224	576	786
GNAI2	298	196	588	884
GNAI3	950	672	1783	2500
GNAL	40	33	107	119
GNAQ	101	79	228	339
GNAS	4187	2653	10333	14370
GNAZ	14	6	32	57
GNB1	1205	805	2844	4231
GNB1L	79	52	186	250
GNB2	891	595	2121	2998
GNB2L1	9310	7102	23726	36548
GNB4	351	234	710	1022
GNB5	129	99	267	368
GNE	244	174	450	638
GNG12	187	159	381	487
GNG5	501	409	1074	1299
GNL1	199	166	337	660
GNL2	989	705	1797	2429
GNL3	1205	955	2197	3071
GNL3L	846	577	1506	2029
GNPAT	225	158	428	610
GNPDA1	333	225	698	991
GNPDA2	101	67	195	197
GNPNAT1	195	153	430	495
GNPTAB	74	56	201	225
GNPTG	28	19	69	83
GNS	480	292	836	1094
GOLGA1	49	49	118	191
GOLGA2	191	152	348	458
GOLGA3	334	228	541	749
GOLGA4	261	214	583	707
GOLGA5	190	139	440	524
GOLGA6L10	5	4	3	11
GOLGA6L4	4	6	3	6
GOLGA6L9	10	8	4	14
GOLGA7	276	209	557	629
GOLGA8A	51	25	50	42
GOLGA8B	51	25	50	42
GOLGB1	663	494	1253	1764
GOLIM4	193	126	467	582
GOLM1	450	286	850	1278
GOLPH3	317	189	540	745
GOLPH3L	171	133	240	425
GOLT1B	101	68	155	210
GON4L	372	240	534	760
GORAB	38	24	63	90
GORASP1	89	66	164	244
GORASP2	435	361	936	1198
GOSR1	177	124	296	366
GOSR2	158	109	247	365
GOT1	526	400	959	1350
GOT2	1586	1130	3092	4125
GPAA1	305	178	528	861
GPAM	159	100	264	409
GPANK1	61	30	119	152
GPATCH1	194	143	316	463
GPATCH11	97	82	191	281
GPATCH2	98	93	204	258
GPATCH2L	136	96	238	317
GPATCH3	90	56	120	188
GPATCH4	383	275	554	829
GPATCH8	408	349	666	1001
GPBP1	128	99	244	270
GPBP1L1	87	62	112	171
GPC1	65	53	118	182
GPC3	123	53	224	278
GPC4	330	210	721	1005
GPC6	38	30	95	133
GPCPD1	224	181	406	550
GPD1L	105	83	258	377
GPD2	379	293	706	1059
GPHN	243	154	317	553
GPI	8218	5902	17668	25584
GPKOW	222	156	405	605
GPLD1	5	6	11	19
GPM6A	84	55	141	178
GPM6B	128	74	251	368
GPN1	253	137	414	586
GPN2	258	139	366	518
GPN3	407	288	768	1079
GPR107	318	208	512	729
GPR108	97	50	156	208
GPR124	7	2	16	26
GPR125	105	53	151	168
GPR126	128	85	223	278
GPR137	21	8	37	74
GPR137B	25	20	52	89
GPR137C	21	3	23	46
GPR155	26	8	48	54
GPR160	3	3	9	5
GPR161	24	16	64	104
GPR176	5	5	7	23
GPR180	87	51	137	200
GPR27	20	10	34	60
GPR52	0	0	0	0
GPR63	26	14	34	36
GPR75	0	0	0	0
GPR89A	196	144	402	518
GPR89B	196	144	402	518
GPR89C	120	89	250	320
GPR98	274	151	342	462
GPRASP1	13	8	17	22
GPRC5B	39	21	46	86
GPRC5C	52	32	78	155
GPRIN1	80	54	182	232
GPRIN3	76	49	168	182
GPS1	738	521	1407	2083
GPS2	203	144	389	568
