	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b
CREBBP	1165	1386	971	981
CREBL2	54	69	73	53
CREBRF	62	69	58	68
CREBZF	172	237	127	127
CREG1	1113	1390	1097	1077
CRELD1	93	110	88	73
CRELD2	244	403	271	284
CREM	426	498	304	384
CRIM1	372	380	343	362
CRIPT	313	385	248	272
CRISPLD1	313	345	307	317
CRK	592	842	494	490
CRKL	789	1074	583	649
CRLF3	409	422	283	319
CRLS1	70	98	55	54
CRMP1	252	263	187	207
CRNKL1	1115	1263	949	913
CROCC	122	208	129	135
CROT	279	315	239	241
CRTAP	1113	1444	1165	1061
CRTC1	163	212	145	128
CRTC2	439	565	328	385
CRTC3	163	196	150	152
CRY1	389	437	333	319
CRY2	49	81	57	53
CRYBG3	508	603	476	444
CRYGD	0	0	0	0
CRYL1	146	170	145	138
CRYZ	835	904	653	594
CRYZL1	439	480	373	393
CS	3305	3852	2562	2812
CSAD	26	25	20	28
CSDC2	26	19	13	14
CSDE1	8392	9579	7329	7422
CSE1L	17110	20300	14775	15569
CSF1	116	157	118	115
CSGALNACT2	137	137	128	102
CSK	1079	1389	808	864
CSKMT	1	3	1	1
CSNK1A1	2806	3525	2428	2672
CSNK1D	844	1063	725	721
CSNK1E	13	19	21	15
CSNK1G1	160	220	156	154
CSNK1G2	176	201	141	115
CSNK1G3	564	596	482	455
CSNK2A1	441	613	375	394
CSNK2A2	1220	1473	1080	1093
CSNK2B	931	1396	759	781
CSPG4	63	87	73	67
CSPG5	118	165	109	133
CSPP1	256	332	223	191
CSRNP1	62	79	63	55
CSRNP2	164	217	122	124
CSRNP3	47	50	36	29
CSRP2	877	1314	776	766
CST3	1284	1709	1039	988
CSTB	1430	2097	1010	1153
CSTF1	1355	1630	977	1115
CSTF2	1069	1398	823	868
CSTF2T	1326	1823	975	1171
CSTF3	1520	1740	1068	1163
CTBP1	808	1038	627	652
CTBP2	520	562	415	380
CTBS	236	235	177	185
CTC1	106	122	97	91
CTCF	1044	1265	869	879
CTDNEP1	188	251	154	160
CTDP1	341	488	263	295
CTDSP1	188	309	165	179
CTDSP2	316	346	243	219
CTDSPL	55	66	43	33
CTDSPL2	634	608	517	574
CTH	304	299	226	235
CTIF	110	128	106	80
CTNNA1	6280	7537	5090	5193
CTNNAL1	1589	1552	1235	1218
CTNNB1	8610	10993	7400	7499
CTNNBIP1	110	142	107	95
CTNNBL1	1183	1497	900	993
CTNND1	1481	1746	1217	1297
CTNS	168	232	138	138
CTPS1	3051	3815	2535	2766
CTPS2	533	584	418	431
CTR9	2242	2651	1800	1894
CTRL	1	2	1	2
CTSA	969	1116	793	738
CTSB	1224	1351	1065	1055
CTSC	1399	1911	1435	1428
CTSD	78	103	55	67
CTSF	0	1	0	1
CTSH	83	79	63	55
CTSK	1	0	1	4
CTSL	813	1123	830	796
CTSO	11	10	10	10
CTSV	501	682	481	489
CTSZ	1340	1756	1206	1337
CTTN	2493	2969	1950	2007
CTTNBP2	179	227	162	160
CTTNBP2NL	317	404	241	219
CTU1	191	322	157	163
CTU2	204	282	176	156
CUBN	3	4	3	9
CUEDC1	90	130	101	90
CUEDC2	994	1374	832	844
CUL1	1980	2380	1600	1605
CUL2	2893	3098	2237	2398
CUL3	2940	3364	2581	2606
CUL4A	1056	1252	849	857
CUL4B	2575	2647	2016	2225
CUL5	875	872	676	723
CUL7	616	818	611	591
CUL9	201	209	205	172
CUTA	1460	1978	1312	1255
CUTC	452	504	386	312
CUX1	691	872	664	590
CUX2	45	53	56	67
CWC15	922	1042	736	816
CWC22	713	857	551	560
CWC25	133	188	108	93
CWC27	594	675	488	476
CWF19L1	1403	1559	1108	1203
CWF19L2	330	414	309	271
CXADR	311	415	334	315
CXCL16	279	291	210	207
CXCR4	109	136	69	117
CXCR6	0	0	0	0
CXXC1	480	774	418	493
CXXC5	55	82	53	47
CXorf38	179	177	143	152
CXorf40A	20	10	7	15
CXorf40B	41	34	32	39
CXorf56	334	563	308	318
CYB561	64	87	61	39
CYB561A3	84	138	93	88
CYB561D1	26	46	23	25
CYB561D2	172	221	140	166
CYB5A	462	615	341	379
CYB5B	1240	1425	931	932
CYB5D1	98	151	86	98
CYB5D2	132	191	124	131
CYB5R1	281	365	245	223
CYB5R3	2588	3137	2088	1953
CYB5R4	502	503	428	400
CYB5RL	22	34	18	6
CYBA	1549	2280	1246	1241
CYBC1	130	215	149	133
CYBRD1	80	94	65	69
CYC1	2369	2878	1958	1933
CYCS	1078	1146	604	789
CYFIP1	2425	3015	2031	1991
CYFIP2	2093	2597	2168	1976
CYHR1	217	225	166	162
CYLD	273	300	203	244
CYP1B1	21	22	14	7
CYP20A1	248	335	227	241
CYP26A1	72	55	56	43
CYP26B1	31	15	22	17
CYP27B1	18	9	16	9
CYP27C1	7	14	7	12
CYP2D6	0	2	2	1
CYP2E1	1	0	0	0
CYP2J2	106	124	91	84
CYP2R1	56	66	49	56
CYP2U1	131	153	121	118
CYP39A1	40	44	36	52
CYP3A5	16	27	11	18
CYP4V2	37	33	30	41
CYP51A1	919	1025	732	748
CYREN	302	367	242	241
CYSTM1	574	637	437	437
CYTH1	177	209	163	179
CYTH2	192	263	158	139
CYTH3	122	139	91	89
CZIB	389	485	353	360
D2HGDH	231	377	236	215
DAAM1	264	269	214	203
DAAM2	203	214	162	151
DAB2	299	326	202	243
DAB2IP	195	267	183	163
DACH1	300	472	277	268
DACH2	12	12	7	14
DACT1	93	119	66	67
DAD1	1581	2012	1239	1268
DAG1	997	1340	1028	1022
DAGLA	73	123	71	90
DAGLB	321	382	244	224
DALRD3	207	221	164	138
DAP	305	446	231	234
DAP3	1852	2106	1505	1531
DAPK1	369	418	313	268
DAPK3	633	824	502	472
DARS	3228	3213	2372	2639
DARS2	2746	3012	2121	2345
DAXX	637	755	428	481
DAZAP1	2520	3202	2065	2112
DAZAP2	1418	1665	1105	1217
DBF4	167	171	148	152
DBF4B	147	168	104	104
DBI	1149	1184	827	896
DBN1	1881	2373	1678	1574
DBNDD1	93	102	57	66
DBNDD2	533	727	465	505
DBNL	1450	1946	1189	1134
DBP	53	53	20	29
DBR1	675	763	514	587
DBT	626	676	456	427
DCAF1	1212	1566	978	1039
DCAF10	311	423	247	250
DCAF11	147	203	145	155
DCAF12	555	650	389	393
DCAF13	1779	2144	1341	1441
DCAF15	648	834	552	494
DCAF16	443	456	319	351
DCAF17	183	225	152	184
DCAF4	236	246	182	188
DCAF4L1	7	3	13	6
DCAF5	360	484	315	285
DCAF6	606	720	521	487
DCAF7	1846	2369	1474	1503
DCAF8	1	3	1	0
DCAKD	607	683	483	508
DCBLD1	209	249	180	184
DCBLD2	304	388	245	295
DCDC1	10	3	8	10
DCDC2	234	262	192	173
DCDC2B	1	1	0	3
DCHS1	26	26	28	14
DCK	635	745	506	552
DCLK1	320	385	275	265
DCLK2	87	99	84	75
DCLRE1A	379	391	264	304
DCLRE1B	264	307	189	196
DCLRE1C	138	153	81	108
DCP1A	479	574	402	374
DCP1B	289	343	217	248
DCP2	916	1208	674	716
DCPS	279	353	220	229
DCST1	14	23	11	10
DCTD	530	626	398	418
DCTN1	2315	2874	1992	1896
DCTN2	2900	3301	2483	2475
DCTN3	1344	1553	933	1047
DCTN4	1840	2316	1518	1615
DCTN5	591	701	460	453
DCTN6	846	881	594	665
DCTPP1	1360	1569	1044	1007
DCUN1D1	443	456	371	384
DCUN1D2	35	80	47	55
DCUN1D3	23	42	24	25
DCUN1D4	351	448	290	250
DCUN1D5	1251	1288	1042	964
DCXR	1171	1683	943	968
DDA1	461	574	336	355
DDAH1	1185	1326	869	912
DDAH2	74	96	92	58
DDB1	9041	11284	7492	8010
DDB2	245	372	359	333
DDHD1	327	354	263	285
DDHD2	490	505	399	426
DDI2	671	831	515	527
DDIAS	250	255	187	178
DDIT3	34	49	31	31
DDIT4	347	509	236	271
DDIT4L	21	34	18	15
DDN	69	88	48	44
DDOST	5081	5774	4882	4545
DDR1	269	325	258	235
DDR2	527	536	504	452
DDRGK1	915	1366	916	837
DDTL	16	15	14	16
DDX1	4772	5664	4022	3967
DDX10	768	887	680	666
DDX11	233	306	241	198
DDX17	7572	9463	5908	6049
DDX18	1585	2045	1402	1499
DDX19A	116	134	91	85
DDX19B	25	31	14	25
DDX20	1564	1978	1196	1484
DDX21	9051	10448	7766	8226
DDX23	1479	1871	1222	1186
DDX24	5377	6954	4528	4637
DDX27	1895	2429	1565	1530
DDX28	493	631	447	431
DDX31	698	848	561	572
DDX39A	3004	3975	2541	2624
DDX39B	7723	10266	7238	6802
DDX3X	6671	8127	6046	6443
DDX41	588	833	525	478
DDX42	2239	2636	1828	1836
DDX46	4687	5274	3886	4052
DDX47	1926	2216	1589	1580
DDX49	908	1220	836	805
DDX5	12561	16190	11211	12308
DDX50	1105	1119	829	827
DDX51	389	555	327	360
DDX52	1491	1634	1196	1275
DDX54	1908	2546	1484	1527
DDX55	505	614	468	457
DDX56	3533	4610	2991	3050
DDX58	77	84	61	70
DDX59	321	364	274	316
DDX6	2120	2762	1916	2066
DDX60	108	102	100	76
DEAF1	199	236	139	133
DECR1	137	131	104	99
DECR2	78	77	66	37
DEDD	255	285	204	190
DEDD2	178	235	122	136
DEF6	9	10	7	2
DEF8	318	446	258	270
DEGS1	2908	3817	2660	2764
DEK	5732	6249	4476	5051
DELE1	469	548	394	393
DENND1A	249	312	190	189
DENND1B	67	101	78	80
DENND2A	10	12	21	15
DENND2C	148	142	112	126
DENND3	161	150	140	127
DENND4A	629	699	506	527
DENND4B	212	272	224	148
DENND4C	733	802	580	642
DENND5A	175	206	188	166
DENND5B	575	661	450	474
DENND6A	384	479	351	355
DENR	1129	1258	915	1020
DEPDC1	715	751	633	676
DEPDC1B	567	605	432	460
DEPDC4	82	66	50	71
DEPDC5	77	72	54	61
DEPDC7	316	311	231	247
DEPP1	10	9	7	13
DEPTOR	43	30	33	36
DERA	675	655	502	483
DERL1	678	903	656	613
DERL2	462	655	464	417
DERL3	172	213	153	137
DERPC	512	646	343	364
DESI1	607	760	533	478
DESI2	305	353	271	241
DEXI	2	10	1	5
DFFA	1365	1474	985	1041
DFFB	221	293	184	189
DGAT1	176	231	132	163
DGAT2	17	15	7	3
DGCR2	379	576	366	365
DGCR6	15	18	16	2
DGCR6L	117	163	82	96
DGCR8	258	389	271	286
DGKA	78	65	69	62
DGKD	275	285	259	200
DGKE	300	410	317	317
DGKH	380	507	364	372
DGKQ	34	48	38	29
DGKZ	61	85	74	70
DGLUCY	174	213	155	148
DGUOK	611	749	528	553
DHCR24	3249	4977	2816	2636
DHCR7	1434	1929	1177	1170
DHDDS	367	387	300	291
DHFR	4	8	8	4
DHFR2	24	29	23	18
DHODH	164	189	174	116
DHPS	737	873	628	595
DHRS1	170	205	145	132
DHRS11	109	130	118	132
DHRS12	28	28	24	32
DHRS13	120	182	86	90
DHRS3	221	290	216	213
DHRS4	81	134	80	72
DHRS7	648	817	571	545
DHRS7B	288	379	254	252
DHRSX	176	225	152	182
DHTKD1	882	1006	727	762
DHX15	5406	7383	5038	5099
DHX16	1678	2173	1358	1285
DHX29	984	1102	799	859
DHX30	2404	3297	2054	1997
DHX32	510	641	506	456
DHX33	1121	1306	952	950
DHX34	354	500	290	283
DHX35	248	252	199	218
DHX36	2060	2458	1671	1826
DHX37	987	1421	879	823
DHX38	942	1218	758	767
DHX40	1152	1363	978	989
DHX57	1011	1191	861	893
DHX8	1830	2204	1574	1599
DHX9	8603	11330	7656	8110
DIABLO	126	151	110	87
DIAPH1	1330	1772	1429	1288
DIAPH2	320	372	285	259
DIAPH3	770	930	665	695
DICER1	1292	1412	1117	1085
DIDO1	1161	1363	991	898
DIMT1	591	657	446	517
DIP2A	345	403	297	302
DIP2B	1144	1389	991	931
DIP2C	325	405	349	316
DIPK1A	245	279	219	191
DIPK1B	256	419	269	246
DIPK2A	266	343	200	218
DIRAS1	139	159	132	122
DIS3	2061	2269	1645	1809
DIS3L	523	679	400	462
DIS3L2	247	265	200	171
DISC1	34	45	45	19
DISP1	71	81	58	70
DIXDC1	162	188	133	141
DKC1	2445	3251	2301	2241
DLAT	1734	2220	1536	1549
DLC1	435	519	330	386
DLD	6593	7751	5626	5557
DLEC1	0	0	2	2
DLG1	611	669	507	557
DLG3	470	434	379	401
DLG4	16	7	15	15
DLG5	474	647	445	402
DLGAP4	230	233	133	158
DLGAP5	2519	2645	1940	2201
DLK2	30	71	31	37
DLL1	68	103	61	65
DLL3	217	247	153	149
DLST	1503	1679	1173	1234
DLX1	109	127	70	73
DLX2	869	1258	702	797
DMAC1	414	543	353	328
DMAC2	427	668	402	382
DMAC2L	290	349	255	280
DMAP1	662	948	587	606
DMBX1	26	24	23	21
DMC1	30	19	11	12
DMD	296	322	239	279
DMKN	1884	2016	1239	1406
DMPK	26	19	33	19
DMTF1	231	250	204	242
DMTN	55	64	26	42
DMWD	174	226	164	144
DMXL1	1477	1551	1168	1322
DMXL2	858	971	826	813
DNA2	1179	1255	1016	1011
DNAAF2	432	463	263	283
DNAAF3	17	39	24	19
DNAAF4	154	154	109	89
DNAAF5	1940	2714	1641	1580
DNAH1	31	12	71	24
DNAH10	2	4	8	4
DNAH11	82	54	99	45
DNAH14	749	809	547	610
DNAH17	9	5	8	14
DNAH6	46	29	22	41
DNAH7	32	28	25	23
DNAJA1	3453	4788	2825	2928
DNAJA2	2256	2835	1787	2006
DNAJA3	1207	1479	992	978
DNAJA4	0	0	0	0
DNAJB1	1013	1433	686	650
DNAJB11	744	937	734	713
DNAJB12	691	801	584	606
DNAJB14	172	233	143	129
DNAJB2	196	250	120	155
DNAJB4	127	128	76	99
DNAJB5	58	69	36	43
DNAJB6	308	449	267	241
DNAJB7	10	9	2	4
DNAJB9	156	190	123	168
DNAJC1	669	788	664	653
DNAJC10	680	723	628	622
DNAJC11	1209	1700	1048	1078
DNAJC12	470	485	309	379
DNAJC13	905	983	738	724
DNAJC14	215	292	183	202
DNAJC16	335	411	274	272
DNAJC17	128	156	90	108
DNAJC18	462	513	371	396
DNAJC19	134	149	83	102
DNAJC2	1218	1325	923	1007
DNAJC21	800	945	667	685
DNAJC22	42	45	31	39
DNAJC24	110	101	64	67
DNAJC25	35	42	43	28
DNAJC27	9	8	4	16
DNAJC28	62	54	26	37
DNAJC3	536	604	484	467
DNAJC30	123	183	85	107
DNAJC4	47	52	35	29
DNAJC5	572	677	472	464
DNAJC6	721	734	539	583
DNAJC7	2543	2959	1974	2050
DNAJC8	939	1055	734	808
DNAJC9	431	560	399	379
DNAL1	100	156	102	115
DNAL4	70	87	51	60
DNASE1	7	2	2	1
DNASE1L1	59	86	53	71
DNASE1L2	4	0	3	2
DNASE2	625	740	583	622
DND1	1	0	1	8
DNHD1	19	14	33	21
DNLZ	106	180	96	91
DNM1	343	399	286	301
DNM1L	2425	2847	2029	2194
DNM2	2662	3498	2199	2339
DNM3	60	54	63	59
DNMBP	346	421	314	311
DNMT1	5413	7257	4579	4664
DNMT3A	232	321	207	177
DNMT3B	265	343	224	258
DNPEP	652	844	554	541
DNPH1	970	1152	791	743
DNTTIP1	1175	1450	914	928
DNTTIP2	1424	1410	1075	1366
DOC2A	37	41	22	20
DOCK1	688	800	605	534
DOCK11	606	561	517	478
DOCK3	104	126	144	98
DOCK4	865	948	753	715
DOCK5	386	403	317	296
DOCK6	200	193	175	137
DOCK7	1801	1916	1460	1471
DOCK8	116	143	103	111
DOCK9	291	304	240	236
DOHH	225	311	163	179
DOK1	24	32	21	13
DOK3	4	3	3	3
DOK4	51	56	44	46
DOLK	382	573	383	366
DOLPP1	421	593	348	358
DONSON	883	1015	700	726
DOP1A	717	850	687	633
DOP1B	434	568	448	412
DOT1L	388	496	325	295
DPAGT1	564	744	485	477
DPCD	610	765	520	529
DPF1	231	282	204	211
DPF2	750	1076	634	615
DPF3	21	28	16	23
DPH1	819	1063	645	688
DPH2	299	428	255	256
DPH3	222	299	215	199
DPH5	750	877	567	575
DPH6	242	253	195	167
DPH7	417	525	336	299
DPM1	1893	2252	1597	1655
DPM2	225	317	146	165
DPM3	485	602	388	427
DPP3	770	1101	712	730
DPP4	59	37	59	45
DPP7	19	17	7	11
DPP8	543	590	427	467
DPP9	813	931	589	616
DPY19L1	521	585	473	505
DPY19L3	788	934	718	691
DPY19L4	195	226	194	184
DPY30	425	527	329	339
DPYSL2	1826	2280	1517	1508
DPYSL3	1448	1727	1050	1129
DPYSL4	162	297	183	160
DPYSL5	896	1012	715	661
DR1	930	991	660	699
DRAM1	95	136	118	128
DRAM2	353	308	275	250
DRAP1	408	502	355	340
DRC3	19	14	14	3
DRG1	1715	2066	1338	1404
DRG2	814	958	622	614
DRICH1	1	0	1	0
DROSHA	1485	1615	1111	1115
DSC2	609	672	621	590
DSC3	735	1058	818	875
DSCC1	678	841	606	647
DSE	196	203	135	144
DSG2	2146	2285	2028	1956
DSN1	546	584	415	423
DSP	5079	6061	4253	4502
DST	1007	1339	1325	1101
DSTN	1823	2086	1383	1570
DSTYK	193	271	150	175
DTD1	58	62	49	28
DTD2	69	63	50	57
DTL	1619	1876	1170	1266
DTNA	314	338	264	231
DTNB	241	339	194	176
DTNBP1	723	919	616	633
DTWD1	145	131	89	110
DTWD2	244	247	179	144
DTX2	39	70	22	48
DTX3	144	152	126	102
DTX3L	299	313	183	223
DTYMK	919	1369	842	800
DUS1L	507	695	442	369
DUS2	352	447	301	271
DUS3L	480	689	412	435
DUS4L	143	152	116	113
DUSP1	514	575	503	527
DUSP10	24	42	32	36
DUSP11	496	583	331	369
DUSP12	279	352	279	282
DUSP14	359	445	271	279
DUSP16	180	239	139	167
DUSP18	18	22	9	12
DUSP19	88	96	61	71
DUSP2	1	0	1	4
DUSP22	106	95	68	76
DUSP3	582	741	462	480
DUSP5	140	201	88	98
DUSP7	207	248	146	143
DUSP8	15	22	18	19
DUSP9	83	145	110	92
DUT	2248	2564	1683	1809
DVL1	358	400	265	241
DVL2	1000	1251	737	760
DVL3	619	804	541	473
DXO	433	490	322	303
DYM	1052	1091	855	859
DYNC1H1	6994	8246	6973	6559
DYNC1I1	62	71	70	50
DYNC1I2	541	673	431	502
DYNC1LI1	1438	1572	1124	1214
DYNC1LI2	1024	1154	868	859
DYNC2H1	2398	2671	2252	2334
DYNC2LI1	431	447	329	345
DYNLL1	1387	1766	873	1064
DYNLL2	639	627	506	499
DYNLRB1	1038	1277	693	826
DYNLT1	1182	1289	840	912
DYNLT3	209	212	154	124
DYRK1A	598	665	498	493
DYRK1B	365	475	289	268
DYRK2	273	358	219	216
DYRK3	251	278	169	197
DYRK4	289	313	203	196
DZANK1	55	62	47	56
DZIP1	209	168	170	145
DZIP1L	41	54	52	33
DZIP3	662	678	569	523
E2F1	235	232	177	173
E2F2	485	510	327	306
E2F3	517	628	397	457
E2F4	447	518	327	341
E2F5	280	347	252	233
E2F6	89	100	78	86
E2F7	599	795	527	489
E2F8	252	242	168	182
E4F1	340	437	285	270
EAF1	578	683	431	448
EAF2	80	73	46	68
EAPP	534	640	506	484
EARS2	669	816	561	521
EBAG9	150	169	105	123
EBF2	295	316	243	233
EBF3	377	477	345	354
EBF4	9	10	11	11
EBLN2	0	0	0	0
EBNA1BP2	2711	3625	2164	2153
EBP	565	796	480	442
EBPL	615	793	472	522
ECD	2055	2465	1515	1797
ECE1	940	1197	957	910
ECEL1	46	80	53	59
ECH1	1840	1994	1345	1299
ECHDC1	1492	1751	1210	1350
ECHDC2	1	0	0	3
ECHS1	3127	3844	2681	2455
ECI1	758	932	667	674
ECI2	1895	2028	1399	1333
ECM1	20	26	17	24
ECM2	0	1	0	0
ECPAS	2491	2805	2121	2124
ECSIT	409	562	319	290
ECT2	2131	2216	1783	1804
ECT2L	0	0	0	1
EDA	35	55	32	37
EDA2R	71	124	93	97
EDARADD	48	76	33	57
EDC3	1128	1342	906	950
EDC4	1881	2805	1632	1729
EDDM13	0	0	0	0
EDEM1	142	145	108	109
EDEM2	98	127	111	76
EDEM3	336	396	331	327
EDF1	1882	3157	1610	1447
EDIL3	766	768	735	666
EDNRA	114	156	103	120
EDRF1	1151	1440	807	864
EEA1	1465	1725	1313	1341
EED	520	690	379	408
EEF1A1	1462	3276	1388	2226
EEF1A2	2414	2679	2014	2016
EEF1AKMT1	222	279	207	173
EEF1AKMT2	63	87	55	53
EEF1AKMT3	19	24	19	7
EEF1AKMT4	44	52	38	36
EEF1AKNMT	852	1116	731	765
EEF1B2	402	605	410	383
EEF1D	956	1597	957	973
EEF1E1	551	554	405	435
EEF1G	2061	2496	1788	1692
EEF2	37220	53094	34684	35673
EEF2K	221	271	174	184
EEF2KMT	53	91	43	46
EEFSEC	384	530	300	342
EEPD1	93	101	54	56
EFCAB10	22	31	24	19
EFCAB11	144	157	85	104
EFCAB13	4	6	3	4
EFCAB14	263	248	215	220
EFCAB2	24	48	21	27
EFCAB6	25	20	18	9
EFCAB7	307	305	228	247
EFEMP2	0	0	2	1
EFHC1	200	228	176	157
EFHD1	305	404	275	264
EFHD2	406	546	289	291
EFL1	350	447	282	290
EFNA4	20	27	17	6
EFNA5	429	590	389	455
EFNB1	224	378	253	249
EFNB2	609	711	531	536
EFNB3	29	30	41	27
EFR3A	213	214	172	158
EFR3B	244	271	215	197
EFTUD2	5312	7284	4861	4545
EGFL7	314	426	261	313
EGFL8	9	13	16	7
EGFLAM	86	102	70	77
EGFR	261	266	247	248
EGLN1	432	567	421	431
EGLN2	220	289	167	166
EGLN3	161	188	135	135
EHBP1	388	372	335	346
EHBP1L1	64	75	39	43
EHD1	372	402	272	265
EHD3	80	99	65	55
EHD4	515	668	390	383
EHHADH	321	291	239	250
EHMT1	819	1038	719	684
EHMT2	995	1356	813	835
EI24	494	581	426	386
EID1	2017	2686	1653	1510
EID2	970	1134	659	719
EID2B	119	114	75	73
EID3	1	5	1	3
EIF1	1434	1682	1173	1265
EIF1AD	248	253	162	138
EIF1AX	362	441	323	335
EIF1B	490	602	370	405
EIF2A	1414	1564	1141	1302
EIF2AK1	1312	1352	995	1002
EIF2AK2	1551	1722	1216	1357
EIF2AK3	117	126	87	78
EIF2AK4	789	844	691	687
EIF2B1	1554	1930	1319	1307
EIF2B2	750	878	590	593
EIF2B3	1542	1712	1261	1207
EIF2B4	663	841	542	572
EIF2B5	656	978	702	624
EIF2D	486	550	381	410
EIF2S1	3012	3591	2507	2507
EIF2S2	608	670	527	551
EIF2S3	5030	5091	3740	4139
EIF3A	8339	11289	7662	7934
EIF3B	6790	8209	5501	5576
EIF3C	14	41	6	11
EIF3D	8166	9674	6735	7093
EIF3E	5602	6343	4450	4963
EIF3F	753	931	702	706
EIF3G	4403	5940	3437	3689
EIF3H	3050	3769	2555	2791
EIF3I	8663	9487	6753	6732
EIF3J	955	1256	693	836
EIF3K	7719	8538	5863	6066
EIF3L	3141	4224	2737	2931
EIF3M	5325	6369	4706	4886
EIF4A1	6317	8070	5737	5368
EIF4A2	1228	1444	916	883
EIF4A3	3043	3806	2412	2628
EIF4B	454	688	429	456
EIF4E	91	171	116	80
EIF4E2	698	1084	644	665
EIF4E3	64	69	46	54
EIF4EBP1	863	996	638	660
EIF4EBP2	237	354	208	204
EIF4ENIF1	518	672	464	432
EIF4G1	13153	16617	11413	11463
EIF4G2	5748	6581	4727	5206
EIF4G3	3921	4822	3445	3433
EIF4H	772	961	593	613
EIF5	2174	2293	1794	1862
EIF5A	5712	7863	4357	4561
EIF5A2	121	147	120	115
EIF5B	3256	3984	2787	3002
EIF6	1652	2195	1265	1357
EIPR1	289	352	287	274
ELAC1	48	80	65	82
ELAC2	1671	2026	1339	1257
ELAVL1	4044	4569	2956	3028
ELAVL2	281	328	209	257
ELF1	703	811	620	647
ELF2	351	446	323	335
ELF4	428	469	326	360
ELK1	184	229	143	154
ELK3	121	86	60	52
ELK4	106	118	80	86
ELL	244	325	181	184
ELL2	171	168	124	117
ELL3	288	252	205	184
ELMO1	54	79	51	52
ELMO2	438	560	440	347
ELMO3	6	2	2	3
ELMOD1	19	20	15	29
ELMOD2	577	710	461	492
ELMOD3	18	25	15	14
ELMSAN1	267	321	206	204
ELOA	1514	1755	1174	1173
ELOB	2793	3477	2155	2365
ELOC	647	994	611	628
ELOF1	605	958	513	523
ELOVL1	951	1218	744	765
ELOVL2	296	357	244	233
ELOVL4	864	1003	723	759
ELOVL5	2399	2928	1894	2145
ELOVL6	414	571	323	360
ELOVL7	256	271	196	197
ELP1	2117	2437	1763	1899
ELP2	1432	1661	1133	1194
ELP3	1192	1453	991	1078
ELP4	403	424	291	336
ELP5	811	982	619	620
ELP6	478	611	368	394
EMB	239	239	213	240
EMC1	2277	2848	2246	2127
EMC10	634	1107	613	618
EMC2	773	716	627	623
EMC3	1221	1456	1098	1162
EMC4	1007	1297	911	806
EMC6	254	339	192	185
EMC7	762	979	791	716
EMC8	583	810	449	495
EMC9	118	137	100	96
EMD	1340	1711	1014	1063
EME1	248	318	211	222
EME2	26	30	23	18
EMG1	892	1192	693	695
EMID1	27	41	28	27
EMILIN1	10	5	5	3
EMILIN2	163	143	221	238
EMILIN3	354	444	359	372
EML1	622	678	572	545
EML2	254	288	178	192
EML3	146	150	124	112
EML4	1335	1627	1137	1232
EML6	22	15	34	17
EMP2	184	228	124	163
EMP3	296	313	239	215
EMSY	271	307	203	231
EMX1	26	45	36	30
EN2	177	218	113	132
ENAH	2012	2277	1577	1532
ENC1	405	538	358	376
ENDOD1	184	227	153	159
ENDOG	479	691	414	388
ENDOV	57	62	54	39
ENGASE	98	154	114	85
ENHO	6	12	11	6
ENKD1	63	80	39	52
ENO1	49757	62474	39880	40727
ENO2	737	947	696	659
ENO3	12	13	10	10
ENO4	35	28	32	24
ENOPH1	604	813	478	491
ENOSF1	248	304	214	204
ENOX1	71	74	60	62
ENOX2	150	158	121	117
ENPEP	365	353	320	355
ENPP1	450	531	474	461
ENPP4	482	504	413	409
ENPP5	119	136	59	81
ENSA	660	1046	556	609
ENTPD1	25	19	25	15
ENTPD4	127	195	154	142
ENTPD5	31	32	29	33
ENTPD6	325	417	280	288
ENTPD7	286	312	245	205
ENTR1	257	344	244	245
ENY2	747	1017	681	691
EOGT	181	201	161	157
EOMES	46	62	32	35
EP300	2126	2527	1855	1900
EP400	1236	1531	1270	1152
EPAS1	108	103	68	51
EPB41	1737	1967	1401	1411
EPB41L1	131	147	120	116
EPB41L2	2591	2988	2031	2190
EPB41L3	1568	2056	1352	1483
EPB41L4A	57	49	35	61
EPB41L4B	112	109	90	89
EPB41L5	505	517	374	450
EPC1	209	258	255	232
EPC2	246	261	188	262
EPDR1	272	349	237	224
EPG5	440	494	358	336
EPHA10	18	26	19	21
EPHA2	799	1003	740	668
EPHA3	244	280	228	230
EPHA4	446	621	430	454
EPHA5	178	255	199	167
EPHA6	146	183	172	158
EPHA7	1464	2016	1512	1521
EPHA8	60	58	44	39
EPHB1	51	56	46	38
EPHB2	253	301	235	220
EPHB3	55	73	55	66
EPHB4	393	580	411	404
EPHX1	663	767	546	481
EPHX2	192	226	193	186
EPHX4	158	183	119	137
EPM2A	48	58	39	38
EPN1	836	1030	564	628
EPN2	177	232	149	153
EPOP	46	61	29	34
EPOR	68	75	66	78
EPPK1	652	850	654	614
EPRS	5503	6018	4809	4926
EPS15	1084	1250	946	907
EPS15L1	1037	1260	848	902
EPS8	904	1016	654	746
EPS8L1	4	7	9	4
ERAL1	1082	1359	884	809
ERAP1	264	295	283	235
ERBB2	244	241	235	203
ERBB3	31	36	46	35
ERBB4	343	334	339	309
ERBIN	1043	1160	860	902
ERC1	808	923	717	659
ERC2	30	38	30	28
ERCC1	432	685	419	373
ERCC2	756	840	629	562
ERCC3	923	1103	779	799
ERCC4	418	501	325	326
ERCC6	522	645	390	435
ERCC6L	622	777	539	586
