	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
DCAF4L1	7	3	37	25
DCAF5	360	484	250	147
DCAF6	606	720	250	170
DCAF7	1846	2369	953	661
DCAF8	1	3	1	0
DCAKD	607	683	277	201
DCBLD1	209	249	93	48
DCBLD2	304	388	153	86
DCDC1	10	3	1	2
DCDC2	234	262	126	90
DCDC2B	1	1	0	0
DCHS1	26	26	12	7
DCK	635	745	290	229
DCLK1	320	385	165	115
DCLK2	87	99	34	26
DCLRE1A	379	391	213	126
DCLRE1B	264	307	163	74
DCLRE1C	138	153	79	49
DCP1A	479	574	265	178
DCP1B	289	343	140	120
DCP2	916	1208	730	380
DCPS	279	353	136	81
DCST1	14	23	12	5
DCTD	530	626	287	182
DCTN1	2315	2874	1291	820
DCTN2	2900	3301	1500	909
DCTN3	1344	1553	700	404
DCTN4	1840	2316	1074	726
DCTN5	591	701	329	220
DCTN6	846	881	362	260
DCTPP1	1360	1569	694	397
DCUN1D1	443	456	189	116
DCUN1D2	35	80	44	19
DCUN1D3	23	42	18	8
DCUN1D4	351	448	183	130
DCUN1D5	1251	1288	689	424
DCXR	1171	1683	636	406
DDA1	461	574	273	175
DDAH1	1185	1326	520	339
DDAH2	74	96	54	21
DDB1	9041	11284	5120	3302
DDB2	245	372	158	115
DDHD1	327	354	161	119
DDHD2	490	505	205	120
DDI2	671	831	413	287
DDIAS	250	255	152	93
DDIT3	34	49	69	40
DDIT4	347	509	253	121
DDIT4L	21	34	14	3
DDN	69	88	25	16
DDOST	5081	5774	2101	1053
DDR1	269	325	138	71
DDR2	527	536	276	139
DDRGK1	915	1366	553	336
DDTL	16	15	11	5
DDX1	4772	5664	2635	1729
DDX10	768	887	458	316
DDX11	233	306	139	70
DDX17	7572	9463	4442	2726
DDX18	1585	2045	893	648
DDX19A	116	134	77	54
DDX19B	25	31	13	6
DDX20	1564	1978	954	636
DDX21	9051	10448	4717	3387
DDX23	1479	1871	702	426
DDX24	5377	6954	3254	2042
DDX27	1895	2429	965	639
DDX28	493	631	318	216
DDX31	698	848	476	264
DDX39A	3004	3975	1933	1199
DDX39B	7723	10266	5050	2990
DDX3X	6671	8127	3364	2152
DDX41	588	833	417	188
DDX42	2239	2636	1211	791
DDX46	4687	5274	2091	1469
DDX47	1926	2216	1263	804
DDX49	908	1220	471	249
DDX5	12561	16190	9135	6034
DDX50	1105	1119	457	322
DDX51	389	555	260	136
DDX52	1491	1634	841	583
DDX54	1908	2546	1028	611
DDX55	505	614	295	232
DDX56	3533	4610	2192	1400
DDX58	77	84	49	36
DDX59	321	364	151	92
DDX6	2120	2762	1534	1023
DDX60	108	102	45	32
DEAF1	199	236	107	53
DECR1	137	131	56	27
DECR2	78	77	34	20
DEDD	255	285	121	67
DEDD2	178	235	148	74
DEF6	9	10	8	4
DEF8	318	446	234	106
DEGS1	2908	3817	1702	1146
DEK	5732	6249	2585	1984
DELE1	469	548	252	147
DENND1A	249	312	123	79
DENND1B	67	101	56	30
DENND2A	10	12	7	6
DENND2C	148	142	80	41
DENND3	161	150	72	51
DENND4A	629	699	300	225
DENND4B	212	272	100	62
DENND4C	733	802	386	283
DENND5A	175	206	85	59
DENND5B	575	661	258	165
DENND6A	384	479	222	122
DENR	1129	1258	531	372
DEPDC1	715	751	312	217
DEPDC1B	567	605	295	198
DEPDC4	82	66	27	29
DEPDC5	77	72	19	17
DEPDC7	316	311	177	117
DEPP1	10	9	4	2
DEPTOR	43	30	15	9
DERA	675	655	245	161
DERL1	678	903	380	262
DERL2	462	655	300	185
DERL3	172	213	108	66
DERPC	512	646	306	179
DESI1	607	760	349	192
DESI2	305	353	109	91
DEXI	2	10	5	3
DFFA	1365	1474	625	371
DFFB	221	293	156	97
DGAT1	176	231	93	55
DGAT2	17	15	11	3
DGCR2	379	576	311	136
DGCR6	15	18	3	5
DGCR6L	117	163	75	53
DGCR8	258	389	142	101
DGKA	78	65	26	21
DGKD	275	285	112	63
DGKE	300	410	184	94
DGKH	380	507	235	126
DGKQ	34	48	25	12
DGKZ	61	85	26	15
DGLUCY	174	213	101	64
DGUOK	611	749	416	308
DHCR24	3249	4977	1919	1070
DHCR7	1434	1929	722	415
DHDDS	367	387	198	108
DHFR	4	8	4	2
DHFR2	24	29	17	8
DHODH	164	189	82	63
DHPS	737	873	330	202
DHRS1	170	205	102	66
DHRS11	109	130	48	31
DHRS12	28	28	24	11
DHRS13	120	182	94	43
DHRS3	221	290	149	88
DHRS4	81	134	59	42
DHRS7	648	817	311	203
DHRS7B	288	379	163	92
DHRSX	176	225	121	64
DHTKD1	882	1006	510	251
DHX15	5406	7383	3685	2369
DHX16	1678	2173	967	593
DHX29	984	1102	544	382
DHX30	2404	3297	1517	907
DHX32	510	641	301	171
DHX33	1121	1306	646	409
DHX34	354	500	247	147
DHX35	248	252	132	94
DHX36	2060	2458	1017	682
DHX37	987	1421	577	392
DHX38	942	1218	457	291
DHX40	1152	1363	602	419
DHX57	1011	1191	573	371
DHX8	1830	2204	1118	724
DHX9	8603	11330	5931	3724
DIABLO	126	151	134	84
DIAPH1	1330	1772	1135	606
DIAPH2	320	372	172	113
DIAPH3	770	930	482	275
DICER1	1292	1412	581	361
DIDO1	1161	1363	672	400
DIMT1	591	657	316	191
DIP2A	345	403	179	107
DIP2B	1144	1389	659	422
DIP2C	325	405	170	101
DIPK1A	245	279	131	78
DIPK1B	256	419	109	65
DIPK2A	266	343	153	86
DIRAS1	139	159	68	44
DIS3	2061	2269	1232	917
DIS3L	523	679	308	167
DIS3L2	247	265	118	91
DISC1	34	45	23	17
DISP1	71	81	52	25
DIXDC1	162	188	68	57
DKC1	2445	3251	1282	843
DLAT	1734	2220	915	629
DLC1	435	519	204	113
DLD	6593	7751	3237	2023
DLEC1	0	0	0	0
DLG1	611	669	296	170
DLG3	470	434	196	106
DLG4	16	7	9	3
DLG5	474	647	232	142
DLGAP4	230	233	86	66
DLGAP5	2519	2645	1581	1157
DLK2	30	71	23	13
DLL1	68	103	44	22
DLL3	217	247	107	84
DLST	1503	1679	737	475
DLX1	109	127	80	58
DLX2	869	1258	609	396
DMAC1	414	543	271	195
DMAC2	427	668	308	170
DMAC2L	290	349	171	121
DMAP1	662	948	351	258
DMBX1	26	24	15	5
DMC1	30	19	6	7
DMD	296	322	161	89
DMKN	1884	2016	1307	836
DMPK	26	19	15	3
DMTF1	231	250	143	88
DMTN	55	64	21	16
DMWD	174	226	90	44
DMXL1	1477	1551	880	548
DMXL2	858	971	446	314
DNA2	1179	1255	689	486
DNAAF2	432	463	247	162
DNAAF3	17	39	15	9
DNAAF4	154	154	86	52
DNAAF5	1940	2714	1087	720
DNAH1	31	12	33	6
DNAH10	2	4	4	1
DNAH11	82	54	45	20
DNAH14	749	809	328	218
DNAH17	9	5	3	4
DNAH6	46	29	12	4
DNAH7	32	28	26	13
DNAJA1	3453	4788	2176	1456
DNAJA2	2256	2835	1135	792
DNAJA3	1207	1479	539	329
DNAJA4	0	0	0	0
DNAJB1	1013	1433	521	310
DNAJB11	744	937	393	223
DNAJB12	691	801	399	243
DNAJB14	172	233	100	64
DNAJB2	196	250	117	70
DNAJB4	127	128	58	42
DNAJB5	58	69	32	22
DNAJB6	308	449	166	104
DNAJB7	10	9	4	0
DNAJB9	156	190	104	52
DNAJC1	669	788	312	209
DNAJC10	680	723	282	155
DNAJC11	1209	1700	808	479
DNAJC12	470	485	264	148
DNAJC13	905	983	338	253
DNAJC14	215	292	153	105
DNAJC16	335	411	163	90
DNAJC17	128	156	96	57
DNAJC18	462	513	229	178
DNAJC19	134	149	113	57
DNAJC2	1218	1325	565	416
DNAJC21	800	945	364	284
DNAJC22	42	45	22	18
DNAJC24	110	101	48	25
DNAJC25	35	42	22	8
DNAJC27	9	8	7	4
DNAJC28	62	54	14	13
DNAJC3	536	604	250	163
DNAJC30	123	183	80	64
DNAJC4	47	52	13	10
DNAJC5	572	677	266	181
DNAJC6	721	734	387	234
DNAJC7	2543	2959	1297	896
DNAJC8	939	1055	502	356
DNAJC9	431	560	359	166
DNAL1	100	156	52	43
DNAL4	70	87	36	30
DNASE1	7	2	5	1
DNASE1L1	59	86	34	18
DNASE1L2	4	0	1	1
DNASE2	625	740	334	201
DND1	1	0	3	1
DNHD1	19	14	16	4
DNLZ	106	180	78	58
DNM1	343	399	201	116
DNM1L	2425	2847	1172	819
DNM2	2662	3498	1507	949
DNM3	60	54	25	19
DNMBP	346	421	252	134
DNMT1	5413	7257	3198	1913
DNMT3A	232	321	108	85
DNMT3B	265	343	157	97
DNPEP	652	844	328	210
DNPH1	970	1152	492	282
DNTTIP1	1175	1450	647	401
DNTTIP2	1424	1410	1171	845
DOC2A	37	41	15	7
DOCK1	688	800	271	156
DOCK11	606	561	272	187
DOCK3	104	126	68	32
DOCK4	865	948	418	298
DOCK5	386	403	187	107
DOCK6	200	193	74	51
DOCK7	1801	1916	894	619
DOCK8	116	143	83	54
DOCK9	291	304	132	72
DOHH	225	311	134	67
DOK1	24	32	12	7
DOK3	4	3	8	1
DOK4	51	56	25	25
DOLK	382	573	208	119
DOLPP1	421	593	240	145
DONSON	883	1015	434	273
DOP1A	717	850	430	274
DOP1B	434	568	223	156
DOT1L	388	496	184	111
DPAGT1	564	744	345	160
DPCD	610	765	330	213
DPF1	231	282	161	67
DPF2	750	1076	460	286
DPF3	21	28	24	10
DPH1	819	1063	419	280
DPH2	299	428	255	144
DPH3	222	299	159	112
DPH5	750	877	308	190
DPH6	242	253	126	84
DPH7	417	525	271	172
DPM1	1893	2252	1079	683
DPM2	225	317	148	102
DPM3	485	602	313	143
DPP3	770	1101	457	323
DPP4	59	37	25	13
DPP7	19	17	13	5
DPP8	543	590	265	189
DPP9	813	931	345	199
DPY19L1	521	585	238	164
DPY19L3	788	934	338	227
DPY19L4	195	226	92	60
DPY30	425	527	300	178
DPYSL2	1826	2280	776	528
DPYSL3	1448	1727	747	484
DPYSL4	162	297	100	55
DPYSL5	896	1012	387	237
DR1	930	991	344	227
DRAM1	95	136	66	51
DRAM2	353	308	126	80
DRAP1	408	502	197	138
DRC3	19	14	8	3
DRG1	1715	2066	1082	624
DRG2	814	958	364	238
DRICH1	1	0	1	0
DROSHA	1485	1615	858	575
DSC2	609	672	277	159
DSC3	735	1058	417	267
DSCC1	678	841	340	215
DSE	196	203	126	58
DSG2	2146	2285	992	586
DSN1	546	584	304	202
DSP	5079	6061	2674	1769
DST	1007	1339	818	535
DSTN	1823	2086	647	435
DSTYK	193	271	120	83
DTD1	58	62	18	18
DTD2	69	63	26	22
DTL	1619	1876	818	566
DTNA	314	338	165	109
DTNB	241	339	111	83
DTNBP1	723	919	369	249
DTWD1	145	131	60	37
DTWD2	244	247	124	68
DTX2	39	70	30	21
DTX3	144	152	79	42
DTX3L	299	313	173	84
DTYMK	919	1369	640	371
DUS1L	507	695	263	143
DUS2	352	447	220	137
DUS3L	480	689	294	191
DUS4L	143	152	62	55
DUSP1	514	575	354	199
DUSP10	24	42	29	12
DUSP11	496	583	259	176
DUSP12	279	352	221	113
DUSP14	359	445	227	131
DUSP16	180	239	99	70
DUSP18	18	22	15	3
DUSP19	88	96	36	31
DUSP2	1	0	4	1
DUSP22	106	95	41	17
DUSP3	582	741	293	188
DUSP5	140	201	71	36
DUSP7	207	248	85	53
DUSP8	15	22	5	3
DUSP9	83	145	64	34
DUT	2248	2564	1250	727
DVL1	358	400	147	92
DVL2	1000	1251	541	335
DVL3	619	804	290	174
DXO	433	490	214	122
DYM	1052	1091	307	247
DYNC1H1	6994	8246	5946	3596
DYNC1I1	62	71	39	17
DYNC1I2	541	673	370	258
DYNC1LI1	1438	1572	702	473
DYNC1LI2	1024	1154	533	334
DYNC2H1	2398	2671	1182	867
DYNC2LI1	431	447	169	114
DYNLL1	1387	1766	713	486
DYNLL2	639	627	302	206
DYNLRB1	1038	1277	523	341
DYNLT1	1182	1289	510	319
DYNLT3	209	212	86	51
DYRK1A	598	665	315	163
DYRK1B	365	475	212	117
DYRK2	273	358	172	99
DYRK3	251	278	123	71
DYRK4	289	313	189	124
DZANK1	55	62	30	23
DZIP1	209	168	106	73
DZIP1L	41	54	29	13
DZIP3	662	678	301	220
E2F1	235	232	85	59
E2F2	485	510	212	105
E2F3	517	628	270	200
E2F4	447	518	178	103
E2F5	280	347	128	88
E2F6	89	100	38	32
E2F7	599	795	290	193
E2F8	252	242	163	104
E4F1	340	437	206	131
EAF1	578	683	277	225
EAF2	80	73	31	22
EAPP	534	640	337	206
EARS2	669	816	404	227
EBAG9	150	169	87	57
EBF2	295	316	135	79
EBF3	377	477	195	147
EBF4	9	10	5	1
EBLN2	0	0	0	0
EBNA1BP2	2711	3625	1687	1046
EBP	565	796	339	184
EBPL	615	793	337	184
ECD	2055	2465	1084	764
ECE1	940	1197	508	279
ECEL1	46	80	23	12
ECH1	1840	1994	736	483
ECHDC1	1492	1751	917	673
ECHDC2	1	0	0	0
ECHS1	3127	3844	1528	984
ECI1	758	932	456	226
ECI2	1895	2028	894	598
ECM1	20	26	11	13
ECM2	0	1	0	0
ECPAS	2491	2805	1245	928
ECSIT	409	562	251	150
ECT2	2131	2216	1192	810
ECT2L	0	0	1	0
EDA	35	55	14	14
EDA2R	71	124	65	54
EDARADD	48	76	38	20
EDC3	1128	1342	664	476
EDC4	1881	2805	1297	745
EDDM13	0	0	1	0
EDEM1	142	145	87	46
EDEM2	98	127	56	30
EDEM3	336	396	185	113
EDF1	1882	3157	1257	847
EDIL3	766	768	332	168
EDNRA	114	156	56	42
EDRF1	1151	1440	516	384
EEA1	1465	1725	784	561
EED	520	690	313	168
EEF1A1	1462	3276	876	442
EEF1A2	2414	2679	911	587
EEF1AKMT1	222	279	130	76
EEF1AKMT2	63	87	51	29
EEF1AKMT3	19	24	8	9
EEF1AKMT4	44	52	22	11
EEF1AKNMT	852	1116	534	363
EEF1B2	402	605	193	106
EEF1D	956	1597	555	341
EEF1E1	551	554	222	141
EEF1G	2061	2496	821	479
EEF2	37220	53094	14295	9217
EEF2K	221	271	179	83
EEF2KMT	53	91	33	21
EEFSEC	384	530	248	139
EEPD1	93	101	47	30
EFCAB10	22	31	15	12
EFCAB11	144	157	53	48
EFCAB13	4	6	1	0
EFCAB14	263	248	130	66
EFCAB2	24	48	18	10
EFCAB6	25	20	9	4
EFCAB7	307	305	153	113
EFEMP2	0	0	1	0
EFHC1	200	228	98	79
EFHD1	305	404	137	125
EFHD2	406	546	172	116
EFL1	350	447	177	135
EFNA4	20	27	16	3
EFNA5	429	590	274	145
EFNB1	224	378	141	58
EFNB2	609	711	243	159
EFNB3	29	30	16	7
EFR3A	213	214	69	55
EFR3B	244	271	102	51
EFTUD2	5312	7284	3076	1798
EGFL7	314	426	180	101
EGFL8	9	13	11	3
EGFLAM	86	102	36	25
EGFR	261	266	109	65
EGLN1	432	567	229	130
EGLN2	220	289	126	75
EGLN3	161	188	91	38
EHBP1	388	372	183	139
EHBP1L1	64	75	16	11
EHD1	372	402	182	103
EHD3	80	99	39	21
EHD4	515	668	291	182
EHHADH	321	291	176	126
EHMT1	819	1038	456	306
EHMT2	995	1356	512	371
EI24	494	581	188	107
EID1	2017	2686	1266	710
EID2	970	1134	509	307
EID2B	119	114	62	46
EID3	1	5	3	0
EIF1	1434	1682	511	337
EIF1AD	248	253	132	74
EIF1AX	362	441	210	129
EIF1B	490	602	212	149
EIF2A	1414	1564	637	444
EIF2AK1	1312	1352	641	415
EIF2AK2	1551	1722	647	444
EIF2AK3	117	126	47	31
EIF2AK4	789	844	348	207
EIF2B1	1554	1930	929	548
EIF2B2	750	878	410	247
EIF2B3	1542	1712	831	513
EIF2B4	663	841	407	239
EIF2B5	656	978	449	277
EIF2D	486	550	227	165
EIF2S1	3012	3591	1534	1056
EIF2S2	608	670	375	233
EIF2S3	5030	5091	1748	1148
EIF3A	8339	11289	4433	3064
EIF3B	6790	8209	3402	2159
EIF3C	14	41	6	3
EIF3D	8166	9674	4415	2895
EIF3E	5602	6343	2841	1868
EIF3F	753	931	326	210
EIF3G	4403	5940	2237	1440
EIF3H	3050	3769	1350	935
EIF3I	8663	9487	3941	2691
EIF3J	955	1256	487	305
EIF3K	7719	8538	3303	2130
EIF3L	3141	4224	1448	839
EIF3M	5325	6369	2470	1609
EIF4A1	6317	8070	4117	2234
EIF4A2	1228	1444	508	325
EIF4A3	3043	3806	1792	1253
EIF4B	454	688	262	150
EIF4E	91	171	72	46
EIF4E2	698	1084	508	343
EIF4E3	64	69	24	19
EIF4EBP1	863	996	467	308
EIF4EBP2	237	354	66	63
EIF4ENIF1	518	672	312	174
EIF4G1	13153	16617	8707	5589
EIF4G2	5748	6581	4365	2607
EIF4G3	3921	4822	2153	1432
EIF4H	772	961	449	213
EIF5	2174	2293	1386	911
EIF5A	5712	7863	4466	2861
EIF5A2	121	147	60	37
EIF5B	3256	3984	2015	1345
EIF6	1652	2195	1203	691
EIPR1	289	352	177	116
ELAC1	48	80	35	28
ELAC2	1671	2026	1135	688
ELAVL1	4044	4569	1983	1273
ELAVL2	281	328	132	92
ELF1	703	811	466	329
ELF2	351	446	223	126
ELF4	428	469	180	112
ELK1	184	229	94	55
ELK3	121	86	36	31
ELK4	106	118	61	37
ELL	244	325	147	91
ELL2	171	168	69	66
ELL3	288	252	109	64
ELMO1	54	79	32	21
ELMO2	438	560	300	166
ELMO3	6	2	1	2
ELMOD1	19	20	5	7
ELMOD2	577	710	297	204
ELMOD3	18	25	17	9
ELMSAN1	267	321	171	84
ELOA	1514	1755	931	602
ELOB	2793	3477	1761	1166
ELOC	647	994	452	220
ELOF1	605	958	454	258
ELOVL1	951	1218	523	297
ELOVL2	296	357	128	86
ELOVL4	864	1003	448	317
ELOVL5	2399	2928	1104	746
ELOVL6	414	571	227	141
ELOVL7	256	271	112	85
ELP1	2117	2437	1204	805
ELP2	1432	1661	642	466
ELP3	1192	1453	720	517
ELP4	403	424	237	149
ELP5	811	982	454	297
ELP6	478	611	328	231
EMB	239	239	143	81
EMC1	2277	2848	1174	694
EMC10	634	1107	460	229
EMC2	773	716	363	240
EMC3	1221	1456	692	440
EMC4	1007	1297	630	400
EMC6	254	339	146	74
EMC7	762	979	432	216
EMC8	583	810	383	200
EMC9	118	137	81	46
EMD	1340	1711	693	442
EME1	248	318	166	77
EME2	26	30	22	15
EMG1	892	1192	510	287
EMID1	27	41	12	15
EMILIN1	10	5	3	2
EMILIN2	163	143	79	48
EMILIN3	354	444	171	95
EML1	622	678	318	203
EML2	254	288	99	67
EML3	146	150	51	30
EML4	1335	1627	629	438
EML6	22	15	15	5
EMP2	184	228	90	57
EMP3	296	313	136	92
EMSY	271	307	201	105
EMX1	26	45	21	11
EN2	177	218	78	40
ENAH	2012	2277	883	596
ENC1	405	538	260	149
ENDOD1	184	227	103	68
ENDOG	479	691	299	160
ENDOV	57	62	36	19
ENGASE	98	154	68	43
ENHO	6	12	3	2
ENKD1	63	80	33	20
ENO1	49757	62474	26700	16960
ENO2	737	947	348	194
ENO3	12	13	11	3
ENO4	35	28	27	17
ENOPH1	604	813	282	195
ENOSF1	248	304	112	79
ENOX1	71	74	33	9
ENOX2	150	158	92	61
ENPEP	365	353	191	104
ENPP1	450	531	218	118
ENPP4	482	504	204	155
ENPP5	119	136	24	22
ENSA	660	1046	612	358
ENTPD1	25	19	13	8
ENTPD4	127	195	56	29
ENTPD5	31	32	18	4
ENTPD6	325	417	189	116
ENTPD7	286	312	135	78
ENTR1	257	344	148	92
ENY2	747	1017	447	295
EOGT	181	201	82	46
EOMES	46	62	24	15
EP300	2126	2527	1301	823
EP400	1236	1531	792	489
EPAS1	108	103	30	26
EPB41	1737	1967	813	538
EPB41L1	131	147	61	37
EPB41L2	2591	2988	1514	976
EPB41L3	1568	2056	858	536
EPB41L4A	57	49	22	12
EPB41L4B	112	109	28	21
EPB41L5	505	517	227	149
EPC1	209	258	184	142
EPC2	246	261	103	84
EPDR1	272	349	144	83
EPG5	440	494	274	147
EPHA10	18	26	12	6
EPHA2	799	1003	349	207
EPHA3	244	280	168	92
EPHA4	446	621	254	151
EPHA5	178	255	137	72
EPHA6	146	183	101	50
EPHA7	1464	2016	885	539
EPHA8	60	58	28	10
EPHB1	51	56	38	20
EPHB2	253	301	124	63
EPHB3	55	73	28	14
EPHB4	393	580	159	102
EPHX1	663	767	311	169
EPHX2	192	226	97	53
EPHX4	158	183	96	49
EPM2A	48	58	27	18
EPN1	836	1030	337	212
EPN2	177	232	89	68
EPOP	46	61	21	24
EPOR	68	75	41	25
EPPK1	652	850	320	215
EPRS	5503	6018	2842	1887
EPS15	1084	1250	495	321
EPS15L1	1037	1260	521	381
EPS8	904	1016	480	297
EPS8L1	4	7	3	3
ERAL1	1082	1359	555	362
ERAP1	264	295	120	69
ERBB2	244	241	111	71
ERBB3	31	36	18	5
ERBB4	343	334	178	86
ERBIN	1043	1160	459	327
ERC1	808	923	488	294
ERC2	30	38	12	11
ERCC1	432	685	259	163
ERCC2	756	840	403	231
ERCC3	923	1103	492	328
ERCC4	418	501	250	137
ERCC6	522	645	288	232
ERCC6L	622	777	443	335
ERCC6L2	206	216	156	91
ERCC8	147	142	86	63
ERF	349	434	173	115
ERFE	120	177	74	35
ERG28	339	482	254	112
ERGIC1	556	699	336	143
ERGIC2	630	621	378	260
ERGIC3	1869	2439	862	493
ERH	2992	3208	1842	1171
ERI1	536	506	227	159
ERI2	283	273	142	101
ERI3	1418	1627	902	594
ERICH1	330	344	147	115
ERICH5	101	153	52	53
ERLEC1	390	400	161	104
ERLIN1	396	443	178	91
ERLIN2	952	1177	511	269
ERMAP	25	23	19	11
ERMARD	234	223	116	55
ERMP1	712	765	321	197
ERN1	58	102	45	21
ERO1A	1106	1079	463	300
ERO1B	163	212	109	62
ERP29	974	1307	453	250
ERP44	1375	1679	613	403
ERRFI1	287	349	168	79
ERV3-1	2	8	0	1
ERVFRD-1	0	0	0	0
ERVK3-1	297	457	203	138
ESCO1	148	144	66	49
ESCO2	1159	1337	613	406
ESD	4196	4709	2123	1590
ESF1	808	937	580	408
ESPL1	1775	2374	1260	722
ESPNL	0	0	2	1
ESR2	0	3	0	0
ESRP2	401	461	239	130
ESRRA	107	171	62	34
ESRRB	15	27	12	1
ESRRG	0	0	0	0
ESS2	446	612	299	173
ESYT1	2358	2857	1272	763
ESYT2	857	1096	408	253
ETAA1	155	150	83	60
ETF1	2935	3276	1551	977
ETFA	3695	3978	1663	1101
ETFB	1194	1412	527	332
ETFBKMT	18	23	10	8
ETFDH	411	574	200	127
ETFRF1	175	154	83	63
ETHE1	160	174	58	49
ETNK1	999	1362	588	413
ETNK2	65	81	28	23
ETNPPL	35	34	10	14
ETS2	464	582	309	175
ETV1	405	417	193	157
ETV3	359	511	245	161
ETV6	81	111	36	36
EVC	57	72	37	16
EVI2B	0	0	1	0
EVI5	398	447	212	153
EVI5L	131	148	54	42
EVL	131	169	71	56
EWSR1	3819	5184	2732	1688
EXD2	258	336	183	96
EXD3	33	24	17	5
EXO1	802	849	382	273
EXO5	136	181	108	72
EXOC1	719	727	301	205
EXOC2	1290	1493	648	473
EXOC3	654	765	290	198
EXOC4	1503	1611	682	429
EXOC5	431	466	180	115
EXOC6	1240	1251	655	452
EXOC6B	531	610	333	211
EXOC7	1140	1449	641	419
EXOC8	721	950	456	342
EXOG	165	250	111	79
EXOSC1	730	985	422	281
EXOSC10	2674	3545	1645	1068
EXOSC2	1434	1773	691	470
EXOSC3	657	875	395	233
EXOSC4	613	838	333	182
EXOSC5	1005	1326	558	339
EXOSC6	471	653	322	202
EXOSC7	564	700	291	160
EXOSC8	1762	1932	841	610
EXOSC9	1061	1352	626	399
EXPH5	186	218	133	72
EXT1	277	304	147	93
EXT2	901	1088	471	286
EXTL2	273	234	146	102
EXTL3	299	363	158	90
EYA1	71	70	30	30
EYA2	204	251	127	70
EYA3	658	737	353	199
EYA4	519	596	289	192
EYS	0	3	0	0
EZH1	173	142	64	45
EZH2	1078	1447	673	411
EZR	3428	4709	2156	1338
F11R	442	583	210	150
F12	74	94	31	30
F2R	370	441	184	109
F2RL1	412	467	213	130
F3	61	65	22	23
F8	61	56	27	18
FAAH	104	128	71	37
FAAH2	83	72	62	36
FAAP100	148	207	93	41
FAAP20	294	456	173	116
FAAP24	160	217	111	92
FABP3	9	10	5	1
FADD	382	470	217	116
FADS1	344	395	187	109
FADS2	1535	1839	671	393
FADS3	114	147	63	41
FAF1	1454	1653	617	403
FAF2	1192	1433	742	439
FAH	336	410	139	100
FAHD1	434	546	238	149
FAHD2A	90	92	55	24
FAHD2B	39	31	16	12
FAIM	659	935	401	223
FAM102A	17	23	14	8
FAM102B	200	200	80	51
FAM104A	231	334	154	111
FAM104B	194	218	97	97
FAM107B	317	280	171	131
FAM110B	51	56	32	20
FAM114A1	90	87	34	19
FAM114A2	428	580	262	181
FAM117A	137	198	70	49
FAM117B	383	432	227	148
FAM118A	222	255	122	87
FAM118B	249	278	118	71
FAM120A	1113	1459	507	320
FAM120AOS	100	98	51	23
FAM120B	815	991	549	412
FAM120C	276	398	192	108
FAM122A	178	218	99	67
FAM122B	336	389	196	103
FAM122C	34	27	21	16
FAM124A	51	57	18	9
FAM126A	525	621	212	150
FAM126B	149	176	84	45
FAM129A	328	317	132	94
FAM129B	838	963	341	178
FAM131A	64	81	25	11
FAM133B	14	13	8	10
FAM135A	352	331	138	88
FAM136A	580	814	406	214
FAM13A	257	294	180	128
FAM13B	85	103	100	77
FAM13C	54	69	29	33
FAM149A	49	71	24	20
FAM149B1	61	57	22	10
FAM151B	33	45	20	14
FAM155B	25	30	12	12
FAM160A1	64	87	49	34
FAM160A2	133	193	92	66
FAM160B1	364	458	200	152
FAM160B2	209	257	113	66
FAM161A	234	226	105	73
FAM161B	72	73	37	16
FAM162A	928	1010	431	284
FAM166A	0	0	0	0
FAM168A	376	423	223	134
FAM168B	770	862	467	297
FAM169A	405	541	226	120
FAM171A1	323	410	129	75
FAM171A2	152	191	83	36
FAM171B	129	128	62	54
FAM172A	252	270	108	84
FAM173A	90	130	51	36
FAM174A	101	115	59	31
FAM174B	29	32	12	11
FAM177A1	219	264	103	64
FAM184A	305	293	126	112
FAM184B	69	71	39	31
FAM185A	41	65	24	15
FAM186B	5	5	6	1
FAM189A1	13	13	6	6
FAM189B	337	400	155	73
FAM192A	305	467	193	123
FAM193A	353	437	211	130
FAM193B	165	201	105	67
FAM199X	982	1049	423	309
FAM200A	188	176	125	79
FAM200B	39	43	14	12
FAM204A	345	433	173	92
FAM206A	136	221	87	48
FAM207A	181	278	151	97
FAM20A	4	4	3	0
FAM20B	163	229	89	50
FAM20C	108	108	47	22
FAM210A	270	374	113	111
FAM210B	216	231	106	49
FAM214A	227	207	121	78
FAM214B	3	8	4	0
FAM216A	1259	1184	584	380
FAM217B	54	73	27	31
FAM219A	195	261	102	68
FAM219B	127	166	88	38
FAM221A	226	262	103	61
FAM222A	37	41	9	10
FAM222B	172	209	98	53
FAM227A	10	3	4	0
FAM227B	9	9	7	6
FAM228B	6	14	7	3
FAM229B	96	151	38	40
FAM234A	34	42	18	11
FAM234B	503	591	290	156
FAM241A	216	241	84	60
FAM241B	207	291	186	91
FAM32A	331	470	234	160
FAM3A	152	174	79	44
FAM3C	1	1	0	1
FAM45A	79	65	41	24
FAM49B	1127	1272	519	390
FAM50A	1809	2254	830	553
FAM50B	0	4	3	1
FAM53A	2	5	1	0
FAM53B	95	138	63	43
FAM53C	481	593	320	197
FAM57A	189	301	140	76
FAM71E1	43	51	23	6
FAM72A	2	10	3	2
FAM72B	13	12	7	7
FAM76A	141	171	101	35
FAM76B	112	142	80	41
FAM78A	6	5	2	2
FAM81A	23	17	2	5
FAM83B	243	294	164	96
FAM83D	1423	1796	821	539
