	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
DCP1B	289	345	137	116
DCP2	917	1212	734	382
DCPS	279	353	136	81
DCTD	534	606	281	179
DCTN1	2288	2839	1282	817
DCTN2	2886	3291	1431	896
DCTN3	1262	1422	596	355
DCTN4	1837	2264	1022	717
DCTN5	591	701	329	220
DCTN6	851	881	363	260
DCTPP1	1401	1670	719	409
DCUN1D1	409	415	178	99
DCUN1D2	35	81	45	19
DCUN1D3	25	41	18	7
DCUN1D4	353	448	183	130
DCUN1D5	1249	1220	666	399
DCXR	1151	1629	603	385
DDA1	464	578	275	179
DDAH1	1153	1271	501	317
DDAH2	73	99	56	23
DDB1	8692	10918	4789	3104
DDB2	245	373	158	115
DDHD1	321	357	158	115
DDHD2	491	505	205	120
DDI2	671	833	414	287
DDIAS	250	255	152	92
DDIT3	29	47	78	41
DDIT4	347	508	253	121
DDOST	5075	5714	2074	1038
DDR1	269	325	139	71
DDR2	525	536	275	139
DDRGK1	929	1314	513	326
DDTL	16	15	11	5
DDX1	4776	5662	2638	1732
DDX10	771	883	457	316
DDX11	227	304	137	69
DDX17	7511	9384	4358	2663
DDX18	1588	2044	894	649
DDX19A	117	136	77	54
DDX19B	25	31	13	6
DDX20	1567	1981	958	638
DDX21	9061	10444	4716	3392
DDX23	1484	1857	702	422
DDX24	5175	6785	3072	1924
DDX27	1870	2368	955	616
DDX28	493	631	319	218
DDX31	702	846	474	269
DDX39A	2868	3714	1716	1090
DDX39B	7707	10189	5035	2983
DDX3X	6670	8136	3369	2156
DDX41	567	775	383	175
DDX42	2242	2635	1215	792
DDX46	4691	5277	2093	1470
DDX47	1927	2217	1266	803
DDX49	910	1220	470	249
DDX5	12248	15644	8721	5795
DDX50	1105	1118	458	327
DDX51	380	533	251	132
DDX52	1493	1598	802	564
DDX54	1883	2516	977	593
DDX55	504	615	293	231
DDX56	3480	4464	2074	1338
DDX58	77	81	48	36
DDX59	301	344	136	86
DDX6	1919	2484	1293	886
DDX60	109	103	43	32
DEAF1	194	220	100	48
DECR1	139	131	56	27
DECR2	78	77	34	20
DEDD	244	271	110	66
DEDD2	175	232	141	71
DEF8	318	447	235	106
DEGS1	2907	3820	1707	1148
DEK	5634	6048	2433	1895
DELE1	471	551	252	148
DENND10	78	64	41	24
DENND11	280	370	128	81
DENND1A	239	296	115	71
DENND1B	65	100	55	28
DENND2C	147	143	80	42
DENND3	161	150	72	52
DENND4A	629	695	297	226
DENND4B	213	272	101	65
DENND4C	734	806	386	285
DENND5A	175	208	85	59
DENND5B	572	656	248	160
DENND6A	383	456	209	115
DENR	1129	1252	532	369
DEPDC1	672	714	262	192
DEPDC1B	547	557	270	181
DEPDC4	81	62	27	29
DEPDC5	77	72	19	17
DEPDC7	316	309	178	117
DEPTOR	43	30	15	9
DERA	675	657	246	161
DERL1	618	813	312	213
DERL2	442	590	268	166
DERL3	174	197	104	65
DERPC	511	640	306	181
DESI1	497	576	227	140
DESI2	311	360	112	93
DFFA	1341	1417	598	361
DFFB	221	296	156	97
DGAT1	176	223	84	54
DGCR2	372	564	292	133
DGCR6	15	18	3	5
DGCR6L	110	147	63	46
DGCR8	258	390	143	101
DGKA	78	64	26	21
DGKD	275	285	112	63
DGKE	300	411	183	95
DGKH	380	507	234	126
DGKQ	33	48	25	10
DGKZ	61	87	26	15
DGLUCY	174	213	101	64
DGUOK	614	750	417	308
DHCR24	3197	4874	1788	1009
DHCR7	1390	1871	663	376
DHDDS	367	389	198	108
DHFR	8	8	5	2
DHFR2	24	29	17	8
DHODH	166	190	82	64
DHPS	650	790	287	193
DHRS1	159	188	89	57
DHRS11	108	130	47	31
DHRS12	23	22	13	5
DHRS13	120	172	89	42
DHRS3	238	295	154	92
DHRS4	81	134	59	42
DHRS7	621	782	279	184
DHRS7B	288	378	162	92
DHRSX	134	194	88	44
DHTKD1	884	1011	513	252
DHX15	5286	7141	3542	2266
DHX16	1632	2069	898	549
DHX29	964	1094	530	372
DHX30	2407	3305	1519	910
DHX32	511	641	298	169
DHX33	1117	1283	630	394
DHX34	354	482	245	146
DHX35	248	251	132	93
DHX36	2005	2380	953	639
DHX37	972	1388	541	374
DHX38	942	1219	457	292
DHX40	1148	1365	603	423
DHX57	993	1161	552	358
DHX8	1830	2207	1120	724
DHX9	8607	11338	5931	3728
DIABLO	34	40	30	23
DIAPH1	1313	1730	1085	583
DIAPH2	321	372	171	113
DIAPH3	757	909	465	273
DICER1	1291	1409	579	364
DIDO1	1135	1334	640	378
DIMT1	566	587	295	178
DIP2A	345	401	180	108
DIP2B	1144	1391	658	422
DIP2C	318	398	161	101
DIPK1A	241	263	130	77
DIPK1B	255	420	110	65
DIPK2A	267	343	153	87
DIRAS1	139	158	68	44
DIS3	2046	2240	1210	900
DIS3L	523	680	307	167
DIS3L2	247	267	118	92
DISC1	34	45	23	17
DISP1	71	81	52	26
DIXDC1	162	188	71	56
DKC1	2449	3258	1286	847
DLAT	1736	2224	915	628
DLC1	435	517	202	111
DLD	6605	7765	3246	2026
DLG1	595	640	281	159
DLG3	470	433	198	106
DLG4	15	7	9	3
DLG5	470	642	228	142
DLGAP4	230	233	86	67
DLGAP5	2449	2613	1501	1121
DLK2	28	71	23	12
DLL1	68	97	41	20
DLST	1500	1682	740	475
DLX1	109	127	80	58
DLX2	845	1238	593	366
DMAC1	450	532	228	158
DMAC2	433	644	295	160
DMAC2L	290	349	171	121
DMAP1	662	950	352	258
DMC1	26	18	4	7
DMD	293	319	162	89
DMKN	1619	1663	1072	705
DMPK	26	17	15	3
DMTF1	231	250	143	88
DMWD	166	221	93	44
DMXL1	1478	1553	879	549
DMXL2	853	961	443	310
DNA2	1157	1227	643	470
DNAAF2	437	463	246	164
DNAAF4	148	144	79	51
DNAAF5	1946	2716	1089	721
DNAH1	30	12	33	8
DNAH10	2	4	4	0
DNAH11	82	54	44	20
DNAH14	750	809	329	218
DNAH17	11	6	3	4
DNAH6	46	29	12	4
DNAH7	31	28	23	9
DNAJA1	3448	4768	2178	1455
DNAJA2	2206	2774	1099	756
DNAJA3	1210	1481	538	329
DNAJB1	955	1298	463	279
DNAJB11	744	938	394	223
DNAJB12	692	802	402	242
DNAJB14	162	218	95	62
DNAJB2	196	250	117	70
DNAJB4	127	126	58	42
DNAJB5	58	70	32	22
DNAJB6	307	449	167	104
DNAJB7	10	9	4	0
DNAJB9	155	193	103	52
DNAJC1	650	757	288	196
DNAJC10	683	727	284	155
DNAJC11	1203	1687	794	472
DNAJC12	420	443	225	131
DNAJC13	904	984	338	253
DNAJC14	198	286	142	104
DNAJC16	334	412	164	90
DNAJC17	99	142	70	44
DNAJC18	453	494	220	177
DNAJC19	89	69	50	39
DNAJC2	1206	1304	554	414
DNAJC21	805	946	365	284
DNAJC24	110	102	48	25
DNAJC25	35	42	22	8
DNAJC27	9	8	7	4
DNAJC28	62	54	14	13
DNAJC3	536	606	250	163
DNAJC30	123	184	80	64
DNAJC4	47	53	13	10
DNAJC5	572	677	266	181
DNAJC6	721	738	385	235
DNAJC7	2522	2930	1255	880
DNAJC8	930	998	475	345
DNAJC9	389	482	291	139
DNAL1	100	157	53	43
DNAL4	66	80	27	25
DNASE1	7	2	5	1
DNASE1L1	58	83	33	17
DNASE2	596	713	309	194
DND1	1	0	3	1
DNHD1	18	14	16	4
DNLZ	93	156	66	50
DNM1	343	398	202	116
DNM1L	2429	2847	1173	817
DNM2	2652	3469	1493	948
DNM3	60	54	25	19
DNMBP	342	412	234	133
DNMT1	5437	7287	3207	1916
DNMT3A	232	321	106	84
DNMT3B	265	343	160	99
DNPEP	642	827	321	200
DNPH1	972	1129	473	276
DNTTIP1	1175	1451	648	403
DNTTIP2	1384	1348	1105	812
DOCK1	689	801	272	157
DOCK11	607	562	271	188
DOCK3	105	127	68	33
DOCK4	859	930	406	295
DOCK5	386	402	189	109
DOCK6	201	192	72	50
DOCK7	1773	1883	868	616
DOCK8	117	147	83	55
DOCK9	289	302	131	70
DOHH	221	294	127	62
DOK1	24	32	12	8
DOK3	4	3	8	1
DOK4	51	54	23	23
DOLK	381	573	208	119
DOLPP1	421	594	243	145
DONSON	803	930	386	247
DOP1A	716	850	430	276
DOP1B	435	568	225	156
DOT1L	388	496	184	111
DPAGT1	549	714	323	146
DPCD	611	766	330	213
DPF1	234	286	162	68
DPF2	750	1077	460	289
DPH1	818	1065	420	280
DPH2	299	426	256	144
DPH3	207	254	122	86
DPH5	726	847	291	179
DPH6	249	253	128	85
DPH7	399	506	248	163
DPM1	1829	2128	1012	620
DPM2	212	263	122	83
DPM3	485	600	314	143
DPP3	767	1099	454	321
DPP7	19	17	14	5
DPP8	538	593	265	191
DPP9	823	944	348	203
DPY19L1	508	549	233	153
DPY19L3	790	933	338	227
DPY19L4	197	226	92	60
DPY30	310	348	195	126
DPYSL2	1827	2284	777	529
DPYSL4	162	297	100	55
DPYSL5	895	1013	387	237
DR1	932	992	344	228
DRAM2	347	298	115	79
DRAP1	411	503	197	139
DRC3	18	14	8	3
DRG1	1713	2070	1083	620
DRG2	815	959	367	237
DROSHA	1472	1609	841	569
DSC2	613	672	275	157
DSC3	742	1055	419	263
DSCC1	650	765	290	192
DSE	196	202	126	58
DSG2	2145	2289	993	586
DSN1	522	524	258	176
DSP	5084	6066	2675	1771
DST	1002	1329	808	530
DSTN	1824	2081	648	431
DSTYK	195	270	112	80
DTD1	58	63	18	18
DTD2	73	72	30	24
DTL	1615	1873	813	567
DTNA	314	341	166	109
DTNB	232	323	105	77
DTNBP1	730	908	348	239
DTWD1	142	131	61	37
DTWD2	225	225	104	62
DTX3	144	153	80	42
DTX3L	299	313	173	86
DTYMK	924	1366	629	368
DUS1L	478	615	231	116
DUS2	353	448	221	137
DUS3L	479	665	279	196
DUS4L	143	152	63	56
DUSP1	503	562	353	192
DUSP11	500	583	262	178
DUSP12	280	351	221	113
DUSP14	360	445	227	131
DUSP16	181	234	95	67
DUSP19	88	96	36	31
DUSP2	1	0	4	1
DUSP22	107	96	41	17
DUSP3	569	720	279	182
DUSP7	208	243	86	53
DUSP9	83	147	64	34
DUT	2247	2559	1247	722
DVL1	327	349	126	87
DVL2	996	1235	535	332
DVL3	620	804	291	175
DXO	425	486	209	122
DYM	1039	1072	305	238
DYNC1H1	7001	8247	5951	3599
DYNC1I2	536	670	367	256
DYNC1LI1	1445	1585	689	468
DYNC1LI2	1033	1144	532	330
DYNC2H1	2399	2671	1185	869
DYNC2LI1	431	448	169	113
DYNLL1	1383	1764	709	484
DYNLL2	639	628	303	206
DYNLRB1	1041	1282	522	340
DYNLT1	1178	1306	493	323
DYNLT3	191	193	78	42
DYRK1A	600	667	316	163
DYRK1B	348	463	210	111
DYRK2	273	357	172	99
DYRK3	251	279	123	71
DYRK4	289	313	190	125
DZANK1	56	65	30	22
DZIP1	211	163	107	73
DZIP1L	39	50	26	12
DZIP3	662	678	302	220
E2F1	197	178	63	46
E2F2	484	513	209	100
E2F3	516	629	269	200
E2F4	447	518	178	103
E2F5	280	348	128	88
E2F6	93	95	32	26
E2F7	597	780	289	191
E2F8	245	234	157	98
E4F1	341	436	206	132
EAF1	579	684	276	225
EAF2	80	71	31	22
EAPP	495	582	276	186
EARS2	661	810	377	223
EBAG9	150	169	87	57
EBF3	376	467	194	144
EBLN2	0	0	0	0
EBNA1BP2	2733	3653	1705	1051
EBP	566	797	340	184
EBPL	601	710	297	161
ECD	2024	2393	1052	733
ECE1	931	1190	507	277
ECEL1	45	74	20	11
ECH1	1737	1746	672	448
ECHDC1	1467	1678	865	630
ECHDC2	1	0	0	0
ECHS1	3063	3732	1458	948
ECI1	746	912	432	209
ECI2	1857	1946	831	569
ECM2	0	1	0	0
ECPAS	2498	2820	1243	928
ECSIT	391	527	229	136
ECT2	2131	2217	1196	810
EDA2R	68	115	58	49
EDARADD	47	77	37	20
EDC3	1074	1263	591	425
EDC4	1880	2807	1296	746
EDEM1	142	144	88	46
EDEM2	97	125	54	30
EDEM3	335	396	184	112
EDF1	1822	2848	1098	776
EDRF1	1151	1438	516	384
EEA1	1446	1697	773	529
EED	541	742	331	178
EEF1A1	1452	3272	874	438
EEF1A2	2280	2551	814	514
EEF1AKMT1	205	216	93	55
EEF1AKMT2	74	80	48	27
EEF1AKMT4	44	52	22	11
EEF1AKNMT	853	1118	533	365
EEF1B2	403	602	193	107
EEF1D	960	1599	556	340
EEF1E1	647	590	257	146
EEF1G	2041	2481	809	477
EEF2	35482	51003	12953	8469
EEF2K	221	271	179	83
EEF2KMT	52	91	32	23
EEFSEC	384	530	248	139
EEPD1	92	101	47	30
EFCAB10	19	30	12	10
EFCAB11	139	143	50	47
EFCAB13	4	6	1	0
EFCAB14	275	260	142	72
EFCAB2	24	47	18	11
EFCAB6	29	25	14	4
EFCAB7	308	307	153	113
EFHC1	201	229	99	81
EFHD2	406	545	174	116
EFL1	350	446	178	136
EFNA4	20	27	16	3
EFNA5	418	555	261	134
EFNB1	224	378	141	58
EFNB2	606	700	233	154
EFR3A	213	214	69	56
EFR3B	244	273	102	51
EFTUD2	5204	7188	2978	1762
EGFL7	314	426	180	101
EGFL8	9	13	11	3
EGFR	260	265	109	65
EGLN1	291	405	173	87
EGLN2	220	288	126	75
EGLN3	155	183	94	35
EHBP1	388	371	183	140
EHD1	373	391	179	105
EHD3	80	99	39	21
EHD4	524	657	291	180
EHHADH	300	281	164	119
EHMT1	821	1039	456	307
EHMT2	1000	1348	500	371
EI24	494	579	188	106
EID1	2023	2687	1268	711
EID2	972	1134	512	308
EID3	1	5	3	0
EIF1	1430	1687	511	336
EIF1AD	219	210	102	57
EIF1AX	329	387	183	101
EIF1B	490	604	215	149
EIF2A	1415	1566	638	445
EIF2AK1	1313	1325	630	405
EIF2AK2	1502	1640	587	422
EIF2AK3	115	125	47	31
EIF2AK4	791	844	349	207
EIF2B1	1553	1900	905	540
EIF2B2	751	877	410	247
EIF2B3	1508	1662	802	504
EIF2B4	660	839	406	235
EIF2B5	659	978	448	277
EIF2D	480	519	208	158
EIF2S1	3011	3597	1538	1060
EIF2S2	609	675	378	236
EIF2S3	5031	5078	1752	1145
EIF3A	8202	11109	4337	2992
EIF3B	6797	8221	3405	2160
EIF3C	13	41	6	4
EIF3D	7931	9324	4082	2706
EIF3E	5121	5746	2458	1663
EIF3F	752	932	325	210
EIF3G	4065	5196	1758	1244
EIF3H	3180	3871	1373	970
EIF3I	8669	9502	3946	2697
EIF3J	959	1258	486	303
EIF3K	7716	8527	3306	2130
EIF3L	3137	4226	1444	838
EIF3M	5333	6396	2478	1615
EIF4A1	6305	8068	4118	2235
EIF4A2	1232	1442	506	326
EIF4A3	2954	3622	1641	1164
EIF4B	452	690	262	150
EIF4E	108	171	81	55
EIF4E2	697	1088	510	346
EIF4E3	78	78	28	16
EIF4EBP1	862	998	467	308
EIF4EBP2	237	354	65	64
EIF4ENIF1	512	646	301	166
EIF4G1	13168	16625	8728	5597
EIF4G2	5423	6061	4009	2386
EIF4G3	3811	4614	1970	1329
EIF4H	772	964	448	214
EIF5	2176	2292	1388	909
EIF5A	5710	7855	4463	2858
EIF5A2	101	113	47	21
EIF5B	3269	3987	2023	1352
EIF6	1572	2150	1101	616
EIPR1	274	314	161	97
ELAC1	48	80	35	28
ELAC2	1649	1987	1102	670
ELAVL1	3607	4172	1579	1032
ELAVL2	282	328	130	92
ELF1	700	807	461	329
ELF2	338	421	204	111
ELF4	403	445	163	99
ELK1	171	214	84	55
ELK3	121	86	36	31
ELK4	104	112	53	37
ELL	243	325	140	89
ELL2	171	166	73	67
ELL3	292	248	107	65
ELMO2	411	538	271	143
ELMO3	6	2	1	2
ELMOD1	19	20	5	7
ELMOD2	577	708	297	204
ELMOD3	18	25	16	9
ELMSAN1	267	321	169	82
ELOA	1515	1762	933	602
ELOB	2578	3060	1473	1041
ELOC	648	1001	442	220
ELOF1	624	1004	476	266
ELOVL1	886	1139	475	257
ELOVL2	273	342	105	70
ELOVL4	839	964	411	295
ELOVL5	2295	2806	996	692
ELOVL6	389	548	192	129
ELOVL7	234	249	96	67
ELP1	2072	2393	1164	776
ELP2	1434	1660	641	465
ELP3	1195	1453	719	516
ELP4	404	424	237	149
ELP5	811	984	455	297
ELP6	447	572	305	202
EMB	227	230	125	77
EMC1	2261	2819	1159	675
EMC10	634	1107	461	229
EMC2	774	717	365	241
EMC3	1180	1385	631	419
EMC4	1008	1300	629	402
EMC6	254	339	146	74
EMC7	779	984	403	217
EMC8	482	687	293	155
EMC9	111	127	71	44
EMD	1340	1713	697	443
EME1	254	318	164	79
EME2	26	30	22	15
EMG1	891	1192	510	287
EMILIN2	165	144	79	48
EMILIN3	349	437	169	92
EML1	622	680	319	203
EML2	257	280	100	70
EML3	147	150	50	29
EML4	1335	1630	633	438
EML5	130	126	56	38
EML6	22	15	15	5
EMP2	195	226	79	56
EMP3	300	313	136	93
EMSY	271	307	201	106
EN2	177	219	78	40
ENAH	1917	2151	779	534
ENC1	406	538	260	149
ENDOD1	184	227	103	68
ENDOG	479	691	300	160
ENDOV	57	65	36	19
ENGASE	98	157	69	43
ENKD1	62	74	31	18
ENO1	46917	59361	24004	15422
ENO2	737	948	347	196
ENOPH1	602	813	282	196
ENOSF1	247	300	107	76
ENOX1	69	74	33	9
ENOX2	152	159	96	63
ENPEP	365	353	193	105
ENPP1	450	530	219	118
ENPP4	482	507	204	155
ENSA	427	689	354	209
ENTPD4	126	193	54	28
ENTPD5	31	30	16	4
ENTPD6	325	420	191	116
ENTPD7	286	313	135	77
ENTR1	264	341	151	92
ENY2	749	1017	451	298
EOGT	173	199	82	42
EP300	2132	2526	1309	823
EP400	1237	1535	792	487
EPAS1	108	103	30	26
EPB41	1736	1970	814	540
EPB41L1	131	147	61	37
EPB41L2	2482	2831	1393	892
EPB41L3	1577	2070	860	537
EPB41L4A	57	50	22	12
EPB41L4B	110	110	28	21
EPB41L5	505	518	228	149
EPC1	207	252	181	141
EPC2	247	261	104	84
EPG5	433	475	264	143
EPHA2	769	973	317	194
EPHA3	244	279	168	92
EPHA4	439	620	253	147
EPHA5	174	245	130	67
EPHA6	146	184	101	50
EPHA7	1442	1992	837	510
EPHA8	60	58	26	10
EPHB1	51	56	38	20
EPHB2	254	301	125	63
EPHB4	383	561	157	97
EPHX1	663	769	311	169
EPHX2	191	226	97	54
EPHX4	158	185	96	49
EPM2A	45	57	28	18
EPN1	837	1032	337	212
EPN2	178	232	90	68
EPOR	60	68	40	26
EPPK1	657	850	322	215
EPRS	5489	5957	2772	1856
EPS15	1049	1188	475	307
EPS15L1	1025	1243	499	368
EPS8	895	1017	468	294
ERAL1	1081	1363	557	363
ERAP1	264	293	120	65
ERBB2	244	242	112	71
ERBB4	336	327	163	81
ERBIN	1045	1161	461	327
ERC1	809	922	490	294
ERC2	30	37	11	8
ERCC1	421	631	231	154
ERCC2	745	818	378	217
ERCC3	896	1060	456	306
ERCC4	419	500	250	137
ERCC6	507	627	271	226
ERCC6L	607	762	423	326
ERCC6L2	229	230	167	106
ERCC8	128	113	65	50
ERF	331	417	170	109
ERFE	120	177	75	35
ERG28	306	444	217	104
ERGIC1	556	700	336	144
ERGIC2	611	596	352	239
ERGIC3	1870	2441	865	494
ERH	2561	2789	1393	915
ERI1	535	505	227	160
ERI2	269	250	132	94
ERI3	1454	1638	894	589
ERICH1	315	324	132	106
ERICH5	101	153	52	53
ERLEC1	391	399	161	105
ERLIN1	387	427	167	80
ERLIN2	954	1177	514	270
ERMAP	25	22	19	10
ERMARD	234	222	116	56
ERMP1	717	760	315	190
ERN1	54	92	43	19
ERO1A	1100	1061	447	288
ERO1B	166	212	104	61
ERP29	974	1306	454	250
ERP44	1321	1632	567	378
ERRFI1	275	330	157	73
ERV3-1	2	8	0	1
ERVFRD-1	0	0	0	0
ERVK3-1	297	457	201	137
ESCO1	147	142	67	48
ESCO2	1161	1337	613	407
ESD	3797	4293	1809	1361
ESF1	796	905	553	388
ESPL1	1779	2379	1264	722
ESPNL	0	0	2	1
ESRP2	404	457	238	130
ESRRA	108	171	62	34
ESRRG	1	1	0	0
ESS2	429	597	280	164
ESYT1	2364	2860	1274	763
ESYT2	875	1098	398	246
ETAA1	155	150	84	60
ETF1	2715	2846	1264	831
ETFA	3714	3957	1623	1080
ETFB	1167	1355	481	325
ETFDH	411	575	200	127
ETFRF1	175	154	82	63
ETHE1	154	164	53	45
ETNK1	1004	1366	588	414
ETNK2	62	80	25	22
ETS2	464	581	309	176
ETV3	348	493	230	152
ETV6	81	111	36	36
EVC	57	72	37	16
EVI5	395	450	212	154
EVI5L	131	147	54	41
EVL	130	168	71	56
EWSR1	3822	5187	2732	1690
EXD2	258	336	184	96
EXO1	801	849	382	274
EXO5	136	180	109	72
EXOC1	719	727	300	205
EXOC2	1263	1442	626	462
EXOC3	654	766	291	197
EXOC4	1502	1615	682	430
EXOC5	423	461	165	112
EXOC6	1240	1253	653	452
EXOC6B	535	601	329	210
EXOC7	1128	1437	636	412
EXOC8	722	955	456	342
EXOG	165	252	111	79
EXOSC1	731	1000	425	279
EXOSC10	2639	3431	1584	1005
EXOSC2	1434	1777	691	471
EXOSC3	626	811	331	202
EXOSC4	613	840	333	182
EXOSC5	942	1201	471	309
EXOSC6	471	651	322	202
EXOSC7	564	702	294	161
EXOSC8	1770	1943	844	614
EXOSC9	1062	1352	629	398
EXPH5	184	219	131	69
EXT1	256	292	142	88
EXT2	901	1087	471	286
EXTL2	272	235	148	102
EXTL3	299	363	158	90
EYA1	72	71	31	30
EYA2	204	251	127	70
EYA3	623	692	329	181
EYA4	519	595	291	192
EYS	0	3	0	0
EZH1	172	137	58	43
EZH2	1065	1398	651	401
EZR	3260	4523	2021	1254
F11R	429	554	190	132
F12	74	94	30	30
F2R	370	442	185	110
F2RL1	413	468	213	130
F8	60	55	27	18
FAAP100	139	201	83	41
FAAP20	294	434	164	113
FAAP24	160	217	112	92
FADD	382	471	217	116
FADS1	340	396	186	108
FADS2	1536	1840	671	393
FADS3	111	137	59	41
FAF1	1446	1626	600	403
FAF2	1195	1433	743	438
FAH	336	411	139	100
FAHD1	435	547	237	149
FAHD2A	88	91	55	23
FAHD2B	35	23	15	10
FAIM	658	936	401	224
FAM102A	16	27	16	9
FAM102B	200	200	79	51
FAM104A	234	339	155	114
FAM104B	175	187	90	83
FAM107B	324	287	174	131
FAM114A1	89	87	35	19
FAM114A2	434	540	241	169
FAM117A	142	202	70	48
FAM117B	383	431	227	148
FAM118A	222	255	121	86
FAM118B	248	277	117	71
FAM120A	1109	1450	505	320
FAM120AOS	84	79	45	20
FAM120B	818	990	549	413
FAM120C	272	385	183	107
FAM122B	315	363	177	99
FAM126A	525	610	210	151
FAM126B	142	171	82	45
FAM133B	14	12	7	10
FAM135A	352	333	138	88
FAM136A	522	673	289	170
FAM13A	254	291	180	128
FAM13B	82	98	100	75
FAM13C	54	64	29	30
FAM149A	51	71	24	20
FAM149B1	61	57	23	10
FAM151B	33	45	20	14
FAM155B	25	29	12	12
FAM160A1	64	87	49	34
FAM160A2	130	186	91	64
FAM160B1	364	459	200	152
FAM160B2	211	258	111	65
FAM161A	236	221	102	74
FAM161B	72	72	36	16
FAM162A	931	1011	431	285
FAM168A	367	406	184	112
FAM168B	742	844	448	270
FAM169A	395	526	216	114
FAM171A1	317	403	126	73
FAM171A2	150	186	82	34
FAM171B	129	126	62	54
FAM172A	240	264	95	75
FAM174A	102	115	60	32
FAM174C	250	380	222	133
FAM177A1	217	263	103	67
FAM184A	301	280	123	108
FAM184B	68	69	28	28
FAM185A	41	65	24	15
FAM186B	4	5	5	1
FAM189B	296	351	136	71
FAM192A	319	447	174	119
FAM193A	353	438	211	130
FAM193B	165	190	98	66
FAM199X	983	1049	424	309
FAM200A	189	176	125	79
FAM200B	39	43	14	12
FAM204A	335	400	154	84
FAM207A	181	278	152	98
FAM20B	163	228	88	50
FAM210A	260	355	101	101
FAM210B	215	230	106	49
FAM214A	225	207	119	77
FAM216A	1257	1184	585	379
FAM217B	54	73	27	31
FAM219A	190	244	97	64
FAM219B	103	141	64	31
FAM221A	228	265	103	61
FAM222B	166	208	101	55
FAM227A	10	3	4	0
FAM229B	96	151	38	40
FAM234A	318	396	162	90
FAM234B	506	591	292	158
FAM241A	216	241	85	60
FAM32A	331	469	234	160
FAM3A	156	171	74	40
FAM3C	2	1	0	1
FAM49B	1068	1229	498	357
FAM50A	1828	2275	838	557
FAM53B	97	141	63	43
FAM53C	481	594	321	198
FAM71E1	41	51	24	6
FAM72B	15	15	9	8
FAM76A	141	174	101	35
FAM76B	107	135	73	39
FAM81A	23	17	2	5
FAM83B	243	294	164	96
FAM83D	1422	1802	819	539
FAM83G	224	280	134	80
FAM83H	264	442	201	150
FAM89A	188	248	116	71
FAM89B	41	72	25	12
FAM8A1	410	516	278	139
FAM91A1	416	458	139	119
FAM92A	239	270	98	64
FAM98A	1114	1458	629	500
FAM98B	1439	1505	804	569
FAM98C	121	201	79	40
FAN1	308	366	209	142
FANCA	999	1154	554	350
FANCB	310	378	191	143
FANCC	240	271	157	79
FANCD2	1321	1504	696	453
FANCE	291	310	125	71
FANCG	264	360	140	101
FANCI	2377	2690	1407	978
FANCL	914	1040	472	315
FANCM	356	460	237	143
FAR1	1806	2204	1031	705
FAR2	609	658	327	204
FARP1	513	603	191	134
FARP2	964	1167	611	384
FARS2	207	194	109	63
FARSA	3690	4810	2134	1277
FARSB	4285	4594	1924	1361
FAS	234	288	126	86
FASN	15869	23297	8517	5064
FASTK	165	270	68	48
FASTKD1	405	382	211	151
FASTKD2	1243	1369	823	548
FASTKD3	381	393	171	98
FASTKD5	1080	1309	679	445
FAT1	2148	2660	1532	791
FAT2	0	2	1	2
FAT3	238	320	175	88
FAT4	400	495	275	165
FAU	3571	4878	2161	1213
FAXC	63	71	37	26
FAXDC2	14	16	10	4
FBF1	44	43	28	10
FBH1	972	1166	514	304
FBL	7678	11081	4140	2583
FBLIM1	180	230	89	46
FBLN1	623	838	301	153
FBN1	322	531	266	130
FBN2	3532	4949	2541	1306
FBRS	562	735	300	203
FBRSL1	526	719	242	129
FBXL12	118	210	100	61
FBXL13	16	9	9	5
FBXL14	256	343	128	75
FBXL15	150	188	123	44
FBXL17	249	321	127	107
FBXL18	250	324	139	79
FBXL19	156	178	78	40
FBXL2	50	64	31	23
FBXL20	178	194	101	64
FBXL3	433	551	321	224
FBXL4	253	279	153	102
FBXL5	413	412	196	130
FBXL6	92	115	63	29
FBXL8	11	8	11	6
FBXO10	130	159	69	49
FBXO11	882	994	446	300
FBXO16	143	200	95	56
FBXO17	364	452	204	111
FBXO21	1134	1330	635	370
FBXO22	495	587	268	187
FBXO25	222	272	74	62
FBXO28	615	689	339	229
FBXO3	792	838	376	282
FBXO30	529	552	336	210
FBXO31	153	211	74	49
FBXO32	247	246	95	82
FBXO33	312	388	208	139
FBXO34	222	281	121	81
FBXO38	741	784	382	241
FBXO4	123	178	78	47
FBXO42	404	522	214	111
FBXO44	143	219	66	42
FBXO45	148	156	89	41
FBXO46	124	157	106	45
FBXO5	961	1101	701	432
FBXO7	1540	1676	721	440
FBXO8	141	173	90	63
FBXO9	483	553	179	118
FBXW11	731	839	341	208
FBXW2	175	194	107	46
FBXW4	135	158	57	28
FBXW5	248	335	160	107
FBXW7	121	148	95	52
FBXW8	171	289	142	67
FBXW9	281	363	146	82
FCF1	321	412	214	110
FCGRT	316	351	162	94
FCHO2	450	512	243	195
FCHSD1	47	54	35	9
FCHSD2	200	242	104	58
FCSK	100	138	68	28
FDFT1	3168	3716	1632	1011
FDPS	2424	2821	1419	885
FDX1	501	620	239	147
FDX2	42	56	35	15
FDXACB1	12	30	8	12
FDXR	333	479	195	140
FECH	841	849	410	235
FEM1A	384	459	223	106
FEM1B	945	1047	450	267
