	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b
ANKAR	6	0	0	2
ANKEF1	128	117	99	72
ANKFY1	1482	1718	1291	1225
ANKH	201	225	176	187
ANKHD1	52	66	59	67
ANKIB1	237	233	208	194
ANKLE2	1319	1494	994	993
ANKMY1	22	22	22	31
ANKMY2	441	391	361	373
ANKRA2	88	82	73	68
ANKRD10	197	208	126	128
ANKRD11	580	718	602	489
ANKRD12	185	200	150	188
ANKRD13A	500	546	417	441
ANKRD13B	236	284	191	176
ANKRD13C	288	340	198	218
ANKRD13D	52	58	44	29
ANKRD16	86	119	75	94
ANKRD17	2880	3288	2418	2706
ANKRD18A	35	47	45	32
ANKRD18B	23	28	15	21
ANKRD23	3	7	6	9
ANKRD26	609	648	527	515
ANKRD27	640	716	448	381
ANKRD28	940	1015	792	803
ANKRD31	23	19	15	12
ANKRD36	17	9	18	16
ANKRD36B	16	14	11	5
ANKRD36C	13	16	26	9
ANKRD39	147	205	131	128
ANKRD40	339	429	322	276
ANKRD42	90	104	61	91
ANKRD44	88	95	80	65
ANKRD46	374	494	294	297
ANKRD49	50	78	37	50
ANKRD50	426	486	342	364
ANKRD52	1533	1908	1280	1242
ANKRD54	260	359	223	200
ANKRD6	88	71	89	55
ANKRD61	1	0	2	0
ANKS1A	557	726	503	476
ANKS3	94	150	71	87
ANKS6	166	212	177	153
ANKZF1	324	402	257	247
ANLN	2529	2962	2047	2297
ANO10	321	364	274	257
ANO4	24	24	13	18
ANO5	429	464	354	348
ANO6	662	722	508	569
ANO8	79	91	75	77
ANP32A	1560	2025	1197	1267
ANP32B	1469	1974	1244	1258
ANP32E	2442	3062	2021	2131
ANTKMT	90	131	97	73
ANTXR1	350	471	308	329
ANTXR2	200	234	156	153
ANXA1	926	1196	731	750
ANXA11	2075	2276	1627	1573
ANXA2	1252	1463	977	1006
ANXA4	310	396	247	238
ANXA5	3555	4220	3118	2888
ANXA6	2903	3117	2287	2399
ANXA7	2716	3017	2110	2191
AOC2	3	4	8	6
AOPEP	79	109	44	45
AP002495.1	25	32	18	25
AP002748.5	10	15	8	14
AP1AR	158	149	104	117
AP1B1	3664	4326	3071	3025
AP1G1	1750	2053	1476	1532
AP1G2	201	185	159	159
AP1M1	1699	2117	1479	1371
AP1S1	987	1172	831	782
AP1S2	229	233	138	150
AP1S3	206	234	166	143
AP2A1	980	1264	854	815
AP2A2	1255	1448	947	1006
AP2B1	2495	2846	2226	2244
AP2M1	3310	3834	2689	2580
AP2S1	1810	2209	1441	1308
AP3B1	1748	2001	1488	1568
AP3B2	34	47	29	25
AP3D1	2649	3369	2206	2190
AP3M1	1981	2195	1524	1675
AP3M2	382	450	331	337
AP3S1	647	662	476	539
AP3S2	103	94	66	72
AP4B1	369	435	281	245
AP4E1	320	392	295	304
AP4M1	148	229	148	142
AP4S1	37	44	29	23
AP5B1	213	286	194	210
AP5M1	271	281	190	210
AP5S1	168	236	174	143
AP5Z1	119	202	120	117
APAF1	810	861	716	655
APBA2	254	350	211	214
APBA3	89	116	59	79
APBB1	620	725	460	500
APBB2	205	223	156	167
APBB3	52	62	41	34
APC	844	971	745	797
APC2	31	39	11	12
APEH	1347	1480	1054	961
APEX1	2388	3358	2010	2037
APEX2	355	465	299	290
APH1A	819	1013	788	672
API5	1287	1478	1059	1129
APIP	287	301	213	255
APLF	21	22	16	21
APLP1	489	615	480	472
APLP2	6131	7015	5574	5039
APMAP	702	1096	827	773
APOBEC3C	478	552	338	415
APOC1	114	126	91	102
APOL2	425	563	333	315
APOM	25	30	8	23
APOO	393	462	330	334
APOOL	332	321	231	266
APP	7518	9018	6938	6602
APPBP2	932	1084	713	703
APPL1	1337	1400	1059	1137
APPL2	459	524	422	410
APRT	2423	3078	2016	1917
APTX	463	570	389	394
AQR	1506	1719	1214	1288
ARAF	455	567	353	354
ARAP1	513	562	473	388
ARAP2	158	185	119	115
ARCN1	3721	4188	3042	3076
AREL1	187	213	152	169
ARF1	5198	6499	3987	4287
ARF3	223	339	195	181
ARF4	1139	1431	909	1029
ARF5	2442	2643	1762	1854
ARF6	643	877	491	515
ARFGAP1	670	973	580	567
ARFGAP2	625	888	606	548
ARFGAP3	776	897	586	654
ARFGEF1	836	845	614	696
ARFGEF2	799	951	734	730
ARFGEF3	557	628	527	494
ARFIP1	614	595	475	437
ARFIP2	649	771	564	533
ARFRP1	239	302	190	169
ARG2	732	721	484	517
ARGLU1	570	673	471	455
ARHGAP1	527	669	428	430
ARHGAP10	285	333	278	224
ARHGAP11A	889	918	683	779
ARHGAP12	424	404	315	327
ARHGAP17	1024	1415	797	800
ARHGAP18	235	238	179	183
ARHGAP20	91	114	50	74
ARHGAP21	265	232	230	198
ARHGAP22	111	147	72	96
ARHGAP24	33	40	38	31
ARHGAP26	209	219	155	160
ARHGAP27	79	118	74	91
ARHGAP28	121	152	110	97
ARHGAP29	333	316	184	220
ARHGAP31	67	65	74	72
ARHGAP32	163	158	179	155
ARHGAP35	614	652	481	516
ARHGAP39	173	203	124	121
ARHGAP42	76	76	66	76
ARHGAP44	92	80	56	68
ARHGAP45	41	45	39	40
ARHGAP5	527	565	376	388
ARHGDIA	3195	3782	2555	2588
ARHGDIG	52	65	47	60
ARHGEF1	664	813	542	580
ARHGEF10	251	330	242	266
ARHGEF10L	56	85	56	37
ARHGEF11	324	375	317	309
ARHGEF12	832	910	737	667
ARHGEF16	118	162	100	108
ARHGEF17	165	197	208	239
ARHGEF2	963	1205	707	692
ARHGEF25	23	42	27	20
ARHGEF26	369	479	322	308
ARHGEF28	137	124	110	114
ARHGEF3	210	224	180	192
ARHGEF39	261	366	213	216
ARHGEF4	65	52	80	71
ARHGEF40	145	181	125	123
ARHGEF6	258	247	152	190
ARHGEF7	575	704	464	501
ARHGEF9	31	22	28	19
ARID1A	1819	2520	1624	1631
ARID1B	702	795	642	622
ARID2	1253	1486	1020	1052
ARID3A	153	195	136	124
ARID3B	103	120	60	61
ARID4A	230	263	189	200
ARID4B	797	941	593	607
ARID5A	87	105	47	64
ARID5B	645	793	481	514
ARIH1	914	1192	733	795
ARIH2	644	644	525	520
ARL1	1280	1336	876	1013
ARL10	37	50	37	19
ARL13B	268	282	192	193
ARL14EP	336	375	279	312
ARL15	220	181	132	163
ARL16	255	360	189	230
ARL2	391	417	293	256
ARL2BP	508	563	395	463
ARL3	931	1058	720	782
ARL4A	32	28	27	28
ARL4C	110	155	91	90
ARL4D	102	110	55	64
ARL5A	23	40	25	34
ARL5B	578	703	498	513
ARL6	160	210	124	164
ARL6IP1	379	542	322	328
ARL6IP4	1027	1448	862	836
ARL6IP5	844	790	597	627
ARL6IP6	289	303	241	214
ARL8A	374	452	319	308
ARL8B	483	655	421	409
ARMC1	568	618	442	476
ARMC10	79	102	78	58
ARMC2	60	66	32	38
ARMC4	243	238	210	189
ARMC5	161	255	152	182
ARMC6	972	1247	801	768
ARMC7	181	252	152	151
ARMC8	419	461	313	351
ARMC9	480	593	382	379
ARMCX3	312	397	245	255
ARMCX4	21	40	27	31
ARMCX5	212	196	173	188
ARMCX6	17	44	12	19
ARMH3	730	762	597	620
ARMH4	146	152	133	107
ARMT1	1774	1879	1360	1531
ARNT	577	707	493	508
ARNT2	83	117	71	69
ARNTL	65	71	45	36
ARNTL2	97	104	88	79
ARPC1A	172	209	120	158
ARPC1B	104	126	83	67
ARPC2	4339	4983	3146	3420
ARPC3	2363	2638	1665	2006
ARPC4-TTLL3	105	131	105	94
ARPC5	767	1017	678	639
ARPC5L	536	676	406	411
ARPP19	644	720	509	516
ARRB1	143	139	111	114
ARRB2	830	991	651	656
ARRDC1	380	452	301	291
ARRDC2	84	80	61	49
ARRDC3	78	88	90	80
ARRDC4	308	331	291	288
ARSA	169	197	177	161
ARSB	125	169	138	129
ARSG	44	40	42	44
ARSK	223	236	192	198
ARV1	625	738	507	550
ARVCF	78	105	71	56
AS3MT	234	240	171	208
ASAH1	946	1046	784	791
ASAP1	526	593	411	431
ASAP2	311	401	245	270
ASAP3	143	156	109	96
ASB1	151	210	113	111
ASB13	141	182	136	125
ASB14	0	0	0	1
ASB16	23	19	15	15
ASB3	633	735	535	506
ASB6	898	1113	682	712
ASB7	93	127	73	58
ASB8	425	491	336	337
ASCC1	877	1035	673	727
ASCC2	1029	1312	937	902
ASCC3	2425	2806	2303	2483
ASDURF	98	68	76	73
ASF1A	804	1004	646	700
ASF1B	1067	1416	882	851
ASH1L	1065	1244	978	983
ASH2L	892	1017	845	892
ASIC1	176	179	170	166
ASL	104	123	92	84
ASMTL	249	242	192	173
ASNS	2675	2483	2079	2021
ASNSD1	374	410	326	315
ASPH	862	1000	799	772
ASPHD2	51	59	36	28
ASPM	2591	2692	2355	2262
ASPN	1	0	0	0
ASPSCR1	235	351	207	189
ASRGL1	361	481	294	263
ASS1	467	482	398	429
ASTE1	205	264	174	184
ASTN2	22	21	19	20
ASXL1	674	891	627	641
ASXL2	325	376	215	251
ASXL3	79	64	66	74
ATAD1	1027	1261	972	1010
ATAD2	2852	2951	2095	2359
ATAD2B	279	317	221	221
ATAD3A	790	1064	666	722
ATAD3B	526	703	377	376
